dataset,method,noise_levels,instance_level,avg_accuracy,avg_kappa,avg_kappa_loss,sd_accuracy,sd_kappa
badges2,C5.0,0.1,0.1,0.993,0.983,0.017,0.009,0.023
badges2,C5.0,0.1,0.2,0.99,0.975,0.025,0.015,0.038
badges2,C5.0,0.1,0.25,0.99,0.975,0.025,0.015,0.038
badges2,C5.0,0.1,0.3,0.986,0.966,0.034,0.014,0.036
badges2,C5.0,0.1,0.4,0.986,0.966,0.034,0.014,0.036
badges2,C5.0,0.1,0.5,0.979,0.95,0.05,0.019,0.046
badges2,C5.0,0.1,0.6,0.973,0.932,0.068,0.023,0.059
badges2,C5.0,0.1,0.7,0.969,0.924,0.076,0.023,0.057
badges2,C5.0,0.1,0.75,0.969,0.924,0.076,0.023,0.057
badges2,C5.0,0.1,0.8,0.966,0.916,0.084,0.03,0.074
badges2,C5.0,0.1,0.9,0.966,0.916,0.084,0.03,0.074
badges2,C5.0,0.1,1,0.962,0.908,0.092,0.028,0.07
badges2,C5.0,0.2,0.1,0.993,0.984,0.016,0.015,0.036
badges2,C5.0,0.2,0.2,0.99,0.976,0.024,0.015,0.036
badges2,C5.0,0.2,0.25,0.986,0.968,0.032,0.014,0.034
badges2,C5.0,0.2,0.3,0.983,0.96,0.04,0.021,0.048
badges2,C5.0,0.2,0.4,0.973,0.934,0.066,0.026,0.061
badges2,C5.0,0.2,0.5,0.969,0.926,0.074,0.025,0.06
badges2,C5.0,0.2,0.6,0.952,0.885,0.115,0.022,0.05
badges2,C5.0,0.2,0.7,0.952,0.885,0.115,0.022,0.05
badges2,C5.0,0.2,0.75,0.946,0.868,0.132,0.033,0.075
badges2,C5.0,0.2,0.8,0.942,0.86,0.14,0.031,0.071
badges2,C5.0,0.2,0.9,0.922,0.811,0.189,0.026,0.061
badges2,C5.0,0.2,1,0.912,0.784,0.216,0.033,0.082
badges2,C5.0,0.3,0.1,0.993,0.983,0.017,0.009,0.023
badges2,C5.0,0.3,0.2,0.976,0.942,0.058,0.019,0.048
badges2,C5.0,0.3,0.25,0.973,0.934,0.066,0.026,0.062
badges2,C5.0,0.3,0.3,0.959,0.9,0.1,0.035,0.087
badges2,C5.0,0.3,0.4,0.952,0.882,0.118,0.044,0.111
badges2,C5.0,0.3,0.5,0.939,0.85,0.15,0.052,0.129
badges2,C5.0,0.3,0.6,0.925,0.816,0.184,0.049,0.123
badges2,C5.0,0.3,0.7,0.922,0.808,0.192,0.052,0.13
badges2,C5.0,0.3,0.75,0.915,0.792,0.208,0.043,0.11
badges2,C5.0,0.3,0.8,0.901,0.759,0.241,0.047,0.118
badges2,C5.0,0.3,0.9,0.891,0.736,0.264,0.052,0.126
badges2,C5.0,0.3,1,0.878,0.704,0.296,0.053,0.125
badges2,C5.0,0.4,0.1,0.99,0.975,0.025,0.009,0.023
badges2,C5.0,0.4,0.2,0.973,0.933,0.067,0.015,0.038
badges2,C5.0,0.4,0.25,0.966,0.917,0.083,0.024,0.059
badges2,C5.0,0.4,0.3,0.959,0.9,0.1,0.019,0.047
badges2,C5.0,0.4,0.4,0.946,0.867,0.133,0.014,0.033
badges2,C5.0,0.4,0.5,0.932,0.832,0.168,0.021,0.054
badges2,C5.0,0.4,0.6,0.925,0.815,0.185,0.029,0.074
badges2,C5.0,0.4,0.7,0.908,0.773,0.227,0.04,0.107
badges2,C5.0,0.4,0.75,0.894,0.739,0.261,0.029,0.079
badges2,C5.0,0.4,0.8,0.888,0.722,0.278,0.027,0.075
badges2,C5.0,0.4,0.9,0.867,0.675,0.325,0.028,0.076
badges2,C5.0,0.4,1,0.857,0.651,0.349,0.033,0.087
badges2,C5.0,0.5,0.1,0.99,0.975,0.025,0.009,0.023
badges2,C5.0,0.5,0.2,0.976,0.941,0.059,0.023,0.058
badges2,C5.0,0.5,0.25,0.973,0.931,0.069,0.028,0.074
badges2,C5.0,0.5,0.3,0.963,0.906,0.094,0.025,0.065
badges2,C5.0,0.5,0.4,0.942,0.856,0.144,0.033,0.086
badges2,C5.0,0.5,0.5,0.925,0.815,0.185,0.041,0.102
badges2,C5.0,0.5,0.6,0.915,0.789,0.211,0.036,0.089
badges2,C5.0,0.5,0.7,0.895,0.746,0.254,0.05,0.113
badges2,C5.0,0.5,0.75,0.881,0.712,0.288,0.046,0.1
badges2,C5.0,0.5,0.8,0.874,0.694,0.306,0.042,0.087
badges2,C5.0,0.5,0.9,0.857,0.647,0.353,0.054,0.116
badges2,C5.0,0.5,1,0.837,0.586,0.414,0.045,0.091
badges2,C5.0,0.6,0.1,0.973,0.934,0.066,0.009,0.022
badges2,C5.0,0.6,0.2,0.952,0.883,0.117,0.022,0.055
badges2,C5.0,0.6,0.25,0.949,0.874,0.126,0.024,0.061
badges2,C5.0,0.6,0.3,0.935,0.841,0.159,0.03,0.078
badges2,C5.0,0.6,0.4,0.905,0.771,0.229,0.047,0.115
badges2,C5.0,0.6,0.5,0.884,0.722,0.278,0.047,0.115
badges2,C5.0,0.6,0.6,0.871,0.687,0.313,0.051,0.124
badges2,C5.0,0.6,0.7,0.843,0.627,0.373,0.07,0.165
badges2,C5.0,0.6,0.75,0.826,0.585,0.415,0.07,0.166
badges2,C5.0,0.6,0.8,0.826,0.585,0.415,0.07,0.166
badges2,C5.0,0.6,0.9,0.813,0.558,0.442,0.075,0.171
badges2,C5.0,0.6,1,0.796,0.516,0.484,0.071,0.158
badges2,C5.0,0.7,0.1,0.986,0.967,0.033,0.014,0.035
badges2,C5.0,0.7,0.2,0.973,0.935,0.065,0.028,0.067
badges2,C5.0,0.7,0.25,0.969,0.927,0.073,0.03,0.072
badges2,C5.0,0.7,0.3,0.959,0.904,0.096,0.039,0.091
badges2,C5.0,0.7,0.4,0.939,0.857,0.143,0.035,0.079
badges2,C5.0,0.7,0.5,0.915,0.8,0.2,0.027,0.059
badges2,C5.0,0.7,0.6,0.898,0.758,0.242,0.034,0.077
badges2,C5.0,0.7,0.7,0.877,0.708,0.292,0.041,0.096
badges2,C5.0,0.7,0.75,0.871,0.691,0.309,0.035,0.084
badges2,C5.0,0.7,0.8,0.857,0.658,0.342,0.037,0.082
badges2,C5.0,0.7,0.9,0.847,0.633,0.367,0.036,0.077
badges2,C5.0,0.7,1,0.827,0.583,0.417,0.038,0.089
badges2,C5.0,0.8,0.1,0.966,0.92,0.08,0.032,0.071
badges2,C5.0,0.8,0.2,0.939,0.854,0.146,0.035,0.08
badges2,C5.0,0.8,0.25,0.929,0.829,0.171,0.033,0.073
badges2,C5.0,0.8,0.3,0.912,0.786,0.214,0.028,0.062
badges2,C5.0,0.8,0.4,0.898,0.752,0.248,0.04,0.089
badges2,C5.0,0.8,0.5,0.881,0.708,0.292,0.043,0.102
badges2,C5.0,0.8,0.6,0.864,0.665,0.335,0.056,0.135
badges2,C5.0,0.8,0.7,0.84,0.615,0.385,0.05,0.119
badges2,C5.0,0.8,0.75,0.83,0.593,0.407,0.055,0.126
