dataset,fold,method,noise_levels,instance_level,accuracy,kappa
banknote,Fold_1,bayesglm,0.1,0.1,1,1
banknote,Fold_1,bayesglm,0.1,0.2,1,1
banknote,Fold_1,bayesglm,0.1,0.25,1,1
banknote,Fold_1,bayesglm,0.1,0.3,1,1
banknote,Fold_1,bayesglm,0.1,0.4,0.996363636363636,0.99260056504776
banknote,Fold_1,bayesglm,0.1,0.5,0.996363636363636,0.99260056504776
banknote,Fold_1,bayesglm,0.1,0.6,0.996363636363636,0.99260056504776
banknote,Fold_1,bayesglm,0.1,0.7,0.996363636363636,0.99260056504776
banknote,Fold_1,bayesglm,0.1,0.75,0.996363636363636,0.99260056504776
banknote,Fold_1,bayesglm,0.1,0.8,0.996363636363636,0.99260056504776
banknote,Fold_1,bayesglm,0.1,0.9,0.996363636363636,0.99260056504776
banknote,Fold_1,bayesglm,0.1,1,0.996363636363636,0.99260056504776
banknote,Fold_1,bayesglm,0.2,0.1,0.996363636363636,0.99260056504776
banknote,Fold_1,bayesglm,0.2,0.2,0.996363636363636,0.99260056504776
banknote,Fold_1,bayesglm,0.2,0.25,0.992727272727273,0.98521584861029
banknote,Fold_1,bayesglm,0.2,0.3,0.992727272727273,0.98521584861029
banknote,Fold_1,bayesglm,0.2,0.4,0.989090909090909,0.977845806815436
banknote,Fold_1,bayesglm,0.2,0.5,0.989090909090909,0.977845806815436
banknote,Fold_1,bayesglm,0.2,0.6,0.989090909090909,0.977845806815436
banknote,Fold_1,bayesglm,0.2,0.7,0.989090909090909,0.977845806815436
banknote,Fold_1,bayesglm,0.2,0.75,0.989090909090909,0.977845806815436
banknote,Fold_1,bayesglm,0.2,0.8,0.989090909090909,0.977845806815436
banknote,Fold_1,bayesglm,0.2,0.9,0.989090909090909,0.977845806815436
banknote,Fold_1,bayesglm,0.2,1,0.989090909090909,0.977845806815436
banknote,Fold_1,bayesglm,0.3,0.1,0.989090909090909,0.97780169514328
banknote,Fold_1,bayesglm,0.3,0.2,0.985454545454545,0.97043169722058
banknote,Fold_1,bayesglm,0.3,0.25,0.985454545454545,0.97043169722058
banknote,Fold_1,bayesglm,0.3,0.3,0.981818181818182,0.9630028252388
banknote,Fold_1,bayesglm,0.3,0.4,0.981818181818182,0.9630028252388
banknote,Fold_1,bayesglm,0.3,0.5,0.981818181818182,0.9630028252388
banknote,Fold_1,bayesglm,0.3,0.6,0.974545454545454,0.948100617400447
banknote,Fold_1,bayesglm,0.3,0.7,0.970909090909091,0.940745528980823
banknote,Fold_1,bayesglm,0.3,0.75,0.970909090909091,0.940745528980823
banknote,Fold_1,bayesglm,0.3,0.8,0.970909090909091,0.940745528980823
banknote,Fold_1,bayesglm,0.3,0.9,0.967272727272727,0.933272222372004
banknote,Fold_1,bayesglm,0.3,1,0.96,0.91860621552536
banknote,Fold_1,bayesglm,0.4,0.1,0.992727272727273,0.985186382245206
banknote,Fold_1,bayesglm,0.4,0.2,0.992727272727273,0.985186382245206
banknote,Fold_1,bayesglm,0.4,0.25,0.985454545454545,0.97043169722058
banknote,Fold_1,bayesglm,0.4,0.3,0.985454545454545,0.97043169722058
banknote,Fold_1,bayesglm,0.4,0.4,0.978181818181818,0.955647545830869
banknote,Fold_1,bayesglm,0.4,0.5,0.974545454545454,0.948306882569349
banknote,Fold_1,bayesglm,0.4,0.6,0.970909090909091,0.940863394441159
banknote,Fold_1,bayesglm,0.4,0.7,0.963636363636364,0.925931911226029
banknote,Fold_1,bayesglm,0.4,0.75,0.956363636363636,0.910940789118584
banknote,Fold_1,bayesglm,0.4,0.8,0.956363636363636,0.910940789118584
banknote,Fold_1,bayesglm,0.4,0.9,0.949090909090909,0.895889670091942
banknote,Fold_1,bayesglm,0.4,1,0.941818181818182,0.881016765819362
banknote,Fold_1,bayesglm,0.5,0.1,0.996363636363636,0.99260056504776
banknote,Fold_1,bayesglm,0.5,0.2,0.992727272727273,0.985186382245206
banknote,Fold_1,bayesglm,0.5,0.25,0.989090909090909,0.977757407457335
banknote,Fold_1,bayesglm,0.5,0.3,0.985454545454545,0.970313596372861
banknote,Fold_1,bayesglm,0.5,0.4,0.970909090909091,0.940627192745722
banknote,Fold_1,bayesglm,0.5,0.5,0.967272727272727,0.933272222372004
banknote,Fold_1,bayesglm,0.5,0.6,0.963636363636364,0.925783990932153
banknote,Fold_1,bayesglm,0.5,0.7,0.956363636363636,0.910762574364521
banknote,Fold_1,bayesglm,0.5,0.75,0.952727272727273,0.903229299190645
banknote,Fold_1,bayesglm,0.5,0.8,0.949090909090909,0.895680919091747
banknote,Fold_1,bayesglm,0.5,0.9,0.949090909090909,0.895680919091747
banknote,Fold_1,bayesglm,0.5,1,0.941818181818182,0.88077819324771
banknote,Fold_1,bayesglm,0.6,0.1,0.992727272727273,0.98521584861029
banknote,Fold_1,bayesglm,0.6,0.2,0.989090909090909,0.97780169514328
banknote,Fold_1,bayesglm,0.6,0.25,0.985454545454545,0.970372764490412
banknote,Fold_1,bayesglm,0.6,0.3,0.978181818181818,0.955559146735617
banknote,Fold_1,bayesglm,0.6,0.4,0.967272727272727,0.93340508542984
banknote,Fold_1,bayesglm,0.6,0.5,0.963636363636364,0.926079243051449
banknote,Fold_1,bayesglm,0.6,0.6,0.956363636363636,0.911118293471235
banknote,Fold_1,bayesglm,0.6,0.7,0.949090909090909,0.896097587305014
banknote,Fold_1,bayesglm,0.6,0.75,0.945454545454545,0.888564713510009
banknote,Fold_1,bayesglm,0.6,0.8,0.938181818181818,0.873453698941613
banknote,Fold_1,bayesglm,0.6,0.9,0.934545454545455,0.866143861546782
banknote,Fold_1,bayesglm,0.6,1,0.912727272727273,0.821525148729043
banknote,Fold_1,bayesglm,0.7,0.1,0.985454545454545,0.970372764490412
banknote,Fold_1,bayesglm,0.7,0.2,0.970909090909091,0.940627192745722
banknote,Fold_1,bayesglm,0.7,0.25,0.963636363636364,0.925783990932153
banknote,Fold_1,bayesglm,0.7,0.3,0.952727272727273,0.903229299190645
banknote,Fold_1,bayesglm,0.7,0.4,0.941818181818182,0.881254385491445
banknote,Fold_1,bayesglm,0.7,0.5,0.930909090909091,0.858848637112678
banknote,Fold_1,bayesglm,0.7,0.6,0.92,0.836070015715602
banknote,Fold_1,bayesglm,0.7,0.7,0.912727272727273,0.821167289871566
banknote,Fold_1,bayesglm,0.7,0.75,0.909090909090909,0.813528980986737
banknote,Fold_1,bayesglm,0.7,0.8,0.909090909090909,0.813528980986737
banknote,Fold_1,bayesglm,0.7,0.9,0.894545454545455,0.782821818577925
banknote,Fold_1,bayesglm,0.7,1,0.887272727272727,0.76784401296261
banknote,Fold_1,bayesglm,0.8,0.1,0.985454545454545,0.970372764490412
banknote,Fold_1,bayesglm,0.8,0.2,0.981818181818182,0.962929012428891
banknote,Fold_1,bayesglm,0.8,0.25,0.974545454545454,0.947996866304671
banknote,Fold_1,bayesglm,0.8,0.3,0.963636363636364,0.925635478637101
banknote,Fold_1,bayesglm,0.8,0.4,0.956363636363636,0.910940789118584
banknote,Fold_1,bayesglm,0.8,0.5,0.949090909090909,0.895889670091942
banknote,Fold_1,bayesglm,0.8,0.6,0.938181818181818,0.873199707070981
banknote,Fold_1,bayesglm,0.8,0.7,0.92,0.835740660295395
banknote,Fold_1,bayesglm,0.8,0.75,0.909090909090909,0.813153961136024
banknote,Fold_1,bayesglm,0.8,0.8,0.905454545454545,0.805484520376517
banknote,Fold_1,bayesglm,0.8,0.9,0.890909090909091,0.775559061972904
banknote,Fold_1,bayesglm,0.8,1,0.88,0.752866207347294
banknote,Fold_1,bayesglm,0.9,0.1,0.978181818181818,0.955381287182261
banknote,Fold_1,bayesglm,0.9,0.2,0.956363636363636,0.911118293471235
banknote,Fold_1,bayesglm,0.9,0.25,0.941818181818182,0.881491057961646
banknote,Fold_1,bayesglm,0.9,0.3,0.938181818181818,0.87420960581192
banknote,Fold_1,bayesglm,0.9,0.4,0.930909090909091,0.85941073590744
banknote,Fold_1,bayesglm,0.9,0.5,0.912727272727273,0.822942375791394
banknote,Fold_1,bayesglm,0.9,0.6,0.901818181818182,0.800612261338919
