dataset,method,noise_levels,instance_level,avg_accuracy,avg_kappa,avg_kappa_loss,sd_accuracy,sd_kappa
breast-w,C5.0,0.1,0.1,1,1,0,0,0
breast-w,C5.0,0.1,0.2,1,1,0,0,0
breast-w,C5.0,0.1,0.25,0.999,0.997,0.003,0.003,0.007
breast-w,C5.0,0.1,0.3,0.999,0.997,0.003,0.003,0.007
breast-w,C5.0,0.1,0.4,0.999,0.997,0.003,0.003,0.007
breast-w,C5.0,0.1,0.5,0.999,0.997,0.003,0.003,0.007
breast-w,C5.0,0.1,0.6,0.999,0.997,0.003,0.003,0.007
breast-w,C5.0,0.1,0.7,0.999,0.997,0.003,0.003,0.007
breast-w,C5.0,0.1,0.75,0.999,0.997,0.003,0.003,0.007
breast-w,C5.0,0.1,0.8,0.999,0.997,0.003,0.003,0.007
breast-w,C5.0,0.1,0.9,0.999,0.997,0.003,0.003,0.007
breast-w,C5.0,0.1,1,0.999,0.997,0.003,0.003,0.007
breast-w,C5.0,0.2,0.1,1,1,0,0,0
breast-w,C5.0,0.2,0.2,0.999,0.997,0.003,0.003,0.007
breast-w,C5.0,0.2,0.25,0.997,0.994,0.006,0.004,0.009
breast-w,C5.0,0.2,0.3,0.997,0.994,0.006,0.004,0.009
breast-w,C5.0,0.2,0.4,0.997,0.994,0.006,0.004,0.009
breast-w,C5.0,0.2,0.5,0.997,0.994,0.006,0.004,0.009
breast-w,C5.0,0.2,0.6,0.997,0.994,0.006,0.004,0.009
breast-w,C5.0,0.2,0.7,0.996,0.99,0.01,0.007,0.014
breast-w,C5.0,0.2,0.75,0.996,0.99,0.01,0.007,0.014
breast-w,C5.0,0.2,0.8,0.996,0.99,0.01,0.007,0.014
breast-w,C5.0,0.2,0.9,0.994,0.987,0.013,0.01,0.021
breast-w,C5.0,0.2,1,0.994,0.987,0.013,0.01,0.021
breast-w,C5.0,0.3,0.1,0.999,0.997,0.003,0.003,0.007
breast-w,C5.0,0.3,0.2,0.999,0.997,0.003,0.003,0.007
breast-w,C5.0,0.3,0.25,0.999,0.997,0.003,0.003,0.007
breast-w,C5.0,0.3,0.3,0.997,0.994,0.006,0.004,0.009
breast-w,C5.0,0.3,0.4,0.996,0.99,0.01,0.004,0.009
breast-w,C5.0,0.3,0.5,0.996,0.99,0.01,0.004,0.009
breast-w,C5.0,0.3,0.6,0.996,0.99,0.01,0.004,0.009
breast-w,C5.0,0.3,0.7,0.996,0.99,0.01,0.004,0.009
breast-w,C5.0,0.3,0.75,0.996,0.99,0.01,0.004,0.009
breast-w,C5.0,0.3,0.8,0.996,0.99,0.01,0.004,0.009
breast-w,C5.0,0.3,0.9,0.994,0.987,0.013,0.003,0.007
breast-w,C5.0,0.3,1,0.993,0.984,0.016,0,0
breast-w,C5.0,0.4,0.1,1,1,0,0,0
breast-w,C5.0,0.4,0.2,0.999,0.997,0.003,0.003,0.007
breast-w,C5.0,0.4,0.25,0.999,0.997,0.003,0.003,0.007
breast-w,C5.0,0.4,0.3,0.999,0.997,0.003,0.003,0.007
breast-w,C5.0,0.4,0.4,0.999,0.997,0.003,0.003,0.007
breast-w,C5.0,0.4,0.5,0.999,0.997,0.003,0.003,0.007
breast-w,C5.0,0.4,0.6,0.999,0.997,0.003,0.003,0.007
breast-w,C5.0,0.4,0.7,0.999,0.997,0.003,0.003,0.007
breast-w,C5.0,0.4,0.75,0.999,0.997,0.003,0.003,0.007
breast-w,C5.0,0.4,0.8,0.999,0.997,0.003,0.003,0.007
breast-w,C5.0,0.4,0.9,0.999,0.997,0.003,0.003,0.007
breast-w,C5.0,0.4,1,0.996,0.991,0.009,0.004,0.009
breast-w,C5.0,0.5,0.1,1,1,0,0,0
breast-w,C5.0,0.5,0.2,0.999,0.997,0.003,0.003,0.007
breast-w,C5.0,0.5,0.25,0.999,0.997,0.003,0.003,0.007
breast-w,C5.0,0.5,0.3,0.999,0.997,0.003,0.003,0.007
breast-w,C5.0,0.5,0.4,0.999,0.997,0.003,0.003,0.007
breast-w,C5.0,0.5,0.5,0.997,0.994,0.006,0.004,0.009
breast-w,C5.0,0.5,0.6,0.996,0.991,0.009,0.004,0.009
breast-w,C5.0,0.5,0.7,0.994,0.987,0.013,0.006,0.013
breast-w,C5.0,0.5,0.75,0.994,0.987,0.013,0.006,0.013
breast-w,C5.0,0.5,0.8,0.993,0.984,0.016,0.007,0.016
breast-w,C5.0,0.5,0.9,0.991,0.981,0.019,0.008,0.017
breast-w,C5.0,0.5,1,0.991,0.981,0.019,0.008,0.017
breast-w,C5.0,0.6,0.1,0.999,0.997,0.003,0.003,0.007
breast-w,C5.0,0.6,0.2,0.997,0.994,0.006,0.004,0.009
breast-w,C5.0,0.6,0.25,0.996,0.99,0.01,0.004,0.009
breast-w,C5.0,0.6,0.3,0.996,0.99,0.01,0.004,0.009
breast-w,C5.0,0.6,0.4,0.994,0.987,0.013,0.006,0.013
breast-w,C5.0,0.6,0.5,0.993,0.984,0.016,0.007,0.016
breast-w,C5.0,0.6,0.6,0.991,0.981,0.019,0.01,0.021
breast-w,C5.0,0.6,0.7,0.99,0.978,0.022,0.012,0.026
breast-w,C5.0,0.6,0.75,0.99,0.978,0.022,0.012,0.026
breast-w,C5.0,0.6,0.8,0.988,0.975,0.025,0.015,0.033
breast-w,C5.0,0.6,0.9,0.987,0.971,0.029,0.015,0.032
breast-w,C5.0,0.6,1,0.985,0.968,0.032,0.014,0.03
breast-w,C5.0,0.7,0.1,1,1,0,0,0
breast-w,C5.0,0.7,0.2,0.997,0.994,0.006,0.004,0.009
breast-w,C5.0,0.7,0.25,0.996,0.99,0.01,0.004,0.009
breast-w,C5.0,0.7,0.3,0.996,0.99,0.01,0.004,0.009
breast-w,C5.0,0.7,0.4,0.994,0.987,0.013,0.003,0.007
breast-w,C5.0,0.7,0.5,0.993,0.984,0.016,0.005,0.011
breast-w,C5.0,0.7,0.6,0.99,0.978,0.022,0.008,0.018
breast-w,C5.0,0.7,0.7,0.988,0.975,0.025,0.011,0.024
breast-w,C5.0,0.7,0.75,0.987,0.971,0.029,0.01,0.02
breast-w,C5.0,0.7,0.8,0.984,0.965,0.035,0.01,0.02
breast-w,C5.0,0.7,0.9,0.981,0.959,0.041,0.012,0.026
breast-w,C5.0,0.7,1,0.981,0.959,0.041,0.012,0.026
breast-w,C5.0,0.8,0.1,0.996,0.99,0.01,0.004,0.009
breast-w,C5.0,0.8,0.2,0.994,0.987,0.013,0.003,0.007
breast-w,C5.0,0.8,0.25,0.991,0.981,0.019,0.006,0.013
breast-w,C5.0,0.8,0.3,0.991,0.981,0.019,0.006,0.013
breast-w,C5.0,0.8,0.4,0.99,0.978,0.022,0.008,0.018
breast-w,C5.0,0.8,0.5,0.99,0.978,0.022,0.008,0.018
breast-w,C5.0,0.8,0.6,0.987,0.971,0.029,0.01,0.021
breast-w,C5.0,0.8,0.7,0.987,0.971,0.029,0.01,0.021
breast-w,C5.0,0.8,0.75,0.987,0.971,0.029,0.01,0.021
breast-w,C5.0,0.8,0.8,0.985,0.968,0.032,0.012,0.025
breast-w,C5.0,0.8,0.9,0.985,0.968,0.032,0.012,0.025
breast-w,C5.0,0.8,1,0.982,0.962,0.038,0.013,0.028
breast-w,C5.0,0.9,0.1,0.994,0.987,0.013,0.01,0.02
breast-w,C5.0,0.9,0.2,0.993,0.984,0.016,0.009,0.019
breast-w,C5.0,0.9,0.25,0.991,0.981,0.019,0.012,0.025
breast-w,C5.0,0.9,0.3,0.991,0.981,0.019,0.012,0.025
breast-w,C5.0,0.9,0.4,0.99,0.978,0.022,0.015,0.032
breast-w,C5.0,0.9,0.5,0.985,0.969,0.031,0.017,0.036
breast-w,C5.0,0.9,0.6,0.984,0.966,0.034,0.02,0.042
breast-w,C5.0,0.9,0.7,0.978,0.953,0.047,0.022,0.047
breast-w,C5.0,0.9,0.75,0.977,0.95,0.05,0.022,0.045
breast-w,C5.0,0.9,0.8,0.977,0.95,0.05,0.022,0.045
breast-w,C5.0,0.9,0.9,0.972,0.941,0.059,0.02,0.04
breast-w,C5.0,0.9,1,0.968,0.931,0.069,0.017,0.034
breast-w,C5.0,1,0.1,0.997,0.994,0.006,0.004,0.009
