dataset,fold,method,noise_levels,instance_level,accuracy,kappa
cmc,Fold_1,bayesglm,0.1,0.1,1,1
cmc,Fold_1,bayesglm,0.1,0.2,1,1
cmc,Fold_1,bayesglm,0.1,0.25,1,1
cmc,Fold_1,bayesglm,0.1,0.3,1,1
cmc,Fold_1,bayesglm,0.1,0.4,0.996610169491525,0.99245427804067
cmc,Fold_1,bayesglm,0.1,0.5,0.996610169491525,0.99245427804067
cmc,Fold_1,bayesglm,0.1,0.6,0.996610169491525,0.99245427804067
cmc,Fold_1,bayesglm,0.1,0.7,0.996610169491525,0.99245427804067
cmc,Fold_1,bayesglm,0.1,0.75,0.996610169491525,0.99245427804067
cmc,Fold_1,bayesglm,0.1,0.8,0.996610169491525,0.99245427804067
cmc,Fold_1,bayesglm,0.1,0.9,0.996610169491525,0.99245427804067
cmc,Fold_1,bayesglm,0.1,1,0.996610169491525,0.99245427804067
cmc,Fold_1,bayesglm,0.2,0.1,0.996610169491525,0.99245427804067
cmc,Fold_1,bayesglm,0.2,0.2,0.993220338983051,0.984871794871795
cmc,Fold_1,bayesglm,0.2,0.25,0.986440677966102,0.96974358974359
cmc,Fold_1,bayesglm,0.2,0.3,0.986440677966102,0.96974358974359
cmc,Fold_1,bayesglm,0.2,0.4,0.983050847457627,0.962271390203351
cmc,Fold_1,bayesglm,0.2,0.5,0.976271186440678,0.947435407916508
cmc,Fold_1,bayesglm,0.2,0.6,0.976271186440678,0.947435407916508
cmc,Fold_1,bayesglm,0.2,0.7,0.969491525423729,0.932088502366032
cmc,Fold_1,bayesglm,0.2,0.75,0.969491525423729,0.932088502366032
cmc,Fold_1,bayesglm,0.2,0.8,0.966101694915254,0.924725695330441
cmc,Fold_1,bayesglm,0.2,0.9,0.966101694915254,0.924725695330441
cmc,Fold_1,bayesglm,0.2,1,0.96271186440678,0.917398498154512
cmc,Fold_1,bayesglm,0.3,0.1,1,1
cmc,Fold_1,bayesglm,0.3,0.2,0.989830508474576,0.977140643161565
cmc,Fold_1,bayesglm,0.3,0.25,0.986440677966102,0.969595465086318
cmc,Fold_1,bayesglm,0.3,0.3,0.986440677966102,0.969595465086318
cmc,Fold_1,bayesglm,0.3,0.4,0.986440677966102,0.969595465086318
cmc,Fold_1,bayesglm,0.3,0.5,0.979661016949153,0.954615384615385
cmc,Fold_1,bayesglm,0.3,0.6,0.972881355932203,0.939190930172636
