dataset,method,noise_levels,instance_level,avg_accuracy,avg_kappa,avg_kappa_loss,sd_accuracy,sd_kappa
diabetes,C5.0,0.1,0.1,0.997,0.993,0.007,0.004,0.009
diabetes,C5.0,0.1,0.2,0.995,0.988,0.012,0.008,0.019
diabetes,C5.0,0.1,0.25,0.992,0.982,0.018,0.011,0.023
diabetes,C5.0,0.1,0.3,0.991,0.978,0.022,0.011,0.025
diabetes,C5.0,0.1,0.4,0.991,0.978,0.022,0.011,0.025
diabetes,C5.0,0.1,0.5,0.99,0.974,0.026,0.01,0.022
diabetes,C5.0,0.1,0.6,0.987,0.968,0.032,0.008,0.017
diabetes,C5.0,0.1,0.7,0.984,0.962,0.038,0.007,0.015
diabetes,C5.0,0.1,0.75,0.984,0.962,0.038,0.007,0.015
diabetes,C5.0,0.1,0.8,0.984,0.962,0.038,0.007,0.015
diabetes,C5.0,0.1,0.9,0.982,0.955,0.045,0.005,0.012
diabetes,C5.0,0.1,1,0.982,0.955,0.045,0.005,0.012
diabetes,C5.0,0.2,0.1,0.999,0.997,0.003,0.003,0.007
diabetes,C5.0,0.2,0.2,0.993,0.985,0.015,0.006,0.015
diabetes,C5.0,0.2,0.25,0.991,0.978,0.022,0.006,0.014
diabetes,C5.0,0.2,0.3,0.991,0.978,0.022,0.006,0.014
diabetes,C5.0,0.2,0.4,0.99,0.975,0.025,0.006,0.014
diabetes,C5.0,0.2,0.5,0.987,0.969,0.031,0.009,0.023
diabetes,C5.0,0.2,0.6,0.986,0.966,0.034,0.01,0.024
diabetes,C5.0,0.2,0.7,0.982,0.955,0.045,0.005,0.013
diabetes,C5.0,0.2,0.75,0.98,0.952,0.048,0.008,0.02
diabetes,C5.0,0.2,0.8,0.98,0.952,0.048,0.008,0.02
diabetes,C5.0,0.2,0.9,0.975,0.94,0.06,0.008,0.02
diabetes,C5.0,0.2,1,0.971,0.931,0.069,0.006,0.011
diabetes,C5.0,0.3,0.1,0.993,0.984,0.016,0.008,0.018
diabetes,C5.0,0.3,0.2,0.983,0.959,0.041,0.012,0.026
diabetes,C5.0,0.3,0.25,0.983,0.959,0.041,0.012,0.026
diabetes,C5.0,0.3,0.3,0.979,0.95,0.05,0.014,0.031
diabetes,C5.0,0.3,0.4,0.978,0.947,0.053,0.015,0.034
diabetes,C5.0,0.3,0.5,0.974,0.937,0.063,0.015,0.035
diabetes,C5.0,0.3,0.6,0.966,0.918,0.082,0.011,0.021
diabetes,C5.0,0.3,0.7,0.961,0.905,0.095,0.006,0.014
diabetes,C5.0,0.3,0.75,0.961,0.905,0.095,0.006,0.014
diabetes,C5.0,0.3,0.8,0.961,0.905,0.095,0.006,0.014
diabetes,C5.0,0.3,0.9,0.957,0.896,0.104,0.01,0.016
diabetes,C5.0,0.3,1,0.945,0.868,0.132,0.013,0.027
diabetes,C5.0,0.4,0.1,0.996,0.991,0.009,0.004,0.008
diabetes,C5.0,0.4,0.2,0.991,0.979,0.021,0.007,0.016
diabetes,C5.0,0.4,0.25,0.988,0.973,0.027,0.008,0.02
diabetes,C5.0,0.4,0.3,0.986,0.966,0.034,0.012,0.031
diabetes,C5.0,0.4,0.4,0.979,0.948,0.052,0.014,0.035
diabetes,C5.0,0.4,0.5,0.973,0.933,0.067,0.019,0.046
diabetes,C5.0,0.4,0.6,0.962,0.91,0.09,0.02,0.045
diabetes,C5.0,0.4,0.7,0.953,0.885,0.115,0.017,0.039
diabetes,C5.0,0.4,0.75,0.948,0.872,0.128,0.019,0.049
diabetes,C5.0,0.4,0.8,0.948,0.872,0.128,0.019,0.049
diabetes,C5.0,0.4,0.9,0.939,0.85,0.15,0.015,0.037
diabetes,C5.0,0.4,1,0.93,0.829,0.171,0.015,0.038
diabetes,C5.0,0.5,0.1,0.993,0.984,0.016,0.005,0.011
diabetes,C5.0,0.5,0.2,0.983,0.96,0.04,0.014,0.03
diabetes,C5.0,0.5,0.25,0.978,0.948,0.052,0.016,0.035
diabetes,C5.0,0.5,0.3,0.973,0.936,0.064,0.019,0.041
diabetes,C5.0,0.5,0.4,0.965,0.916,0.084,0.014,0.029
diabetes,C5.0,0.5,0.5,0.954,0.892,0.108,0.011,0.019
diabetes,C5.0,0.5,0.6,0.939,0.855,0.145,0.01,0.02
diabetes,C5.0,0.5,0.7,0.93,0.833,0.167,0.016,0.037
diabetes,C5.0,0.5,0.75,0.924,0.821,0.179,0.019,0.042
diabetes,C5.0,0.5,0.8,0.924,0.821,0.179,0.019,0.042
diabetes,C5.0,0.5,0.9,0.917,0.803,0.197,0.023,0.05
diabetes,C5.0,0.5,1,0.909,0.786,0.214,0.029,0.063
diabetes,C5.0,0.6,0.1,0.99,0.975,0.025,0.007,0.017
diabetes,C5.0,0.6,0.2,0.978,0.946,0.054,0.007,0.016
diabetes,C5.0,0.6,0.25,0.973,0.934,0.066,0.007,0.014
diabetes,C5.0,0.6,0.3,0.967,0.921,0.079,0.008,0.017
diabetes,C5.0,0.6,0.4,0.954,0.887,0.113,0.005,0.023
diabetes,C5.0,0.6,0.5,0.949,0.875,0.125,0.003,0.019
diabetes,C5.0,0.6,0.6,0.94,0.851,0.149,0.01,0.039
diabetes,C5.0,0.6,0.7,0.934,0.834,0.166,0.015,0.056
diabetes,C5.0,0.6,0.75,0.93,0.824,0.176,0.013,0.053
diabetes,C5.0,0.6,0.8,0.927,0.818,0.182,0.013,0.051
diabetes,C5.0,0.6,0.9,0.918,0.796,0.204,0.013,0.051
diabetes,C5.0,0.6,1,0.904,0.764,0.236,0.011,0.038
diabetes,C5.0,0.7,0.1,0.99,0.974,0.026,0.006,0.014
diabetes,C5.0,0.7,0.2,0.975,0.939,0.061,0.007,0.019
diabetes,C5.0,0.7,0.25,0.969,0.925,0.075,0.008,0.016
diabetes,C5.0,0.7,0.3,0.964,0.913,0.087,0.01,0.015
diabetes,C5.0,0.7,0.4,0.954,0.89,0.11,0.007,0.007
diabetes,C5.0,0.7,0.5,0.941,0.859,0.141,0.01,0.019
diabetes,C5.0,0.7,0.6,0.923,0.814,0.186,0.012,0.032
diabetes,C5.0,0.7,0.7,0.909,0.779,0.221,0.02,0.053
diabetes,C5.0,0.7,0.75,0.901,0.76,0.24,0.021,0.059
diabetes,C5.0,0.7,0.8,0.892,0.738,0.262,0.023,0.066
diabetes,C5.0,0.7,0.9,0.874,0.694,0.306,0.029,0.086
diabetes,C5.0,0.7,1,0.863,0.671,0.329,0.028,0.083
diabetes,C5.0,0.8,0.1,0.984,0.962,0.038,0.004,0.008
diabetes,C5.0,0.8,0.2,0.969,0.925,0.075,0.008,0.016
diabetes,C5.0,0.8,0.25,0.961,0.906,0.094,0.009,0.021
diabetes,C5.0,0.8,0.3,0.952,0.885,0.115,0.01,0.018
diabetes,C5.0,0.8,0.4,0.935,0.841,0.159,0.014,0.046
diabetes,C5.0,0.8,0.5,0.924,0.814,0.186,0.014,0.054
diabetes,C5.0,0.8,0.6,0.914,0.788,0.212,0.014,0.06
diabetes,C5.0,0.8,0.7,0.9,0.751,0.249,0.029,0.102
diabetes,C5.0,0.8,0.75,0.891,0.726,0.274,0.027,0.101
diabetes,C5.0,0.8,0.8,0.884,0.711,0.289,0.035,0.121
diabetes,C5.0,0.8,0.9,0.867,0.67,0.33,0.036,0.128
diabetes,C5.0,0.8,1,0.859,0.654,0.346,0.035,0.125
diabetes,C5.0,0.9,0.1,0.986,0.965,0.035,0.016,0.036
diabetes,C5.0,0.9,0.2,0.966,0.918,0.082,0.023,0.052
diabetes,C5.0,0.9,0.25,0.954,0.889,0.111,0.023,0.055
diabetes,C5.0,0.9,0.3,0.94,0.854,0.146,0.023,0.054
diabetes,C5.0,0.9,0.4,0.923,0.814,0.186,0.02,0.054
diabetes,C5.0,0.9,0.5,0.913,0.79,0.21,0.025,0.063
diabetes,C5.0,0.9,0.6,0.9,0.759,0.241,0.029,0.079
diabetes,C5.0,0.9,0.7,0.885,0.724,0.276,0.03,0.092
diabetes,C5.0,0.9,0.75,0.875,0.699,0.301,0.036,0.108
diabetes,C5.0,0.9,0.8,0.867,0.679,0.321,0.04,0.117
diabetes,C5.0,0.9,0.9,0.848,0.635,0.365,0.044,0.125
diabetes,C5.0,0.9,1,0.833,0.603,0.397,0.048,0.129
diabetes,C5.0,1,0.1,0.986,0.966,0.034,0.011,0.023
diabetes,C5.0,1,0.2,0.971,0.931,0.069,0.011,0.023
diabetes,C5.0,1,0.25,0.967,0.922,0.078,0.01,0.02
diabetes,C5.0,1,0.3,0.957,0.896,0.104,0.012,0.023
diabetes,C5.0,1,0.4,0.939,0.851,0.149,0.007,0.025
diabetes,C5.0,1,0.5,0.922,0.808,0.192,0.014,0.051
diabetes,C5.0,1,0.6,0.908,0.776,0.224,0.009,0.041
diabetes,C5.0,1,0.7,0.895,0.747,0.253,0.006,0.035
diabetes,C5.0,1,0.75,0.884,0.722,0.278,0.008,0.04
diabetes,C5.0,1,0.8,0.872,0.694,0.306,0.014,0.054
diabetes,C5.0,1,0.9,0.858,0.663,0.337,0.017,0.055
diabetes,C5.0,1,1,0.844,0.632,0.368,0.009,0.04
diabetes,JRip,0.1,0.1,0.999,0.997,0.003,0.003,0.006
diabetes,JRip,0.1,0.2,0.996,0.989,0.011,0.006,0.018
diabetes,JRip,0.1,0.25,0.995,0.985,0.015,0.005,0.017
diabetes,JRip,0.1,0.3,0.993,0.983,0.017,0.007,0.018
