dataset,fold,method,noise_levels,instance_level,accuracy,kappa
liver-disorders,Fold_1,bayesglm,0.1,0.1,0.985507246376812,0.961730449251248
liver-disorders,Fold_1,bayesglm,0.1,0.2,0.985507246376812,0.961730449251248
liver-disorders,Fold_1,bayesglm,0.1,0.25,0.971014492753623,0.924836601307189
liver-disorders,Fold_1,bayesglm,0.1,0.3,0.971014492753623,0.924836601307189
liver-disorders,Fold_1,bayesglm,0.1,0.4,0.942028985507246,0.854889589905363
liver-disorders,Fold_1,bayesglm,0.1,0.5,0.942028985507246,0.854889589905363
liver-disorders,Fold_1,bayesglm,0.1,0.6,0.942028985507246,0.854889589905363
liver-disorders,Fold_1,bayesglm,0.1,0.7,0.942028985507246,0.854889589905363
liver-disorders,Fold_1,bayesglm,0.1,0.75,0.942028985507246,0.854889589905363
liver-disorders,Fold_1,bayesglm,0.1,0.8,0.942028985507246,0.854889589905363
liver-disorders,Fold_1,bayesglm,0.1,0.9,0.942028985507246,0.854889589905363
liver-disorders,Fold_1,bayesglm,0.1,1,0.927536231884058,0.815409309791332
liver-disorders,Fold_1,bayesglm,0.2,0.1,0.971014492753623,0.924836601307189
liver-disorders,Fold_1,bayesglm,0.2,0.2,0.927536231884058,0.815409309791332
liver-disorders,Fold_1,bayesglm,0.2,0.25,0.927536231884058,0.815409309791332
liver-disorders,Fold_1,bayesglm,0.2,0.3,0.927536231884058,0.815409309791332
liver-disorders,Fold_1,bayesglm,0.2,0.4,0.927536231884058,0.815409309791332
liver-disorders,Fold_1,bayesglm,0.2,0.5,0.898550724637681,0.741573033707865
liver-disorders,Fold_1,bayesglm,0.2,0.6,0.869565217391304,0.667736757624398
liver-disorders,Fold_1,bayesglm,0.2,0.7,0.869565217391304,0.667736757624398
liver-disorders,Fold_1,bayesglm,0.2,0.75,0.869565217391304,0.667736757624398
liver-disorders,Fold_1,bayesglm,0.2,0.8,0.869565217391304,0.667736757624398
liver-disorders,Fold_1,bayesglm,0.2,0.9,0.869565217391304,0.667736757624398
liver-disorders,Fold_1,bayesglm,0.2,1,0.840579710144927,0.593900481540931
liver-disorders,Fold_1,bayesglm,0.3,0.1,0.971014492753623,0.924836601307189
liver-disorders,Fold_1,bayesglm,0.3,0.2,0.942028985507246,0.849673202614379
liver-disorders,Fold_1,bayesglm,0.3,0.25,0.942028985507246,0.849673202614379
liver-disorders,Fold_1,bayesglm,0.3,0.3,0.942028985507246,0.849673202614379
liver-disorders,Fold_1,bayesglm,0.3,0.4,0.884057971014493,0.699346405228758
liver-disorders,Fold_1,bayesglm,0.3,0.5,0.855072463768116,0.624183006535948
liver-disorders,Fold_1,bayesglm,0.3,0.6,0.840579710144927,0.579034941763727
liver-disorders,Fold_1,bayesglm,0.3,0.7,0.826086956521739,0.532203389830509
liver-disorders,Fold_1,bayesglm,0.3,0.75,0.811594202898551,0.502495840266223
liver-disorders,Fold_1,bayesglm,0.3,0.8,0.811594202898551,0.502495840266223
liver-disorders,Fold_1,bayesglm,0.3,0.9,0.811594202898551,0.502495840266223
liver-disorders,Fold_1,bayesglm,0.3,1,0.782608695652174,0.425956738768719
liver-disorders,Fold_1,bayesglm,0.4,0.1,0.985507246376812,0.961730449251248
liver-disorders,Fold_1,bayesglm,0.4,0.2,0.985507246376812,0.961730449251248
liver-disorders,Fold_1,bayesglm,0.4,0.25,0.971014492753623,0.924836601307189
liver-disorders,Fold_1,bayesglm,0.4,0.3,0.971014492753623,0.924836601307189
liver-disorders,Fold_1,bayesglm,0.4,0.4,0.956521739130435,0.885191347753744
