dataset,method,noise_levels,instance_level,avg_accuracy,avg_kappa,avg_kappa_loss,sd_accuracy,sd_kappa
mfeat-karhunen,C5.0,0.1,0.1,1,0.999,0.001,0.001,0.001
mfeat-karhunen,C5.0,0.1,0.2,0.998,0.997,0.003,0.004,0.004
mfeat-karhunen,C5.0,0.1,0.25,0.998,0.997,0.003,0.004,0.004
mfeat-karhunen,C5.0,0.1,0.3,0.998,0.997,0.003,0.004,0.004
mfeat-karhunen,C5.0,0.1,0.4,0.997,0.997,0.003,0.003,0.004
mfeat-karhunen,C5.0,0.1,0.5,0.996,0.995,0.005,0.004,0.004
mfeat-karhunen,C5.0,0.1,0.6,0.993,0.992,0.008,0.004,0.004
mfeat-karhunen,C5.0,0.1,0.7,0.991,0.99,0.01,0.004,0.004
mfeat-karhunen,C5.0,0.1,0.75,0.991,0.989,0.011,0.003,0.004
mfeat-karhunen,C5.0,0.1,0.8,0.99,0.988,0.012,0.003,0.004
mfeat-karhunen,C5.0,0.1,0.9,0.988,0.987,0.013,0.004,0.005
mfeat-karhunen,C5.0,0.1,1,0.988,0.986,0.014,0.004,0.004
mfeat-karhunen,C5.0,0.2,0.1,0.999,0.999,0.001,0.001,0.002
mfeat-karhunen,C5.0,0.2,0.2,0.997,0.996,0.004,0.003,0.003
mfeat-karhunen,C5.0,0.2,0.25,0.997,0.996,0.004,0.003,0.003
mfeat-karhunen,C5.0,0.2,0.3,0.995,0.994,0.006,0.004,0.004
mfeat-karhunen,C5.0,0.2,0.4,0.994,0.993,0.007,0.004,0.004
mfeat-karhunen,C5.0,0.2,0.5,0.991,0.99,0.01,0.005,0.006
mfeat-karhunen,C5.0,0.2,0.6,0.99,0.988,0.012,0.006,0.007
mfeat-karhunen,C5.0,0.2,0.7,0.989,0.987,0.013,0.006,0.007
mfeat-karhunen,C5.0,0.2,0.75,0.988,0.987,0.013,0.005,0.006
mfeat-karhunen,C5.0,0.2,0.8,0.987,0.986,0.014,0.005,0.006
mfeat-karhunen,C5.0,0.2,0.9,0.986,0.984,0.016,0.005,0.005
mfeat-karhunen,C5.0,0.2,1,0.984,0.982,0.018,0.005,0.006
mfeat-karhunen,C5.0,0.3,0.1,0.997,0.997,0.003,0.003,0.003
mfeat-karhunen,C5.0,0.3,0.2,0.992,0.991,0.009,0.003,0.004
mfeat-karhunen,C5.0,0.3,0.25,0.992,0.991,0.009,0.003,0.004
mfeat-karhunen,C5.0,0.3,0.3,0.99,0.988,0.012,0.004,0.005
mfeat-karhunen,C5.0,0.3,0.4,0.986,0.984,0.016,0.005,0.005
mfeat-karhunen,C5.0,0.3,0.5,0.984,0.982,0.018,0.005,0.006
mfeat-karhunen,C5.0,0.3,0.6,0.981,0.979,0.021,0.006,0.006
mfeat-karhunen,C5.0,0.3,0.7,0.978,0.976,0.024,0.007,0.008
mfeat-karhunen,C5.0,0.3,0.75,0.977,0.974,0.026,0.008,0.009
mfeat-karhunen,C5.0,0.3,0.8,0.977,0.974,0.026,0.007,0.008
mfeat-karhunen,C5.0,0.3,0.9,0.973,0.97,0.03,0.008,0.008
mfeat-karhunen,C5.0,0.3,1,0.968,0.964,0.036,0.003,0.004
mfeat-karhunen,C5.0,0.4,0.1,0.998,0.998,0.002,0.002,0.002
mfeat-karhunen,C5.0,0.4,0.2,0.994,0.993,0.007,0.005,0.005
mfeat-karhunen,C5.0,0.4,0.25,0.991,0.989,0.011,0.006,0.007
mfeat-karhunen,C5.0,0.4,0.3,0.989,0.987,0.013,0.004,0.005
mfeat-karhunen,C5.0,0.4,0.4,0.984,0.982,0.018,0.006,0.007
mfeat-karhunen,C5.0,0.4,0.5,0.978,0.976,0.024,0.007,0.008
mfeat-karhunen,C5.0,0.4,0.6,0.973,0.969,0.031,0.009,0.01
mfeat-karhunen,C5.0,0.4,0.7,0.968,0.964,0.036,0.011,0.012
mfeat-karhunen,C5.0,0.4,0.75,0.966,0.962,0.038,0.01,0.012
mfeat-karhunen,C5.0,0.4,0.8,0.964,0.96,0.04,0.011,0.013
mfeat-karhunen,C5.0,0.4,0.9,0.959,0.954,0.046,0.012,0.013
mfeat-karhunen,C5.0,0.4,1,0.956,0.951,0.049,0.013,0.014
mfeat-karhunen,C5.0,0.5,0.1,0.995,0.994,0.006,0.003,0.003
mfeat-karhunen,C5.0,0.5,0.2,0.991,0.989,0.011,0.002,0.002
mfeat-karhunen,C5.0,0.5,0.25,0.988,0.986,0.014,0.004,0.004
mfeat-karhunen,C5.0,0.5,0.3,0.984,0.982,0.018,0.002,0.002
