"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"mfeat-pixel","Fold_1","fda",0.1,0.1,1,1
"mfeat-pixel","Fold_1","fda",0.1,0.2,1,1
"mfeat-pixel","Fold_1","fda",0.1,0.25,0.9975,0.997217855801466
"mfeat-pixel","Fold_1","fda",0.1,0.3,0.9975,0.997217855801466
"mfeat-pixel","Fold_1","fda",0.1,0.4,0.995,0.994435518088044
"mfeat-pixel","Fold_1","fda",0.1,0.5,0.995,0.994435518088044
"mfeat-pixel","Fold_1","fda",0.1,0.6,0.9925,0.991653451297888
"mfeat-pixel","Fold_1","fda",0.1,0.7,0.9925,0.991653451297888
"mfeat-pixel","Fold_1","fda",0.1,0.75,0.99,0.98887088135664
"mfeat-pixel","Fold_1","fda",0.1,0.8,0.99,0.98887088135664
"mfeat-pixel","Fold_1","fda",0.1,0.9,0.9875,0.986088601695799
"mfeat-pixel","Fold_1","fda",0.1,1,0.9875,0.986088601695799
"mfeat-pixel","Fold_1","fda",0.2,0.1,0.9975,0.997217933202576
"mfeat-pixel","Fold_1","fda",0.2,0.2,0.9975,0.997217933202576
"mfeat-pixel","Fold_1","fda",0.2,0.25,0.9925,0.991654322017985
"mfeat-pixel","Fold_1","fda",0.2,0.3,0.9925,0.991654322017985
"mfeat-pixel","Fold_1","fda",0.2,0.4,0.99,0.988872042397518
"mfeat-pixel","Fold_1","fda",0.2,0.5,0.9875,0.986090439959384
"mfeat-pixel","Fold_1","fda",0.2,0.6,0.9825,0.980527157660477
"mfeat-pixel","Fold_1","fda",0.2,0.7,0.98,0.977746715902058
"mfeat-pixel","Fold_1","fda",0.2,0.75,0.9725,0.969400457602248
"mfeat-pixel","Fold_1","fda",0.2,0.8,0.97,0.966617984560818
"mfeat-pixel","Fold_1","fda",0.2,0.9,0.9625,0.958273931638791
"mfeat-pixel","Fold_1","fda",0.2,1,0.9625,0.958273931638791
"mfeat-pixel","Fold_1","fda",0.3,0.1,0.995,0.994436021198759
"mfeat-pixel","Fold_1","fda",0.3,0.2,0.9925,0.99165455417933
"mfeat-pixel","Fold_1","fda",0.3,0.25,0.9875,0.986091794158554
"mfeat-pixel","Fold_1","fda",0.3,0.3,0.9875,0.986091794158554
"mfeat-pixel","Fold_1","fda",0.3,0.4,0.9875,0.986091794158554
"mfeat-pixel","Fold_1","fda",0.3,0.5,0.9825,0.980529595015576
"mfeat-pixel","Fold_1","fda",0.3,0.6,0.975,0.972186296188132
"mfeat-pixel","Fold_1","fda",0.3,0.7,0.975,0.972186296188132
"mfeat-pixel","Fold_1","fda",0.3,0.75,0.97,0.966624019580575
"mfeat-pixel","Fold_1","fda",0.3,0.8,0.9675,0.963844950460629
"mfeat-pixel","Fold_1","fda",0.3,0.9,0.965,0.961063792803755
"mfeat-pixel","Fold_1","fda",0.3,1,0.9625,0.95828263514688
"mfeat-pixel","Fold_1","fda",0.4,0.1,0.9975,0.997217913852703
"mfeat-pixel","Fold_1","fda",0.4,0.2,0.9925,0.991653625456442
"mfeat-pixel","Fold_1","fda",0.4,0.25,0.9925,0.991653625456442
"mfeat-pixel","Fold_1","fda",0.4,0.3,0.9925,0.991653625456442
"mfeat-pixel","Fold_1","fda",0.4,0.4,0.99,0.988872197184666
"mfeat-pixel","Fold_1","fda",0.4,0.5,0.9825,0.980527563928703
"mfeat-pixel","Fold_1","fda",0.4,0.6,0.98,0.977745942111632
"mfeat-pixel","Fold_1","fda",0.4,0.7,0.98,0.977745942111632
"mfeat-pixel","Fold_1","fda",0.4,0.75,0.975,0.97218146033424
"mfeat-pixel","Fold_1","fda",0.4,0.8,0.9725,0.969398967910645
"mfeat-pixel","Fold_1","fda",0.4,0.9,0.97,0.966617055902522
"mfeat-pixel","Fold_1","fda",0.4,1,0.9675,0.963835143894399
"mfeat-pixel","Fold_1","fda",0.5,0.1,1,1
"mfeat-pixel","Fold_1","fda",0.5,0.2,0.99,0.988870262035768
"mfeat-pixel","Fold_1","fda",0.5,0.25,0.98,0.97774331082162
"mfeat-pixel","Fold_1","fda",0.5,0.3,0.9775,0.974962791926891
"mfeat-pixel","Fold_1","fda",0.5,0.4,0.975,0.972179912505825
"mfeat-pixel","Fold_1","fda",0.5,0.5,0.97,0.966617055902522
"mfeat-pixel","Fold_1","fda",0.5,0.6,0.9525,0.947148450267387
"mfeat-pixel","Fold_1","fda",0.5,0.7,0.9375,0.930471542002141
"mfeat-pixel","Fold_1","fda",0.5,0.75,0.9275,0.919338576325872
"mfeat-pixel","Fold_1","fda",0.5,0.8,0.9225,0.913779316770618
"mfeat-pixel","Fold_1","fda",0.5,0.9,0.9175,0.90821988291082
"mfeat-pixel","Fold_1","fda",0.5,1,0.9175,0.90821988291082
"mfeat-pixel","Fold_1","fda",0.6,0.1,0.985,0.983308760119064
"mfeat-pixel","Fold_1","fda",0.6,0.2,0.965,0.961060002364214
"mfeat-pixel","Fold_1","fda",0.6,0.25,0.96,0.955499930468641
"mfeat-pixel","Fold_1","fda",0.6,0.3,0.96,0.955499930468641
"mfeat-pixel","Fold_1","fda",0.6,0.4,0.9525,0.94715249287254
"mfeat-pixel","Fold_1","fda",0.6,0.5,0.945,0.938804319858694
"mfeat-pixel","Fold_1","fda",0.6,0.6,0.9375,0.930469608265773
"mfeat-pixel","Fold_1","fda",0.6,0.7,0.9325,0.924916573971079
"mfeat-pixel","Fold_1","fda",0.6,0.75,0.9225,0.913788308582235
"mfeat-pixel","Fold_1","fda",0.6,0.8,0.915,0.90545115787571
"mfeat-pixel","Fold_1","fda",0.6,0.9,0.9125,0.902670309577937
"mfeat-pixel","Fold_1","fda",0.6,1,0.905,0.89432996857707
"mfeat-pixel","Fold_1","fda",0.7,0.1,0.995,0.994436175983754
"mfeat-pixel","Fold_1","fda",0.7,0.2,0.9825,0.980525126065032
"mfeat-pixel","Fold_1","fda",0.7,0.25,0.9725,0.969400244798042
"mfeat-pixel","Fold_1","fda",0.7,0.3,0.97,0.966621002343484
"mfeat-pixel","Fold_1","fda",0.7,0.4,0.9625,0.958271900297661
"mfeat-pixel","Fold_1","fda",0.7,0.5,0.96,0.955491265160788
"mfeat-pixel","Fold_1","fda",0.7,0.6,0.9425,0.936020028512813
"mfeat-pixel","Fold_1","fda",0.7,0.7,0.9325,0.924902477522894
"mfeat-pixel","Fold_1","fda",0.7,0.75,0.93,0.922119463180586
"mfeat-pixel","Fold_1","fda",0.7,0.8,0.9275,0.91933633272372
"mfeat-pixel","Fold_1","fda",0.7,0.9,0.92,0.911003573762741
"mfeat-pixel","Fold_1","fda",0.7,1,0.905,0.894313804563975
"mfeat-pixel","Fold_1","fda",0.8,0.1,0.99,0.988872816290197
"mfeat-pixel","Fold_1","fda",0.8,0.2,0.9825,0.980528241004743
"mfeat-pixel","Fold_1","fda",0.8,0.25,0.98,0.977747953854819
"mfeat-pixel","Fold_1","fda",0.8,0.3,0.9775,0.974968710888611
"mfeat-pixel","Fold_1","fda",0.8,0.4,0.9675,0.96384821813429
"mfeat-pixel","Fold_1","fda",0.8,0.5,0.96,0.955510448093206
"mfeat-pixel","Fold_1","fda",0.8,0.6,0.945,0.93883239380817
"mfeat-pixel","Fold_1","fda",0.8,0.7,0.9425,0.936052048072178
"mfeat-pixel","Fold_1","fda",0.8,0.75,0.9325,0.924915529971218
"mfeat-pixel","Fold_1","fda",0.8,0.8,0.9275,0.919366050326706
"mfeat-pixel","Fold_1","fda",0.8,0.9,0.9225,0.913810480367557
"mfeat-pixel","Fold_1","fda",0.8,1,0.9075,0.897130782918149
"mfeat-pixel","Fold_1","fda",0.9,0.1,0.9875,0.98609121381977
"mfeat-pixel","Fold_1","fda",0.9,0.2,0.9825,0.980526751375298
"mfeat-pixel","Fold_1","fda",0.9,0.25,0.9775,0.974966622162884
"mfeat-pixel","Fold_1","fda",0.9,0.3,0.975,0.972186876377619
"mfeat-pixel","Fold_1","fda",0.9,0.4,0.97,0.96662378750478
"mfeat-pixel","Fold_1","fda",0.9,0.5,0.9625,0.95828524549133
"mfeat-pixel","Fold_1","fda",0.9,0.6,0.945,0.938831968637482
"mfeat-pixel","Fold_1","fda",0.9,0.7,0.9325,0.9249452725946
"mfeat-pixel","Fold_1","fda",0.9,0.75,0.925,0.916604119756484
"mfeat-pixel","Fold_1","fda",0.9,0.8,0.91,0.899927725579585
"mfeat-pixel","Fold_1","fda",0.9,0.9,0.8975,0.886043053490279
"mfeat-pixel","Fold_1","fda",0.9,1,0.89,0.877699641437585
"mfeat-pixel","Fold_1","fda",1,0.1,0.9925,0.991654089843723
"mfeat-pixel","Fold_1","fda",1,0.2,0.985,0.983308411864937
"mfeat-pixel","Fold_1","fda",1,0.25,0.975,0.972188230058961
"mfeat-pixel","Fold_1","fda",1,0.3,0.97,0.966626804238396
"mfeat-pixel","Fold_1","fda",1,0.4,0.95,0.944376846862506
"mfeat-pixel","Fold_1","fda",1,0.5,0.9325,0.924921793534932
"mfeat-pixel","Fold_1","fda",1,0.6,0.9075,0.897126492708493
"mfeat-pixel","Fold_1","fda",1,0.7,0.895,0.883232783786038
"mfeat-pixel","Fold_1","fda",1,0.75,0.8775,0.863746011442554
"mfeat-pixel","Fold_1","fda",1,0.8,0.87,0.855419006839793
"mfeat-pixel","Fold_1","fda",1,0.9,0.84,0.822059109739483
"mfeat-pixel","Fold_1","fda",1,1,0.8325,0.813724604338549
"mfeat-pixel","Fold_2","fda",0.1,0.1,1,1
"mfeat-pixel","Fold_2","fda",0.1,0.2,1,1
"mfeat-pixel","Fold_2","fda",0.1,0.25,1,1
"mfeat-pixel","Fold_2","fda",0.1,0.3,1,1
"mfeat-pixel","Fold_2","fda",0.1,0.4,1,1
"mfeat-pixel","Fold_2","fda",0.1,0.5,0.9975,0.997219306355971
"mfeat-pixel","Fold_2","fda",0.1,0.6,0.9975,0.997219306355971
"mfeat-pixel","Fold_2","fda",0.1,0.7,0.9975,0.997219306355971
"mfeat-pixel","Fold_2","fda",0.1,0.75,0.9975,0.997219306355971
"mfeat-pixel","Fold_2","fda",0.1,0.8,0.9975,0.997219306355971
"mfeat-pixel","Fold_2","fda",0.1,0.9,0.995,0.994438342069771
"mfeat-pixel","Fold_2","fda",0.1,1,0.995,0.994438342069771
"mfeat-pixel","Fold_2","fda",0.2,0.1,0.995,0.994438264738598
"mfeat-pixel","Fold_2","fda",0.2,0.2,0.99,0.988877380066875
"mfeat-pixel","Fold_2","fda",0.2,0.25,0.99,0.988877380066875
"mfeat-pixel","Fold_2","fda",0.2,0.3,0.99,0.988877380066875
"mfeat-pixel","Fold_2","fda",0.2,0.4,0.99,0.988877380066875
"mfeat-pixel","Fold_2","fda",0.2,0.5,0.985,0.983316302058351
"mfeat-pixel","Fold_2","fda",0.2,0.6,0.985,0.983316302058351
"mfeat-pixel","Fold_2","fda",0.2,0.7,0.985,0.983316302058351
"mfeat-pixel","Fold_2","fda",0.2,0.75,0.985,0.983316302058351
"mfeat-pixel","Fold_2","fda",0.2,0.8,0.985,0.983316302058351
"mfeat-pixel","Fold_2","fda",0.2,0.9,0.9825,0.980536226947594
"mfeat-pixel","Fold_2","fda",0.2,1,0.9825,0.980536226947594
"mfeat-pixel","Fold_2","fda",0.3,0.1,0.995,0.994438380734551
"mfeat-pixel","Fold_2","fda",0.3,0.2,0.99,0.988877457386759
"mfeat-pixel","Fold_2","fda",0.3,0.25,0.99,0.988877457386759
"mfeat-pixel","Fold_2","fda",0.3,0.3,0.99,0.988877457386759
"mfeat-pixel","Fold_2","fda",0.3,0.4,0.9875,0.986095855174428
"mfeat-pixel","Fold_2","fda",0.3,0.5,0.98,0.977753522938203
"mfeat-pixel","Fold_2","fda",0.3,0.6,0.975,0.972193063559705
"mfeat-pixel","Fold_2","fda",0.3,0.7,0.9725,0.96941109404003
"mfeat-pixel","Fold_2","fda",0.3,0.75,0.9725,0.96941109404003
"mfeat-pixel","Fold_2","fda",0.3,0.8,0.9675,0.96384872080089
"mfeat-pixel","Fold_2","fda",0.3,0.9,0.9625,0.958287855509132
"mfeat-pixel","Fold_2","fda",0.3,1,0.9625,0.958287855509132
"mfeat-pixel","Fold_2","fda",0.4,0.1,0.9925,0.991657339108309
"mfeat-pixel","Fold_2","fda",0.4,0.2,0.9875,0.986095661846496
"mfeat-pixel","Fold_2","fda",0.4,0.25,0.9875,0.986095661846496
"mfeat-pixel","Fold_2","fda",0.4,0.3,0.985,0.983314214203775
"mfeat-pixel","Fold_2","fda",0.4,0.4,0.9825,0.980532708525978
"mfeat-pixel","Fold_2","fda",0.4,0.5,0.9775,0.974969755120771
"mfeat-pixel","Fold_2","fda",0.4,0.6,0.97,0.966626108117504
"mfeat-pixel","Fold_2","fda",0.4,0.7,0.97,0.966626108117504
"mfeat-pixel","Fold_2","fda",0.4,0.75,0.9675,0.963845955961593
"mfeat-pixel","Fold_2","fda",0.4,0.8,0.9675,0.963845955961593
"mfeat-pixel","Fold_2","fda",0.4,0.9,0.9625,0.958282925201285
"mfeat-pixel","Fold_2","fda",0.4,1,0.9575,0.952724921613749
"mfeat-pixel","Fold_2","fda",0.5,0.1,0.9875,0.986095758511134
"mfeat-pixel","Fold_2","fda",0.5,0.2,0.98,0.977752904288823
"mfeat-pixel","Fold_2","fda",0.5,0.25,0.9775,0.974972017324926
"mfeat-pixel","Fold_2","fda",0.5,0.3,0.9775,0.974972017324926
"mfeat-pixel","Fold_2","fda",0.5,0.4,0.9625,0.95828495546919
"mfeat-pixel","Fold_2","fda",0.5,0.5,0.9575,0.952719333620726
