"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"mfeat-pixel","Fold_1","gcvEarth",0.1,0.1,0.9975,0.997220060046703
"mfeat-pixel","Fold_1","gcvEarth",0.1,0.2,0.995,0.994440197372993
"mfeat-pixel","Fold_1","gcvEarth",0.1,0.25,0.995,0.994440197372993
"mfeat-pixel","Fold_1","gcvEarth",0.1,0.3,0.9925,0.991660817656829
"mfeat-pixel","Fold_1","gcvEarth",0.1,0.4,0.9925,0.991660817656829
"mfeat-pixel","Fold_1","gcvEarth",0.1,0.5,0.9925,0.991660817656829
"mfeat-pixel","Fold_1","gcvEarth",0.1,0.6,0.9925,0.991660817656829
"mfeat-pixel","Fold_1","gcvEarth",0.1,0.7,0.9925,0.991660817656829
"mfeat-pixel","Fold_1","gcvEarth",0.1,0.75,0.99,0.988881785585235
"mfeat-pixel","Fold_1","gcvEarth",0.1,0.8,0.99,0.988881785585235
"mfeat-pixel","Fold_1","gcvEarth",0.1,0.9,0.99,0.988881785585235
"mfeat-pixel","Fold_1","gcvEarth",0.1,1,0.99,0.988881785585235
"mfeat-pixel","Fold_1","gcvEarth",0.2,0.1,0.9975,0.997219828185382
"mfeat-pixel","Fold_1","gcvEarth",0.2,0.2,0.9925,0.991659020769038
"mfeat-pixel","Fold_1","gcvEarth",0.2,0.25,0.99,0.988878617056031
"mfeat-pixel","Fold_1","gcvEarth",0.2,0.3,0.99,0.988878617056031
"mfeat-pixel","Fold_1","gcvEarth",0.2,0.4,0.985,0.983318389390496
"mfeat-pixel","Fold_1","gcvEarth",0.2,0.5,0.98,0.97775754332066
"mfeat-pixel","Fold_1","gcvEarth",0.2,0.6,0.98,0.97775754332066
"mfeat-pixel","Fold_1","gcvEarth",0.2,0.7,0.98,0.97775754332066
"mfeat-pixel","Fold_1","gcvEarth",0.2,0.75,0.9775,0.974978279756733
"mfeat-pixel","Fold_1","gcvEarth",0.2,0.8,0.9775,0.974978279756733
"mfeat-pixel","Fold_1","gcvEarth",0.2,0.9,0.9775,0.974978279756733
"mfeat-pixel","Fold_1","gcvEarth",0.2,1,0.9725,0.969419597867712
"mfeat-pixel","Fold_1","gcvEarth",0.3,0.1,0.995,0.994439695017272
"mfeat-pixel","Fold_1","gcvEarth",0.3,0.2,0.99,0.988879390034543
"mfeat-pixel","Fold_1","gcvEarth",0.3,0.25,0.99,0.988879390034543
"mfeat-pixel","Fold_1","gcvEarth",0.3,0.3,0.99,0.988879390034543
"mfeat-pixel","Fold_1","gcvEarth",0.3,0.4,0.9875,0.986099044309296
"mfeat-pixel","Fold_1","gcvEarth",0.3,0.5,0.9825,0.980537985681518
"mfeat-pixel","Fold_1","gcvEarth",0.3,0.6,0.9775,0.974977062307115
"mfeat-pixel","Fold_1","gcvEarth",0.3,0.7,0.97,0.966636083076153
"mfeat-pixel","Fold_1","gcvEarth",0.3,0.75,0.9625,0.958301190501011
"mfeat-pixel","Fold_1","gcvEarth",0.3,0.8,0.9575,0.95274397659437
"mfeat-pixel","Fold_1","gcvEarth",0.3,0.9,0.9575,0.95274397659437
"mfeat-pixel","Fold_1","gcvEarth",0.3,1,0.955,0.949963862789793
"mfeat-pixel","Fold_1","gcvEarth",0.4,0.1,0.9925,0.991659832362631
"mfeat-pixel","Fold_1","gcvEarth",0.4,0.2,0.985,0.983320823951297
"mfeat-pixel","Fold_1","gcvEarth",0.4,0.25,0.985,0.983320823951297
"mfeat-pixel","Fold_1","gcvEarth",0.4,0.3,0.985,0.983320823951297
"mfeat-pixel","Fold_1","gcvEarth",0.4,0.4,0.9825,0.980539879347252
"mfeat-pixel","Fold_1","gcvEarth",0.4,0.5,0.975,0.97219886154338
"mfeat-pixel","Fold_1","gcvEarth",0.4,0.6,0.975,0.97219886154338
"mfeat-pixel","Fold_1","gcvEarth",0.4,0.7,0.9725,0.969418535147834
