"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"mfeat-pixel","Fold_1","knn",0.1,0.1,0.995,0.994444251536512
"mfeat-pixel","Fold_1","knn",0.1,0.2,0.99,0.988888657402585
"mfeat-pixel","Fold_1","knn",0.1,0.25,0.995,0.994444058615182
"mfeat-pixel","Fold_1","knn",0.1,0.3,0.9925,0.991666261554381
"mfeat-pixel","Fold_1","knn",0.1,0.4,0.99,0.98888858023834
"mfeat-pixel","Fold_1","knn",0.1,0.5,0.995,0.994444135785321
"mfeat-pixel","Fold_1","knn",0.1,0.6,0.995,0.994444097200519
"mfeat-pixel","Fold_1","knn",0.1,0.7,0.9975,0.997221990721449
"mfeat-pixel","Fold_1","knn",0.1,0.75,0.9925,0.991666435178755
"mfeat-pixel","Fold_1","knn",0.1,0.8,1,1
"mfeat-pixel","Fold_1","knn",0.1,0.9,0.9925,0.991666261554381
"mfeat-pixel","Fold_1","knn",0.1,1,0.99,0.988888425906635
"mfeat-pixel","Fold_1","knn",0.2,0.1,0.995,0.994444251536512
"mfeat-pixel","Fold_1","knn",0.2,0.2,0.995,0.994444251536512
"mfeat-pixel","Fold_1","knn",0.2,0.25,0.99,0.988888425906635
"mfeat-pixel","Fold_1","knn",0.2,0.3,0.9975,0.997222087184794
"mfeat-pixel","Fold_1","knn",0.2,0.4,0.995,0.994444328701292
"mfeat-pixel","Fold_1","knn",0.2,0.5,0.995,0.994444212953318
"mfeat-pixel","Fold_1","knn",0.2,0.6,0.995,0.994444174369587
"mfeat-pixel","Fold_1","knn",0.2,0.7,0.9925,0.991666261554381
"mfeat-pixel","Fold_1","knn",0.2,0.75,0.9975,0.997222087184794
"mfeat-pixel","Fold_1","knn",0.2,0.8,0.99,0.988888503073023
"mfeat-pixel","Fold_1","knn",0.2,0.9,0.9875,0.986110821753231
"mfeat-pixel","Fold_1","knn",0.2,1,0.99,0.988888503073023
"mfeat-pixel","Fold_1","knn",0.3,0.1,0.9925,0.991666377304768
"mfeat-pixel","Fold_1","knn",0.3,0.2,0.995,0.994444058615182
"mfeat-pixel","Fold_1","knn",0.3,0.25,0.9925,0.991666493051939
"mfeat-pixel","Fold_1","knn",0.3,0.3,0.9925,0.991666377304768
"mfeat-pixel","Fold_1","knn",0.3,0.4,0.9925,0.991666203677982
"mfeat-pixel","Fold_1","knn",0.3,0.5,0.9975,0.99722204860026
"mfeat-pixel","Fold_1","knn",0.3,0.6,0.9925,0.991666377304768
"mfeat-pixel","Fold_1","knn",0.3,0.7,1,1
"mfeat-pixel","Fold_1","knn",0.3,0.75,0.995,0.994444328701292
"mfeat-pixel","Fold_1","knn",0.3,0.8,0.9875,0.986110821753231
"mfeat-pixel","Fold_1","knn",0.3,0.9,0.995,0.994444097200519
"mfeat-pixel","Fold_1","knn",0.3,1,0.99,0.988888657402585
"mfeat-pixel","Fold_1","knn",0.4,0.1,0.995,0.994444135785321
"mfeat-pixel","Fold_1","knn",0.4,0.2,0.995,0.994444174369587
"mfeat-pixel","Fold_1","knn",0.4,0.25,0.9925,0.991666261554381
"mfeat-pixel","Fold_1","knn",0.4,0.3,0.9975,0.997221990721449
"mfeat-pixel","Fold_1","knn",0.4,0.4,0.995,0.994444058615182
"mfeat-pixel","Fold_1","knn",0.4,0.5,0.9975,0.997222106476659
"mfeat-pixel","Fold_1","knn",0.4,0.6,0.9975,0.997222029307591
"mfeat-pixel","Fold_1","knn",0.4,0.7,0.9975,0.997222010014654
"mfeat-pixel","Fold_1","knn",0.4,0.75,0.995,0.994444135785321
"mfeat-pixel","Fold_1","knn",0.4,0.8,0.995,0.994444097200519
"mfeat-pixel","Fold_1","knn",0.4,0.9,0.9925,0.991666435178755
"mfeat-pixel","Fold_1","knn",0.4,1,0.9925,0.991666493051939
"mfeat-pixel","Fold_1","knn",0.5,0.1,0.9925,0.991666203677982
"mfeat-pixel","Fold_1","knn",0.5,0.2,0.9875,0.986110725297925
"mfeat-pixel","Fold_1","knn",0.5,0.25,0.99,0.988888348739175
"mfeat-pixel","Fold_1","knn",0.5,0.3,0.995,0.994444058615182
"mfeat-pixel","Fold_1","knn",0.5,0.4,0.995,0.994444212953318
"mfeat-pixel","Fold_1","knn",0.5,0.5,0.9975,0.997222087184794
"mfeat-pixel","Fold_1","knn",0.5,0.6,0.9925,0.991666261554381
"mfeat-pixel","Fold_1","knn",0.5,0.7,0.99,0.988888425906635
"mfeat-pixel","Fold_1","knn",0.5,0.75,0.995,0.994444174369587
"mfeat-pixel","Fold_1","knn",0.5,0.8,0.9925,0.991666493051939
"mfeat-pixel","Fold_1","knn",0.5,0.9,0.995,0.994444251536512
"mfeat-pixel","Fold_1","knn",0.5,1,0.9925,0.991666261554381
"mfeat-pixel","Fold_1","knn",0.6,0.1,0.9925,0.991666145800779
"mfeat-pixel","Fold_1","knn",0.6,0.2,0.9925,0.991666030043962
"mfeat-pixel","Fold_1","knn",0.6,0.25,1,1
"mfeat-pixel","Fold_1","knn",0.6,0.3,0.9975,0.99722204860026
"mfeat-pixel","Fold_1","knn",0.6,0.4,0.9975,0.997222106476659
"mfeat-pixel","Fold_1","knn",0.6,0.5,0.9875,0.986110628841279
"mfeat-pixel","Fold_1","knn",0.6,0.6,1,1
"mfeat-pixel","Fold_1","knn",0.6,0.7,0.9975,0.997222029307591
"mfeat-pixel","Fold_1","knn",0.6,0.75,0.9925,0.991666493051939
"mfeat-pixel","Fold_1","knn",0.6,0.8,0.995,0.994443981442898
"mfeat-pixel","Fold_1","knn",0.6,0.9,0.995,0.994444097200519
"mfeat-pixel","Fold_1","knn",0.6,1,0.995,0.994444097200519
"mfeat-pixel","Fold_1","knn",0.7,0.1,0.9975,0.997222125768256
"mfeat-pixel","Fold_1","knn",0.7,0.2,0.9925,0.991666087922772
"mfeat-pixel","Fold_1","knn",0.7,0.25,0.99,0.988888425906635
"mfeat-pixel","Fold_1","knn",0.7,0.3,0.9975,0.997222087184794
"mfeat-pixel","Fold_1","knn",0.7,0.4,0.995,0.994444251536512
"mfeat-pixel","Fold_1","knn",0.7,0.5,0.995,0.994444251536512
"mfeat-pixel","Fold_1","knn",0.7,0.6,0.9975,0.997222087184794
"mfeat-pixel","Fold_1","knn",0.7,0.7,0.99,0.988888348739175
"mfeat-pixel","Fold_1","knn",0.7,0.75,0.9975,0.997221990721449
"mfeat-pixel","Fold_1","knn",0.7,0.8,0.9925,0.991666377304768
"mfeat-pixel","Fold_1","knn",0.7,0.9,0.99,0.988888425906635
"mfeat-pixel","Fold_1","knn",0.7,1,0.9925,0.991666203677982
"mfeat-pixel","Fold_1","knn",0.8,0.1,0.99,0.98888858023834
"mfeat-pixel","Fold_1","knn",0.8,0.2,0.99,0.988888657402585
"mfeat-pixel","Fold_1","knn",0.8,0.25,0.9925,0.991666319429976
"mfeat-pixel","Fold_1","knn",0.8,0.3,0.9925,0.991666261554381
"mfeat-pixel","Fold_1","knn",0.8,0.4,0.9925,0.991666261554381
"mfeat-pixel","Fold_1","knn",0.8,0.5,0.9975,0.997222125768256
"mfeat-pixel","Fold_1","knn",0.8,0.6,0.9925,0.991666319429976
"mfeat-pixel","Fold_1","knn",0.8,0.7,0.9925,0.991666435178755
"mfeat-pixel","Fold_1","knn",0.8,0.75,0.9925,0.991666203677982
"mfeat-pixel","Fold_1","knn",0.8,0.8,0.9875,0.986110821753231
"mfeat-pixel","Fold_1","knn",0.8,0.9,0.9925,0.991666145800779
"mfeat-pixel","Fold_1","knn",0.8,1,0.99,0.98888858023834
"mfeat-pixel","Fold_1","knn",0.9,0.1,0.9925,0.991666261554381
"mfeat-pixel","Fold_1","knn",0.9,0.2,0.9925,0.991666435178755
"mfeat-pixel","Fold_1","knn",0.9,0.25,0.9975,0.997222106476659
"mfeat-pixel","Fold_1","knn",0.9,0.3,0.995,0.994444251536512
"mfeat-pixel","Fold_1","knn",0.9,0.4,0.9925,0.991666435178755
"mfeat-pixel","Fold_1","knn",0.9,0.5,0.99,0.98888858023834
"mfeat-pixel","Fold_1","knn",0.9,0.6,0.99,0.98888858023834
"mfeat-pixel","Fold_1","knn",0.9,0.7,0.9975,0.997222087184794
"mfeat-pixel","Fold_1","knn",0.9,0.75,1,1
"mfeat-pixel","Fold_1","knn",0.9,0.8,0.99,0.988888348739175
