"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"mfeat-pixel","Fold_1","multinom",0.1,0.1,1,1
"mfeat-pixel","Fold_1","multinom",0.1,0.2,1,1
"mfeat-pixel","Fold_1","multinom",0.1,0.25,1,1
"mfeat-pixel","Fold_1","multinom",0.1,0.3,1,1
"mfeat-pixel","Fold_1","multinom",0.1,0.4,1,1
"mfeat-pixel","Fold_1","multinom",0.1,0.5,1,1
"mfeat-pixel","Fold_1","multinom",0.1,0.6,1,1
"mfeat-pixel","Fold_1","multinom",0.1,0.7,1,1
"mfeat-pixel","Fold_1","multinom",0.1,0.75,1,1
"mfeat-pixel","Fold_1","multinom",0.1,0.8,1,1
"mfeat-pixel","Fold_1","multinom",0.1,0.9,1,1
"mfeat-pixel","Fold_1","multinom",0.1,1,1,1
"mfeat-pixel","Fold_1","multinom",0.2,0.1,1,1
"mfeat-pixel","Fold_1","multinom",0.2,0.2,1,1
"mfeat-pixel","Fold_1","multinom",0.2,0.25,1,1
"mfeat-pixel","Fold_1","multinom",0.2,0.3,1,1
"mfeat-pixel","Fold_1","multinom",0.2,0.4,1,1
"mfeat-pixel","Fold_1","multinom",0.2,0.5,1,1
"mfeat-pixel","Fold_1","multinom",0.2,0.6,1,1
"mfeat-pixel","Fold_1","multinom",0.2,0.7,1,1
"mfeat-pixel","Fold_1","multinom",0.2,0.75,1,1
"mfeat-pixel","Fold_1","multinom",0.2,0.8,0.9975,0.997220291869354
"mfeat-pixel","Fold_1","multinom",0.2,0.9,0.995,0.994440429198866
"mfeat-pixel","Fold_1","multinom",0.2,1,0.995,0.994440429198866
"mfeat-pixel","Fold_1","multinom",0.3,0.1,1,1
"mfeat-pixel","Fold_1","multinom",0.3,0.2,1,1
"mfeat-pixel","Fold_1","multinom",0.3,0.25,1,1
"mfeat-pixel","Fold_1","multinom",0.3,0.3,1,1
"mfeat-pixel","Fold_1","multinom",0.3,0.4,1,1
"mfeat-pixel","Fold_1","multinom",0.3,0.5,1,1
"mfeat-pixel","Fold_1","multinom",0.3,0.6,1,1
"mfeat-pixel","Fold_1","multinom",0.3,0.7,1,1
"mfeat-pixel","Fold_1","multinom",0.3,0.75,1,1
"mfeat-pixel","Fold_1","multinom",0.3,0.8,1,1
"mfeat-pixel","Fold_1","multinom",0.3,0.9,1,1
"mfeat-pixel","Fold_1","multinom",0.3,1,1,1
"mfeat-pixel","Fold_1","multinom",0.4,0.1,1,1
"mfeat-pixel","Fold_1","multinom",0.4,0.2,0.9975,0.997220542966932
"mfeat-pixel","Fold_1","multinom",0.4,0.25,0.9975,0.997220542966932
"mfeat-pixel","Fold_1","multinom",0.4,0.3,0.9975,0.997220542966932
"mfeat-pixel","Fold_1","multinom",0.4,0.4,0.995,0.994440970050726
"mfeat-pixel","Fold_1","multinom",0.4,0.5,0.995,0.994440970050726
"mfeat-pixel","Fold_1","multinom",0.4,0.6,0.995,0.994440970050726
"mfeat-pixel","Fold_1","multinom",0.4,0.7,0.995,0.994440970050726
"mfeat-pixel","Fold_1","multinom",0.4,0.75,0.995,0.994440970050726
"mfeat-pixel","Fold_1","multinom",0.4,0.8,0.995,0.994440970050726
"mfeat-pixel","Fold_1","multinom",0.4,0.9,0.995,0.994440970050726
"mfeat-pixel","Fold_1","multinom",0.4,1,0.995,0.994440970050726
"mfeat-pixel","Fold_1","multinom",0.5,0.1,1,1
"mfeat-pixel","Fold_1","multinom",0.5,0.2,0.9975,0.997220542966932
"mfeat-pixel","Fold_1","multinom",0.5,0.25,0.9975,0.997220542966932
"mfeat-pixel","Fold_1","multinom",0.5,0.3,0.9975,0.997220542966932
"mfeat-pixel","Fold_1","multinom",0.5,0.4,0.995,0.994440970050726
"mfeat-pixel","Fold_1","multinom",0.5,0.5,0.9925,0.991661628900794
"mfeat-pixel","Fold_1","multinom",0.5,0.6,0.99,0.988882480874393
"mfeat-pixel","Fold_1","multinom",0.5,0.7,0.99,0.988882480874393
"mfeat-pixel","Fold_1","multinom",0.5,0.75,0.99,0.988882480874393
"mfeat-pixel","Fold_1","multinom",0.5,0.8,0.99,0.988882480874393
"mfeat-pixel","Fold_1","multinom",0.5,0.9,0.99,0.988882480874393
"mfeat-pixel","Fold_1","multinom",0.5,1,0.9875,0.986103101092991
"mfeat-pixel","Fold_1","multinom",0.6,0.1,1,1
"mfeat-pixel","Fold_1","multinom",0.6,0.2,1,1
"mfeat-pixel","Fold_1","multinom",0.6,0.25,1,1
"mfeat-pixel","Fold_1","multinom",0.6,0.3,1,1
"mfeat-pixel","Fold_1","multinom",0.6,0.4,1,1
"mfeat-pixel","Fold_1","multinom",0.6,0.5,0.9975,0.99722046571097
"mfeat-pixel","Fold_1","multinom",0.6,0.6,0.9975,0.99722046571097
"mfeat-pixel","Fold_1","multinom",0.6,0.7,0.9975,0.99722046571097
"mfeat-pixel","Fold_1","multinom",0.6,0.75,0.9975,0.99722046571097
"mfeat-pixel","Fold_1","multinom",0.6,0.8,0.995,0.994440699637951
"mfeat-pixel","Fold_1","multinom",0.6,0.9,0.9925,0.991660817656829
"mfeat-pixel","Fold_1","multinom",0.6,1,0.9925,0.991660817656829
"mfeat-pixel","Fold_1","multinom",0.7,0.1,0.9975,0.997220195281282
"mfeat-pixel","Fold_1","multinom",0.7,0.2,0.9975,0.997220195281282
"mfeat-pixel","Fold_1","multinom",0.7,0.25,0.9975,0.997220195281282
"mfeat-pixel","Fold_1","multinom",0.7,0.3,0.9975,0.997220195281282
"mfeat-pixel","Fold_1","multinom",0.7,0.4,0.995,0.994440274650432
"mfeat-pixel","Fold_1","multinom",0.7,0.5,0.995,0.994440274650432
"mfeat-pixel","Fold_1","multinom",0.7,0.6,0.995,0.994440274650432
"mfeat-pixel","Fold_1","multinom",0.7,0.7,0.995,0.994440274650432
"mfeat-pixel","Fold_1","multinom",0.7,0.75,0.995,0.994440274650432
"mfeat-pixel","Fold_1","multinom",0.7,0.8,0.995,0.994440274650432
"mfeat-pixel","Fold_1","multinom",0.7,0.9,0.995,0.994440274650432
"mfeat-pixel","Fold_1","multinom",0.7,1,0.9925,0.991660411975648
"mfeat-pixel","Fold_1","multinom",0.8,0.1,1,1
"mfeat-pixel","Fold_1","multinom",0.8,0.2,1,1
"mfeat-pixel","Fold_1","multinom",0.8,0.25,1,1
"mfeat-pixel","Fold_1","multinom",0.8,0.3,1,1
"mfeat-pixel","Fold_1","multinom",0.8,0.4,0.9975,0.997220349818975
"mfeat-pixel","Fold_1","multinom",0.8,0.5,0.9975,0.997220349818975
"mfeat-pixel","Fold_1","multinom",0.8,0.6,0.9975,0.997220349818975
"mfeat-pixel","Fold_1","multinom",0.8,0.7,0.9975,0.997220349818975
"mfeat-pixel","Fold_1","multinom",0.8,0.75,0.9975,0.997220349818975
