"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"mfeat-pixel","Fold_1","rfRules",0.1,0.1,1,1
"mfeat-pixel","Fold_1","rfRules",0.1,0.2,1,1
"mfeat-pixel","Fold_1","rfRules",0.1,0.25,1,1
"mfeat-pixel","Fold_1","rfRules",0.1,0.3,1,1
"mfeat-pixel","Fold_1","rfRules",0.1,0.4,1,1
"mfeat-pixel","Fold_1","rfRules",0.1,0.5,1,1
"mfeat-pixel","Fold_1","rfRules",0.1,0.6,1,1
"mfeat-pixel","Fold_1","rfRules",0.1,0.7,1,1
"mfeat-pixel","Fold_1","rfRules",0.1,0.75,1,1
"mfeat-pixel","Fold_1","rfRules",0.1,0.8,1,1
"mfeat-pixel","Fold_1","rfRules",0.1,0.9,1,1
"mfeat-pixel","Fold_1","rfRules",0.1,1,1,1
"mfeat-pixel","Fold_1","rfRules",0.2,0.1,1,1
"mfeat-pixel","Fold_1","rfRules",0.2,0.2,1,1
"mfeat-pixel","Fold_1","rfRules",0.2,0.25,1,1
"mfeat-pixel","Fold_1","rfRules",0.2,0.3,1,1
"mfeat-pixel","Fold_1","rfRules",0.2,0.4,0.9975,0.996765245800885
"mfeat-pixel","Fold_1","rfRules",0.2,0.5,0.9975,0.996765245800885
"mfeat-pixel","Fold_1","rfRules",0.2,0.6,0.9975,0.996765245800885
"mfeat-pixel","Fold_1","rfRules",0.2,0.7,0.9975,0.996765245800885
"mfeat-pixel","Fold_1","rfRules",0.2,0.75,0.9975,0.996765245800885
"mfeat-pixel","Fold_1","rfRules",0.2,0.8,0.9975,0.996765245800885
"mfeat-pixel","Fold_1","rfRules",0.2,0.9,0.9975,0.996765245800885
"mfeat-pixel","Fold_1","rfRules",0.2,1,0.9975,0.996765245800885
"mfeat-pixel","Fold_1","rfRules",0.3,0.1,1,1
"mfeat-pixel","Fold_1","rfRules",0.3,0.2,1,1
"mfeat-pixel","Fold_1","rfRules",0.3,0.25,1,1
"mfeat-pixel","Fold_1","rfRules",0.3,0.3,1,1
"mfeat-pixel","Fold_1","rfRules",0.3,0.4,1,1
"mfeat-pixel","Fold_1","rfRules",0.3,0.5,1,1
"mfeat-pixel","Fold_1","rfRules",0.3,0.6,1,1
"mfeat-pixel","Fold_1","rfRules",0.3,0.7,1,1
"mfeat-pixel","Fold_1","rfRules",0.3,0.75,1,1
"mfeat-pixel","Fold_1","rfRules",0.3,0.8,1,1
"mfeat-pixel","Fold_1","rfRules",0.3,0.9,1,1
"mfeat-pixel","Fold_1","rfRules",0.3,1,1,1
"mfeat-pixel","Fold_1","rfRules",0.4,0.1,0.9975,0.996765245800885
"mfeat-pixel","Fold_1","rfRules",0.4,0.2,0.995,0.993523945212576
"mfeat-pixel","Fold_1","rfRules",0.4,0.25,0.995,0.993523945212576
"mfeat-pixel","Fold_1","rfRules",0.4,0.3,0.995,0.993523945212576
"mfeat-pixel","Fold_1","rfRules",0.4,0.4,0.995,0.993523945212576
"mfeat-pixel","Fold_1","rfRules",0.4,0.5,0.995,0.993523945212576
"mfeat-pixel","Fold_1","rfRules",0.4,0.6,0.995,0.993523945212576
"mfeat-pixel","Fold_1","rfRules",0.4,0.7,0.995,0.993523945212576
"mfeat-pixel","Fold_1","rfRules",0.4,0.75,0.995,0.993523945212576
"mfeat-pixel","Fold_1","rfRules",0.4,0.8,0.995,0.993523945212576
"mfeat-pixel","Fold_1","rfRules",0.4,0.9,0.995,0.993523945212576
"mfeat-pixel","Fold_1","rfRules",0.4,1,0.995,0.993523945212576
"mfeat-pixel","Fold_1","rfRules",0.5,0.1,0.995,0.993530020703934
"mfeat-pixel","Fold_1","rfRules",0.5,0.2,0.9925,0.990294481603999
"mfeat-pixel","Fold_1","rfRules",0.5,0.25,0.9925,0.990294481603999
"mfeat-pixel","Fold_1","rfRules",0.5,0.3,0.99,0.987072169613135
"mfeat-pixel","Fold_1","rfRules",0.5,0.4,0.9875,0.983856516720613
"mfeat-pixel","Fold_1","rfRules",0.5,0.5,0.9875,0.983856516720613
"mfeat-pixel","Fold_1","rfRules",0.5,0.6,0.9875,0.983856516720613
"mfeat-pixel","Fold_1","rfRules",0.5,0.7,0.985,0.980647034157985
"mfeat-pixel","Fold_1","rfRules",0.5,0.75,0.985,0.980647034157985
"mfeat-pixel","Fold_1","rfRules",0.5,0.8,0.985,0.980647034157985
"mfeat-pixel","Fold_1","rfRules",0.5,0.9,0.985,0.980647034157985
"mfeat-pixel","Fold_1","rfRules",0.5,1,0.9825,0.977399123408858
"mfeat-pixel","Fold_1","rfRules",0.6,0.1,0.9975,0.996765193481865
"mfeat-pixel","Fold_1","rfRules",0.6,0.2,0.995,0.993523840362665
"mfeat-pixel","Fold_1","rfRules",0.6,0.25,0.9925,0.990276078342396
"mfeat-pixel","Fold_1","rfRules",0.6,0.3,0.99,0.98704768072533
"mfeat-pixel","Fold_1","rfRules",0.6,0.4,0.9825,0.97731084946559
