"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"mfeat-pixel","Fold_1","simpls",0.1,0.1,1,1
"mfeat-pixel","Fold_1","simpls",0.1,0.2,1,1
"mfeat-pixel","Fold_1","simpls",0.1,0.25,1,1
"mfeat-pixel","Fold_1","simpls",0.1,0.3,1,1
"mfeat-pixel","Fold_1","simpls",0.1,0.4,1,1
"mfeat-pixel","Fold_1","simpls",0.1,0.5,1,1
"mfeat-pixel","Fold_1","simpls",0.1,0.6,1,1
"mfeat-pixel","Fold_1","simpls",0.1,0.7,1,1
"mfeat-pixel","Fold_1","simpls",0.1,0.75,1,1
"mfeat-pixel","Fold_1","simpls",0.1,0.8,1,1
"mfeat-pixel","Fold_1","simpls",0.1,0.9,1,1
"mfeat-pixel","Fold_1","simpls",0.1,1,1,1
"mfeat-pixel","Fold_1","simpls",0.2,0.1,1,1
"mfeat-pixel","Fold_1","simpls",0.2,0.2,0.9975,0.997077988487275
"mfeat-pixel","Fold_1","simpls",0.2,0.25,0.995,0.994157897427284
"mfeat-pixel","Fold_1","simpls",0.2,0.3,0.995,0.994157897427284
"mfeat-pixel","Fold_1","simpls",0.2,0.4,0.995,0.994157897427284
"mfeat-pixel","Fold_1","simpls",0.2,0.5,0.995,0.994157897427284
"mfeat-pixel","Fold_1","simpls",0.2,0.6,0.995,0.994157897427284
"mfeat-pixel","Fold_1","simpls",0.2,0.7,0.9925,0.991239085360512
"mfeat-pixel","Fold_1","simpls",0.2,0.75,0.9925,0.991239085360512
"mfeat-pixel","Fold_1","simpls",0.2,0.8,0.9925,0.991239085360512
"mfeat-pixel","Fold_1","simpls",0.2,0.9,0.9925,0.991239085360512
"mfeat-pixel","Fold_1","simpls",0.2,1,0.9925,0.991239085360512
"mfeat-pixel","Fold_1","simpls",0.3,0.1,1,1
"mfeat-pixel","Fold_1","simpls",0.3,0.2,1,1
"mfeat-pixel","Fold_1","simpls",0.3,0.25,1,1
"mfeat-pixel","Fold_1","simpls",0.3,0.3,1,1
"mfeat-pixel","Fold_1","simpls",0.3,0.4,1,1
"mfeat-pixel","Fold_1","simpls",0.3,0.5,1,1
"mfeat-pixel","Fold_1","simpls",0.3,0.6,1,1
"mfeat-pixel","Fold_1","simpls",0.3,0.7,0.9975,0.997078522024292
"mfeat-pixel","Fold_1","simpls",0.3,0.75,0.9975,0.997078522024292
"mfeat-pixel","Fold_1","simpls",0.3,0.8,0.9975,0.997078522024292
"mfeat-pixel","Fold_1","simpls",0.3,0.9,0.995,0.994160285562036
"mfeat-pixel","Fold_1","simpls",0.3,1,0.9925,0.99123940515561
"mfeat-pixel","Fold_1","simpls",0.4,0.1,1,1
"mfeat-pixel","Fold_1","simpls",0.4,0.2,1,1
"mfeat-pixel","Fold_1","simpls",0.4,0.25,1,1
"mfeat-pixel","Fold_1","simpls",0.4,0.3,1,1
"mfeat-pixel","Fold_1","simpls",0.4,0.4,1,1
"mfeat-pixel","Fold_1","simpls",0.4,0.5,1,1
"mfeat-pixel","Fold_1","simpls",0.4,0.6,1,1
"mfeat-pixel","Fold_1","simpls",0.4,0.7,1,1
"mfeat-pixel","Fold_1","simpls",0.4,0.75,1,1
"mfeat-pixel","Fold_1","simpls",0.4,0.8,1,1
"mfeat-pixel","Fold_1","simpls",0.4,0.9,1,1
"mfeat-pixel","Fold_1","simpls",0.4,1,0.9975,0.997077433402014
"mfeat-pixel","Fold_1","simpls",0.5,0.1,1,1
"mfeat-pixel","Fold_1","simpls",0.5,0.2,1,1
"mfeat-pixel","Fold_1","simpls",0.5,0.25,1,1
"mfeat-pixel","Fold_1","simpls",0.5,0.3,1,1
"mfeat-pixel","Fold_1","simpls",0.5,0.4,1,1
"mfeat-pixel","Fold_1","simpls",0.5,0.5,1,1
"mfeat-pixel","Fold_1","simpls",0.5,0.6,1,1
"mfeat-pixel","Fold_1","simpls",0.5,0.7,1,1
"mfeat-pixel","Fold_1","simpls",0.5,0.75,1,1
"mfeat-pixel","Fold_1","simpls",0.5,0.8,1,1
"mfeat-pixel","Fold_1","simpls",0.5,0.9,0.9975,0.997076899467265
"mfeat-pixel","Fold_1","simpls",0.5,1,0.9975,0.997076899467265
"mfeat-pixel","Fold_1","simpls",0.6,0.1,1,1
"mfeat-pixel","Fold_1","simpls",0.6,0.2,1,1
"mfeat-pixel","Fold_1","simpls",0.6,0.25,0.9975,0.997078735384548
"mfeat-pixel","Fold_1","simpls",0.6,0.3,0.9975,0.997078735384548
"mfeat-pixel","Fold_1","simpls",0.6,0.4,0.9975,0.997078735384548
"mfeat-pixel","Fold_1","simpls",0.6,0.5,0.9975,0.997078735384548
"mfeat-pixel","Fold_1","simpls",0.6,0.6,0.9975,0.997078735384548
"mfeat-pixel","Fold_1","simpls",0.6,0.7,0.995,0.994157470769096
"mfeat-pixel","Fold_1","simpls",0.6,0.75,0.995,0.994157470769096
"mfeat-pixel","Fold_1","simpls",0.6,0.8,0.995,0.994157470769096
"mfeat-pixel","Fold_1","simpls",0.6,0.9,0.995,0.994157470769096
"mfeat-pixel","Fold_1","simpls",0.6,1,0.99,0.988309733608055
"mfeat-pixel","Fold_1","simpls",0.7,0.1,1,1
"mfeat-pixel","Fold_1","simpls",0.7,0.2,1,1
"mfeat-pixel","Fold_1","simpls",0.7,0.25,0.9975,0.997078735384548
"mfeat-pixel","Fold_1","simpls",0.7,0.3,0.9975,0.997078735384548
"mfeat-pixel","Fold_1","simpls",0.7,0.4,0.9975,0.997078735384548
"mfeat-pixel","Fold_1","simpls",0.7,0.5,0.9975,0.997078735384548
"mfeat-pixel","Fold_1","simpls",0.7,0.6,0.9975,0.997078735384548
"mfeat-pixel","Fold_1","simpls",0.7,0.7,0.995,0.994158963800178
"mfeat-pixel","Fold_1","simpls",0.7,0.75,0.995,0.994158963800178
"mfeat-pixel","Fold_1","simpls",0.7,0.8,0.995,0.994158963800178
"mfeat-pixel","Fold_1","simpls",0.7,0.9,0.9925,0.991235566072876
"mfeat-pixel","Fold_1","simpls",0.7,1,0.9925,0.991235566072876
"mfeat-pixel","Fold_1","simpls",0.8,0.1,0.9975,0.997078650044185
