"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"monks-problems-2","Fold_1","PART",0.1,0.1,0.975,0.949972206781545
"monks-problems-2","Fold_1","PART",0.1,0.2,0.95,0.899972214504029
"monks-problems-2","Fold_1","PART",0.1,0.25,0.95,0.899972214504029
"monks-problems-2","Fold_1","PART",0.1,0.3,0.95,0.899972214504029
"monks-problems-2","Fold_1","PART",0.1,0.4,0.933333333333333,0.866629619338705
"monks-problems-2","Fold_1","PART",0.1,0.5,0.908333333333333,0.816564758198999
"monks-problems-2","Fold_1","PART",0.1,0.6,0.891666666666667,0.783333333333333
"monks-problems-2","Fold_1","PART",0.1,0.7,0.883333333333333,0.766731463482366
"monks-problems-2","Fold_1","PART",0.1,0.75,0.866666666666667,0.73340738683699
"monks-problems-2","Fold_1","PART",0.1,0.8,0.858333333333333,0.716666666666667
"monks-problems-2","Fold_1","PART",0.1,0.9,0.858333333333333,0.716666666666667
"monks-problems-2","Fold_1","PART",0.1,1,0.85,0.700083310191614
"monks-problems-2","Fold_1","PART",0.2,0.1,0.975,0.949972206781545
"monks-problems-2","Fold_1","PART",0.2,0.2,0.966666666666667,0.933277731442869
"monks-problems-2","Fold_1","PART",0.2,0.25,0.958333333333333,0.916620344635909
"monks-problems-2","Fold_1","PART",0.2,0.3,0.958333333333333,0.916620344635909
"monks-problems-2","Fold_1","PART",0.2,0.4,0.941666666666667,0.883333333333333
"monks-problems-2","Fold_1","PART",0.2,0.5,0.908333333333333,0.816768461965575
"monks-problems-2","Fold_1","PART",0.2,0.6,0.866666666666667,0.73340738683699
"monks-problems-2","Fold_1","PART",0.2,0.7,0.85,0.700083310191614
"monks-problems-2","Fold_1","PART",0.2,0.75,0.841666666666667,0.683333333333333
"monks-problems-2","Fold_1","PART",0.2,0.8,0.833333333333333,0.666574048346763
"monks-problems-2","Fold_1","PART",0.2,0.9,0.816666666666667,0.633231453181439
"monks-problems-2","Fold_1","PART",0.2,1,0.808333333333333,0.616666666666667
"monks-problems-2","Fold_1","PART",0.3,0.1,0.975,0.95
"monks-problems-2","Fold_1","PART",0.3,0.2,0.966666666666667,0.933314809669353
"monks-problems-2","Fold_1","PART",0.3,0.25,0.958333333333333,0.916666666666667
"monks-problems-2","Fold_1","PART",0.3,0.3,0.958333333333333,0.916666666666667
"monks-problems-2","Fold_1","PART",0.3,0.4,0.925,0.85
"monks-problems-2","Fold_1","PART",0.3,0.5,0.925,0.85
"monks-problems-2","Fold_1","PART",0.3,0.6,0.916666666666667,0.833287024173381
"monks-problems-2","Fold_1","PART",0.3,0.7,0.9,0.800055540127742
"monks-problems-2","Fold_1","PART",0.3,0.75,0.9,0.800055540127742
"monks-problems-2","Fold_1","PART",0.3,0.8,0.891666666666667,0.783333333333333
"monks-problems-2","Fold_1","PART",0.3,0.9,0.875,0.75
"monks-problems-2","Fold_1","PART",0.3,1,0.85,0.700083310191614
"monks-problems-2","Fold_1","PART",0.4,0.1,0.966666666666667,0.933351846709248
"monks-problems-2","Fold_1","PART",0.4,0.2,0.958333333333333,0.916666666666667
"monks-problems-2","Fold_1","PART",0.4,0.25,0.958333333333333,0.916666666666667
"monks-problems-2","Fold_1","PART",0.4,0.3,0.958333333333333,0.916666666666667
"monks-problems-2","Fold_1","PART",0.4,0.4,0.941666666666667,0.883398112159911
"monks-problems-2","Fold_1","PART",0.4,0.5,0.916666666666667,0.833472106577852
"monks-problems-2","Fold_1","PART",0.4,0.6,0.891666666666667,0.783573806881243
"monks-problems-2","Fold_1","PART",0.4,0.7,0.866666666666667,0.73370319001387
"monks-problems-2","Fold_1","PART",0.4,0.75,0.866666666666667,0.73370319001387
"monks-problems-2","Fold_1","PART",0.4,0.8,0.858333333333333,0.716981132075472
"monks-problems-2","Fold_1","PART",0.4,0.9,0.85,0.700416088765603
"monks-problems-2","Fold_1","PART",0.4,1,0.833333333333333,0.667313556972553
"monks-problems-2","Fold_1","PART",0.5,0.1,1,1
"monks-problems-2","Fold_1","PART",0.5,0.2,0.966666666666667,0.933277731442869
"monks-problems-2","Fold_1","PART",0.5,0.25,0.958333333333333,0.916620344635909
"monks-problems-2","Fold_1","PART",0.5,0.3,0.958333333333333,0.916620344635909
"monks-problems-2","Fold_1","PART",0.5,0.4,0.925,0.85
"monks-problems-2","Fold_1","PART",0.5,0.5,0.891666666666667,0.783333333333333
"monks-problems-2","Fold_1","PART",0.5,0.6,0.858333333333333,0.716666666666667
"monks-problems-2","Fold_1","PART",0.5,0.7,0.833333333333333,0.666759233546237
"monks-problems-2","Fold_1","PART",0.5,0.75,0.825,0.65
"monks-problems-2","Fold_1","PART",0.5,0.8,0.825,0.65
"monks-problems-2","Fold_1","PART",0.5,0.9,0.816666666666667,0.633435156900861
"monks-problems-2","Fold_1","PART",0.5,1,0.8,0.600111080255485
"monks-problems-2","Fold_1","PART",0.6,0.1,0.983333333333333,0.966657404834676
"monks-problems-2","Fold_1","PART",0.6,0.2,0.966666666666667,0.933277731442869
"monks-problems-2","Fold_1","PART",0.6,0.25,0.966666666666667,0.933277731442869
"monks-problems-2","Fold_1","PART",0.6,0.3,0.966666666666667,0.933277731442869
"monks-problems-2","Fold_1","PART",0.6,0.4,0.95,0.899972214504029
"monks-problems-2","Fold_1","PART",0.6,0.5,0.941666666666667,0.883333333333333
"monks-problems-2","Fold_1","PART",0.6,0.6,0.925,0.850083287062743
"monks-problems-2","Fold_1","PART",0.6,0.7,0.891666666666667,0.783453636868406
