"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"monks-problems-2","Fold_1","knn",0.1,0.1,0.966666666666667,0.923002887391723
"monks-problems-2","Fold_1","knn",0.1,0.2,0.966666666666667,0.924050632911392
"monks-problems-2","Fold_1","knn",0.1,0.25,0.95,0.886039886039886
"monks-problems-2","Fold_1","knn",0.1,0.3,0.933333333333333,0.850046860356139
"monks-problems-2","Fold_1","knn",0.1,0.4,0.966666666666667,0.925
"monks-problems-2","Fold_1","knn",0.1,0.5,0.933333333333333,0.846153846153846
"monks-problems-2","Fold_1","knn",0.1,0.6,0.966666666666667,0.925023430178069
"monks-problems-2","Fold_1","knn",0.1,0.7,0.95,0.884467265725289
"monks-problems-2","Fold_1","knn",0.1,0.75,0.941666666666667,0.864341085271318
"monks-problems-2","Fold_1","knn",0.1,0.8,0.941666666666667,0.868007542426147
"monks-problems-2","Fold_1","knn",0.1,0.9,0.966666666666667,0.919354838709677
"monks-problems-2","Fold_1","knn",0.1,1,0.941666666666667,0.86624203821656
"monks-problems-2","Fold_1","knn",0.2,0.1,0.966666666666667,0.922978177150193
"monks-problems-2","Fold_1","knn",0.2,0.2,0.966666666666667,0.925093632958802
"monks-problems-2","Fold_1","knn",0.2,0.25,0.966666666666667,0.922978177150193
"monks-problems-2","Fold_1","knn",0.2,0.3,0.95,0.8875
"monks-problems-2","Fold_1","knn",0.2,0.4,0.933333333333333,0.85
"monks-problems-2","Fold_1","knn",0.2,0.5,0.975,0.942675159235669
"monks-problems-2","Fold_1","knn",0.2,0.6,0.933333333333333,0.843699120807555
"monks-problems-2","Fold_1","knn",0.2,0.7,0.958333333333333,0.903038138332256
"monks-problems-2","Fold_1","knn",0.2,0.75,0.95,0.8875
"monks-problems-2","Fold_1","knn",0.2,0.8,0.958333333333333,0.903100775193798
"monks-problems-2","Fold_1","knn",0.2,0.9,0.933333333333333,0.846153846153846
"monks-problems-2","Fold_1","knn",0.2,1,0.95,0.8875
"monks-problems-2","Fold_1","knn",0.3,0.1,0.941666666666667,0.868007542426147
"monks-problems-2","Fold_1","knn",0.3,0.2,0.958333333333333,0.906832298136646
"monks-problems-2","Fold_1","knn",0.3,0.25,0.966666666666667,0.924026590693257
"monks-problems-2","Fold_1","knn",0.3,0.3,0.941666666666667,0.869565217391304
"monks-problems-2","Fold_1","knn",0.3,0.4,0.933333333333333,0.846005774783446
"monks-problems-2","Fold_1","knn",0.3,0.5,0.95,0.886075949367089
"monks-problems-2","Fold_1","knn",0.3,0.6,0.933333333333333,0.848101265822785
"monks-problems-2","Fold_1","knn",0.3,0.7,0.958333333333333,0.905660377358491
"monks-problems-2","Fold_1","knn",0.3,0.75,0.958333333333333,0.903038138332256
"monks-problems-2","Fold_1","knn",0.3,0.8,0.95,0.886039886039886
"monks-problems-2","Fold_1","knn",0.3,0.9,0.95,0.886075949367089
"monks-problems-2","Fold_1","knn",0.3,1,0.983333333333333,0.9609375
"monks-problems-2","Fold_1","knn",0.4,0.1,0.958333333333333,0.905660377358491
"monks-problems-2","Fold_1","knn",0.4,0.2,0.941666666666667,0.866412213740458
"monks-problems-2","Fold_1","knn",0.4,0.25,0.925,0.832298136645963
"monks-problems-2","Fold_1","knn",0.4,0.3,0.95,0.886184002529244
"monks-problems-2","Fold_1","knn",0.4,0.4,0.916666666666667,0.810066476733143
"monks-problems-2","Fold_1","knn",0.4,0.5,0.925,0.830508474576271
"monks-problems-2","Fold_1","knn",0.4,0.6,0.933333333333333,0.848053181386515
"monks-problems-2","Fold_1","knn",0.4,0.7,0.9,0.769008662175169
"monks-problems-2","Fold_1","knn",0.4,0.75,0.916666666666667,0.807445442875481
"monks-problems-2","Fold_1","knn",0.4,0.8,0.916666666666667,0.8046875
"monks-problems-2","Fold_1","knn",0.4,0.9,0.966666666666667,0.921951219512195
"monks-problems-2","Fold_1","knn",0.4,1,0.95,0.886075949367089
"monks-problems-2","Fold_1","knn",0.5,0.1,0.966666666666667,0.922978177150193
"monks-problems-2","Fold_1","knn",0.5,0.2,0.941666666666667,0.868007542426147
"monks-problems-2","Fold_1","knn",0.5,0.25,0.95,0.884504331087584
