"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"monks-problems-2","Fold_1","rda",0.1,0.1,0.991666666666667,0.980607627666451
"monks-problems-2","Fold_1","rda",0.1,0.2,0.991666666666667,0.980607627666451
"monks-problems-2","Fold_1","rda",0.1,0.25,0.991666666666667,0.980607627666451
"monks-problems-2","Fold_1","rda",0.1,0.3,0.991666666666667,0.980607627666451
"monks-problems-2","Fold_1","rda",0.1,0.4,0.991666666666667,0.980607627666451
"monks-problems-2","Fold_1","rda",0.1,0.5,0.983333333333333,0.961489088575096
"monks-problems-2","Fold_1","rda",0.1,0.6,0.975,0.94263862332696
"monks-problems-2","Fold_1","rda",0.1,0.7,0.975,0.94263862332696
"monks-problems-2","Fold_1","rda",0.1,0.75,0.975,0.94263862332696
"monks-problems-2","Fold_1","rda",0.1,0.8,0.975,0.94263862332696
"monks-problems-2","Fold_1","rda",0.1,0.9,0.966666666666667,0.924050632911392
"monks-problems-2","Fold_1","rda",0.1,1,0.958333333333333,0.904397705544933
"monks-problems-2","Fold_1","rda",0.2,0.1,0.991666666666667,0.980607627666451
"monks-problems-2","Fold_1","rda",0.2,0.2,0.983333333333333,0.9609375
"monks-problems-2","Fold_1","rda",0.2,0.25,0.983333333333333,0.9609375
"monks-problems-2","Fold_1","rda",0.2,0.3,0.983333333333333,0.9609375
"monks-problems-2","Fold_1","rda",0.2,0.4,0.975,0.941822882999354
"monks-problems-2","Fold_1","rda",0.2,0.5,0.966666666666667,0.921875
"monks-problems-2","Fold_1","rda",0.2,0.6,0.958333333333333,0.903038138332256
"monks-problems-2","Fold_1","rda",0.2,0.7,0.958333333333333,0.903038138332256
"monks-problems-2","Fold_1","rda",0.2,0.75,0.958333333333333,0.903038138332256
"monks-problems-2","Fold_1","rda",0.2,0.8,0.958333333333333,0.903038138332256
"monks-problems-2","Fold_1","rda",0.2,0.9,0.958333333333333,0.903038138332256
"monks-problems-2","Fold_1","rda",0.2,1,0.95,0.8828125
"monks-problems-2","Fold_1","rda",0.3,0.1,0.991666666666667,0.980879541108987
"monks-problems-2","Fold_1","rda",0.3,0.2,0.975,0.94263862332696
"monks-problems-2","Fold_1","rda",0.3,0.25,0.966666666666667,0.924050632911392
"monks-problems-2","Fold_1","rda",0.3,0.3,0.966666666666667,0.924050632911392
"monks-problems-2","Fold_1","rda",0.3,0.4,0.966666666666667,0.924050632911392
"monks-problems-2","Fold_1","rda",0.3,0.5,0.958333333333333,0.904397705544933
"monks-problems-2","Fold_1","rda",0.3,0.6,0.95,0.886075949367089
"monks-problems-2","Fold_1","rda",0.3,0.7,0.95,0.886075949367089
"monks-problems-2","Fold_1","rda",0.3,0.75,0.95,0.886075949367089
"monks-problems-2","Fold_1","rda",0.3,0.8,0.95,0.886075949367089
"monks-problems-2","Fold_1","rda",0.3,0.9,0.933333333333333,0.845956354300385
"monks-problems-2","Fold_1","rda",0.3,1,0.925,0.825468648998061
"monks-problems-2","Fold_1","rda",0.4,0.1,0.975,0.941822882999354
"monks-problems-2","Fold_1","rda",0.4,0.2,0.95,0.884467265725289
"monks-problems-2","Fold_1","rda",0.4,0.25,0.95,0.884467265725289
"monks-problems-2","Fold_1","rda",0.4,0.3,0.95,0.884467265725289
"monks-problems-2","Fold_1","rda",0.4,0.4,0.925,0.825468648998061
"monks-problems-2","Fold_1","rda",0.4,0.5,0.916666666666667,0.807445442875481
