dataset,fold,method,noise_levels,instance_level,accuracy,kappa
ozone-level-8hr,Fold_1,bayesglm,0.1,0.1,1,1
ozone-level-8hr,Fold_1,bayesglm,0.1,0.2,1,1
ozone-level-8hr,Fold_1,bayesglm,0.1,0.25,1,1
ozone-level-8hr,Fold_1,bayesglm,0.1,0.3,1,1
ozone-level-8hr,Fold_1,bayesglm,0.1,0.4,0.994082840236686,0.911223953773419
ozone-level-8hr,Fold_1,bayesglm,0.1,0.5,0.992110453648915,0.884798909338786
ozone-level-8hr,Fold_1,bayesglm,0.1,0.6,0.992110453648915,0.884798909338786
ozone-level-8hr,Fold_1,bayesglm,0.1,0.7,0.992110453648915,0.884798909338786
ozone-level-8hr,Fold_1,bayesglm,0.1,0.75,0.992110453648915,0.884798909338786
ozone-level-8hr,Fold_1,bayesglm,0.1,0.8,0.990138067061144,0.852039922955698
ozone-level-8hr,Fold_1,bayesglm,0.1,0.9,0.988165680473373,0.817428880086425
ozone-level-8hr,Fold_1,bayesglm,0.1,1,0.986193293885602,0.792855892137979
ozone-level-8hr,Fold_1,bayesglm,0.2,0.1,1,1
ozone-level-8hr,Fold_1,bayesglm,0.2,0.2,0.998027613412229,0.97040798459114
ozone-level-8hr,Fold_1,bayesglm,0.2,0.25,0.998027613412229,0.97040798459114
ozone-level-8hr,Fold_1,bayesglm,0.2,0.3,0.998027613412229,0.97040798459114
ozone-level-8hr,Fold_1,bayesglm,0.2,0.4,0.996055226824458,0.939142960028808
ozone-level-8hr,Fold_1,bayesglm,0.2,0.5,0.996055226824458,0.939142960028808
ozone-level-8hr,Fold_1,bayesglm,0.2,0.6,0.996055226824458,0.939142960028808
ozone-level-8hr,Fold_1,bayesglm,0.2,0.7,0.996055226824458,0.939142960028808
ozone-level-8hr,Fold_1,bayesglm,0.2,0.75,0.996055226824458,0.939142960028808
ozone-level-8hr,Fold_1,bayesglm,0.2,0.8,0.996055226824458,0.939142960028808
ozone-level-8hr,Fold_1,bayesglm,0.2,0.9,0.996055226824458,0.939142960028808
ozone-level-8hr,Fold_1,bayesglm,0.2,1,0.994082840236686,0.911223953773419
ozone-level-8hr,Fold_1,bayesglm,0.3,0.1,1,1
ozone-level-8hr,Fold_1,bayesglm,0.3,0.2,0.998027613412229,0.97040798459114
ozone-level-8hr,Fold_1,bayesglm,0.3,0.25,0.998027613412229,0.97040798459114
ozone-level-8hr,Fold_1,bayesglm,0.3,0.3,0.998027613412229,0.97040798459114
ozone-level-8hr,Fold_1,bayesglm,0.3,0.4,0.996055226824458,0.942399454669393
ozone-level-8hr,Fold_1,bayesglm,0.3,0.5,0.994082840236686,0.915850622406639
ozone-level-8hr,Fold_1,bayesglm,0.3,0.6,0.994082840236686,0.915850622406639
ozone-level-8hr,Fold_1,bayesglm,0.3,0.7,0.994082840236686,0.915850622406639
ozone-level-8hr,Fold_1,bayesglm,0.3,0.75,0.994082840236686,0.915850622406639
ozone-level-8hr,Fold_1,bayesglm,0.3,0.8,0.994082840236686,0.915850622406639
ozone-level-8hr,Fold_1,bayesglm,0.3,0.9,0.992110453648915,0.884798909338786
ozone-level-8hr,Fold_1,bayesglm,0.3,1,0.988165680473373,0.82719836400818
ozone-level-8hr,Fold_1,bayesglm,0.4,0.1,1,1
ozone-level-8hr,Fold_1,bayesglm,0.4,0.2,1,1
ozone-level-8hr,Fold_1,bayesglm,0.4,0.25,0.998027613412229,0.97195020746888
ozone-level-8hr,Fold_1,bayesglm,0.4,0.3,0.998027613412229,0.97195020746888
ozone-level-8hr,Fold_1,bayesglm,0.4,0.4,0.996055226824458,0.942399454669393
ozone-level-8hr,Fold_1,bayesglm,0.4,0.5,0.994082840236686,0.915850622406639
ozone-level-8hr,Fold_1,bayesglm,0.4,0.6,0.994082840236686,0.915850622406639
ozone-level-8hr,Fold_1,bayesglm,0.4,0.7,0.992110453648915,0.890650274991911
ozone-level-8hr,Fold_1,bayesglm,0.4,0.75,0.990138067061144,0.866698217384445
ozone-level-8hr,Fold_1,bayesglm,0.4,0.8,0.990138067061144,0.866698217384445
ozone-level-8hr,Fold_1,bayesglm,0.4,0.9,0.988165680473373,0.835975412487868
ozone-level-8hr,Fold_1,bayesglm,0.4,1,0.986193293885602,0.813377504338224
ozone-level-8hr,Fold_1,bayesglm,0.5,0.1,1,1
ozone-level-8hr,Fold_1,bayesglm,0.5,0.2,1,1
ozone-level-8hr,Fold_1,bayesglm,0.5,0.25,1,1
ozone-level-8hr,Fold_1,bayesglm,0.5,0.3,1,1
ozone-level-8hr,Fold_1,bayesglm,0.5,0.4,0.992110453648915,0.878285920057616
ozone-level-8hr,Fold_1,bayesglm,0.5,0.5,0.988165680473373,0.82719836400818
ozone-level-8hr,Fold_1,bayesglm,0.5,0.6,0.98422090729783,0.781300549983824
ozone-level-8hr,Fold_1,bayesglm,0.5,0.7,0.98422090729783,0.781300549983824
ozone-level-8hr,Fold_1,bayesglm,0.5,0.75,0.982248520710059,0.747551867219917
ozone-level-8hr,Fold_1,bayesglm,0.5,0.8,0.980276134122288,0.711997273346966
ozone-level-8hr,Fold_1,bayesglm,0.5,0.9,0.978303747534517,0.691452282157676
ozone-level-8hr,Fold_1,bayesglm,0.5,1,0.974358974358974,0.653415365199558
ozone-level-8hr,Fold_1,bayesglm,0.6,0.1,0.998027613412229,0.97195020746888
ozone-level-8hr,Fold_1,bayesglm,0.6,0.2,0.996055226824458,0.942399454669393
ozone-level-8hr,Fold_1,bayesglm,0.6,0.25,0.992110453648915,0.890650274991911
ozone-level-8hr,Fold_1,bayesglm,0.6,0.3,0.990138067061144,0.866698217384445
ozone-level-8hr,Fold_1,bayesglm,0.6,0.4,0.98422090729783,0.781300549983824
ozone-level-8hr,Fold_1,bayesglm,0.6,0.5,0.982248520710059,0.760056791292002
ozone-level-8hr,Fold_1,bayesglm,0.6,0.6,0.978303747534517,0.720577183225612
ozone-level-8hr,Fold_1,bayesglm,0.6,0.7,0.976331360946746,0.702202643171806
ozone-level-8hr,Fold_1,bayesglm,0.6,0.75,0.974358974358974,0.669773034721178
ozone-level-8hr,Fold_1,bayesglm,0.6,0.8,0.972386587771203,0.635775862068964
ozone-level-8hr,Fold_1,bayesglm,0.6,0.9,0.96646942800789,0.568164737712311
ozone-level-8hr,Fold_1,bayesglm,0.6,1,0.96646942800789,0.568164737712311
ozone-level-8hr,Fold_1,bayesglm,0.7,0.1,0.998027613412229,0.97040798459114
ozone-level-8hr,Fold_1,bayesglm,0.7,0.2,0.996055226824458,0.942399454669393
ozone-level-8hr,Fold_1,bayesglm,0.7,0.25,0.994082840236686,0.915850622406639
ozone-level-8hr,Fold_1,bayesglm,0.7,0.3,0.994082840236686,0.915850622406639
ozone-level-8hr,Fold_1,bayesglm,0.7,0.4,0.988165680473373,0.82719836400818
ozone-level-8hr,Fold_1,bayesglm,0.7,0.5,0.988165680473373,0.82719836400818
