dataset,method,noise_levels,instance_level,avg_accuracy,avg_kappa,avg_kappa_loss,sd_accuracy,sd_kappa
ozone-level-8hr,C5.0,0.1,0.1,1,1,0,0,0
ozone-level-8hr,C5.0,0.1,0.2,1,1,0,0,0
ozone-level-8hr,C5.0,0.1,0.25,1,1,0,0,0
ozone-level-8hr,C5.0,0.1,0.3,1,0.993,0.007,0.001,0.015
ozone-level-8hr,C5.0,0.1,0.4,1,0.993,0.007,0.001,0.015
ozone-level-8hr,C5.0,0.1,0.5,1,0.993,0.007,0.001,0.015
ozone-level-8hr,C5.0,0.1,0.6,0.999,0.98,0.02,0.001,0.03
ozone-level-8hr,C5.0,0.1,0.7,0.999,0.98,0.02,0.001,0.03
ozone-level-8hr,C5.0,0.1,0.75,0.999,0.98,0.02,0.001,0.03
ozone-level-8hr,C5.0,0.1,0.8,0.999,0.98,0.02,0.001,0.03
ozone-level-8hr,C5.0,0.1,0.9,0.999,0.98,0.02,0.001,0.03
ozone-level-8hr,C5.0,0.1,1,0.999,0.98,0.02,0.001,0.03
ozone-level-8hr,C5.0,0.2,0.1,1,1,0,0,0
ozone-level-8hr,C5.0,0.2,0.2,1,1,0,0,0
ozone-level-8hr,C5.0,0.2,0.25,1,1,0,0,0
ozone-level-8hr,C5.0,0.2,0.3,1,1,0,0,0
ozone-level-8hr,C5.0,0.2,0.4,1,1,0,0,0
ozone-level-8hr,C5.0,0.2,0.5,1,0.989,0.011,0.001,0.024
ozone-level-8hr,C5.0,0.2,0.6,1,0.989,0.011,0.001,0.024
ozone-level-8hr,C5.0,0.2,0.7,1,0.989,0.011,0.001,0.024
ozone-level-8hr,C5.0,0.2,0.75,1,0.989,0.011,0.001,0.024
ozone-level-8hr,C5.0,0.2,0.8,1,0.989,0.011,0.001,0.024
ozone-level-8hr,C5.0,0.2,0.9,1,0.989,0.011,0.001,0.024
ozone-level-8hr,C5.0,0.2,1,1,0.989,0.011,0.001,0.024
ozone-level-8hr,C5.0,0.3,0.1,0.999,0.98,0.02,0.001,0.03
ozone-level-8hr,C5.0,0.3,0.2,0.999,0.966,0.034,0.001,0.034
ozone-level-8hr,C5.0,0.3,0.25,0.999,0.966,0.034,0.001,0.034
ozone-level-8hr,C5.0,0.3,0.3,0.999,0.966,0.034,0.001,0.034
ozone-level-8hr,C5.0,0.3,0.4,0.999,0.966,0.034,0.001,0.034
ozone-level-8hr,C5.0,0.3,0.5,0.999,0.966,0.034,0.001,0.034
ozone-level-8hr,C5.0,0.3,0.6,0.999,0.966,0.034,0.001,0.034
ozone-level-8hr,C5.0,0.3,0.7,0.999,0.966,0.034,0.001,0.034
ozone-level-8hr,C5.0,0.3,0.75,0.998,0.96,0.04,0.002,0.037
ozone-level-8hr,C5.0,0.3,0.8,0.998,0.96,0.04,0.002,0.037
ozone-level-8hr,C5.0,0.3,0.9,0.998,0.945,0.055,0.002,0.06
ozone-level-8hr,C5.0,0.3,1,0.998,0.945,0.055,0.002,0.06
ozone-level-8hr,C5.0,0.4,0.1,1,0.986,0.014,0.001,0.03
ozone-level-8hr,C5.0,0.4,0.2,0.999,0.973,0.027,0.001,0.037
ozone-level-8hr,C5.0,0.4,0.25,0.999,0.973,0.027,0.001,0.037
ozone-level-8hr,C5.0,0.4,0.3,0.999,0.966,0.034,0.001,0.034
ozone-level-8hr,C5.0,0.4,0.4,0.999,0.966,0.034,0.001,0.034
ozone-level-8hr,C5.0,0.4,0.5,0.998,0.956,0.044,0.001,0.029
ozone-level-8hr,C5.0,0.4,0.6,0.998,0.932,0.068,0.002,0.053
ozone-level-8hr,C5.0,0.4,0.7,0.997,0.919,0.081,0.002,0.072
ozone-level-8hr,C5.0,0.4,0.75,0.997,0.919,0.081,0.002,0.072
ozone-level-8hr,C5.0,0.4,0.8,0.997,0.907,0.093,0.002,0.074
ozone-level-8hr,C5.0,0.4,0.9,0.996,0.891,0.109,0.003,0.089
ozone-level-8hr,C5.0,0.4,1,0.996,0.891,0.109,0.003,0.089
ozone-level-8hr,C5.0,0.5,0.1,1,1,0,0,0
ozone-level-8hr,C5.0,0.5,0.2,1,0.986,0.014,0.001,0.03
ozone-level-8hr,C5.0,0.5,0.25,0.999,0.971,0.029,0.001,0.04
ozone-level-8hr,C5.0,0.5,0.3,0.999,0.971,0.029,0.001,0.04
ozone-level-8hr,C5.0,0.5,0.4,0.999,0.971,0.029,0.001,0.04
ozone-level-8hr,C5.0,0.5,0.5,0.999,0.971,0.029,0.001,0.04
ozone-level-8hr,C5.0,0.5,0.6,0.999,0.957,0.043,0.002,0.064
ozone-level-8hr,C5.0,0.5,0.7,0.998,0.951,0.049,0.002,0.061
ozone-level-8hr,C5.0,0.5,0.75,0.998,0.951,0.049,0.002,0.061
ozone-level-8hr,C5.0,0.5,0.8,0.998,0.951,0.049,0.002,0.061
ozone-level-8hr,C5.0,0.5,0.9,0.997,0.912,0.088,0.002,0.084
ozone-level-8hr,C5.0,0.5,1,0.997,0.912,0.088,0.002,0.084
ozone-level-8hr,C5.0,0.6,0.1,1,1,0,0,0
ozone-level-8hr,C5.0,0.6,0.2,1,0.986,0.014,0.001,0.03
ozone-level-8hr,C5.0,0.6,0.25,0.999,0.971,0.029,0.001,0.04
ozone-level-8hr,C5.0,0.6,0.3,0.999,0.964,0.036,0.001,0.037
ozone-level-8hr,C5.0,0.6,0.4,0.998,0.957,0.043,0.002,0.039
ozone-level-8hr,C5.0,0.6,0.5,0.998,0.935,0.065,0.002,0.046
ozone-level-8hr,C5.0,0.6,0.6,0.996,0.908,0.092,0.003,0.064
ozone-level-8hr,C5.0,0.6,0.7,0.996,0.908,0.092,0.003,0.064
ozone-level-8hr,C5.0,0.6,0.75,0.996,0.895,0.105,0.002,0.067
ozone-level-8hr,C5.0,0.6,0.8,0.996,0.887,0.113,0.003,0.069
ozone-level-8hr,C5.0,0.6,0.9,0.995,0.864,0.136,0.003,0.08
ozone-level-8hr,C5.0,0.6,1,0.994,0.858,0.142,0.004,0.081
ozone-level-8hr,C5.0,0.7,0.1,0.999,0.986,0.014,0.002,0.031
ozone-level-8hr,C5.0,0.7,0.2,0.999,0.973,0.027,0.002,0.037
ozone-level-8hr,C5.0,0.7,0.25,0.999,0.973,0.027,0.002,0.037
ozone-level-8hr,C5.0,0.7,0.3,0.998,0.957,0.043,0.002,0.064
ozone-level-8hr,C5.0,0.7,0.4,0.998,0.95,0.05,0.003,0.07
ozone-level-8hr,C5.0,0.7,0.5,0.998,0.938,0.062,0.003,0.091
ozone-level-8hr,C5.0,0.7,0.6,0.997,0.917,0.083,0.004,0.105
ozone-level-8hr,C5.0,0.7,0.7,0.997,0.917,0.083,0.004,0.105
ozone-level-8hr,C5.0,0.7,0.75,0.997,0.917,0.083,0.004,0.105
ozone-level-8hr,C5.0,0.7,0.8,0.996,0.904,0.096,0.003,0.096
ozone-level-8hr,C5.0,0.7,0.9,0.996,0.88,0.12,0.003,0.09
ozone-level-8hr,C5.0,0.7,1,0.995,0.874,0.126,0.003,0.09
ozone-level-8hr,C5.0,0.8,0.1,1,0.986,0.014,0.001,0.03
ozone-level-8hr,C5.0,0.8,0.2,0.999,0.973,0.027,0.001,0.037
ozone-level-8hr,C5.0,0.8,0.25,0.999,0.957,0.043,0.002,0.064
ozone-level-8hr,C5.0,0.8,0.3,0.999,0.957,0.043,0.002,0.064
ozone-level-8hr,C5.0,0.8,0.4,0.998,0.951,0.049,0.002,0.06
ozone-level-8hr,C5.0,0.8,0.5,0.998,0.933,0.067,0.002,0.068
ozone-level-8hr,C5.0,0.8,0.6,0.997,0.922,0.078,0.003,0.082
ozone-level-8hr,C5.0,0.8,0.7,0.997,0.91,0.09,0.002,0.072
ozone-level-8hr,C5.0,0.8,0.75,0.996,0.899,0.101,0.003,0.086
ozone-level-8hr,C5.0,0.8,0.8,0.996,0.899,0.101,0.003,0.086
ozone-level-8hr,C5.0,0.8,0.9,0.996,0.877,0.123,0.003,0.104
ozone-level-8hr,C5.0,0.8,1,0.995,0.871,0.129,0.004,0.103
ozone-level-8hr,C5.0,0.9,0.1,1,1,0,0,0
ozone-level-8hr,C5.0,0.9,0.2,1,0.986,0.014,0.001,0.03
ozone-level-8hr,C5.0,0.9,0.25,1,0.986,0.014,0.001,0.03
ozone-level-8hr,C5.0,0.9,0.3,1,0.986,0.014,0.001,0.03
ozone-level-8hr,C5.0,0.9,0.4,0.999,0.98,0.02,0.001,0.03
