dataset,fold,method,noise_levels,instance_level,accuracy,kappa
qsar-biodeg,Fold_1,bayesglm,0.1,0.1,1,1
qsar-biodeg,Fold_1,bayesglm,0.1,0.2,1,1
qsar-biodeg,Fold_1,bayesglm,0.1,0.25,1,1
qsar-biodeg,Fold_1,bayesglm,0.1,0.3,1,1
qsar-biodeg,Fold_1,bayesglm,0.1,0.4,1,1
qsar-biodeg,Fold_1,bayesglm,0.1,0.5,1,1
qsar-biodeg,Fold_1,bayesglm,0.1,0.6,1,1
qsar-biodeg,Fold_1,bayesglm,0.1,0.7,1,1
qsar-biodeg,Fold_1,bayesglm,0.1,0.75,1,1
qsar-biodeg,Fold_1,bayesglm,0.1,0.8,1,1
qsar-biodeg,Fold_1,bayesglm,0.1,0.9,1,1
qsar-biodeg,Fold_1,bayesglm,0.1,1,0.995260663507109,0.988930276480772
qsar-biodeg,Fold_1,bayesglm,0.2,0.1,1,1
qsar-biodeg,Fold_1,bayesglm,0.2,0.2,0.995260663507109,0.989021281023987
qsar-biodeg,Fold_1,bayesglm,0.2,0.25,0.995260663507109,0.989021281023987
qsar-biodeg,Fold_1,bayesglm,0.2,0.3,0.995260663507109,0.989021281023987
qsar-biodeg,Fold_1,bayesglm,0.2,0.4,0.990521327014218,0.977951933124347
qsar-biodeg,Fold_1,bayesglm,0.2,0.5,0.990521327014218,0.977951933124347
qsar-biodeg,Fold_1,bayesglm,0.2,0.6,0.990521327014218,0.977951933124347
qsar-biodeg,Fold_1,bayesglm,0.2,0.7,0.985781990521327,0.966790829442317
qsar-biodeg,Fold_1,bayesglm,0.2,0.75,0.985781990521327,0.966790829442317
qsar-biodeg,Fold_1,bayesglm,0.2,0.8,0.985781990521327,0.966790829442317
qsar-biodeg,Fold_1,bayesglm,0.2,0.9,0.981042654028436,0.955903866248694
qsar-biodeg,Fold_1,bayesglm,0.2,1,0.981042654028436,0.955903866248694
qsar-biodeg,Fold_1,bayesglm,0.3,0.1,0.995260663507109,0.989021281023987
qsar-biodeg,Fold_1,bayesglm,0.3,0.2,0.995260663507109,0.989021281023987
qsar-biodeg,Fold_1,bayesglm,0.3,0.25,0.995260663507109,0.989021281023987
qsar-biodeg,Fold_1,bayesglm,0.3,0.3,0.995260663507109,0.989021281023987
qsar-biodeg,Fold_1,bayesglm,0.3,0.4,0.995260663507109,0.989021281023987
qsar-biodeg,Fold_1,bayesglm,0.3,0.5,0.995260663507109,0.989021281023987
qsar-biodeg,Fold_1,bayesglm,0.3,0.6,0.995260663507109,0.989021281023987
qsar-biodeg,Fold_1,bayesglm,0.3,0.7,0.990521327014218,0.977951933124347
qsar-biodeg,Fold_1,bayesglm,0.3,0.75,0.990521327014218,0.977951933124347
qsar-biodeg,Fold_1,bayesglm,0.3,0.8,0.990521327014218,0.977951933124347
qsar-biodeg,Fold_1,bayesglm,0.3,0.9,0.990521327014218,0.977951933124347
qsar-biodeg,Fold_1,bayesglm,0.3,1,0.985781990521327,0.966790829442317
qsar-biodeg,Fold_1,bayesglm,0.4,0.1,1,1
qsar-biodeg,Fold_1,bayesglm,0.4,0.2,0.995260663507109,0.989021281023987
qsar-biodeg,Fold_1,bayesglm,0.4,0.25,0.995260663507109,0.989021281023987
qsar-biodeg,Fold_1,bayesglm,0.4,0.3,0.995260663507109,0.989021281023987
qsar-biodeg,Fold_1,bayesglm,0.4,0.4,0.995260663507109,0.989021281023987
qsar-biodeg,Fold_1,bayesglm,0.4,0.5,0.995260663507109,0.989021281023987
qsar-biodeg,Fold_1,bayesglm,0.4,0.6,0.990521327014218,0.978132448958441
qsar-biodeg,Fold_1,bayesglm,0.4,0.7,0.990521327014218,0.978132448958441
qsar-biodeg,Fold_1,bayesglm,0.4,0.75,0.985781990521327,0.96706384307196
qsar-biodeg,Fold_1,bayesglm,0.4,0.8,0.985781990521327,0.96706384307196
qsar-biodeg,Fold_1,bayesglm,0.4,0.9,0.985781990521327,0.96706384307196
qsar-biodeg,Fold_1,bayesglm,0.4,1,0.981042654028436,0.955903866248694
qsar-biodeg,Fold_1,bayesglm,0.5,0.1,1,1
qsar-biodeg,Fold_1,bayesglm,0.5,0.2,0.990521327014218,0.977951933124347
qsar-biodeg,Fold_1,bayesglm,0.5,0.25,0.990521327014218,0.977951933124347
qsar-biodeg,Fold_1,bayesglm,0.5,0.3,0.990521327014218,0.977951933124347
qsar-biodeg,Fold_1,bayesglm,0.5,0.4,0.981042654028436,0.955903866248694
qsar-biodeg,Fold_1,bayesglm,0.5,0.5,0.981042654028436,0.955903866248694
qsar-biodeg,Fold_1,bayesglm,0.5,0.6,0.976303317535545,0.945106405119933
qsar-biodeg,Fold_1,bayesglm,0.5,0.7,0.971563981042654,0.934397346875324
qsar-biodeg,Fold_1,bayesglm,0.5,0.75,0.971563981042654,0.934397346875324
qsar-biodeg,Fold_1,bayesglm,0.5,0.8,0.971563981042654,0.934397346875324
qsar-biodeg,Fold_1,bayesglm,0.5,0.9,0.966824644549763,0.923148967167907
qsar-biodeg,Fold_1,bayesglm,0.5,1,0.957345971563981,0.90119152921588
qsar-biodeg,Fold_1,bayesglm,0.6,0.1,0.995260663507109,0.988930276480772
qsar-biodeg,Fold_1,bayesglm,0.6,0.2,0.990521327014218,0.977951933124347
qsar-biodeg,Fold_1,bayesglm,0.6,0.25,0.990521327014218,0.977951933124347
qsar-biodeg,Fold_1,bayesglm,0.6,0.3,0.985781990521327,0.96706384307196
qsar-biodeg,Fold_1,bayesglm,0.6,0.4,0.981042654028436,0.955903866248694
qsar-biodeg,Fold_1,bayesglm,0.6,0.5,0.971563981042654,0.933855799373041
qsar-biodeg,Fold_1,bayesglm,0.6,0.6,0.962085308056872,0.911807732497388
qsar-biodeg,Fold_1,bayesglm,0.6,0.7,0.95260663507109,0.889759665621734
qsar-biodeg,Fold_1,bayesglm,0.6,0.75,0.95260663507109,0.889759665621734
qsar-biodeg,Fold_1,bayesglm,0.6,0.8,0.947867298578199,0.878233041288495
qsar-biodeg,Fold_1,bayesglm,0.6,0.9,0.943127962085308,0.86661047307976
qsar-biodeg,Fold_1,bayesglm,0.6,1,0.933649289099526,0.845663531870428
qsar-biodeg,Fold_1,bayesglm,0.7,0.1,0.990521327014218,0.977951933124347
qsar-biodeg,Fold_1,bayesglm,0.7,0.2,0.976303317535545,0.944651382403861
qsar-biodeg,Fold_1,bayesglm,0.7,0.25,0.971563981042654,0.933855799373041
qsar-biodeg,Fold_1,bayesglm,0.7,0.3,0.957345971563981,0.90037248832695
qsar-biodeg,Fold_1,bayesglm,0.7,0.4,0.95260663507109,0.8888420608998
qsar-biodeg,Fold_1,bayesglm,0.7,0.5,0.938388625592417,0.856093594250039
qsar-biodeg,Fold_1,bayesglm,0.7,0.6,0.928909952606635,0.833954147211584
qsar-biodeg,Fold_1,bayesglm,0.7,0.7,0.914691943127962,0.801567398119122
qsar-biodeg,Fold_1,bayesglm,0.7,0.75,0.914691943127962,0.801567398119122
qsar-biodeg,Fold_1,bayesglm,0.7,0.8,0.909952606635071,0.789675253134673
qsar-biodeg,Fold_1,bayesglm,0.7,0.9,0.909952606635071,0.789675253134673
qsar-biodeg,Fold_1,bayesglm,0.7,1,0.900473933649289,0.767535806096217
qsar-biodeg,Fold_1,bayesglm,0.8,0.1,1,1
qsar-biodeg,Fold_1,bayesglm,0.8,0.2,0.990521327014218,0.97776841217996
qsar-biodeg,Fold_1,bayesglm,0.8,0.25,0.981042654028436,0.95553682435992
qsar-biodeg,Fold_1,bayesglm,0.8,0.3,0.976303317535545,0.944188753107972
qsar-biodeg,Fold_1,bayesglm,0.8,0.4,0.976303317535545,0.944188753107972
qsar-biodeg,Fold_1,bayesglm,0.8,0.5,0.962085308056872,0.91107364871984
qsar-biodeg,Fold_1,bayesglm,0.8,0.6,0.95260663507109,0.889759665621734
