dataset,method,noise_levels,instance_level,avg_accuracy,avg_kappa,avg_kappa_loss,sd_accuracy,sd_kappa
steel-plates-fault,C5.0,0.1,0.1,0.98,0.956,0.044,0.004,0.01
steel-plates-fault,C5.0,0.1,0.2,0.965,0.922,0.078,0.007,0.017
steel-plates-fault,C5.0,0.1,0.25,0.96,0.909,0.091,0.007,0.018
steel-plates-fault,C5.0,0.1,0.3,0.953,0.893,0.107,0.006,0.014
steel-plates-fault,C5.0,0.1,0.4,0.93,0.838,0.162,0.006,0.015
steel-plates-fault,C5.0,0.1,0.5,0.916,0.803,0.197,0.01,0.024
steel-plates-fault,C5.0,0.1,0.6,0.903,0.77,0.23,0.012,0.03
steel-plates-fault,C5.0,0.1,0.7,0.884,0.722,0.278,0.006,0.016
steel-plates-fault,C5.0,0.1,0.75,0.875,0.698,0.302,0.008,0.021
steel-plates-fault,C5.0,0.1,0.8,0.869,0.683,0.317,0.006,0.015
steel-plates-fault,C5.0,0.1,0.9,0.856,0.648,0.352,0.006,0.018
steel-plates-fault,C5.0,0.1,1,0.846,0.62,0.38,0.009,0.026
steel-plates-fault,C5.0,0.2,0.1,0.989,0.975,0.025,0.004,0.009
steel-plates-fault,C5.0,0.2,0.2,0.973,0.939,0.061,0.006,0.015
steel-plates-fault,C5.0,0.2,0.25,0.965,0.921,0.079,0.005,0.011
steel-plates-fault,C5.0,0.2,0.3,0.96,0.909,0.091,0.006,0.014
steel-plates-fault,C5.0,0.2,0.4,0.939,0.859,0.141,0.005,0.011
steel-plates-fault,C5.0,0.2,0.5,0.925,0.826,0.174,0.007,0.018
steel-plates-fault,C5.0,0.2,0.6,0.91,0.788,0.212,0.006,0.015
steel-plates-fault,C5.0,0.2,0.7,0.893,0.745,0.255,0.005,0.014
steel-plates-fault,C5.0,0.2,0.75,0.883,0.718,0.282,0.008,0.022
steel-plates-fault,C5.0,0.2,0.8,0.875,0.699,0.301,0.01,0.027
steel-plates-fault,C5.0,0.2,0.9,0.852,0.636,0.364,0.014,0.038
steel-plates-fault,C5.0,0.2,1,0.837,0.594,0.406,0.016,0.045
steel-plates-fault,C5.0,0.3,0.1,0.986,0.968,0.032,0.004,0.009
steel-plates-fault,C5.0,0.3,0.2,0.968,0.928,0.072,0.007,0.017
steel-plates-fault,C5.0,0.3,0.25,0.961,0.911,0.089,0.005,0.011
steel-plates-fault,C5.0,0.3,0.3,0.952,0.891,0.109,0.007,0.016
steel-plates-fault,C5.0,0.3,0.4,0.93,0.839,0.161,0.009,0.022
steel-plates-fault,C5.0,0.3,0.5,0.916,0.802,0.198,0.01,0.025
steel-plates-fault,C5.0,0.3,0.6,0.902,0.767,0.233,0.012,0.029
steel-plates-fault,C5.0,0.3,0.7,0.886,0.726,0.274,0.014,0.035
steel-plates-fault,C5.0,0.3,0.75,0.875,0.699,0.301,0.014,0.035
steel-plates-fault,C5.0,0.3,0.8,0.87,0.686,0.314,0.013,0.034
steel-plates-fault,C5.0,0.3,0.9,0.855,0.646,0.354,0.014,0.037
steel-plates-fault,C5.0,0.3,1,0.835,0.59,0.41,0.013,0.034
steel-plates-fault,C5.0,0.4,0.1,0.979,0.954,0.046,0.004,0.008
steel-plates-fault,C5.0,0.4,0.2,0.967,0.924,0.076,0.006,0.015
steel-plates-fault,C5.0,0.4,0.25,0.957,0.903,0.097,0.004,0.009
steel-plates-fault,C5.0,0.4,0.3,0.951,0.888,0.112,0.006,0.014
steel-plates-fault,C5.0,0.4,0.4,0.928,0.834,0.166,0.008,0.019
steel-plates-fault,C5.0,0.4,0.5,0.914,0.8,0.2,0.006,0.014
steel-plates-fault,C5.0,0.4,0.6,0.899,0.761,0.239,0.005,0.013
steel-plates-fault,C5.0,0.4,0.7,0.879,0.71,0.29,0.01,0.025
steel-plates-fault,C5.0,0.4,0.75,0.868,0.68,0.32,0.006,0.016
steel-plates-fault,C5.0,0.4,0.8,0.861,0.661,0.339,0.008,0.021
steel-plates-fault,C5.0,0.4,0.9,0.846,0.622,0.378,0.008,0.021
steel-plates-fault,C5.0,0.4,1,0.829,0.573,0.427,0.007,0.02
steel-plates-fault,C5.0,0.5,0.1,0.98,0.956,0.044,0.006,0.013
steel-plates-fault,C5.0,0.5,0.2,0.964,0.918,0.082,0.008,0.018
steel-plates-fault,C5.0,0.5,0.25,0.958,0.905,0.095,0.006,0.013
steel-plates-fault,C5.0,0.5,0.3,0.95,0.886,0.114,0.003,0.008
steel-plates-fault,C5.0,0.5,0.4,0.933,0.844,0.156,0.007,0.017
steel-plates-fault,C5.0,0.5,0.5,0.918,0.807,0.193,0.007,0.016
steel-plates-fault,C5.0,0.5,0.6,0.901,0.766,0.234,0.005,0.013
steel-plates-fault,C5.0,0.5,0.7,0.885,0.724,0.276,0.008,0.022
steel-plates-fault,C5.0,0.5,0.75,0.872,0.691,0.309,0.005,0.013
steel-plates-fault,C5.0,0.5,0.8,0.866,0.673,0.327,0.007,0.019
steel-plates-fault,C5.0,0.5,0.9,0.843,0.613,0.387,0.008,0.022
steel-plates-fault,C5.0,0.5,1,0.828,0.57,0.43,0.01,0.026
steel-plates-fault,C5.0,0.6,0.1,0.986,0.968,0.032,0.002,0.005
steel-plates-fault,C5.0,0.6,0.2,0.972,0.936,0.064,0.012,0.028
steel-plates-fault,C5.0,0.6,0.25,0.965,0.921,0.079,0.012,0.028
steel-plates-fault,C5.0,0.6,0.3,0.957,0.903,0.097,0.011,0.027
steel-plates-fault,C5.0,0.6,0.4,0.935,0.85,0.15,0.008,0.021
steel-plates-fault,C5.0,0.6,0.5,0.919,0.811,0.189,0.008,0.02
steel-plates-fault,C5.0,0.6,0.6,0.903,0.771,0.229,0.01,0.025
steel-plates-fault,C5.0,0.6,0.7,0.887,0.729,0.271,0.01,0.025
steel-plates-fault,C5.0,0.6,0.75,0.876,0.702,0.298,0.014,0.036
steel-plates-fault,C5.0,0.6,0.8,0.869,0.683,0.317,0.014,0.037
steel-plates-fault,C5.0,0.6,0.9,0.852,0.637,0.363,0.015,0.04
steel-plates-fault,C5.0,0.6,1,0.835,0.589,0.411,0.018,0.051
steel-plates-fault,C5.0,0.7,0.1,0.983,0.962,0.038,0.003,0.007
steel-plates-fault,C5.0,0.7,0.2,0.968,0.927,0.073,0.006,0.014
steel-plates-fault,C5.0,0.7,0.25,0.965,0.921,0.079,0.005,0.012
steel-plates-fault,C5.0,0.7,0.3,0.956,0.9,0.1,0.007,0.015
steel-plates-fault,C5.0,0.7,0.4,0.939,0.859,0.141,0.007,0.016
steel-plates-fault,C5.0,0.7,0.5,0.923,0.82,0.18,0.009,0.021
steel-plates-fault,C5.0,0.7,0.6,0.907,0.781,0.219,0.007,0.019
steel-plates-fault,C5.0,0.7,0.7,0.889,0.734,0.266,0.01,0.025
steel-plates-fault,C5.0,0.7,0.75,0.879,0.709,0.291,0.012,0.03
steel-plates-fault,C5.0,0.7,0.8,0.873,0.694,0.306,0.012,0.031
steel-plates-fault,C5.0,0.7,0.9,0.857,0.651,0.349,0.01,0.027
steel-plates-fault,C5.0,0.7,1,0.834,0.587,0.413,0.013,0.037
steel-plates-fault,C5.0,0.8,0.1,0.986,0.969,0.031,0.006,0.013
steel-plates-fault,C5.0,0.8,0.2,0.967,0.924,0.076,0.005,0.012
steel-plates-fault,C5.0,0.8,0.25,0.96,0.909,0.091,0.006,0.013
steel-plates-fault,C5.0,0.8,0.3,0.952,0.891,0.109,0.006,0.015
steel-plates-fault,C5.0,0.8,0.4,0.934,0.848,0.152,0.009,0.021
steel-plates-fault,C5.0,0.8,0.5,0.917,0.806,0.194,0.011,0.028
steel-plates-fault,C5.0,0.8,0.6,0.902,0.767,0.233,0.012,0.031
steel-plates-fault,C5.0,0.8,0.7,0.887,0.729,0.271,0.012,0.029
steel-plates-fault,C5.0,0.8,0.75,0.877,0.703,0.297,0.011,0.027
steel-plates-fault,C5.0,0.8,0.8,0.87,0.686,0.314,0.01,0.026
steel-plates-fault,C5.0,0.8,0.9,0.851,0.633,0.367,0.007,0.019
steel-plates-fault,C5.0,0.8,1,0.836,0.593,0.407,0.008,0.022
steel-plates-fault,C5.0,0.9,0.1,0.983,0.962,0.038,0.008,0.017
steel-plates-fault,C5.0,0.9,0.2,0.966,0.923,0.077,0.009,0.02
steel-plates-fault,C5.0,0.9,0.25,0.96,0.909,0.091,0.012,0.028
steel-plates-fault,C5.0,0.9,0.3,0.955,0.897,0.103,0.015,0.035
steel-plates-fault,C5.0,0.9,0.4,0.928,0.833,0.167,0.024,0.059
steel-plates-fault,C5.0,0.9,0.5,0.91,0.788,0.212,0.028,0.071
steel-plates-fault,C5.0,0.9,0.6,0.892,0.743,0.257,0.032,0.082
steel-plates-fault,C5.0,0.9,0.7,0.871,0.688,0.312,0.038,0.1
steel-plates-fault,C5.0,0.9,0.75,0.858,0.652,0.348,0.039,0.106
steel-plates-fault,C5.0,0.9,0.8,0.853,0.638,0.362,0.041,0.11
steel-plates-fault,C5.0,0.9,0.9,0.836,0.593,0.407,0.039,0.106
steel-plates-fault,C5.0,0.9,1,0.819,0.543,0.457,0.038,0.107
steel-plates-fault,C5.0,1,0.1,0.982,0.96,0.04,0.006,0.013
steel-plates-fault,C5.0,1,0.2,0.963,0.916,0.084,0.006,0.014
steel-plates-fault,C5.0,1,0.25,0.958,0.904,0.096,0.009,0.021
steel-plates-fault,C5.0,1,0.3,0.952,0.889,0.111,0.007,0.017
steel-plates-fault,C5.0,1,0.4,0.93,0.839,0.161,0.007,0.016
steel-plates-fault,C5.0,1,0.5,0.917,0.806,0.194,0.006,0.015
steel-plates-fault,C5.0,1,0.6,0.902,0.769,0.231,0.004,0.01
steel-plates-fault,C5.0,1,0.7,0.885,0.725,0.275,0.008,0.019
steel-plates-fault,C5.0,1,0.75,0.876,0.702,0.298,0.008,0.021
steel-plates-fault,C5.0,1,0.8,0.87,0.686,0.314,0.009,0.023
steel-plates-fault,C5.0,1,0.9,0.849,0.629,0.371,0.01,0.029
steel-plates-fault,C5.0,1,1,0.832,0.582,0.418,0.013,0.039
steel-plates-fault,JRip,0.1,0.1,0.987,0.971,0.029,0.005,0.011
steel-plates-fault,JRip,0.1,0.2,0.972,0.937,0.063,0.012,0.027
steel-plates-fault,JRip,0.1,0.25,0.968,0.927,0.073,0.012,0.027
steel-plates-fault,JRip,0.1,0.3,0.96,0.91,0.09,0.011,0.026
steel-plates-fault,JRip,0.1,0.4,0.95,0.886,0.114,0.011,0.025
steel-plates-fault,JRip,0.1,0.5,0.927,0.831,0.169,0.011,0.028
steel-plates-fault,JRip,0.1,0.6,0.912,0.793,0.207,0.012,0.029
steel-plates-fault,JRip,0.1,0.7,0.898,0.758,0.242,0.013,0.033
