dataset,method,noise_levels,instance_level,avg_accuracy,avg_kappa,avg_kappa_loss,sd_accuracy,sd_kappa
tic-tac-toe,C5.0,0.1,0.1,0.995,0.988,0.012,0.006,0.015
tic-tac-toe,C5.0,0.1,0.2,0.994,0.986,0.014,0.006,0.013
tic-tac-toe,C5.0,0.1,0.25,0.994,0.986,0.014,0.006,0.013
tic-tac-toe,C5.0,0.1,0.3,0.994,0.986,0.014,0.006,0.013
tic-tac-toe,C5.0,0.1,0.4,0.993,0.984,0.016,0.006,0.014
tic-tac-toe,C5.0,0.1,0.5,0.991,0.979,0.021,0.006,0.013
tic-tac-toe,C5.0,0.1,0.6,0.989,0.974,0.026,0.004,0.01
tic-tac-toe,C5.0,0.1,0.7,0.989,0.974,0.026,0.004,0.01
tic-tac-toe,C5.0,0.1,0.75,0.983,0.962,0.038,0.007,0.015
tic-tac-toe,C5.0,0.1,0.8,0.981,0.958,0.042,0.006,0.013
tic-tac-toe,C5.0,0.1,0.9,0.977,0.948,0.052,0.007,0.016
tic-tac-toe,C5.0,0.1,1,0.972,0.937,0.063,0.006,0.014
tic-tac-toe,C5.0,0.2,0.1,0.996,0.991,0.009,0.006,0.013
tic-tac-toe,C5.0,0.2,0.2,0.991,0.979,0.021,0.008,0.017
tic-tac-toe,C5.0,0.2,0.25,0.989,0.974,0.026,0.009,0.021
tic-tac-toe,C5.0,0.2,0.3,0.987,0.972,0.028,0.009,0.021
tic-tac-toe,C5.0,0.2,0.4,0.985,0.967,0.033,0.009,0.019
tic-tac-toe,C5.0,0.2,0.5,0.982,0.96,0.04,0.007,0.016
tic-tac-toe,C5.0,0.2,0.6,0.976,0.946,0.054,0.005,0.01
tic-tac-toe,C5.0,0.2,0.7,0.966,0.923,0.077,0.003,0.007
tic-tac-toe,C5.0,0.2,0.75,0.965,0.921,0.079,0.002,0.006
tic-tac-toe,C5.0,0.2,0.8,0.961,0.914,0.086,0.003,0.005
tic-tac-toe,C5.0,0.2,0.9,0.956,0.902,0.098,0.006,0.014
tic-tac-toe,C5.0,0.2,1,0.953,0.895,0.105,0.007,0.018
tic-tac-toe,C5.0,0.3,0.1,0.993,0.984,0.016,0.005,0.01
tic-tac-toe,C5.0,0.3,0.2,0.987,0.972,0.028,0.008,0.018
tic-tac-toe,C5.0,0.3,0.25,0.985,0.967,0.033,0.009,0.019
tic-tac-toe,C5.0,0.3,0.3,0.982,0.96,0.04,0.013,0.028
tic-tac-toe,C5.0,0.3,0.4,0.979,0.953,0.047,0.015,0.034
tic-tac-toe,C5.0,0.3,0.5,0.976,0.946,0.054,0.019,0.042
tic-tac-toe,C5.0,0.3,0.6,0.971,0.934,0.066,0.019,0.043
tic-tac-toe,C5.0,0.3,0.7,0.96,0.911,0.089,0.017,0.038
tic-tac-toe,C5.0,0.3,0.75,0.958,0.906,0.094,0.018,0.04
tic-tac-toe,C5.0,0.3,0.8,0.953,0.895,0.105,0.018,0.041
tic-tac-toe,C5.0,0.3,0.9,0.946,0.879,0.121,0.016,0.037
tic-tac-toe,C5.0,0.3,1,0.94,0.867,0.133,0.014,0.031
tic-tac-toe,C5.0,0.4,0.1,0.991,0.979,0.021,0.007,0.015
tic-tac-toe,C5.0,0.4,0.2,0.982,0.96,0.04,0.006,0.013
tic-tac-toe,C5.0,0.4,0.25,0.978,0.951,0.049,0.009,0.02
tic-tac-toe,C5.0,0.4,0.3,0.977,0.949,0.051,0.009,0.019
tic-tac-toe,C5.0,0.4,0.4,0.967,0.926,0.074,0.012,0.026
tic-tac-toe,C5.0,0.4,0.5,0.953,0.895,0.105,0.015,0.032
tic-tac-toe,C5.0,0.4,0.6,0.939,0.865,0.135,0.011,0.024
tic-tac-toe,C5.0,0.4,0.7,0.926,0.834,0.166,0.016,0.035
tic-tac-toe,C5.0,0.4,0.75,0.922,0.825,0.175,0.018,0.04
tic-tac-toe,C5.0,0.4,0.8,0.919,0.818,0.182,0.019,0.041
tic-tac-toe,C5.0,0.4,0.9,0.911,0.803,0.197,0.018,0.04
tic-tac-toe,C5.0,0.4,1,0.902,0.782,0.218,0.024,0.053
tic-tac-toe,C5.0,0.5,0.1,0.986,0.97,0.03,0.006,0.013
tic-tac-toe,C5.0,0.5,0.2,0.976,0.946,0.054,0.003,0.007
tic-tac-toe,C5.0,0.5,0.25,0.972,0.937,0.063,0.009,0.02
tic-tac-toe,C5.0,0.5,0.3,0.968,0.927,0.073,0.007,0.016
tic-tac-toe,C5.0,0.5,0.4,0.954,0.898,0.102,0.013,0.03
tic-tac-toe,C5.0,0.5,0.5,0.939,0.865,0.135,0.017,0.037
tic-tac-toe,C5.0,0.5,0.6,0.933,0.851,0.149,0.016,0.036
tic-tac-toe,C5.0,0.5,0.7,0.925,0.833,0.167,0.015,0.033
tic-tac-toe,C5.0,0.5,0.75,0.919,0.819,0.181,0.018,0.038
tic-tac-toe,C5.0,0.5,0.8,0.914,0.809,0.191,0.019,0.04
tic-tac-toe,C5.0,0.5,0.9,0.904,0.785,0.215,0.017,0.037
tic-tac-toe,C5.0,0.5,1,0.888,0.75,0.25,0.019,0.038
tic-tac-toe,C5.0,0.6,0.1,0.99,0.976,0.024,0.005,0.012
tic-tac-toe,C5.0,0.6,0.2,0.976,0.946,0.054,0.008,0.019
tic-tac-toe,C5.0,0.6,0.25,0.975,0.943,0.057,0.009,0.022
tic-tac-toe,C5.0,0.6,0.3,0.971,0.934,0.066,0.011,0.025
tic-tac-toe,C5.0,0.6,0.4,0.955,0.899,0.101,0.008,0.018
tic-tac-toe,C5.0,0.6,0.5,0.945,0.876,0.124,0.008,0.017
tic-tac-toe,C5.0,0.6,0.6,0.93,0.843,0.157,0.012,0.027
tic-tac-toe,C5.0,0.6,0.7,0.918,0.815,0.185,0.015,0.033
tic-tac-toe,C5.0,0.6,0.75,0.905,0.787,0.213,0.02,0.045
tic-tac-toe,C5.0,0.6,0.8,0.9,0.776,0.224,0.02,0.044
tic-tac-toe,C5.0,0.6,0.9,0.886,0.745,0.255,0.025,0.058
tic-tac-toe,C5.0,0.6,1,0.87,0.707,0.293,0.025,0.059
tic-tac-toe,C5.0,0.7,0.1,0.989,0.974,0.026,0.008,0.02
tic-tac-toe,C5.0,0.7,0.2,0.978,0.951,0.049,0.009,0.022
tic-tac-toe,C5.0,0.7,0.25,0.969,0.93,0.07,0.013,0.031
tic-tac-toe,C5.0,0.7,0.3,0.961,0.914,0.086,0.011,0.027
tic-tac-toe,C5.0,0.7,0.4,0.951,0.891,0.109,0.009,0.022
tic-tac-toe,C5.0,0.7,0.5,0.934,0.852,0.148,0.009,0.021
tic-tac-toe,C5.0,0.7,0.6,0.922,0.825,0.175,0.01,0.023
tic-tac-toe,C5.0,0.7,0.7,0.906,0.79,0.21,0.01,0.026
tic-tac-toe,C5.0,0.7,0.75,0.901,0.779,0.221,0.009,0.023
tic-tac-toe,C5.0,0.7,0.8,0.895,0.765,0.235,0.012,0.031
tic-tac-toe,C5.0,0.7,0.9,0.881,0.732,0.268,0.016,0.042
tic-tac-toe,C5.0,0.7,1,0.864,0.695,0.305,0.017,0.044
tic-tac-toe,C5.0,0.8,0.1,0.986,0.969,0.031,0.014,0.032
tic-tac-toe,C5.0,0.8,0.2,0.974,0.941,0.059,0.015,0.035
tic-tac-toe,C5.0,0.8,0.25,0.968,0.927,0.073,0.019,0.042
tic-tac-toe,C5.0,0.8,0.3,0.965,0.92,0.08,0.019,0.042
tic-tac-toe,C5.0,0.8,0.4,0.952,0.892,0.108,0.021,0.047
tic-tac-toe,C5.0,0.8,0.5,0.935,0.854,0.146,0.02,0.046
tic-tac-toe,C5.0,0.8,0.6,0.92,0.819,0.181,0.02,0.048
tic-tac-toe,C5.0,0.8,0.7,0.909,0.796,0.204,0.019,0.044
tic-tac-toe,C5.0,0.8,0.75,0.903,0.782,0.218,0.02,0.046
tic-tac-toe,C5.0,0.8,0.8,0.896,0.766,0.234,0.021,0.049
tic-tac-toe,C5.0,0.8,0.9,0.886,0.744,0.256,0.023,0.055
tic-tac-toe,C5.0,0.8,1,0.876,0.721,0.279,0.024,0.057
tic-tac-toe,C5.0,0.9,0.1,0.981,0.958,0.042,0.009,0.021
tic-tac-toe,C5.0,0.9,0.2,0.97,0.932,0.068,0.011,0.024
tic-tac-toe,C5.0,0.9,0.25,0.965,0.92,0.08,0.009,0.02
tic-tac-toe,C5.0,0.9,0.3,0.959,0.908,0.092,0.011,0.026
tic-tac-toe,C5.0,0.9,0.4,0.944,0.874,0.126,0.012,0.026
tic-tac-toe,C5.0,0.9,0.5,0.934,0.852,0.148,0.01,0.022
