"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"vehicle","Fold_1","PART",0.1,0.1,1,1
"vehicle","Fold_1","PART",0.1,0.2,0.988304093567251,0.984302565750218
"vehicle","Fold_1","PART",0.1,0.25,0.982456140350877,0.976438708492169
"vehicle","Fold_1","PART",0.1,0.3,0.982456140350877,0.976438708492169
"vehicle","Fold_1","PART",0.1,0.4,0.976608187134503,0.968564731835103
"vehicle","Fold_1","PART",0.1,0.5,0.976608187134503,0.968564731835103
"vehicle","Fold_1","PART",0.1,0.6,0.976608187134503,0.968564731835103
"vehicle","Fold_1","PART",0.1,0.7,0.976608187134503,0.968564731835103
"vehicle","Fold_1","PART",0.1,0.75,0.976608187134503,0.968564731835103
"vehicle","Fold_1","PART",0.1,0.8,0.976608187134503,0.968564731835103
"vehicle","Fold_1","PART",0.1,0.9,0.976608187134503,0.968564731835103
"vehicle","Fold_1","PART",0.1,1,0.964912280701754,0.95287092328893
"vehicle","Fold_1","PART",0.2,0.1,1,1
"vehicle","Fold_1","PART",0.2,0.2,0.976608187134503,0.968628170435261
"vehicle","Fold_1","PART",0.2,0.25,0.95906432748538,0.945051413881748
"vehicle","Fold_1","PART",0.2,0.3,0.95906432748538,0.945051413881748
"vehicle","Fold_1","PART",0.2,0.4,0.947368421052632,0.929335598512328
"vehicle","Fold_1","PART",0.2,0.5,0.947368421052632,0.929335598512328
"vehicle","Fold_1","PART",0.2,0.6,0.947368421052632,0.929335598512328
"vehicle","Fold_1","PART",0.2,0.7,0.947368421052632,0.929335598512328
"vehicle","Fold_1","PART",0.2,0.75,0.947368421052632,0.929335598512328
"vehicle","Fold_1","PART",0.2,0.8,0.947368421052632,0.929335598512328
"vehicle","Fold_1","PART",0.2,0.9,0.941520467836257,0.921451538814883
"vehicle","Fold_1","PART",0.2,1,0.929824561403509,0.905793774676338
"vehicle","Fold_1","PART",0.3,0.1,0.994152046783626,0.99215200330442
"vehicle","Fold_1","PART",0.3,0.2,0.976608187134503,0.968610894405947
"vehicle","Fold_1","PART",0.3,0.25,0.964912280701754,0.952905535665106
"vehicle","Fold_1","PART",0.3,0.3,0.95906432748538,0.945051413881748
"vehicle","Fold_1","PART",0.3,0.4,0.935672514619883,0.913541092112521
"vehicle","Fold_1","PART",0.3,0.5,0.929824561403509,0.905733186328556
"vehicle","Fold_1","PART",0.3,0.6,0.929824561403509,0.905733186328556
"vehicle","Fold_1","PART",0.3,0.7,0.91812865497076,0.890052356020942
"vehicle","Fold_1","PART",0.3,0.75,0.91812865497076,0.890052356020942
"vehicle","Fold_1","PART",0.3,0.8,0.91812865497076,0.890052356020942
"vehicle","Fold_1","PART",0.3,0.9,0.912280701754386,0.882188131545104
"vehicle","Fold_1","PART",0.3,1,0.906432748538012,0.874316688869493
"vehicle","Fold_1","PART",0.4,0.1,0.994152046783626,0.99215200330442
"vehicle","Fold_1","PART",0.4,0.2,0.976608187134503,0.968620974401321
"vehicle","Fold_1","PART",0.4,0.25,0.970760233918129,0.960751009915534
"vehicle","Fold_1","PART",0.4,0.3,0.964912280701754,0.952896887338169
"vehicle","Fold_1","PART",0.4,0.4,0.947368421052632,0.929260893546608
"vehicle","Fold_1","PART",0.4,0.5,0.941520467836257,0.921444321940463
"vehicle","Fold_1","PART",0.4,0.6,0.941520467836257,0.921444321940463
"vehicle","Fold_1","PART",0.4,0.7,0.923976608187134,0.897952625780389
"vehicle","Fold_1","PART",0.4,0.75,0.923976608187134,0.897952625780389
"vehicle","Fold_1","PART",0.4,0.8,0.923976608187134,0.897952625780389
"vehicle","Fold_1","PART",0.4,0.9,0.91812865497076,0.890148212728858
"vehicle","Fold_1","PART",0.4,1,0.912280701754386,0.882377218324391
"vehicle","Fold_1","PART",0.5,0.1,0.982456140350877,0.976462491397109
"vehicle","Fold_1","PART",0.5,0.2,0.964912280701754,0.953004763649688
"vehicle","Fold_1","PART",0.5,0.25,0.964912280701754,0.953004763649688
"vehicle","Fold_1","PART",0.5,0.3,0.95906432748538,0.945167201099404
"vehicle","Fold_1","PART",0.5,0.4,0.935672514619883,0.913790732847518
"vehicle","Fold_1","PART",0.5,0.5,0.923976608187134,0.898237582970931
"vehicle","Fold_1","PART",0.5,0.6,0.91812865497076,0.890454836643177
"vehicle","Fold_1","PART",0.5,0.7,0.900584795321637,0.867017383348582
"vehicle","Fold_1","PART",0.5,0.75,0.888888888888889,0.85145391367959
"vehicle","Fold_1","PART",0.5,0.8,0.888888888888889,0.85145391367959
"vehicle","Fold_1","PART",0.5,0.9,0.865497076023392,0.820296079685644
"vehicle","Fold_1","PART",0.5,1,0.865497076023392,0.820296079685644
"vehicle","Fold_1","PART",0.6,0.1,0.976608187134503,0.968620974401321
"vehicle","Fold_1","PART",0.6,0.2,0.95906432748538,0.945134528120273
"vehicle","Fold_1","PART",0.6,0.25,0.947368421052632,0.92942309456113
"vehicle","Fold_1","PART",0.6,0.3,0.947368421052632,0.92942309456113
"vehicle","Fold_1","PART",0.6,0.4,0.929824561403509,0.9058586043951
"vehicle","Fold_1","PART",0.6,0.5,0.900584795321637,0.866694180767643
"vehicle","Fold_1","PART",0.6,0.6,0.900584795321637,0.866694180767643
"vehicle","Fold_1","PART",0.6,0.7,0.900584795321637,0.866694180767643
"vehicle","Fold_1","PART",0.6,0.75,0.888888888888889,0.850983809567491
"vehicle","Fold_1","PART",0.6,0.8,0.883040935672515,0.843241508915066
"vehicle","Fold_1","PART",0.6,0.9,0.859649122807018,0.81179491882968
"vehicle","Fold_1","PART",0.6,1,0.83625730994152,0.780708985985161
"vehicle","Fold_1","PART",0.7,0.1,0.976608187134503,0.968638239339752
"vehicle","Fold_1","PART",0.7,0.2,0.953216374269006,0.937239069596734
"vehicle","Fold_1","PART",0.7,0.25,0.929824561403509,0.905837004405286
"vehicle","Fold_1","PART",0.7,0.3,0.91812865497076,0.890138130420816
"vehicle","Fold_1","PART",0.7,0.4,0.900584795321637,0.866479882417784
"vehicle","Fold_1","PART",0.7,0.5,0.894736842105263,0.858716606995318
"vehicle","Fold_1","PART",0.7,0.6,0.87719298245614,0.8352449990824
"vehicle","Fold_1","PART",0.7,0.7,0.871345029239766,0.827415359207267
"vehicle","Fold_1","PART",0.7,0.75,0.859649122807018,0.811829436038514
"vehicle","Fold_1","PART",0.7,0.8,0.853801169590643,0.804114736070381
"vehicle","Fold_1","PART",0.7,0.9,0.807017543859649,0.741312918309342
"vehicle","Fold_1","PART",0.7,1,0.801169590643275,0.733510565155613
"vehicle","Fold_1","PART",0.8,0.1,0.964912280701754,0.952970297029703
"vehicle","Fold_1","PART",0.8,0.2,0.947368421052632,0.929532967032967
"vehicle","Fold_1","PART",0.8,0.25,0.929824561403509,0.90603104822091
"vehicle","Fold_1","PART",0.8,0.3,0.91812865497076,0.890454836643177
"vehicle","Fold_1","PART",0.8,0.4,0.894736842105263,0.859123987367843
"vehicle","Fold_1","PART",0.8,0.5,0.888888888888889,0.851358770244304
"vehicle","Fold_1","PART",0.8,0.6,0.883040935672515,0.843599945122788
"vehicle","Fold_1","PART",0.8,0.7,0.871345029239766,0.828140703517588
"vehicle","Fold_1","PART",0.8,0.75,0.865497076023392,0.820443754565376
"vehicle","Fold_1","PART",0.8,0.8,0.865497076023392,0.820443754565376
"vehicle","Fold_1","PART",0.8,0.9,0.824561403508772,0.765849650828427
"vehicle","Fold_1","PART",0.8,1,0.801169590643275,0.73460537727667
"vehicle","Fold_1","PART",0.9,0.1,0.982456140350877,0.976450605949321
"vehicle","Fold_1","PART",0.9,0.2,0.970760233918129,0.960761817347407
"vehicle","Fold_1","PART",0.9,0.25,0.964912280701754,0.952920662598082
"vehicle","Fold_1","PART",0.9,0.3,0.953216374269006,0.937241948802642
"vehicle","Fold_1","PART",0.9,0.4,0.923976608187134,0.89799944938974
"vehicle","Fold_1","PART",0.9,0.5,0.912280701754386,0.8824311316863
"vehicle","Fold_1","PART",0.9,0.6,0.906432748538012,0.87467362924282
"vehicle","Fold_1","PART",0.9,0.7,0.883040935672515,0.843349212165628
"vehicle","Fold_1","PART",0.9,0.75,0.87719298245614,0.835622081845647
"vehicle","Fold_1","PART",0.9,0.8,0.871345029239766,0.827904849039341
