"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"vehicle","Fold_1","knn",0.1,0.1,0.923976608187134,0.897943255899366
"vehicle","Fold_1","knn",0.1,0.2,0.941520467836257,0.92135761589404
"vehicle","Fold_1","knn",0.1,0.25,0.935672514619883,0.91375911237449
"vehicle","Fold_1","knn",0.1,0.3,0.95906432748538,0.945104333868379
"vehicle","Fold_1","knn",0.1,0.4,0.941520467836257,0.921656663765062
"vehicle","Fold_1","knn",0.1,0.5,0.953216374269006,0.937230430393686
"vehicle","Fold_1","knn",0.1,0.6,0.941520467836257,0.921581216179033
"vehicle","Fold_1","knn",0.1,0.7,0.935672514619883,0.913889397546237
"vehicle","Fold_1","knn",0.1,0.75,0.929824561403509,0.905754833968677
"vehicle","Fold_1","knn",0.1,0.8,0.923976608187134,0.898148996609548
"vehicle","Fold_1","knn",0.1,0.9,0.941520467836257,0.921760614934114
"vehicle","Fold_1","knn",0.1,1,0.923976608187134,0.898200302239318
"vehicle","Fold_1","knn",0.2,0.1,0.941520467836257,0.921609975245255
"vehicle","Fold_1","knn",0.2,0.2,0.929824561403509,0.905767817781043
"vehicle","Fold_1","knn",0.2,0.25,0.947368421052632,0.929199061508028
"vehicle","Fold_1","knn",0.2,0.3,0.95906432748538,0.945101816180517
"vehicle","Fold_1","knn",0.2,0.4,0.923976608187134,0.897905759162303
"vehicle","Fold_1","knn",0.2,0.5,0.935672514619883,0.913683920704846
"vehicle","Fold_1","knn",0.2,0.6,0.929824561403509,0.905966455870223
"vehicle","Fold_1","knn",0.2,0.7,0.912280701754386,0.882280049566295
"vehicle","Fold_1","knn",0.2,0.75,0.947368421052632,0.929471609917052
"vehicle","Fold_1","knn",0.2,0.8,0.923976608187134,0.897976042957455
"vehicle","Fold_1","knn",0.2,0.9,0.91812865497076,0.890052356020942
"vehicle","Fold_1","knn",0.2,1,0.947368421052632,0.929358303497659
"vehicle","Fold_1","knn",0.3,0.1,0.953216374269006,0.937141019160961
"vehicle","Fold_1","knn",0.3,0.2,0.923976608187134,0.897755496274492
"vehicle","Fold_1","knn",0.3,0.25,0.912280701754386,0.882182720132286
"vehicle","Fold_1","knn",0.3,0.3,0.941520467836257,0.921760614934114
"vehicle","Fold_1","knn",0.3,0.4,0.947368421052632,0.929436038514443
"vehicle","Fold_1","knn",0.3,0.5,0.929824561403509,0.905789449520224
"vehicle","Fold_1","knn",0.3,0.6,0.912280701754386,0.882533431031324
"vehicle","Fold_1","knn",0.3,0.7,0.906432748538012,0.874633431085044
"vehicle","Fold_1","knn",0.3,0.75,0.900584795321637,0.867023466447098
"vehicle","Fold_1","knn",0.3,0.8,0.894736842105263,0.859426379247351
"vehicle","Fold_1","knn",0.3,0.9,0.923976608187134,0.898022845084637
"vehicle","Fold_1","knn",0.3,1,0.894736842105263,0.858872077028886
"vehicle","Fold_1","knn",0.4,0.1,0.970760233918129,0.960682424353904
"vehicle","Fold_1","knn",0.4,0.2,0.941520467836257,0.921433494141971
"vehicle","Fold_1","knn",0.4,0.25,0.923976608187134,0.897764900662252
"vehicle","Fold_1","knn",0.4,0.3,0.935672514619883,0.913560957676577
"vehicle","Fold_1","knn",0.4,0.4,0.906432748538012,0.87444357762379
"vehicle","Fold_1","knn",0.4,0.5,0.947368421052632,0.929316125476508
"vehicle","Fold_1","knn",0.4,0.6,0.888888888888889,0.85109308400935
"vehicle","Fold_1","knn",0.4,0.7,0.91812865497076,0.890052356020942
"vehicle","Fold_1","knn",0.4,0.75,0.906432748538012,0.874414761773616
"vehicle","Fold_1","knn",0.4,0.8,0.900584795321637,0.866590178981184
"vehicle","Fold_1","knn",0.4,0.9,0.883040935672515,0.84311206936098
"vehicle","Fold_1","knn",0.4,1,0.912280701754386,0.881731833271855
"vehicle","Fold_1","knn",0.5,0.1,0.947368421052632,0.929290144727774
"vehicle","Fold_1","knn",0.5,0.2,0.95906432748538,0.944965517241379
"vehicle","Fold_1","knn",0.5,0.25,0.941520467836257,0.921252590375317
"vehicle","Fold_1","knn",0.5,0.3,0.947368421052632,0.929348574576504
"vehicle","Fold_1","knn",0.5,0.4,0.929824561403509,0.905646496229538
"vehicle","Fold_1","knn",0.5,0.5,0.947368421052632,0.929419857830773
"vehicle","Fold_1","knn",0.5,0.6,0.923976608187134,0.897976042957455
"vehicle","Fold_1","knn",0.5,0.7,0.935672514619883,0.913648257815728
"vehicle","Fold_1","knn",0.5,0.75,0.91812865497076,0.889662165276305
"vehicle","Fold_1","knn",0.5,0.8,0.894736842105263,0.858774948382657
"vehicle","Fold_1","knn",0.5,0.9,0.906432748538012,0.874593207132053
"vehicle","Fold_1","knn",0.5,1,0.894736842105263,0.858287292817679
"vehicle","Fold_1","knn",0.6,0.1,0.953216374269006,0.937216026435357
"vehicle","Fold_1","knn",0.6,0.2,0.941520467836257,0.921419052433252
"vehicle","Fold_1","knn",0.6,0.25,0.947368421052632,0.929270646628981
"vehicle","Fold_1","knn",0.6,0.3,0.95906432748538,0.945212376418894
"vehicle","Fold_1","knn",0.6,0.4,0.941520467836257,0.921559633027523
"vehicle","Fold_1","knn",0.6,0.5,0.912280701754386,0.882463455986803
"vehicle","Fold_1","knn",0.6,0.6,0.935672514619883,0.91392486157507
"vehicle","Fold_1","knn",0.6,0.7,0.929824561403509,0.905987996518074
"vehicle","Fold_1","knn",0.6,0.75,0.906432748538012,0.874593207132053
"vehicle","Fold_1","knn",0.6,0.8,0.912280701754386,0.882344846566671
"vehicle","Fold_1","knn",0.6,0.9,0.91812865497076,0.890509947404528
"vehicle","Fold_1","knn",0.6,1,0.906432748538012,0.874702326433413
"vehicle","Fold_1","knn",0.7,0.1,0.929824561403509,0.905759162303665
"vehicle","Fold_1","knn",0.7,0.2,0.929824561403509,0.905550952775476
"vehicle","Fold_1","knn",0.7,0.25,0.91812865497076,0.890092737122395
"vehicle","Fold_1","knn",0.7,0.3,0.923976608187134,0.897811896662683
"vehicle","Fold_1","knn",0.7,0.4,0.923976608187134,0.897933884297521
"vehicle","Fold_1","knn",0.7,0.5,0.906432748538012,0.874610449129239
"vehicle","Fold_1","knn",0.7,0.6,0.894736842105263,0.858878547521893
"vehicle","Fold_1","knn",0.7,0.7,0.906432748538012,0.874529945886453
"vehicle","Fold_1","knn",0.7,0.75,0.883040935672515,0.842744160382564
"vehicle","Fold_1","knn",0.7,0.8,0.888888888888889,0.850655021834061
"vehicle","Fold_1","knn",0.7,0.9,0.865497076023392,0.819197352089367
"vehicle","Fold_1","knn",0.7,1,0.87719298245614,0.834881368401692
"vehicle","Fold_1","knn",0.8,0.1,0.912280701754386,0.881846238887097
"vehicle","Fold_1","knn",0.8,0.2,0.953216374269006,0.937054249298302
"vehicle","Fold_1","knn",0.8,0.25,0.91812865497076,0.890072550280099
"vehicle","Fold_1","knn",0.8,0.3,0.912280701754386,0.882323255493875
"vehicle","Fold_1","knn",0.8,0.4,0.91812865497076,0.889763779527559
"vehicle","Fold_1","knn",0.8,0.5,0.912280701754386,0.882150241212956
"vehicle","Fold_1","knn",0.8,0.6,0.87719298245614,0.835727355901189
"vehicle","Fold_1","knn",0.8,0.7,0.87719298245614,0.835531739488871
"vehicle","Fold_1","knn",0.8,0.75,0.842105263157895,0.788569858497046
"vehicle","Fold_1","knn",0.8,0.8,0.859649122807018,0.812182508809665
"vehicle","Fold_1","knn",0.8,0.9,0.871345029239766,0.827351996328591
"vehicle","Fold_1","knn",0.8,1,0.865497076023392,0.819810326659642
"vehicle","Fold_1","knn",0.9,0.1,0.912280701754386,0.882458069837778
"vehicle","Fold_1","knn",0.9,0.2,0.91812865497076,0.8901633327216
"vehicle","Fold_1","knn",0.9,0.25,0.894736842105263,0.858411150466903
"vehicle","Fold_1","knn",0.9,0.3,0.87719298245614,0.834964842134289
"vehicle","Fold_1","knn",0.9,0.4,0.87719298245614,0.834523754665684
"vehicle","Fold_1","knn",0.9,0.5,0.842105263157895,0.788055453543885
"vehicle","Fold_1","knn",0.9,0.6,0.847953216374269,0.796409927649052
"vehicle","Fold_1","knn",0.9,0.7,0.818713450292398,0.756834862385321
"vehicle","Fold_1","knn",0.9,0.75,0.812865497076023,0.749186414264106
"vehicle","Fold_1","knn",0.9,0.8,0.83625730994152,0.780175382213856
"vehicle","Fold_1","knn",0.9,0.9,0.812865497076023,0.748494737325918
"vehicle","Fold_1","knn",0.9,1,0.830409356725146,0.772178067717187
"vehicle","Fold_1","knn",1,0.1,0.947368421052632,0.929283646556081
"vehicle","Fold_1","knn",1,0.2,0.900584795321637,0.866080066338047
"vehicle","Fold_1","knn",1,0.25,0.929824561403509,0.905411634553333
"vehicle","Fold_1","knn",1,0.3,0.912280701754386,0.882463455986803
"vehicle","Fold_1","knn",1,0.4,0.865497076023392,0.819578879765127
"vehicle","Fold_1","knn",1,0.5,0.894736842105263,0.858567293112163
"vehicle","Fold_1","knn",1,0.6,0.87719298245614,0.834995175297523
"vehicle","Fold_1","knn",1,0.7,0.871345029239766,0.827185447195553
"vehicle","Fold_1","knn",1,0.75,0.87719298245614,0.834987593052109
"vehicle","Fold_1","knn",1,0.8,0.87719298245614,0.835885014396051
"vehicle","Fold_1","knn",1,0.9,0.87719298245614,0.835010337698139
"vehicle","Fold_1","knn",1,1,0.871345029239766,0.827375762859634
"vehicle","Fold_2","knn",0.1,0.1,0.964285714285714,0.952102637205987
"vehicle","Fold_2","knn",0.1,0.2,0.970238095238095,0.960011425307055
"vehicle","Fold_2","knn",0.1,0.25,0.982142857142857,0.976029677542091
"vehicle","Fold_2","knn",0.1,0.3,0.976190476190476,0.968035009275555
"vehicle","Fold_2","knn",0.1,0.4,0.964285714285714,0.952050233089145
"vehicle","Fold_2","knn",0.1,0.5,0.976190476190476,0.968097227497152
"vehicle","Fold_2","knn",0.1,0.6,0.964285714285714,0.952006856163405
"vehicle","Fold_2","knn",0.1,0.7,0.970238095238095,0.96
"vehicle","Fold_2","knn",0.1,0.75,0.952380952380952,0.936085219707057
"vehicle","Fold_2","knn",0.1,0.8,0.952380952380952,0.936091298145506
"vehicle","Fold_2","knn",0.1,0.9,0.952380952380952,0.936173244051859
"vehicle","Fold_2","knn",0.1,1,0.94047619047619,0.920106524633822
"vehicle","Fold_2","knn",0.2,0.1,0.946428571428571,0.92814371257485
"vehicle","Fold_2","knn",0.2,0.2,0.964285714285714,0.95212311199772
