"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"vehicle","Fold_1","rbfDDA",0.1,0.1,1,1
"vehicle","Fold_1","rbfDDA",0.1,0.2,0.994152046783626,0.991901108269395
"vehicle","Fold_1","rbfDDA",0.1,0.25,0.994152046783626,0.991901108269395
"vehicle","Fold_1","rbfDDA",0.1,0.3,0.994152046783626,0.991901108269395
"vehicle","Fold_1","rbfDDA",0.1,0.4,0.994152046783626,0.991901108269395
"vehicle","Fold_1","rbfDDA",0.1,0.5,0.994152046783626,0.991901108269395
"vehicle","Fold_1","rbfDDA",0.1,0.6,0.994152046783626,0.991901108269395
"vehicle","Fold_1","rbfDDA",0.1,0.7,0.994152046783626,0.991901108269395
"vehicle","Fold_1","rbfDDA",0.1,0.75,0.994152046783626,0.991901108269395
"vehicle","Fold_1","rbfDDA",0.1,0.8,0.994152046783626,0.991901108269395
"vehicle","Fold_1","rbfDDA",0.1,0.9,0.994152046783626,0.991901108269395
"vehicle","Fold_1","rbfDDA",0.1,1,0.994152046783626,0.991901108269395
"vehicle","Fold_1","rbfDDA",0.2,0.1,0.994152046783626,0.991898038472472
"vehicle","Fold_1","rbfDDA",0.2,0.2,0.994152046783626,0.991898038472472
"vehicle","Fold_1","rbfDDA",0.2,0.25,0.988304093567251,0.983776091081594
"vehicle","Fold_1","rbfDDA",0.2,0.3,0.988304093567251,0.983776091081594
"vehicle","Fold_1","rbfDDA",0.2,0.4,0.988304093567251,0.983776091081594
"vehicle","Fold_1","rbfDDA",0.2,0.5,0.976608187134503,0.967552182163188
"vehicle","Fold_1","rbfDDA",0.2,0.6,0.970760233918129,0.959390139640923
"vehicle","Fold_1","rbfDDA",0.2,0.7,0.970760233918129,0.959390139640923
"vehicle","Fold_1","rbfDDA",0.2,0.75,0.970760233918129,0.959390139640923
"vehicle","Fold_1","rbfDDA",0.2,0.8,0.970760233918129,0.959390139640923
"vehicle","Fold_1","rbfDDA",0.2,0.9,0.970760233918129,0.959390139640923
"vehicle","Fold_1","rbfDDA",0.2,1,0.970760233918129,0.959390139640923
"vehicle","Fold_1","rbfDDA",0.3,0.1,0.994152046783626,0.991898038472472
"vehicle","Fold_1","rbfDDA",0.3,0.2,0.988304093567251,0.983799147323543
"vehicle","Fold_1","rbfDDA",0.3,0.25,0.982456140350877,0.9756687535572
"vehicle","Fold_1","rbfDDA",0.3,0.3,0.982456140350877,0.9756687535572
"vehicle","Fold_1","rbfDDA",0.3,0.4,0.976608187134503,0.967564491654021
"vehicle","Fold_1","rbfDDA",0.3,0.5,0.970760233918129,0.959405564523787
"vehicle","Fold_1","rbfDDA",0.3,0.6,0.964912280701754,0.951226468910439
"vehicle","Fold_1","rbfDDA",0.3,0.7,0.964912280701754,0.951226468910439
"vehicle","Fold_1","rbfDDA",0.3,0.75,0.964912280701754,0.951226468910439
"vehicle","Fold_1","rbfDDA",0.3,0.8,0.95906432748538,0.943024418106526
"vehicle","Fold_1","rbfDDA",0.3,0.9,0.95906432748538,0.943024418106526
"vehicle","Fold_1","rbfDDA",0.3,1,0.95906432748538,0.943024418106526
"vehicle","Fold_1","rbfDDA",0.4,0.1,0.994152046783626,0.991898038472472
"vehicle","Fold_1","rbfDDA",0.4,0.2,0.988304093567251,0.983799147323543
"vehicle","Fold_1","rbfDDA",0.4,0.25,0.982456140350877,0.9756687535572
"vehicle","Fold_1","rbfDDA",0.4,0.3,0.982456140350877,0.9756687535572
"vehicle","Fold_1","rbfDDA",0.4,0.4,0.982456140350877,0.9756687535572
"vehicle","Fold_1","rbfDDA",0.4,0.5,0.976608187134503,0.967552182163188
"vehicle","Fold_1","rbfDDA",0.4,0.6,0.970760233918129,0.959388210706313
"vehicle","Fold_1","rbfDDA",0.4,0.7,0.970760233918129,0.959388210706313
"vehicle","Fold_1","rbfDDA",0.4,0.75,0.964912280701754,0.951203272139256
"vehicle","Fold_1","rbfDDA",0.4,0.8,0.964912280701754,0.951203272139256
"vehicle","Fold_1","rbfDDA",0.4,0.9,0.95906432748538,0.943
"vehicle","Fold_1","rbfDDA",0.4,1,0.95906432748538,0.943
"vehicle","Fold_1","rbfDDA",0.5,0.1,0.994152046783626,0.991887660704967
"vehicle","Fold_1","rbfDDA",0.5,0.2,0.982456140350877,0.975600475624257
"vehicle","Fold_1","rbfDDA",0.5,0.25,0.970760233918129,0.959276018099547
"vehicle","Fold_1","rbfDDA",0.5,0.3,0.970760233918129,0.959276018099547
"vehicle","Fold_1","rbfDDA",0.5,0.4,0.970760233918129,0.959276018099547
"vehicle","Fold_1","rbfDDA",0.5,0.5,0.953216374269006,0.934735938170889
"vehicle","Fold_1","rbfDDA",0.5,0.6,0.953216374269006,0.934735938170889
"vehicle","Fold_1","rbfDDA",0.5,0.7,0.947368421052632,0.926563916591115
"vehicle","Fold_1","rbfDDA",0.5,0.75,0.947368421052632,0.926563916591115
"vehicle","Fold_1","rbfDDA",0.5,0.8,0.947368421052632,0.926563916591115
"vehicle","Fold_1","rbfDDA",0.5,0.9,0.941520467836257,0.918283475102743
"vehicle","Fold_1","rbfDDA",0.5,1,0.941520467836257,0.918283475102743
"vehicle","Fold_1","rbfDDA",0.6,0.1,0.988304093567251,0.983775321409934
"vehicle","Fold_1","rbfDDA",0.6,0.2,0.982456140350877,0.975658362989324
"vehicle","Fold_1","rbfDDA",0.6,0.25,0.970760233918129,0.959328322709542
"vehicle","Fold_1","rbfDDA",0.6,0.3,0.970760233918129,0.959328322709542
"vehicle","Fold_1","rbfDDA",0.6,0.4,0.964912280701754,0.951203272139256
"vehicle","Fold_1","rbfDDA",0.6,0.5,0.947368421052632,0.926609442060086
"vehicle","Fold_1","rbfDDA",0.6,0.6,0.941520467836257,0.918458824090411
"vehicle","Fold_1","rbfDDA",0.6,0.7,0.941520467836257,0.918458824090411
"vehicle","Fold_1","rbfDDA",0.6,0.75,0.935672514619883,0.910189075630252
"vehicle","Fold_1","rbfDDA",0.6,0.8,0.929824561403509,0.901897977721471
"vehicle","Fold_1","rbfDDA",0.6,0.9,0.929824561403509,0.901897977721471
