dataset,fold,method,noise_levels,instance_level,accuracy,kappa
vehicle,Fold_1,bayesglm,0.1,0.1,0.994152046783626,0.984812150279776
vehicle,Fold_1,bayesglm,0.1,0.2,0.994152046783626,0.984812150279776
vehicle,Fold_1,bayesglm,0.1,0.25,0.988304093567251,0.969404186795491
vehicle,Fold_1,bayesglm,0.1,0.3,0.988304093567251,0.969404186795491
vehicle,Fold_1,bayesglm,0.1,0.4,0.976608187134503,0.938808373590982
vehicle,Fold_1,bayesglm,0.1,0.5,0.976608187134503,0.938808373590982
vehicle,Fold_1,bayesglm,0.1,0.6,0.970760233918129,0.922952149229521
vehicle,Fold_1,bayesglm,0.1,0.7,0.964912280701754,0.906862745098039
vehicle,Fold_1,bayesglm,0.1,0.75,0.964912280701754,0.906862745098039
vehicle,Fold_1,bayesglm,0.1,0.8,0.964912280701754,0.906862745098039
vehicle,Fold_1,bayesglm,0.1,0.9,0.95906432748538,0.89213300892133
vehicle,Fold_1,bayesglm,0.1,1,0.95906432748538,0.89213300892133
vehicle,Fold_1,bayesglm,0.2,0.1,1,1
vehicle,Fold_1,bayesglm,0.2,0.2,0.994152046783626,0.985027580772261
vehicle,Fold_1,bayesglm,0.2,0.25,0.988304093567251,0.970266040688576
vehicle,Fold_1,bayesglm,0.2,0.3,0.988304093567251,0.970266040688576
vehicle,Fold_1,bayesglm,0.2,0.4,0.976608187134503,0.940532081377152
vehicle,Fold_1,bayesglm,0.2,0.5,0.970760233918129,0.926184926184926
vehicle,Fold_1,bayesglm,0.2,0.6,0.964912280701754,0.912037037037037
vehicle,Fold_1,bayesglm,0.2,0.7,0.95906432748538,0.896658896658897
vehicle,Fold_1,bayesglm,0.2,0.75,0.953216374269006,0.882716049382716
vehicle,Fold_1,bayesglm,0.2,0.8,0.953216374269006,0.882716049382716
vehicle,Fold_1,bayesglm,0.2,0.9,0.947368421052632,0.868965517241379
vehicle,Fold_1,bayesglm,0.2,1,0.947368421052632,0.868965517241379
vehicle,Fold_1,bayesglm,0.3,0.1,0.994152046783626,0.984812150279776
vehicle,Fold_1,bayesglm,0.3,0.2,0.988304093567251,0.96984126984127
vehicle,Fold_1,bayesglm,0.3,0.25,0.988304093567251,0.96984126984127
vehicle,Fold_1,bayesglm,0.3,0.3,0.982456140350877,0.955082742316785
vehicle,Fold_1,bayesglm,0.3,0.4,0.982456140350877,0.955082742316785
vehicle,Fold_1,bayesglm,0.3,0.5,0.970760233918129,0.925137903861308
vehicle,Fold_1,bayesglm,0.3,0.6,0.964912280701754,0.90952380952381
vehicle,Fold_1,bayesglm,0.3,0.7,0.95906432748538,0.893685051958433
vehicle,Fold_1,bayesglm,0.3,0.75,0.953216374269006,0.879365079365079
vehicle,Fold_1,bayesglm,0.3,0.8,0.947368421052632,0.865248226950355
vehicle,Fold_1,bayesglm,0.3,0.9,0.929824561403509,0.821596244131455
vehicle,Fold_1,bayesglm,0.3,1,0.923976608187134,0.805358550039401
vehicle,Fold_1,bayesglm,0.4,0.1,0.982456140350877,0.955082742316785
vehicle,Fold_1,bayesglm,0.4,0.2,0.976608187134503,0.940532081377152
vehicle,Fold_1,bayesglm,0.4,0.25,0.976608187134503,0.940532081377152
vehicle,Fold_1,bayesglm,0.4,0.3,0.95906432748538,0.898084291187739
vehicle,Fold_1,bayesglm,0.4,0.4,0.929824561403509,0.82648401826484
vehicle,Fold_1,bayesglm,0.4,0.5,0.91812865497076,0.797564687975647
vehicle,Fold_1,bayesglm,0.4,0.6,0.906432748538012,0.768645357686454
vehicle,Fold_1,bayesglm,0.4,0.7,0.871345029239766,0.69037037037037
vehicle,Fold_1,bayesglm,0.4,0.75,0.871345029239766,0.69037037037037
vehicle,Fold_1,bayesglm,0.4,0.8,0.871345029239766,0.69037037037037
vehicle,Fold_1,bayesglm,0.4,0.9,0.859649122807018,0.662222222222222
vehicle,Fold_1,bayesglm,0.4,1,0.842105263157895,0.622516556291391
vehicle,Fold_1,bayesglm,0.5,0.1,0.988304093567251,0.969404186795491
vehicle,Fold_1,bayesglm,0.5,0.2,0.970760233918129,0.925137903861308
