"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"vehicle","Fold_1","rpart",0.1,0.1,1,1
"vehicle","Fold_1","rpart",0.1,0.2,1,1
"vehicle","Fold_1","rpart",0.1,0.25,1,1
"vehicle","Fold_1","rpart",0.1,0.3,1,1
"vehicle","Fold_1","rpart",0.1,0.4,1,1
"vehicle","Fold_1","rpart",0.1,0.5,1,1
"vehicle","Fold_1","rpart",0.1,0.6,1,1
"vehicle","Fold_1","rpart",0.1,0.7,1,1
"vehicle","Fold_1","rpart",0.1,0.75,1,1
"vehicle","Fold_1","rpart",0.1,0.8,1,1
"vehicle","Fold_1","rpart",0.1,0.9,1,1
"vehicle","Fold_1","rpart",0.1,1,1,1
"vehicle","Fold_1","rpart",0.2,0.1,0.994152046783626,0.989806866952789
"vehicle","Fold_1","rpart",0.2,0.2,0.988304093567251,0.979523410370016
"vehicle","Fold_1","rpart",0.2,0.25,0.988304093567251,0.979523410370016
"vehicle","Fold_1","rpart",0.2,0.3,0.988304093567251,0.979523410370016
"vehicle","Fold_1","rpart",0.2,0.4,0.988304093567251,0.979523410370016
"vehicle","Fold_1","rpart",0.2,0.5,0.976608187134503,0.959406528189911
"vehicle","Fold_1","rpart",0.2,0.6,0.976608187134503,0.959406528189911
"vehicle","Fold_1","rpart",0.2,0.7,0.976608187134503,0.959406528189911
"vehicle","Fold_1","rpart",0.2,0.75,0.976608187134503,0.959406528189911
"vehicle","Fold_1","rpart",0.2,0.8,0.970760233918129,0.949119257319686
"vehicle","Fold_1","rpart",0.2,0.9,0.970760233918129,0.949119257319686
"vehicle","Fold_1","rpart",0.2,1,0.970760233918129,0.949119257319686
"vehicle","Fold_1","rpart",0.3,0.1,0.994152046783626,0.989806866952789
"vehicle","Fold_1","rpart",0.3,0.2,0.988304093567251,0.979669480442278
"vehicle","Fold_1","rpart",0.3,0.25,0.982456140350877,0.969637784090909
"vehicle","Fold_1","rpart",0.3,0.3,0.976608187134503,0.959626962578208
"vehicle","Fold_1","rpart",0.3,0.4,0.964912280701754,0.939540365350619
"vehicle","Fold_1","rpart",0.3,0.5,0.95906432748538,0.929770007040601
"vehicle","Fold_1","rpart",0.3,0.6,0.953216374269006,0.919387153800825
"vehicle","Fold_1","rpart",0.3,0.7,0.941520467836257,0.89977728285078
"vehicle","Fold_1","rpart",0.3,0.75,0.935672514619883,0.890051437923778
"vehicle","Fold_1","rpart",0.3,0.8,0.929824561403509,0.879732739420935
"vehicle","Fold_1","rpart",0.3,0.9,0.923976608187134,0.870273109243698
"vehicle","Fold_1","rpart",0.3,1,0.91812865497076,0.859918080748976
"vehicle","Fold_1","rpart",0.4,0.1,0.988304093567251,0.979669480442278
"vehicle","Fold_1","rpart",0.4,0.2,0.982456140350877,0.969420600858369
"vehicle","Fold_1","rpart",0.4,0.25,0.976608187134503,0.959406528189911
"vehicle","Fold_1","rpart",0.4,0.3,0.970760233918129,0.949396306818182
