"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wall-robot-navigation","Fold_1","PART",0.1,0.1,0.989000916590284,0.983420082823601
"wall-robot-navigation","Fold_1","PART",0.1,0.2,0.978918423464711,0.96825069463072
"wall-robot-navigation","Fold_1","PART",0.1,0.25,0.977085242896425,0.965500012648941
"wall-robot-navigation","Fold_1","PART",0.1,0.3,0.97250229147571,0.958601167211821
"wall-robot-navigation","Fold_1","PART",0.1,0.4,0.965169569202566,0.947628780548194
"wall-robot-navigation","Fold_1","PART",0.1,0.5,0.958753437213566,0.938059226960985
"wall-robot-navigation","Fold_1","PART",0.1,0.6,0.952337305224565,0.92844295440843
"wall-robot-navigation","Fold_1","PART",0.1,0.7,0.942254812098992,0.913384328452252
"wall-robot-navigation","Fold_1","PART",0.1,0.75,0.939505041246563,0.909267319047487
"wall-robot-navigation","Fold_1","PART",0.1,0.8,0.936755270394134,0.905178711783792
"wall-robot-navigation","Fold_1","PART",0.1,0.9,0.933088909257562,0.899758467787104
"wall-robot-navigation","Fold_1","PART",0.1,1,0.926672777268561,0.890123447464959
"wall-robot-navigation","Fold_1","PART",0.2,0.1,0.991750687442713,0.98755879133132
"wall-robot-navigation","Fold_1","PART",0.2,0.2,0.980751604032997,0.970961977186312
"wall-robot-navigation","Fold_1","PART",0.2,0.25,0.977085242896425,0.9654309252218
"wall-robot-navigation","Fold_1","PART",0.2,0.3,0.971585701191567,0.957161928694833
"wall-robot-navigation","Fold_1","PART",0.2,0.4,0.962419798350137,0.943386722186011
"wall-robot-navigation","Fold_1","PART",0.2,0.5,0.957836846929423,0.936525242049213
"wall-robot-navigation","Fold_1","PART",0.2,0.6,0.94775435380385,0.921352066078075
"wall-robot-navigation","Fold_1","PART",0.2,0.7,0.93858845096242,0.907505169040925
"wall-robot-navigation","Fold_1","PART",0.2,0.75,0.931255728689276,0.896502918029552
"wall-robot-navigation","Fold_1","PART",0.2,0.8,0.928505957836847,0.892366029870078
"wall-robot-navigation","Fold_1","PART",0.2,0.9,0.915673693858845,0.872821588855861
"wall-robot-navigation","Fold_1","PART",0.2,1,0.908340971585701,0.861851518873539
"wall-robot-navigation","Fold_1","PART",0.3,0.1,0.985334555453712,0.97786743282
"wall-robot-navigation","Fold_1","PART",0.3,0.2,0.968835930339138,0.952965670797735
"wall-robot-navigation","Fold_1","PART",0.3,0.25,0.965169569202566,0.947410148326773
"wall-robot-navigation","Fold_1","PART",0.3,0.3,0.957836846929423,0.936386694265473
"wall-robot-navigation","Fold_1","PART",0.3,0.4,0.944087992667278,0.915739882607353
"wall-robot-navigation","Fold_1","PART",0.3,0.5,0.937671860678277,0.906050943314988
"wall-robot-navigation","Fold_1","PART",0.3,0.6,0.925756186984418,0.887953878651252
"wall-robot-navigation","Fold_1","PART",0.3,0.7,0.912923923006416,0.868564051643568
"wall-robot-navigation","Fold_1","PART",0.3,0.75,0.907424381301558,0.860311725519278
"wall-robot-navigation","Fold_1","PART",0.3,0.8,0.900091659028414,0.849266225058116
"wall-robot-navigation","Fold_1","PART",0.3,0.9,0.885426214482126,0.827077260168364
"wall-robot-navigation","Fold_1","PART",0.3,1,0.870760769935839,0.804951558361365
"wall-robot-navigation","Fold_1","PART",0.4,0.1,0.987167736021998,0.980645390196739
"wall-robot-navigation","Fold_1","PART",0.4,0.2,0.968835930339138,0.95298146967448
"wall-robot-navigation","Fold_1","PART",0.4,0.25,0.964252978918423,0.946026957979953
"wall-robot-navigation","Fold_1","PART",0.4,0.3,0.953253895508708,0.929439648777073
"wall-robot-navigation","Fold_1","PART",0.4,0.4,0.937671860678277,0.905955071705011
"wall-robot-navigation","Fold_1","PART",0.4,0.5,0.923923006416132,0.885198661223662
"wall-robot-navigation","Fold_1","PART",0.4,0.6,0.914757103574702,0.871351027855369
"wall-robot-navigation","Fold_1","PART",0.4,0.7,0.900091659028414,0.849260110888298
"wall-robot-navigation","Fold_1","PART",0.4,0.75,0.89275893675527,0.838280270109336
"wall-robot-navigation","Fold_1","PART",0.4,0.8,0.887259395050413,0.830067685216257
"wall-robot-navigation","Fold_1","PART",0.4,0.9,0.861594867094409,0.790649561896774
"wall-robot-navigation","Fold_1","PART",0.4,1,0.845096241979835,0.766022435978782
"wall-robot-navigation","Fold_1","PART",0.5,0.1,0.983501374885426,0.975108183954551
"wall-robot-navigation","Fold_1","PART",0.5,0.2,0.961503208065995,0.941945071944679
"wall-robot-navigation","Fold_1","PART",0.5,0.25,0.956003666361137,0.933667310554482
"wall-robot-navigation","Fold_1","PART",0.5,0.3,0.945004582951421,0.917117733082636
"wall-robot-navigation","Fold_1","PART",0.5,0.4,0.933088909257562,0.89922753297694
"wall-robot-navigation","Fold_1","PART",0.5,0.5,0.918423464711274,0.877203964923729
"wall-robot-navigation","Fold_1","PART",0.5,0.6,0.900091659028414,0.849333829983479
"wall-robot-navigation","Fold_1","PART",0.5,0.7,0.886342804766269,0.828595175770906
"wall-robot-navigation","Fold_1","PART",0.5,0.75,0.879010082493126,0.8173757561155
"wall-robot-navigation","Fold_1","PART",0.5,0.8,0.874427131072411,0.810418262718099
"wall-robot-navigation","Fold_1","PART",0.5,0.9,0.862511457378552,0.792420066187112
"wall-robot-navigation","Fold_1","PART",0.5,1,0.845096241979835,0.766008776939341
"wall-robot-navigation","Fold_1","PART",0.6,0.1,0.978001833180568,0.966833697287822
"wall-robot-navigation","Fold_1","PART",0.6,0.2,0.955087076076994,0.932191587083943
"wall-robot-navigation","Fold_1","PART",0.6,0.25,0.948670944087993,0.922474285409746
"wall-robot-navigation","Fold_1","PART",0.6,0.3,0.941338221814849,0.91146119960539
"wall-robot-navigation","Fold_1","PART",0.6,0.4,0.924839596700275,0.886532612583361
"wall-robot-navigation","Fold_1","PART",0.6,0.5,0.904674610449129,0.855817481990528
"wall-robot-navigation","Fold_1","PART",0.6,0.6,0.890009165902841,0.833644857438014
"wall-robot-navigation","Fold_1","PART",0.6,0.7,0.869844179651696,0.803072096647489
"wall-robot-navigation","Fold_1","PART",0.6,0.75,0.859761686526123,0.78779607839149
"wall-robot-navigation","Fold_1","PART",0.6,0.8,0.851512373968836,0.77536061496147
"wall-robot-navigation","Fold_1","PART",0.6,0.9,0.825847846012832,0.735718483896919
"wall-robot-navigation","Fold_1","PART",0.6,1,0.80659945004583,0.706182145856574
"wall-robot-navigation","Fold_1","PART",0.7,0.1,0.977085242896425,0.965417907628093
"wall-robot-navigation","Fold_1","PART",0.7,0.2,0.955087076076994,0.932179199456003
"wall-robot-navigation","Fold_1","PART",0.7,0.25,0.94775435380385,0.921100910447307
"wall-robot-navigation","Fold_1","PART",0.7,0.3,0.933088909257562,0.899030147823221
"wall-robot-navigation","Fold_1","PART",0.7,0.4,0.912007332722273,0.867329075473562
"wall-robot-navigation","Fold_1","PART",0.7,0.5,0.899175068744271,0.847836478418037
