"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wall-robot-navigation","Fold_1","fda",0.1,0.1,0.993583868010999,0.990423296081539
"wall-robot-navigation","Fold_1","fda",0.1,0.2,0.985334555453712,0.978110391043518
"wall-robot-navigation","Fold_1","fda",0.1,0.25,0.983501374885426,0.975366374687501
"wall-robot-navigation","Fold_1","fda",0.1,0.3,0.980751604032997,0.971260806518783
"wall-robot-navigation","Fold_1","fda",0.1,0.4,0.974335472043996,0.961693472541638
"wall-robot-navigation","Fold_1","fda",0.1,0.5,0.965169569202566,0.948045991415771
"wall-robot-navigation","Fold_1","fda",0.1,0.6,0.960586617781852,0.941228644912675
"wall-robot-navigation","Fold_1","fda",0.1,0.7,0.950504124656279,0.926170804421681
"wall-robot-navigation","Fold_1","fda",0.1,0.75,0.94775435380385,0.922094077912186
"wall-robot-navigation","Fold_1","fda",0.1,0.8,0.944087992667278,0.916627204554053
"wall-robot-navigation","Fold_1","fda",0.1,0.9,0.943171402383135,0.915260543574261
"wall-robot-navigation","Fold_1","fda",0.1,1,0.937671860678277,0.907148819960976
"wall-robot-navigation","Fold_1","fda",0.2,0.1,0.984417965169569,0.976739607005082
"wall-robot-navigation","Fold_1","fda",0.2,0.2,0.978001833180568,0.967151375404429
"wall-robot-navigation","Fold_1","fda",0.2,0.25,0.973418881759853,0.960290476064968
"wall-robot-navigation","Fold_1","fda",0.2,0.3,0.967002749770852,0.950705542300534
"wall-robot-navigation","Fold_1","fda",0.2,0.4,0.954170485792851,0.931514072571229
"wall-robot-navigation","Fold_1","fda",0.2,0.5,0.943171402383135,0.915078089690152
"wall-robot-navigation","Fold_1","fda",0.2,0.6,0.932172318973419,0.898641845422976
"wall-robot-navigation","Fold_1","fda",0.2,0.7,0.916590284142988,0.8753030101309
"wall-robot-navigation","Fold_1","fda",0.2,0.75,0.91109074243813,0.867081731415344
"wall-robot-navigation","Fold_1","fda",0.2,0.8,0.902841429880843,0.854685228396481
"wall-robot-navigation","Fold_1","fda",0.2,0.9,0.89275893675527,0.839657777816858
"wall-robot-navigation","Fold_1","fda",0.2,1,0.882676443629698,0.82435959193992
"wall-robot-navigation","Fold_1","fda",0.3,0.1,0.980751604032997,0.971193306979692
"wall-robot-navigation","Fold_1","fda",0.3,0.2,0.964252978918423,0.946444484722159
"wall-robot-navigation","Fold_1","fda",0.3,0.25,0.958753437213566,0.938205174679415
"wall-robot-navigation","Fold_1","fda",0.3,0.3,0.950504124656279,0.925822588138715
"wall-robot-navigation","Fold_1","fda",0.3,0.4,0.937671860678277,0.906652288961672
"wall-robot-navigation","Fold_1","fda",0.3,0.5,0.916590284142988,0.875160480290317
"wall-robot-navigation","Fold_1","fda",0.3,0.6,0.899175068744271,0.848999769743837
"wall-robot-navigation","Fold_1","fda",0.3,0.7,0.889092575618698,0.833740760471885
"wall-robot-navigation","Fold_1","fda",0.3,0.75,0.879010082493126,0.818547213482835
"wall-robot-navigation","Fold_1","fda",0.3,0.8,0.869844179651696,0.804801774048244
"wall-robot-navigation","Fold_1","fda",0.3,0.9,0.851512373968836,0.777238616913742
"wall-robot-navigation","Fold_1","fda",0.3,1,0.836846929422548,0.755129163761265
"wall-robot-navigation","Fold_1","fda",0.4,0.1,0.979835013748854,0.969940424380793
"wall-robot-navigation","Fold_1","fda",0.4,0.2,0.960586617781852,0.941095150799829
"wall-robot-navigation","Fold_1","fda",0.4,0.25,0.946837763519707,0.920512614373502
"wall-robot-navigation","Fold_1","fda",0.4,0.3,0.93858845096242,0.908207998412724
"wall-robot-navigation","Fold_1","fda",0.4,0.4,0.923006416131989,0.884918357634123
"wall-robot-navigation","Fold_1","fda",0.4,0.5,0.902841429880843,0.854779568731258
"wall-robot-navigation","Fold_1","fda",0.4,0.6,0.88359303391384,0.825843275665294
"wall-robot-navigation","Fold_1","fda",0.4,0.7,0.869844179651696,0.805211395464044
"wall-robot-navigation","Fold_1","fda",0.4,0.75,0.864344637946838,0.796852157065033
"wall-robot-navigation","Fold_1","fda",0.4,0.8,0.853345554537122,0.78042491100517
"wall-robot-navigation","Fold_1","fda",0.4,0.9,0.830430797433547,0.746167070574194
"wall-robot-navigation","Fold_1","fda",0.4,1,0.809349220898258,0.714265927803443
"wall-robot-navigation","Fold_1","fda",0.5,0.1,0.971585701191567,0.957575955234047
"wall-robot-navigation","Fold_1","fda",0.5,0.2,0.952337305224565,0.928723897445433
"wall-robot-navigation","Fold_1","fda",0.5,0.25,0.93858845096242,0.90814190208103
"wall-robot-navigation","Fold_1","fda",0.5,0.3,0.933088909257562,0.899851996785928
"wall-robot-navigation","Fold_1","fda",0.5,0.4,0.91109074243813,0.867139969618219
"wall-robot-navigation","Fold_1","fda",0.5,0.5,0.890009165902841,0.835533836664447
"wall-robot-navigation","Fold_1","fda",0.5,0.6,0.870760769935839,0.806753714656121
"wall-robot-navigation","Fold_1","fda",0.5,0.7,0.850595783684693,0.77674540642874
"wall-robot-navigation","Fold_1","fda",0.5,0.75,0.842346471127406,0.764569203244933
"wall-robot-navigation","Fold_1","fda",0.5,0.8,0.829514207149404,0.745407509077086
"wall-robot-navigation","Fold_1","fda",0.5,0.9,0.808432630614116,0.713838399937753
"wall-robot-navigation","Fold_1","fda",0.5,1,0.782768102658112,0.675114842587753
"wall-robot-navigation","Fold_1","fda",0.6,0.1,0.977085242896425,0.965782682712947
"wall-robot-navigation","Fold_1","fda",0.6,0.2,0.955087076076994,0.932869884937383
"wall-robot-navigation","Fold_1","fda",0.6,0.25,0.945004582951421,0.917737776280933
"wall-robot-navigation","Fold_1","fda",0.6,0.3,0.931255728689276,0.89720503214816
"wall-robot-navigation","Fold_1","fda",0.6,0.4,0.902841429880843,0.854572662739008
"wall-robot-navigation","Fold_1","fda",0.6,0.5,0.876260311640697,0.814365046155087
"wall-robot-navigation","Fold_1","fda",0.6,0.6,0.847846012832264,0.771447392996502
"wall-robot-navigation","Fold_1","fda",0.6,0.7,0.824014665444546,0.735278506543728
"wall-robot-navigation","Fold_1","fda",0.6,0.75,0.814848762603116,0.721582761988142
"wall-robot-navigation","Fold_1","fda",0.6,0.8,0.798350137488543,0.696639935288579
"wall-robot-navigation","Fold_1","fda",0.6,0.9,0.775435380384968,0.661802161318199
"wall-robot-navigation","Fold_1","fda",0.6,1,0.753437213565536,0.628509475901388
"wall-robot-navigation","Fold_1","fda",0.7,0.1,0.977085242896425,0.965756821329075
"wall-robot-navigation","Fold_1","fda",0.7,0.2,0.952337305224565,0.928629298068165
"wall-robot-navigation","Fold_1","fda",0.7,0.25,0.933088909257562,0.899654650625119
"wall-robot-navigation","Fold_1","fda",0.7,0.3,0.921173235563703,0.881618923611111
"wall-robot-navigation","Fold_1","fda",0.7,0.4,0.902841429880843,0.85400831417639
"wall-robot-navigation","Fold_1","fda",0.7,0.5,0.871677360219982,0.806973911021469
"wall-robot-navigation","Fold_1","fda",0.7,0.6,0.841429880843263,0.761017955655949
"wall-robot-navigation","Fold_1","fda",0.7,0.7,0.816681943171402,0.723544809306733
