"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wall-robot-navigation","Fold_1","knn",0.1,0.1,0.992667277726856,0.989011639252419
"wall-robot-navigation","Fold_1","knn",0.1,0.2,0.99083409715857,0.986301989036569
"wall-robot-navigation","Fold_1","knn",0.1,0.25,0.989917506874427,0.984927040394678
"wall-robot-navigation","Fold_1","knn",0.1,0.3,0.99083409715857,0.986307163825811
"wall-robot-navigation","Fold_1","knn",0.1,0.4,0.988084326306141,0.982189701093884
"wall-robot-navigation","Fold_1","knn",0.1,0.5,0.989917506874427,0.984892088142284
"wall-robot-navigation","Fold_1","knn",0.1,0.6,0.989917506874427,0.984918213258802
"wall-robot-navigation","Fold_1","knn",0.1,0.7,0.993583868010999,0.990411873859079
"wall-robot-navigation","Fold_1","knn",0.1,0.75,0.989000916590284,0.983554581905518
"wall-robot-navigation","Fold_1","knn",0.1,0.8,0.989000916590284,0.983515279718959
"wall-robot-navigation","Fold_1","knn",0.1,0.9,0.987167736021998,0.980785681218928
"wall-robot-navigation","Fold_1","knn",0.1,1,0.987167736021998,0.980814305488912
"wall-robot-navigation","Fold_1","knn",0.2,0.1,0.989917506874427,0.984903642950589
"wall-robot-navigation","Fold_1","knn",0.2,0.2,0.989000916590284,0.983538846285867
"wall-robot-navigation","Fold_1","knn",0.2,0.25,0.988084326306141,0.982185875809819
"wall-robot-navigation","Fold_1","knn",0.2,0.3,0.985334555453712,0.978063875641678
"wall-robot-navigation","Fold_1","knn",0.2,0.4,0.988084326306141,0.982179048854008
"wall-robot-navigation","Fold_1","knn",0.2,0.5,0.987167736021998,0.980806614768879
"wall-robot-navigation","Fold_1","knn",0.2,0.6,0.993583868010999,0.990400882862365
"wall-robot-navigation","Fold_1","knn",0.2,0.7,0.989000916590284,0.983536134487598
"wall-robot-navigation","Fold_1","knn",0.2,0.75,0.986251145737855,0.979464585978949
"wall-robot-navigation","Fold_1","knn",0.2,0.8,0.987167736021998,0.980802127678294
"wall-robot-navigation","Fold_1","knn",0.2,0.9,0.988084326306141,0.982170647880667
"wall-robot-navigation","Fold_1","knn",0.2,1,0.986251145737855,0.979461622161619
"wall-robot-navigation","Fold_1","knn",0.3,0.1,0.989917506874427,0.984920468381485
"wall-robot-navigation","Fold_1","knn",0.3,0.2,0.989000916590284,0.983550139281016
"wall-robot-navigation","Fold_1","knn",0.3,0.25,0.989917506874427,0.98492448424049
"wall-robot-navigation","Fold_1","knn",0.3,0.3,0.992667277726856,0.989037048946411
"wall-robot-navigation","Fold_1","knn",0.3,0.4,0.987167736021998,0.980802537875836
"wall-robot-navigation","Fold_1","knn",0.3,0.5,0.987167736021998,0.980824349585892
"wall-robot-navigation","Fold_1","knn",0.3,0.6,0.986251145737855,0.979443847096891
"wall-robot-navigation","Fold_1","knn",0.3,0.7,0.983501374885426,0.975301903355711
"wall-robot-navigation","Fold_1","knn",0.3,0.75,0.985334555453712,0.978097592190617
"wall-robot-navigation","Fold_1","knn",0.3,0.8,0.984417965169569,0.976704372750133
"wall-robot-navigation","Fold_1","knn",0.3,0.9,0.98166819431714,0.972554184103313
"wall-robot-navigation","Fold_1","knn",0.3,1,0.984417965169569,0.976681850013013
"wall-robot-navigation","Fold_1","knn",0.4,0.1,0.99083409715857,0.986285630961539
"wall-robot-navigation","Fold_1","knn",0.4,0.2,0.987167736021998,0.980831039810042
"wall-robot-navigation","Fold_1","knn",0.4,0.25,0.988084326306141,0.982161835156391
"wall-robot-navigation","Fold_1","knn",0.4,0.3,0.987167736021998,0.980826852950222
"wall-robot-navigation","Fold_1","knn",0.4,0.4,0.988084326306141,0.982158671215369
"wall-robot-navigation","Fold_1","knn",0.4,0.5,0.986251145737855,0.979416104115647
"wall-robot-navigation","Fold_1","knn",0.4,0.6,0.985334555453712,0.978095063609144
"wall-robot-navigation","Fold_1","knn",0.4,0.7,0.98166819431714,0.972555806547365
"wall-robot-navigation","Fold_1","knn",0.4,0.75,0.982584784601283,0.973908753009826
"wall-robot-navigation","Fold_1","knn",0.4,0.8,0.979835013748854,0.96983714673131
"wall-robot-navigation","Fold_1","knn",0.4,0.9,0.982584784601283,0.97394973929632
"wall-robot-navigation","Fold_1","knn",0.4,1,0.978918423464711,0.968506793009319
"wall-robot-navigation","Fold_1","knn",0.5,0.1,0.984417965169569,0.976706215987772
"wall-robot-navigation","Fold_1","knn",0.5,0.2,0.982584784601283,0.97393991433575
"wall-robot-navigation","Fold_1","knn",0.5,0.25,0.978001833180568,0.967105899556412
"wall-robot-navigation","Fold_1","knn",0.5,0.3,0.986251145737855,0.979423428498143
"wall-robot-navigation","Fold_1","knn",0.5,0.4,0.977085242896425,0.965701185965592
"wall-robot-navigation","Fold_1","knn",0.5,0.5,0.974335472043996,0.961683814961474
"wall-robot-navigation","Fold_1","knn",0.5,0.6,0.967002749770852,0.950668888969832
"wall-robot-navigation","Fold_1","knn",0.5,0.7,0.966086159486709,0.949334852856825
"wall-robot-navigation","Fold_1","knn",0.5,0.75,0.961503208065995,0.942437999814081
"wall-robot-navigation","Fold_1","knn",0.5,0.8,0.966086159486709,0.94926544427142
"wall-robot-navigation","Fold_1","knn",0.5,0.9,0.962419798350137,0.943780203482709
"wall-robot-navigation","Fold_1","knn",0.5,1,0.962419798350137,0.943859653526546
"wall-robot-navigation","Fold_1","knn",0.6,0.1,0.989000916590284,0.98353553404505
"wall-robot-navigation","Fold_1","knn",0.6,0.2,0.985334555453712,0.978085081007112
"wall-robot-navigation","Fold_1","knn",0.6,0.25,0.98166819431714,0.972582015209317
