"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wall-robot-navigation","Fold_1","mlpML",0.1,0.1,0.992667277726856,0.988715553866164
"wall-robot-navigation","Fold_1","mlpML",0.1,0.2,0.987167736021998,0.980254057394322
"wall-robot-navigation","Fold_1","mlpML",0.1,0.25,0.984417965169569,0.976017265189798
"wall-robot-navigation","Fold_1","mlpML",0.1,0.3,0.98166819431714,0.971770087937082
"wall-robot-navigation","Fold_1","mlpML",0.1,0.4,0.976168652612282,0.963247764690335
"wall-robot-navigation","Fold_1","mlpML",0.1,0.5,0.97250229147571,0.95756514974718
"wall-robot-navigation","Fold_1","mlpML",0.1,0.6,0.968835930339138,0.951907169713471
"wall-robot-navigation","Fold_1","mlpML",0.1,0.7,0.963336388634281,0.943450186534043
"wall-robot-navigation","Fold_1","mlpML",0.1,0.75,0.959670027497709,0.937861071522419
"wall-robot-navigation","Fold_1","mlpML",0.1,0.8,0.955087076076994,0.930820605130448
"wall-robot-navigation","Fold_1","mlpML",0.1,0.9,0.951420714940422,0.92511642483799
"wall-robot-navigation","Fold_1","mlpML",0.1,1,0.945921173235564,0.916644868212156
"wall-robot-navigation","Fold_1","mlpML",0.2,0.1,0.986251145737855,0.97887471213326
"wall-robot-navigation","Fold_1","mlpML",0.2,0.2,0.974335472043996,0.960498105595283
"wall-robot-navigation","Fold_1","mlpML",0.2,0.25,0.970669110907424,0.954810274863604
"wall-robot-navigation","Fold_1","mlpML",0.2,0.3,0.964252978918423,0.944879360041455
"wall-robot-navigation","Fold_1","mlpML",0.2,0.4,0.95692025664528,0.933557240909262
"wall-robot-navigation","Fold_1","mlpML",0.2,0.5,0.950504124656279,0.923592701918937
"wall-robot-navigation","Fold_1","mlpML",0.2,0.6,0.944087992667278,0.913686037191616
"wall-robot-navigation","Fold_1","mlpML",0.2,0.7,0.927589367552704,0.888342766680442
"wall-robot-navigation","Fold_1","mlpML",0.2,0.75,0.923923006416132,0.882743162294662
"wall-robot-navigation","Fold_1","mlpML",0.2,0.8,0.919340054995417,0.875773922202138
"wall-robot-navigation","Fold_1","mlpML",0.2,0.9,0.910174152153987,0.861552167528637
"wall-robot-navigation","Fold_1","mlpML",0.2,1,0.897341888175985,0.841338762621016
"wall-robot-navigation","Fold_1","mlpML",0.3,0.1,0.985334555453712,0.977456494366061
"wall-robot-navigation","Fold_1","mlpML",0.3,0.2,0.970669110907424,0.954958534810633
"wall-robot-navigation","Fold_1","mlpML",0.3,0.25,0.961503208065995,0.940891389120724
"wall-robot-navigation","Fold_1","mlpML",0.3,0.3,0.953253895508708,0.928241734857718
"wall-robot-navigation","Fold_1","mlpML",0.3,0.4,0.940421631530706,0.908507989343242
"wall-robot-navigation","Fold_1","mlpML",0.3,0.5,0.923006416131989,0.881693653639853
"wall-robot-navigation","Fold_1","mlpML",0.3,0.6,0.908340971585701,0.859165656557833
"wall-robot-navigation","Fold_1","mlpML",0.3,0.7,0.896425297891842,0.840915718868475
"wall-robot-navigation","Fold_1","mlpML",0.3,0.75,0.889092575618698,0.829809260441041
"wall-robot-navigation","Fold_1","mlpML",0.3,0.8,0.87717690192484,0.811865567154652
"wall-robot-navigation","Fold_1","mlpML",0.3,0.9,0.859761686526123,0.784928516945658
"wall-robot-navigation","Fold_1","mlpML",0.3,1,0.844179651695692,0.760559361835897
"wall-robot-navigation","Fold_1","mlpML",0.4,0.1,0.983501374885426,0.974613508178411
"wall-robot-navigation","Fold_1","mlpML",0.4,0.2,0.969752520623281,0.953409976163424
"wall-robot-navigation","Fold_1","mlpML",0.4,0.25,0.960586617781852,0.93930027042064
"wall-robot-navigation","Fold_1","mlpML",0.4,0.3,0.952337305224565,0.92662947184911
"wall-robot-navigation","Fold_1","mlpML",0.4,0.4,0.934922089825848,0.89974710608602
"wall-robot-navigation","Fold_1","mlpML",0.4,0.5,0.917506874427131,0.872598985878067
"wall-robot-navigation","Fold_1","mlpML",0.4,0.6,0.897341888175985,0.841693959620248
"wall-robot-navigation","Fold_1","mlpML",0.4,0.7,0.874427131072411,0.806223730712087
"wall-robot-navigation","Fold_1","mlpML",0.4,0.75,0.863428047662695,0.78945916472176
"wall-robot-navigation","Fold_1","mlpML",0.4,0.8,0.855178735105408,0.776958012550948
"wall-robot-navigation","Fold_1","mlpML",0.4,0.9,0.836846929422548,0.747714204797897
"wall-robot-navigation","Fold_1","mlpML",0.4,1,0.820348304307974,0.722368790053699
"wall-robot-navigation","Fold_1","mlpML",0.5,0.1,0.982584784601283,0.973164258712651
"wall-robot-navigation","Fold_1","mlpML",0.5,0.2,0.963336388634281,0.943490826971088
"wall-robot-navigation","Fold_1","mlpML",0.5,0.25,0.945004582951421,0.915093752269874
"wall-robot-navigation","Fold_1","mlpML",0.5,0.3,0.936755270394134,0.902357815110355
"wall-robot-navigation","Fold_1","mlpML",0.5,0.4,0.91109074243813,0.862725996798622
"wall-robot-navigation","Fold_1","mlpML",0.5,0.5,0.890925756186984,0.831451542756697
"wall-robot-navigation","Fold_1","mlpML",0.5,0.6,0.871677360219982,0.801400107140442
"wall-robot-navigation","Fold_1","mlpML",0.5,0.7,0.846929422548121,0.763673012492331
"wall-robot-navigation","Fold_1","mlpML",0.5,0.75,0.835013748854262,0.745898245432431
"wall-robot-navigation","Fold_1","mlpML",0.5,0.8,0.819431714023831,0.72177158361856
"wall-robot-navigation","Fold_1","mlpML",0.5,0.9,0.791934005499542,0.678393845698339
"wall-robot-navigation","Fold_1","mlpML",0.5,1,0.768102658111824,0.640735857430877
"wall-robot-navigation","Fold_1","mlpML",0.6,0.1,0.974335472043996,0.960491719531043
"wall-robot-navigation","Fold_1","mlpML",0.6,0.2,0.954170485792851,0.929285242977461
"wall-robot-navigation","Fold_1","mlpML",0.6,0.25,0.941338221814849,0.909437329604852
"wall-robot-navigation","Fold_1","mlpML",0.6,0.3,0.923923006416132,0.882822366922711
"wall-robot-navigation","Fold_1","mlpML",0.6,0.4,0.9019248395967,0.848514301582893
"wall-robot-navigation","Fold_1","mlpML",0.6,0.5,0.875343721356554,0.806636163061794
"wall-robot-navigation","Fold_1","mlpML",0.6,0.6,0.852428964252979,0.77105374634229
"wall-robot-navigation","Fold_1","mlpML",0.6,0.7,0.826764436296975,0.731066998813142
"wall-robot-navigation","Fold_1","mlpML",0.6,0.75,0.813932172318973,0.711854814367643
"wall-robot-navigation","Fold_1","mlpML",0.6,0.8,0.802016498625115,0.693587143080044
"wall-robot-navigation","Fold_1","mlpML",0.6,0.9,0.773602199816682,0.64830060531392
"wall-robot-navigation","Fold_1","mlpML",0.6,1,0.750687442713107,0.611303875146538
"wall-robot-navigation","Fold_1","mlpML",0.7,0.1,0.974335472043996,0.9604014813797
"wall-robot-navigation","Fold_1","mlpML",0.7,0.2,0.954170485792851,0.929264152680506
"wall-robot-navigation","Fold_1","mlpML",0.7,0.25,0.936755270394134,0.902226557375772
"wall-robot-navigation","Fold_1","mlpML",0.7,0.3,0.924839596700275,0.883832481509183
"wall-robot-navigation","Fold_1","mlpML",0.7,0.4,0.896425297891842,0.839526244266145
"wall-robot-navigation","Fold_1","mlpML",0.7,0.5,0.868927589367553,0.796285390831779
"wall-robot-navigation","Fold_1","mlpML",0.7,0.6,0.847846012832264,0.763222989227068
"wall-robot-navigation","Fold_1","mlpML",0.7,0.7,0.82218148487626,0.723496175527294
"wall-robot-navigation","Fold_1","mlpML",0.7,0.75,0.809349220898258,0.703769070205508
"wall-robot-navigation","Fold_1","mlpML",0.7,0.8,0.792850595783685,0.678702016924548
"wall-robot-navigation","Fold_1","mlpML",0.7,0.9,0.759853345554537,0.626013005194227
"wall-robot-navigation","Fold_1","mlpML",0.7,1,0.735105407882676,0.586518601476368
"wall-robot-navigation","Fold_1","mlpML",0.8,0.1,0.970669110907424,0.954844584247341
"wall-robot-navigation","Fold_1","mlpML",0.8,0.2,0.943171402383135,0.912487272604953
"wall-robot-navigation","Fold_1","mlpML",0.8,0.25,0.923923006416132,0.882676164551107
"wall-robot-navigation","Fold_1","mlpML",0.8,0.3,0.914757103574702,0.868452987530241
"wall-robot-navigation","Fold_1","mlpML",0.8,0.4,0.890009165902841,0.829578515333638
"wall-robot-navigation","Fold_1","mlpML",0.8,0.5,0.859761686526123,0.782082296006089
"wall-robot-navigation","Fold_1","mlpML",0.8,0.6,0.830430797433547,0.736805043912553
"wall-robot-navigation","Fold_1","mlpML",0.8,0.7,0.798350137488543,0.686656327187087
"wall-robot-navigation","Fold_1","mlpML",0.8,0.75,0.78826764436297,0.670965947813281
"wall-robot-navigation","Fold_1","mlpML",0.8,0.8,0.773602199816682,0.64820832022433
"wall-robot-navigation","Fold_1","mlpML",0.8,0.9,0.740604949587534,0.594429652125825
"wall-robot-navigation","Fold_1","mlpML",0.8,1,0.714023831347388,0.552147610564512
"wall-robot-navigation","Fold_1","mlpML",0.9,0.1,0.967919340054995,0.950607750385786
"wall-robot-navigation","Fold_1","mlpML",0.9,0.2,0.935838680109991,0.900909936643082
"wall-robot-navigation","Fold_1","mlpML",0.9,0.25,0.921173235563703,0.878072520249557
"wall-robot-navigation","Fold_1","mlpML",0.9,0.3,0.902841429880843,0.849641480364306
"wall-robot-navigation","Fold_1","mlpML",0.9,0.4,0.869844179651696,0.797870438868079
"wall-robot-navigation","Fold_1","mlpML",0.9,0.5,0.836846929422548,0.746137777231645
"wall-robot-navigation","Fold_1","mlpML",0.9,0.6,0.810265811182401,0.705094320404704
"wall-robot-navigation","Fold_1","mlpML",0.9,0.7,0.780018331805683,0.658214712274587
"wall-robot-navigation","Fold_1","mlpML",0.9,0.75,0.769019248395967,0.641341271870548
"wall-robot-navigation","Fold_1","mlpML",0.9,0.8,0.752520623281393,0.615928716620141
"wall-robot-navigation","Fold_1","mlpML",0.9,0.9,0.720439963336389,0.564829890604259
"wall-robot-navigation","Fold_1","mlpML",0.9,1,0.692942254812099,0.520854500285139
"wall-robot-navigation","Fold_1","mlpML",1,0.1,0.967002749770852,0.949127383601495
"wall-robot-navigation","Fold_1","mlpML",1,0.2,0.933088909257562,0.896610499532662
"wall-robot-navigation","Fold_1","mlpML",1,0.25,0.918423464711274,0.873707636019317
"wall-robot-navigation","Fold_1","mlpML",1,0.3,0.905591200733272,0.85364173202708
"wall-robot-navigation","Fold_1","mlpML",1,0.4,0.87717690192484,0.809654382230208
"wall-robot-navigation","Fold_1","mlpML",1,0.5,0.845096241979835,0.759133146348505
"wall-robot-navigation","Fold_1","mlpML",1,0.6,0.813932172318973,0.711031085885768
"wall-robot-navigation","Fold_1","mlpML",1,0.7,0.783684692942255,0.664031734018816
"wall-robot-navigation","Fold_1","mlpML",1,0.75,0.778185151237397,0.655673929515545
"wall-robot-navigation","Fold_1","mlpML",1,0.8,0.764436296975252,0.634925119722509
"wall-robot-navigation","Fold_1","mlpML",1,0.9,0.734188817598533,0.586284181015545
"wall-robot-navigation","Fold_1","mlpML",1,1,0.705774518790101,0.541856300193743
"wall-robot-navigation","Fold_2","mlpML",0.1,0.1,0.996333638863428,0.994456709236362
"wall-robot-navigation","Fold_2","mlpML",0.1,0.2,0.99083409715857,0.986164935275737
"wall-robot-navigation","Fold_2","mlpML",0.1,0.25,0.983501374885426,0.975086457780947
"wall-robot-navigation","Fold_2","mlpML",0.1,0.3,0.979835013748854,0.969562510224242
"wall-robot-navigation","Fold_2","mlpML",0.1,0.4,0.977085242896425,0.965413829396026
"wall-robot-navigation","Fold_2","mlpML",0.1,0.5,0.968835930339138,0.952842973483548
"wall-robot-navigation","Fold_2","mlpML",0.1,0.6,0.966086159486709,0.948683168430112
"wall-robot-navigation","Fold_2","mlpML",0.1,0.7,0.958753437213566,0.937505648613592
"wall-robot-navigation","Fold_2","mlpML",0.1,0.75,0.955087076076994,0.931979860776228
"wall-robot-navigation","Fold_2","mlpML",0.1,0.8,0.950504124656279,0.925005919178393
"wall-robot-navigation","Fold_2","mlpML",0.1,0.9,0.944087992667278,0.915325530591135
"wall-robot-navigation","Fold_2","mlpML",0.1,1,0.939505041246563,0.908308120167477
"wall-robot-navigation","Fold_2","mlpML",0.2,0.1,0.984417965169569,0.976405319139463
"wall-robot-navigation","Fold_2","mlpML",0.2,0.2,0.970669110907424,0.955585974571851
"wall-robot-navigation","Fold_2","mlpML",0.2,0.25,0.967002749770852,0.950014890156461
"wall-robot-navigation","Fold_2","mlpML",0.2,0.3,0.962419798350137,0.943098221747875
"wall-robot-navigation","Fold_2","mlpML",0.2,0.4,0.951420714940422,0.926507334904282
"wall-robot-navigation","Fold_2","mlpML",0.2,0.5,0.935838680109991,0.902756361200845
"wall-robot-navigation","Fold_2","mlpML",0.2,0.6,0.92942254812099,0.893084954743069
"wall-robot-navigation","Fold_2","mlpML",0.2,0.7,0.915673693858845,0.872094890269109
"wall-robot-navigation","Fold_2","mlpML",0.2,0.75,0.91109074243813,0.865204504434506
"wall-robot-navigation","Fold_2","mlpML",0.2,0.8,0.902841429880843,0.852510218787264
"wall-robot-navigation","Fold_2","mlpML",0.2,0.9,0.886342804766269,0.827328910320392
"wall-robot-navigation","Fold_2","mlpML",0.2,1,0.880843263061412,0.818899658689126
"wall-robot-navigation","Fold_2","mlpML",0.3,0.1,0.985334555453712,0.977795360125779
"wall-robot-navigation","Fold_2","mlpML",0.3,0.2,0.966086159486709,0.948612484898942
"wall-robot-navigation","Fold_2","mlpML",0.3,0.25,0.956003666361137,0.933281267717067
"wall-robot-navigation","Fold_2","mlpML",0.3,0.3,0.943171402383135,0.913792971607579
"wall-robot-navigation","Fold_2","mlpML",0.3,0.4,0.927589367552704,0.889974251710276
"wall-robot-navigation","Fold_2","mlpML",0.3,0.5,0.912007332722273,0.866020065777271
"wall-robot-navigation","Fold_2","mlpML",0.3,0.6,0.897341888175985,0.843693475886029
"wall-robot-navigation","Fold_2","mlpML",0.3,0.7,0.881759853345555,0.819671963108983
"wall-robot-navigation","Fold_2","mlpML",0.3,0.75,0.872593950504125,0.805705741872002
"wall-robot-navigation","Fold_2","mlpML",0.3,0.8,0.862511457378552,0.790232109804806
"wall-robot-navigation","Fold_2","mlpML",0.3,0.9,0.843263061411549,0.760483293234357
"wall-robot-navigation","Fold_2","mlpML",0.3,1,0.824014665444546,0.730383935685077
"wall-robot-navigation","Fold_2","mlpML",0.4,0.1,0.984417965169569,0.976422296038941
"wall-robot-navigation","Fold_2","mlpML",0.4,0.2,0.969752520623281,0.95428892830435
"wall-robot-navigation","Fold_2","mlpML",0.4,0.25,0.960586617781852,0.94035954879055
"wall-robot-navigation","Fold_2","mlpML",0.4,0.3,0.949587534372136,0.923655041146504
"wall-robot-navigation","Fold_2","mlpML",0.4,0.4,0.932172318973419,0.89712661986009
"wall-robot-navigation","Fold_2","mlpML",0.4,0.5,0.913840513290559,0.869112861026381
