dataset,method,noise_levels,instance_level,avg_accuracy,avg_kappa,avg_kappa_loss,sd_accuracy,sd_kappa
wall-robot-navigation,C5.0,0.1,0.1,0.994,0.991,0.009,0.002,0.003
wall-robot-navigation,C5.0,0.1,0.2,0.986,0.979,0.021,0.004,0.006
wall-robot-navigation,C5.0,0.1,0.25,0.983,0.975,0.025,0.004,0.007
wall-robot-navigation,C5.0,0.1,0.3,0.98,0.969,0.031,0.004,0.006
wall-robot-navigation,C5.0,0.1,0.4,0.972,0.958,0.042,0.005,0.007
wall-robot-navigation,C5.0,0.1,0.5,0.964,0.946,0.054,0.003,0.004
wall-robot-navigation,C5.0,0.1,0.6,0.957,0.935,0.065,0.004,0.006
wall-robot-navigation,C5.0,0.1,0.7,0.949,0.923,0.077,0.003,0.004
wall-robot-navigation,C5.0,0.1,0.75,0.946,0.918,0.082,0.002,0.003
wall-robot-navigation,C5.0,0.1,0.8,0.943,0.914,0.086,0.003,0.004
wall-robot-navigation,C5.0,0.1,0.9,0.936,0.904,0.096,0.005,0.008
wall-robot-navigation,C5.0,0.1,1,0.93,0.895,0.105,0.003,0.004
wall-robot-navigation,C5.0,0.2,0.1,0.989,0.983,0.017,0.002,0.003
wall-robot-navigation,C5.0,0.2,0.2,0.977,0.965,0.035,0.004,0.007
wall-robot-navigation,C5.0,0.2,0.25,0.973,0.959,0.041,0.004,0.005
wall-robot-navigation,C5.0,0.2,0.3,0.968,0.952,0.048,0.002,0.003
wall-robot-navigation,C5.0,0.2,0.4,0.959,0.937,0.063,0.002,0.004
wall-robot-navigation,C5.0,0.2,0.5,0.947,0.921,0.079,0.002,0.003
wall-robot-navigation,C5.0,0.2,0.6,0.935,0.903,0.097,0.004,0.006
wall-robot-navigation,C5.0,0.2,0.7,0.926,0.888,0.112,0.006,0.01
wall-robot-navigation,C5.0,0.2,0.75,0.922,0.882,0.118,0.008,0.012
wall-robot-navigation,C5.0,0.2,0.8,0.918,0.876,0.124,0.007,0.011
wall-robot-navigation,C5.0,0.2,0.9,0.907,0.859,0.141,0.007,0.011
wall-robot-navigation,C5.0,0.2,1,0.895,0.841,0.159,0.008,0.012
wall-robot-navigation,C5.0,0.3,0.1,0.988,0.982,0.018,0.001,0.002
wall-robot-navigation,C5.0,0.3,0.2,0.975,0.963,0.037,0.006,0.009
wall-robot-navigation,C5.0,0.3,0.25,0.97,0.955,0.045,0.008,0.012
wall-robot-navigation,C5.0,0.3,0.3,0.965,0.948,0.052,0.007,0.01
wall-robot-navigation,C5.0,0.3,0.4,0.951,0.927,0.073,0.005,0.008
wall-robot-navigation,C5.0,0.3,0.5,0.938,0.907,0.093,0.007,0.01
wall-robot-navigation,C5.0,0.3,0.6,0.921,0.881,0.119,0.006,0.009
wall-robot-navigation,C5.0,0.3,0.7,0.911,0.866,0.134,0.006,0.009
wall-robot-navigation,C5.0,0.3,0.75,0.906,0.858,0.142,0.008,0.013
wall-robot-navigation,C5.0,0.3,0.8,0.9,0.849,0.151,0.008,0.012
wall-robot-navigation,C5.0,0.3,0.9,0.885,0.826,0.174,0.009,0.013
wall-robot-navigation,C5.0,0.3,1,0.871,0.805,0.195,0.011,0.017
wall-robot-navigation,C5.0,0.4,0.1,0.987,0.98,0.02,0.006,0.009
wall-robot-navigation,C5.0,0.4,0.2,0.973,0.958,0.042,0.01,0.015
wall-robot-navigation,C5.0,0.4,0.25,0.966,0.948,0.052,0.008,0.012
wall-robot-navigation,C5.0,0.4,0.3,0.957,0.935,0.065,0.008,0.013
wall-robot-navigation,C5.0,0.4,0.4,0.941,0.911,0.089,0.008,0.012
wall-robot-navigation,C5.0,0.4,0.5,0.927,0.889,0.111,0.008,0.011
wall-robot-navigation,C5.0,0.4,0.6,0.91,0.864,0.136,0.006,0.009
wall-robot-navigation,C5.0,0.4,0.7,0.898,0.846,0.154,0.005,0.008
wall-robot-navigation,C5.0,0.4,0.75,0.89,0.834,0.166,0.006,0.009
wall-robot-navigation,C5.0,0.4,0.8,0.883,0.823,0.177,0.006,0.009
wall-robot-navigation,C5.0,0.4,0.9,0.866,0.797,0.203,0.007,0.01
wall-robot-navigation,C5.0,0.4,1,0.851,0.774,0.226,0.007,0.011
wall-robot-navigation,C5.0,0.5,0.1,0.984,0.976,0.024,0.003,0.004
wall-robot-navigation,C5.0,0.5,0.2,0.967,0.95,0.05,0.006,0.009
wall-robot-navigation,C5.0,0.5,0.25,0.96,0.94,0.06,0.007,0.011
wall-robot-navigation,C5.0,0.5,0.3,0.951,0.926,0.074,0.007,0.011
wall-robot-navigation,C5.0,0.5,0.4,0.935,0.901,0.099,0.008,0.011
wall-robot-navigation,C5.0,0.5,0.5,0.917,0.874,0.126,0.007,0.01
wall-robot-navigation,C5.0,0.5,0.6,0.9,0.849,0.151,0.01,0.015
wall-robot-navigation,C5.0,0.5,0.7,0.886,0.827,0.173,0.011,0.017
wall-robot-navigation,C5.0,0.5,0.75,0.878,0.815,0.185,0.011,0.017
wall-robot-navigation,C5.0,0.5,0.8,0.871,0.805,0.195,0.012,0.018
wall-robot-navigation,C5.0,0.5,0.9,0.854,0.779,0.221,0.012,0.018
wall-robot-navigation,C5.0,0.5,1,0.838,0.753,0.247,0.01,0.015
wall-robot-navigation,C5.0,0.6,0.1,0.983,0.974,0.026,0.003,0.005
wall-robot-navigation,C5.0,0.6,0.2,0.966,0.949,0.051,0.005,0.008
wall-robot-navigation,C5.0,0.6,0.25,0.959,0.938,0.062,0.007,0.01
wall-robot-navigation,C5.0,0.6,0.3,0.951,0.926,0.074,0.008,0.012
wall-robot-navigation,C5.0,0.6,0.4,0.931,0.896,0.104,0.01,0.014
wall-robot-navigation,C5.0,0.6,0.5,0.913,0.868,0.132,0.011,0.017
wall-robot-navigation,C5.0,0.6,0.6,0.894,0.839,0.161,0.009,0.014
wall-robot-navigation,C5.0,0.6,0.7,0.875,0.81,0.19,0.011,0.017
wall-robot-navigation,C5.0,0.6,0.75,0.864,0.793,0.207,0.012,0.018
wall-robot-navigation,C5.0,0.6,0.8,0.856,0.781,0.219,0.011,0.017
wall-robot-navigation,C5.0,0.6,0.9,0.838,0.753,0.247,0.013,0.019
wall-robot-navigation,C5.0,0.6,1,0.823,0.73,0.27,0.01,0.015
wall-robot-navigation,C5.0,0.7,0.1,0.98,0.97,0.03,0.004,0.006
wall-robot-navigation,C5.0,0.7,0.2,0.961,0.941,0.059,0.005,0.008
wall-robot-navigation,C5.0,0.7,0.25,0.952,0.927,0.073,0.007,0.01
wall-robot-navigation,C5.0,0.7,0.3,0.943,0.913,0.087,0.007,0.01
wall-robot-navigation,C5.0,0.7,0.4,0.921,0.88,0.12,0.006,0.008
wall-robot-navigation,C5.0,0.7,0.5,0.903,0.852,0.148,0.008,0.011
wall-robot-navigation,C5.0,0.7,0.6,0.882,0.82,0.18,0.007,0.011
wall-robot-navigation,C5.0,0.7,0.7,0.863,0.793,0.207,0.007,0.01
wall-robot-navigation,C5.0,0.7,0.75,0.854,0.778,0.222,0.008,0.013
wall-robot-navigation,C5.0,0.7,0.8,0.845,0.764,0.236,0.009,0.015
wall-robot-navigation,C5.0,0.7,0.9,0.825,0.733,0.267,0.01,0.017
wall-robot-navigation,C5.0,0.7,1,0.806,0.704,0.296,0.01,0.016
wall-robot-navigation,C5.0,0.8,0.1,0.982,0.973,0.027,0.003,0.004
wall-robot-navigation,C5.0,0.8,0.2,0.961,0.941,0.059,0.005,0.007
wall-robot-navigation,C5.0,0.8,0.25,0.952,0.927,0.073,0.006,0.01
wall-robot-navigation,C5.0,0.8,0.3,0.941,0.911,0.089,0.006,0.009
wall-robot-navigation,C5.0,0.8,0.4,0.922,0.881,0.119,0.006,0.01
wall-robot-navigation,C5.0,0.8,0.5,0.901,0.85,0.15,0.006,0.009
wall-robot-navigation,C5.0,0.8,0.6,0.88,0.818,0.182,0.006,0.01
wall-robot-navigation,C5.0,0.8,0.7,0.863,0.792,0.208,0.007,0.01
