"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wall-robot-navigation","Fold_1","rfRules",0.1,0.1,0.991750687442713,0.986485072880679
"wall-robot-navigation","Fold_1","rfRules",0.1,0.2,0.983501374885426,0.972973679683468
"wall-robot-navigation","Fold_1","rfRules",0.1,0.25,0.978001833180568,0.963964906244624
"wall-robot-navigation","Fold_1","rfRules",0.1,0.3,0.97250229147571,0.955020016298888
"wall-robot-navigation","Fold_1","rfRules",0.1,0.4,0.967002749770852,0.946086405060268
"wall-robot-navigation","Fold_1","rfRules",0.1,0.5,0.960586617781852,0.935638015456315
"wall-robot-navigation","Fold_1","rfRules",0.1,0.6,0.956003666361137,0.928144698531006
"wall-robot-navigation","Fold_1","rfRules",0.1,0.7,0.945921173235564,0.911810965367764
"wall-robot-navigation","Fold_1","rfRules",0.1,0.75,0.943171402383135,0.907338837495702
"wall-robot-navigation","Fold_1","rfRules",0.1,0.8,0.939505041246563,0.901382718213642
"wall-robot-navigation","Fold_1","rfRules",0.1,0.9,0.931255728689276,0.888024468347155
"wall-robot-navigation","Fold_1","rfRules",0.1,1,0.925756186984418,0.879151760806065
"wall-robot-navigation","Fold_1","rfRules",0.2,0.1,0.988084326306141,0.980488643711051
"wall-robot-navigation","Fold_1","rfRules",0.2,0.2,0.978918423464711,0.96553784203963
"wall-robot-navigation","Fold_1","rfRules",0.2,0.25,0.970669110907424,0.952069633026263
"wall-robot-navigation","Fold_1","rfRules",0.2,0.3,0.966086159486709,0.944626962102933
"wall-robot-navigation","Fold_1","rfRules",0.2,0.4,0.960586617781852,0.935695448115535
"wall-robot-navigation","Fold_1","rfRules",0.2,0.5,0.951420714940422,0.920776302629235
"wall-robot-navigation","Fold_1","rfRules",0.2,0.6,0.942254812098992,0.905737255267676
"wall-robot-navigation","Fold_1","rfRules",0.2,0.7,0.935838680109991,0.89528113798976
"wall-robot-navigation","Fold_1","rfRules",0.2,0.75,0.931255728689276,0.887761512589366
"wall-robot-navigation","Fold_1","rfRules",0.2,0.8,0.928505957836847,0.883313268045733
"wall-robot-navigation","Fold_1","rfRules",0.2,0.9,0.92025664527956,0.869832458162539
"wall-robot-navigation","Fold_1","rfRules",0.2,1,0.908340971585701,0.850474001526782
"wall-robot-navigation","Fold_1","rfRules",0.3,0.1,0.982584784601283,0.971477006441031
"wall-robot-navigation","Fold_1","rfRules",0.3,0.2,0.963336388634281,0.939932499766007
"wall-robot-navigation","Fold_1","rfRules",0.3,0.25,0.957836846929423,0.930955921906148
"wall-robot-navigation","Fold_1","rfRules",0.3,0.3,0.948670944087993,0.915984020792222
"wall-robot-navigation","Fold_1","rfRules",0.3,0.4,0.940421631530706,0.902545109733808
"wall-robot-navigation","Fold_1","rfRules",0.3,0.5,0.926672777268561,0.880120428973277
"wall-robot-navigation","Fold_1","rfRules",0.3,0.6,0.914757103574702,0.860730859981415
