"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wall-robot-navigation","Fold_1","rf",0.1,0.1,0.993583868010999,0.990326311242734
"wall-robot-navigation","Fold_1","rf",0.1,0.2,0.984417965169569,0.976536833010109
"wall-robot-navigation","Fold_1","rf",0.1,0.25,0.982584784601283,0.973775067020398
"wall-robot-navigation","Fold_1","rf",0.1,0.3,0.980751604032997,0.971014547759387
"wall-robot-navigation","Fold_1","rf",0.1,0.4,0.97250229147571,0.958627541694792
"wall-robot-navigation","Fold_1","rf",0.1,0.5,0.967002749770852,0.950346773602223
"wall-robot-navigation","Fold_1","rf",0.1,0.6,0.959670027497709,0.939357955320643
"wall-robot-navigation","Fold_1","rf",0.1,0.7,0.951420714940422,0.927066581401303
"wall-robot-navigation","Fold_1","rf",0.1,0.75,0.948670944087993,0.92296285835334
"wall-robot-navigation","Fold_1","rf",0.1,0.8,0.941338221814849,0.912034750708015
"wall-robot-navigation","Fold_1","rf",0.1,0.9,0.935838680109991,0.903828233219998
"wall-robot-navigation","Fold_1","rf",0.1,1,0.927589367552704,0.891535273782542
"wall-robot-navigation","Fold_1","rf",0.2,0.1,0.991750687442713,0.987571940101283
"wall-robot-navigation","Fold_1","rf",0.2,0.2,0.984417965169569,0.976523527736464
"wall-robot-navigation","Fold_1","rf",0.2,0.25,0.978918423464711,0.968247038621613
"wall-robot-navigation","Fold_1","rf",0.2,0.3,0.974335472043996,0.961345248127874
"wall-robot-navigation","Fold_1","rf",0.2,0.4,0.965169569202566,0.947570762650776
"wall-robot-navigation","Fold_1","rf",0.2,0.5,0.959670027497709,0.939288008863212
"wall-robot-navigation","Fold_1","rf",0.2,0.6,0.952337305224565,0.928226953225814
"wall-robot-navigation","Fold_1","rf",0.2,0.7,0.945004582951421,0.917184946029786
"wall-robot-navigation","Fold_1","rf",0.2,0.75,0.939505041246563,0.908971386528382
"wall-robot-navigation","Fold_1","rf",0.2,0.8,0.933088909257562,0.899202024996045
"wall-robot-navigation","Fold_1","rf",0.2,0.9,0.917506874427131,0.875765788334965
"wall-robot-navigation","Fold_1","rf",0.2,1,0.908340971585701,0.86194451966563
"wall-robot-navigation","Fold_1","rf",0.3,0.1,0.986251145737855,0.979270666948716
"wall-robot-navigation","Fold_1","rf",0.3,0.2,0.976168652612282,0.964055724651087
"wall-robot-navigation","Fold_1","rf",0.3,0.25,0.967002749770852,0.95024827725983
"wall-robot-navigation","Fold_1","rf",0.3,0.3,0.961503208065995,0.941996587289934
"wall-robot-navigation","Fold_1","rf",0.3,0.4,0.948670944087993,0.922807904179512
"wall-robot-navigation","Fold_1","rf",0.3,0.5,0.936755270394134,0.904828067496103
"wall-robot-navigation","Fold_1","rf",0.3,0.6,0.927589367552704,0.891046604379171
"wall-robot-navigation","Fold_1","rf",0.3,0.7,0.914757103574702,0.871586141433317
"wall-robot-navigation","Fold_1","rf",0.3,0.75,0.910174152153987,0.864685766934212
"wall-robot-navigation","Fold_1","rf",0.3,0.8,0.899175068744271,0.848097452553396
"wall-robot-navigation","Fold_1","rf",0.3,0.9,0.886342804766269,0.828510437635319
"wall-robot-navigation","Fold_1","rf",0.3,1,0.870760769935839,0.805015343391568
"wall-robot-navigation","Fold_1","rf",0.4,0.1,0.982584784601283,0.97372986714757
"wall-robot-navigation","Fold_1","rf",0.4,0.2,0.967002749770852,0.950259870520653
"wall-robot-navigation","Fold_1","rf",0.4,0.25,0.961503208065995,0.941989978452914
"wall-robot-navigation","Fold_1","rf",0.4,0.3,0.95692025664528,0.935035910975747
"wall-robot-navigation","Fold_1","rf",0.4,0.4,0.935838680109991,0.903430084493934
"wall-robot-navigation","Fold_1","rf",0.4,0.5,0.921173235563703,0.881296019837555
"wall-robot-navigation","Fold_1","rf",0.4,0.6,0.910174152153987,0.864633343461967
"wall-robot-navigation","Fold_1","rf",0.4,0.7,0.893675527039413,0.839601119380285
"wall-robot-navigation","Fold_1","rf",0.4,0.75,0.885426214482126,0.82714827287695
"wall-robot-navigation","Fold_1","rf",0.4,0.8,0.875343721356554,0.811952336654694
"wall-robot-navigation","Fold_1","rf",0.4,0.9,0.859761686526123,0.788164749328985
"wall-robot-navigation","Fold_1","rf",0.4,1,0.846012832263978,0.767483635256508
"wall-robot-navigation","Fold_1","rf",0.5,0.1,0.983501374885426,0.975119474161654
"wall-robot-navigation","Fold_1","rf",0.5,0.2,0.967002749770852,0.95025256235529
"wall-robot-navigation","Fold_1","rf",0.5,0.25,0.95692025664528,0.935076215208096
"wall-robot-navigation","Fold_1","rf",0.5,0.3,0.951420714940422,0.9267665605753
"wall-robot-navigation","Fold_1","rf",0.5,0.4,0.933088909257562,0.899082220056843
"wall-robot-navigation","Fold_1","rf",0.5,0.5,0.921173235563703,0.881217574927396
"wall-robot-navigation","Fold_1","rf",0.5,0.6,0.910174152153987,0.864673093085187
"wall-robot-navigation","Fold_1","rf",0.5,0.7,0.893675527039413,0.839966616507126
"wall-robot-navigation","Fold_1","rf",0.5,0.75,0.888175985334555,0.831590214918529
"wall-robot-navigation","Fold_1","rf",0.5,0.8,0.87717690192484,0.814807871115176
"wall-robot-navigation","Fold_1","rf",0.5,0.9,0.859761686526123,0.788439139323225
"wall-robot-navigation","Fold_1","rf",0.5,1,0.845096241979835,0.766165166562883
"wall-robot-navigation","Fold_1","rf",0.6,0.1,0.977085242896425,0.965375499690887
"wall-robot-navigation","Fold_1","rf",0.6,0.2,0.958753437213566,0.937717961761784
"wall-robot-navigation","Fold_1","rf",0.6,0.25,0.952337305224565,0.928073898832843
"wall-robot-navigation","Fold_1","rf",0.6,0.3,0.945004582951421,0.916955069977976
"wall-robot-navigation","Fold_1","rf",0.6,0.4,0.925756186984418,0.888026426325973
"wall-robot-navigation","Fold_1","rf",0.6,0.5,0.905591200733272,0.85711197661363
"wall-robot-navigation","Fold_1","rf",0.6,0.6,0.889092575618698,0.832146803362379
"wall-robot-navigation","Fold_1","rf",0.6,0.7,0.868927589367553,0.801617446037448
"wall-robot-navigation","Fold_1","rf",0.6,0.75,0.855178735105408,0.780962110757861
"wall-robot-navigation","Fold_1","rf",0.6,0.8,0.847846012832264,0.769939406257543
"wall-robot-navigation","Fold_1","rf",0.6,0.9,0.828597616865261,0.740270172896905
"wall-robot-navigation","Fold_1","rf",0.6,1,0.80659945004583,0.706380395173027
"wall-robot-navigation","Fold_1","rf",0.7,0.1,0.978918423464711,0.968183587534123
"wall-robot-navigation","Fold_1","rf",0.7,0.2,0.956003666361137,0.933600951455966
"wall-robot-navigation","Fold_1","rf",0.7,0.25,0.945004582951421,0.917058819057466
"wall-robot-navigation","Fold_1","rf",0.7,0.3,0.941338221814849,0.911435370042466
"wall-robot-navigation","Fold_1","rf",0.7,0.4,0.92025664527956,0.879518974584199
"wall-robot-navigation","Fold_1","rf",0.7,0.5,0.897341888175985,0.844604682512431
"wall-robot-navigation","Fold_1","rf",0.7,0.6,0.885426214482126,0.826365237142752
"wall-robot-navigation","Fold_1","rf",0.7,0.7,0.865261228230981,0.795478978115408
"wall-robot-navigation","Fold_1","rf",0.7,0.75,0.857928505957837,0.784499182497416
"wall-robot-navigation","Fold_1","rf",0.7,0.8,0.846929422548121,0.767609127933154
"wall-robot-navigation","Fold_1","rf",0.7,0.9,0.824014665444546,0.732836091207538
"wall-robot-navigation","Fold_1","rf",0.7,1,0.80659945004583,0.70612325663039
"wall-robot-navigation","Fold_1","rf",0.8,0.1,0.983501374885426,0.97510767912508
"wall-robot-navigation","Fold_1","rf",0.8,0.2,0.967002749770852,0.950165075965396
"wall-robot-navigation","Fold_1","rf",0.8,0.25,0.95692025664528,0.934916845313117
"wall-robot-navigation","Fold_1","rf",0.8,0.3,0.951420714940422,0.926582824929056
"wall-robot-navigation","Fold_1","rf",0.8,0.4,0.923923006416132,0.885006076506841
"wall-robot-navigation","Fold_1","rf",0.8,0.5,0.900091659028414,0.848772249754246
"wall-robot-navigation","Fold_1","rf",0.8,0.6,0.884509624197984,0.825167372105327
"wall-robot-navigation","Fold_1","rf",0.8,0.7,0.864344637946838,0.794282598337117
"wall-robot-navigation","Fold_1","rf",0.8,0.75,0.84967919340055,0.771756157547492
"wall-robot-navigation","Fold_1","rf",0.8,0.8,0.84051329055912,0.757851823694637
"wall-robot-navigation","Fold_1","rf",0.8,0.9,0.816681943171402,0.720779054590126
"wall-robot-navigation","Fold_1","rf",0.8,1,0.796516956920257,0.68973203419837
"wall-robot-navigation","Fold_1","rf",0.9,0.1,0.968835930339138,0.952925798550743
"wall-robot-navigation","Fold_1","rf",0.9,0.2,0.951420714940422,0.926582265623314
"wall-robot-navigation","Fold_1","rf",0.9,0.25,0.939505041246563,0.908613245406295
"wall-robot-navigation","Fold_1","rf",0.9,0.3,0.930339138405133,0.894679348433578
"wall-robot-navigation","Fold_1","rf",0.9,0.4,0.908340971585701,0.861549980330199
"wall-robot-navigation","Fold_1","rf",0.9,0.5,0.894592117323556,0.84066945117855
"wall-robot-navigation","Fold_1","rf",0.9,0.6,0.878093492208983,0.815487536447134
"wall-robot-navigation","Fold_1","rf",0.9,0.7,0.859761686526123,0.787456437119839
"wall-robot-navigation","Fold_1","rf",0.9,0.75,0.850595783684693,0.773655773697776
"wall-robot-navigation","Fold_1","rf",0.9,0.8,0.835013748854262,0.749646230925154
"wall-robot-navigation","Fold_1","rf",0.9,0.9,0.81301558203483,0.715522265964518
"wall-robot-navigation","Fold_1","rf",0.9,1,0.787351054078827,0.676199004720541
"wall-robot-navigation","Fold_1","rf",1,0.1,0.978918423464711,0.968188669725294
"wall-robot-navigation","Fold_1","rf",1,0.2,0.958753437213566,0.937722544071179
"wall-robot-navigation","Fold_1","rf",1,0.25,0.945004582951421,0.916998874045221
"wall-robot-navigation","Fold_1","rf",1,0.3,0.936755270394134,0.904505962748205
"wall-robot-navigation","Fold_1","rf",1,0.4,0.914757103574702,0.871176253251922
"wall-robot-navigation","Fold_1","rf",1,0.5,0.898258478460128,0.846134396873416
"wall-robot-navigation","Fold_1","rf",1,0.6,0.879010082493126,0.816625580637275
"wall-robot-navigation","Fold_1","rf",1,0.7,0.857011915673694,0.782830164603802
"wall-robot-navigation","Fold_1","rf",1,0.75,0.845096241979835,0.764664513008106
"wall-robot-navigation","Fold_1","rf",1,0.8,0.83134738771769,0.743376158517098
"wall-robot-navigation","Fold_1","rf",1,0.9,0.805682859761687,0.704093199153572
"wall-robot-navigation","Fold_1","rf",1,1,0.778185151237397,0.661811157764758
"wall-robot-navigation","Fold_2","rf",0.1,0.1,0.994500458295142,0.99171837935288
"wall-robot-navigation","Fold_2","rf",0.1,0.2,0.989000916590284,0.983446350471562
"wall-robot-navigation","Fold_2","rf",0.1,0.25,0.982584784601283,0.973804529141182
"wall-robot-navigation","Fold_2","rf",0.1,0.3,0.979835013748854,0.969665297084699
"wall-robot-navigation","Fold_2","rf",0.1,0.4,0.976168652612282,0.964149896554644
"wall-robot-navigation","Fold_2","rf",0.1,0.5,0.969752520623281,0.954493287055177
"wall-robot-navigation","Fold_2","rf",0.1,0.6,0.961503208065995,0.942113022485494
"wall-robot-navigation","Fold_2","rf",0.1,0.7,0.951420714940422,0.927046245385429
"wall-robot-navigation","Fold_2","rf",0.1,0.75,0.948670944087993,0.92294109337477
"wall-robot-navigation","Fold_2","rf",0.1,0.8,0.945004582951421,0.917456354385368
"wall-robot-navigation","Fold_2","rf",0.1,0.9,0.939505041246563,0.909201989823904
"wall-robot-navigation","Fold_2","rf",0.1,1,0.928505957836847,0.892687577317833
"wall-robot-navigation","Fold_2","rf",0.2,0.1,0.99083409715857,0.9861958144596
"wall-robot-navigation","Fold_2","rf",0.2,0.2,0.978918423464711,0.968231159367079
"wall-robot-navigation","Fold_2","rf",0.2,0.25,0.975252062328139,0.962701326985413
"wall-robot-navigation","Fold_2","rf",0.2,0.3,0.973418881759853,0.959938462317666
"wall-robot-navigation","Fold_2","rf",0.2,0.4,0.966086159486709,0.948924771998016
"wall-robot-navigation","Fold_2","rf",0.2,0.5,0.953253895508708,0.929560418831995
"wall-robot-navigation","Fold_2","rf",0.2,0.6,0.93858845096242,0.907379179353452
"wall-robot-navigation","Fold_2","rf",0.2,0.7,0.928505957836847,0.892206921972951
"wall-robot-navigation","Fold_2","rf",0.2,0.75,0.923006416131989,0.883927497115412
"wall-robot-navigation","Fold_2","rf",0.2,0.8,0.916590284142988,0.87432434827299
"wall-robot-navigation","Fold_2","rf",0.2,0.9,0.907424381301558,0.860503242108675
"wall-robot-navigation","Fold_2","rf",0.2,1,0.897341888175985,0.845367687070526
"wall-robot-navigation","Fold_2","rf",0.3,0.1,0.987167736021998,0.980665015120885
"wall-robot-navigation","Fold_2","rf",0.3,0.2,0.97250229147571,0.958577694980978
"wall-robot-navigation","Fold_2","rf",0.3,0.25,0.969752520623281,0.954436675420002
"wall-robot-navigation","Fold_2","rf",0.3,0.3,0.960586617781852,0.94061104303177
"wall-robot-navigation","Fold_2","rf",0.3,0.4,0.949587534372136,0.924009579060811
"wall-robot-navigation","Fold_2","rf",0.3,0.5,0.934005499541705,0.900653105412529
"wall-robot-navigation","Fold_2","rf",0.3,0.6,0.92025664527956,0.87986117527634
"wall-robot-navigation","Fold_2","rf",0.3,0.7,0.899175068744271,0.84800491409827
"wall-robot-navigation","Fold_2","rf",0.3,0.75,0.89275893675527,0.838447694550756
"wall-robot-navigation","Fold_2","rf",0.3,0.8,0.88359303391384,0.824598514827671
"wall-robot-navigation","Fold_2","rf",0.3,0.9,0.867094408799267,0.799686477903403
"wall-robot-navigation","Fold_2","rf",0.3,1,0.852428964252979,0.777494730335029
"wall-robot-navigation","Fold_2","rf",0.4,0.1,0.983501374885426,0.975081874023761
"wall-robot-navigation","Fold_2","rf",0.4,0.2,0.969752520623281,0.954333746832168
"wall-robot-navigation","Fold_2","rf",0.4,0.25,0.964252978918423,0.94604933653706
"wall-robot-navigation","Fold_2","rf",0.4,0.3,0.956003666361137,0.933557312654155
"wall-robot-navigation","Fold_2","rf",0.4,0.4,0.943171402383135,0.914167087528202
"wall-robot-navigation","Fold_2","rf",0.4,0.5,0.932172318973419,0.897589482670482
"wall-robot-navigation","Fold_2","rf",0.4,0.6,0.918423464711274,0.876811373560987
"wall-robot-navigation","Fold_2","rf",0.4,0.7,0.901008249312557,0.850576184866128
"wall-robot-navigation","Fold_2","rf",0.4,0.75,0.89275893675527,0.838201349938207
"wall-robot-navigation","Fold_2","rf",0.4,0.8,0.888175985334555,0.831438149114842
"wall-robot-navigation","Fold_2","rf",0.4,0.9,0.878093492208983,0.816230873081609
"wall-robot-navigation","Fold_2","rf",0.4,1,0.861594867094409,0.791299599932097
"wall-robot-navigation","Fold_2","rf",0.5,0.1,0.99083409715857,0.986187075863466
"wall-robot-navigation","Fold_2","rf",0.5,0.2,0.973418881759853,0.959845366777971
"wall-robot-navigation","Fold_2","rf",0.5,0.25,0.967919340054995,0.951545321652268
"wall-robot-navigation","Fold_2","rf",0.5,0.3,0.961503208065995,0.94183903494075
"wall-robot-navigation","Fold_2","rf",0.5,0.4,0.948670944087993,0.922347570120541
"wall-robot-navigation","Fold_2","rf",0.5,0.5,0.932172318973419,0.897377686822336
"wall-robot-navigation","Fold_2","rf",0.5,0.6,0.910174152153987,0.864037569670604
"wall-robot-navigation","Fold_2","rf",0.5,0.7,0.885426214482126,0.82655140310535
"wall-robot-navigation","Fold_2","rf",0.5,0.75,0.878093492208983,0.815416652355711
"wall-robot-navigation","Fold_2","rf",0.5,0.8,0.872593950504125,0.806998006969244
"wall-robot-navigation","Fold_2","rf",0.5,0.9,0.859761686526123,0.787182203795004
"wall-robot-navigation","Fold_2","rf",0.5,1,0.846929422548121,0.767437378100461
"wall-robot-navigation","Fold_2","rf",0.6,0.1,0.985334555453712,0.977892435859442
"wall-robot-navigation","Fold_2","rf",0.6,0.2,0.970669110907424,0.955751135626217
"wall-robot-navigation","Fold_2","rf",0.6,0.25,0.962419798350137,0.943244854975004
"wall-robot-navigation","Fold_2","rf",0.6,0.3,0.957836846929423,0.936306686363798
"wall-robot-navigation","Fold_2","rf",0.6,0.4,0.941338221814849,0.911329648894668
"wall-robot-navigation","Fold_2","rf",0.6,0.5,0.922089825847846,0.882200881572095
"wall-robot-navigation","Fold_2","rf",0.6,0.6,0.895508707607699,0.841764365366633
"wall-robot-navigation","Fold_2","rf",0.6,0.7,0.87717690192484,0.814043710425427
"wall-robot-navigation","Fold_2","rf",0.6,0.75,0.866177818515124,0.79728364203737
"wall-robot-navigation","Fold_2","rf",0.6,0.8,0.854262144821265,0.778860090944901
"wall-robot-navigation","Fold_2","rf",0.6,0.9,0.842346471127406,0.760506523623007
"wall-robot-navigation","Fold_2","rf",0.6,1,0.825847846012832,0.735506377245051
"wall-robot-navigation","Fold_2","rf",0.7,0.1,0.976168652612282,0.963931912361388
"wall-robot-navigation","Fold_2","rf",0.7,0.2,0.95692025664528,0.934639598127279
"wall-robot-navigation","Fold_2","rf",0.7,0.25,0.948670944087993,0.922012141883371
"wall-robot-navigation","Fold_2","rf",0.7,0.3,0.941338221814849,0.910750258198439
