"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wall-robot-navigation","Fold_1","svmLinear",0.1,0.1,0.994500458295142,0.991413775735063
"wall-robot-navigation","Fold_1","svmLinear",0.1,0.2,0.992667277726856,0.988554943613952
"wall-robot-navigation","Fold_1","svmLinear",0.1,0.25,0.99083409715857,0.98569367951744
"wall-robot-navigation","Fold_1","svmLinear",0.1,0.3,0.99083409715857,0.98569367951744
"wall-robot-navigation","Fold_1","svmLinear",0.1,0.4,0.988084326306141,0.981415016582737
"wall-robot-navigation","Fold_1","svmLinear",0.1,0.5,0.986251145737855,0.978542235672206
"wall-robot-navigation","Fold_1","svmLinear",0.1,0.6,0.983501374885426,0.974247035943731
"wall-robot-navigation","Fold_1","svmLinear",0.1,0.7,0.979835013748854,0.968517631936201
"wall-robot-navigation","Fold_1","svmLinear",0.1,0.75,0.978918423464711,0.967081952073169
"wall-robot-navigation","Fold_1","svmLinear",0.1,0.8,0.978001833180568,0.965667577075529
"wall-robot-navigation","Fold_1","svmLinear",0.1,0.9,0.976168652612282,0.962806541831823
"wall-robot-navigation","Fold_1","svmLinear",0.1,1,0.970669110907424,0.954236397217376
"wall-robot-navigation","Fold_1","svmLinear",0.2,0.1,0.991750687442713,0.987123517971866
"wall-robot-navigation","Fold_1","svmLinear",0.2,0.2,0.985334555453712,0.977148901298858
"wall-robot-navigation","Fold_1","svmLinear",0.2,0.25,0.982584784601283,0.972860483324038
"wall-robot-navigation","Fold_1","svmLinear",0.2,0.3,0.980751604032997,0.970003692094989
"wall-robot-navigation","Fold_1","svmLinear",0.2,0.4,0.978918423464711,0.967165600886645
"wall-robot-navigation","Fold_1","svmLinear",0.2,0.5,0.974335472043996,0.960041596086305
"wall-robot-navigation","Fold_1","svmLinear",0.2,0.6,0.965169569202566,0.945797821087574
"wall-robot-navigation","Fold_1","svmLinear",0.2,0.7,0.958753437213566,0.935781556572924
"wall-robot-navigation","Fold_1","svmLinear",0.2,0.75,0.955087076076994,0.930117309949777
"wall-robot-navigation","Fold_1","svmLinear",0.2,0.8,0.953253895508708,0.927275222522841
"wall-robot-navigation","Fold_1","svmLinear",0.2,0.9,0.950504124656279,0.922986423209958
"wall-robot-navigation","Fold_1","svmLinear",0.2,1,0.939505041246563,0.905912144945943
"wall-robot-navigation","Fold_1","svmLinear",0.3,0.1,0.993583868010999,0.989974980112734
"wall-robot-navigation","Fold_1","svmLinear",0.3,0.2,0.989000916590284,0.982815559977528
"wall-robot-navigation","Fold_1","svmLinear",0.3,0.25,0.98166819431714,0.971383306316657
"wall-robot-navigation","Fold_1","svmLinear",0.3,0.3,0.978001833180568,0.965662579502984
"wall-robot-navigation","Fold_1","svmLinear",0.3,0.4,0.971585701191567,0.955671971804957
"wall-robot-navigation","Fold_1","svmLinear",0.3,0.5,0.966086159486709,0.947095820429582
"wall-robot-navigation","Fold_1","svmLinear",0.3,0.6,0.95692025664528,0.932878060785038
"wall-robot-navigation","Fold_1","svmLinear",0.3,0.7,0.950504124656279,0.92292476156835
"wall-robot-navigation","Fold_1","svmLinear",0.3,0.75,0.945921173235564,0.915882366777919
