"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"waveform-5000","Fold_1","PART",0.1,0.1,1,1
"waveform-5000","Fold_1","PART",0.1,0.2,0.999,0.997688694944714
"waveform-5000","Fold_1","PART",0.1,0.25,0.999,0.997688694944714
"waveform-5000","Fold_1","PART",0.1,0.3,0.997,0.993066084834141
"waveform-5000","Fold_1","PART",0.1,0.4,0.997,0.993066084834141
"waveform-5000","Fold_1","PART",0.1,0.5,0.996,0.990746909467762
"waveform-5000","Fold_1","PART",0.1,0.6,0.995,0.988443474723568
"waveform-5000","Fold_1","PART",0.1,0.7,0.995,0.988443474723568
"waveform-5000","Fold_1","PART",0.1,0.75,0.995,0.988443474723568
"waveform-5000","Fold_1","PART",0.1,0.8,0.994,0.986143955069465
"waveform-5000","Fold_1","PART",0.1,0.9,0.992,0.981493818935524
"waveform-5000","Fold_1","PART",0.1,1,0.989,0.974575644391849
"waveform-5000","Fold_1","PART",0.2,0.1,0.998,0.995373454733881
"waveform-5000","Fold_1","PART",0.2,0.2,0.994,0.986143955069465
"waveform-5000","Fold_1","PART",0.2,0.25,0.994,0.986143955069465
"waveform-5000","Fold_1","PART",0.2,0.3,0.993,0.983820864612995
"waveform-5000","Fold_1","PART",0.2,0.4,0.99,0.976827821444461
"waveform-5000","Fold_1","PART",0.2,0.5,0.99,0.976827821444461
"waveform-5000","Fold_1","PART",0.2,0.6,0.988,0.972240728403287
"waveform-5000","Fold_1","PART",0.2,0.7,0.987,0.969901833672902
"waveform-5000","Fold_1","PART",0.2,0.75,0.986,0.967558950022245
"waveform-5000","Fold_1","PART",0.2,0.8,0.985,0.965212067238116
"waveform-5000","Fold_1","PART",0.2,0.9,0.979,0.951296894133363
"waveform-5000","Fold_1","PART",0.2,1,0.975,0.942118910909428
"waveform-5000","Fold_1","PART",0.3,0.1,0.994,0.986143955069465
"waveform-5000","Fold_1","PART",0.3,0.2,0.993,0.983848340532359
"waveform-5000","Fold_1","PART",0.3,0.25,0.993,0.983848340532359
"waveform-5000","Fold_1","PART",0.3,0.3,0.991,0.979233580684461
"waveform-5000","Fold_1","PART",0.3,0.4,0.988,0.972240728403287
"waveform-5000","Fold_1","PART",0.3,0.5,0.986,0.967558950022245
"waveform-5000","Fold_1","PART",0.3,0.6,0.983,0.960640859418411
"waveform-5000","Fold_1","PART",0.3,0.7,0.982,0.95836109260493
"waveform-5000","Fold_1","PART",0.3,0.75,0.981,0.956010372291165
"waveform-5000","Fold_1","PART",0.3,0.8,0.981,0.956010372291165
"waveform-5000","Fold_1","PART",0.3,0.9,0.976,0.944291762608631
"waveform-5000","Fold_1","PART",0.3,1,0.97,0.930364703260789
"waveform-5000","Fold_1","PART",0.4,0.1,0.995,0.988423782181886
"waveform-5000","Fold_1","PART",0.4,0.2,0.991,0.979162807927394
"waveform-5000","Fold_1","PART",0.4,0.25,0.989,0.974532320800148
"waveform-5000","Fold_1","PART",0.4,0.3,0.987,0.969953034281277
"waveform-5000","Fold_1","PART",0.4,0.4,0.986,0.967614183137168
"waveform-5000","Fold_1","PART",0.4,0.5,0.983,0.960640859418411
"waveform-5000","Fold_1","PART",0.4,0.6,0.976,0.944386771466706
"waveform-5000","Fold_1","PART",0.4,0.7,0.973,0.937274653384381
"waveform-5000","Fold_1","PART",0.4,0.75,0.97,0.930125959603488
"waveform-5000","Fold_1","PART",0.4,0.8,0.969,0.927734884935288
"waveform-5000","Fold_1","PART",0.4,0.9,0.96,0.906191369606004
"waveform-5000","Fold_1","PART",0.4,1,0.956,0.896988312855858
"waveform-5000","Fold_1","PART",0.5,0.1,0.997,0.993054269309131
"waveform-5000","Fold_1","PART",0.5,0.2,0.997,0.993054269309131
"waveform-5000","Fold_1","PART",0.5,0.25,0.995,0.988423782181886
"waveform-5000","Fold_1","PART",0.5,0.3,0.991,0.979198254502422
"waveform-5000","Fold_1","PART",0.5,0.4,0.986,0.967724087052748
"waveform-5000","Fold_1","PART",0.5,0.5,0.983,0.960774541292871
"waveform-5000","Fold_1","PART",0.5,0.6,0.977,0.946839983728412
"waveform-5000","Fold_1","PART",0.5,0.7,0.972,0.93511790004449
"waveform-5000","Fold_1","PART",0.5,0.75,0.97,0.930483464333383
"waveform-5000","Fold_1","PART",0.5,0.8,0.967,0.923335687469799
"waveform-5000","Fold_1","PART",0.5,0.9,0.962,0.91134089890996
"waveform-5000","Fold_1","PART",0.5,1,0.958,0.902008361953113
"waveform-5000","Fold_1","PART",0.6,0.1,0.993,0.983848340532359
"waveform-5000","Fold_1","PART",0.6,0.2,0.984,0.963113242345998
"waveform-5000","Fold_1","PART",0.6,0.25,0.98,0.953891552932497
"waveform-5000","Fold_1","PART",0.6,0.3,0.977,0.947020233663804
"waveform-5000","Fold_1","PART",0.6,0.4,0.968,0.926101093703813
"waveform-5000","Fold_1","PART",0.6,0.5,0.964,0.91686373041679
"waveform-5000","Fold_1","PART",0.6,0.6,0.959,0.905397423118101
"waveform-5000","Fold_1","PART",0.6,0.7,0.95,0.884139107222304
"waveform-5000","Fold_1","PART",0.6,0.75,0.945,0.872226145782998
"waveform-5000","Fold_1","PART",0.6,0.8,0.945,0.872226145782998
"waveform-5000","Fold_1","PART",0.6,0.9,0.939,0.858044457683285
"waveform-5000","Fold_1","PART",0.6,1,0.932,0.841618841767906
"waveform-5000","Fold_1","PART",0.7,0.1,0.991,0.979162807927394
"waveform-5000","Fold_1","PART",0.7,0.2,0.986,0.967503528188368
"waveform-5000","Fold_1","PART",0.7,0.25,0.981,0.95585994127049
"waveform-5000","Fold_1","PART",0.7,0.3,0.977,0.946567297327436
"waveform-5000","Fold_1","PART",0.7,0.4,0.971,0.932397150423334
"waveform-5000","Fold_1","PART",0.7,0.5,0.963,0.913599850551093
"waveform-5000","Fold_1","PART",0.7,0.6,0.952,0.888009556517844
"waveform-5000","Fold_1","PART",0.7,0.7,0.947,0.876024551817059
"waveform-5000","Fold_1","PART",0.7,0.75,0.94,0.859287054409006
"waveform-5000","Fold_1","PART",0.7,0.8,0.937,0.852123784128892
"waveform-5000","Fold_1","PART",0.7,0.9,0.927,0.828057282833993
"waveform-5000","Fold_1","PART",0.7,1,0.923,0.818635764085171
"waveform-5000","Fold_1","PART",0.8,0.1,0.989,0.974488849307952
"waveform-5000","Fold_1","PART",0.8,0.2,0.981,0.955935285168281
"waveform-5000","Fold_1","PART",0.8,0.25,0.976,0.944386771466706
"waveform-5000","Fold_1","PART",0.8,0.3,0.971,0.932743329993692
"waveform-5000","Fold_1","PART",0.8,0.4,0.963,0.914043043526744
"waveform-5000","Fold_1","PART",0.8,0.5,0.957,0.899932978366906
"waveform-5000","Fold_1","PART",0.8,0.6,0.951,0.88616511169758
"waveform-5000","Fold_1","PART",0.8,0.7,0.943,0.867579823811471
"waveform-5000","Fold_1","PART",0.8,0.75,0.939,0.858287179868416
"waveform-5000","Fold_1","PART",0.8,0.8,0.935,0.848994535925362
"waveform-5000","Fold_1","PART",0.8,0.9,0.922,0.818638392857143
"waveform-5000","Fold_1","PART",0.8,1,0.915,0.803204297092054
"waveform-5000","Fold_1","PART",0.9,0.1,0.993,0.983820864612995
"waveform-5000","Fold_1","PART",0.9,0.2,0.985,0.965389301140769
"waveform-5000","Fold_1","PART",0.9,0.25,0.979,0.951379885163919
"waveform-5000","Fold_1","PART",0.9,0.3,0.973,0.937700742053383
"waveform-5000","Fold_1","PART",0.9,0.4,0.964,0.916437643912946
"waveform-5000","Fold_1","PART",0.9,0.5,0.962,0.911795290796999
"waveform-5000","Fold_1","PART",0.9,0.6,0.951,0.885970138139033
"waveform-5000","Fold_1","PART",0.9,0.7,0.942,0.864678214125728
"waveform-5000","Fold_1","PART",0.9,0.75,0.934,0.845482469283788
"waveform-5000","Fold_1","PART",0.9,0.8,0.93,0.835551044955646
"waveform-5000","Fold_1","PART",0.9,0.9,0.918,0.806018168054504
"waveform-5000","Fold_1","PART",0.9,1,0.904,0.77329403763319
"waveform-5000","Fold_1","PART",1,0.1,0.991,0.979091551128127
"waveform-5000","Fold_1","PART",1,0.2,0.984,0.962924514311137
"waveform-5000","Fold_1","PART",1,0.25,0.98,0.953497023809524
"waveform-5000","Fold_1","PART",1,0.3,0.976,0.944291762608631
"waveform-5000","Fold_1","PART",1,0.4,0.968,0.925595238095238
