"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"waveform-5000","Fold_1","knn",0.1,0.1,0.997,0.993210580631144
"waveform-5000","Fold_1","knn",0.1,0.2,0.995,0.988666654577765
"waveform-5000","Fold_1","knn",0.1,0.25,0.994,0.986431540336769
"waveform-5000","Fold_1","knn",0.1,0.3,0.995,0.988684301051907
"waveform-5000","Fold_1","knn",0.1,0.4,0.992,0.981908965916492
"waveform-5000","Fold_1","knn",0.1,0.5,0.993,0.984158308288373
"waveform-5000","Fold_1","knn",0.1,0.6,0.992,0.981909375014133
"waveform-5000","Fold_1","knn",0.1,0.7,0.992,0.981908965916492
"waveform-5000","Fold_1","knn",0.1,0.75,0.991,0.979663039155429
"waveform-5000","Fold_1","knn",0.1,0.8,0.992,0.981936660901451
"waveform-5000","Fold_1","knn",0.1,0.9,0.991,0.979694423637496
"waveform-5000","Fold_1","knn",0.1,1,0.991,0.979694973377854
"waveform-5000","Fold_1","knn",0.2,0.1,0.996,0.9909262485482
"waveform-5000","Fold_1","knn",0.2,0.2,0.994,0.986389434571744
"waveform-5000","Fold_1","knn",0.2,0.25,0.994,0.986389434571744
"waveform-5000","Fold_1","knn",0.2,0.3,0.994,0.9863893728223
"waveform-5000","Fold_1","knn",0.2,0.4,0.991,0.979631741893433
"waveform-5000","Fold_1","knn",0.2,0.5,0.99,0.977386207395615
"waveform-5000","Fold_1","knn",0.2,0.6,0.988,0.972821532593777
"waveform-5000","Fold_1","knn",0.2,0.7,0.987,0.970624920913249
"waveform-5000","Fold_1","knn",0.2,0.75,0.987,0.970579715392693
"waveform-5000","Fold_1","knn",0.2,0.8,0.986,0.968389156577539
"waveform-5000","Fold_1","knn",0.2,0.9,0.985,0.966105677976825
"waveform-5000","Fold_1","knn",0.2,1,0.985,0.96615737272916
"waveform-5000","Fold_1","knn",0.3,0.1,0.997,0.993210519168968
"waveform-5000","Fold_1","knn",0.3,0.2,0.995,0.988666654577765
"waveform-5000","Fold_1","knn",0.3,0.25,0.995,0.988701688419683
"waveform-5000","Fold_1","knn",0.3,0.3,0.992,0.981880775502809
"waveform-5000","Fold_1","knn",0.3,0.4,0.989,0.975066640071083
"waveform-5000","Fold_1","knn",0.3,0.5,0.987,0.970533301902189
"waveform-5000","Fold_1","knn",0.3,0.6,0.986,0.968241869918699
"waveform-5000","Fold_1","knn",0.3,0.7,0.984,0.963704994192799
"waveform-5000","Fold_1","knn",0.3,0.75,0.985,0.965946858938268
"waveform-5000","Fold_1","knn",0.3,0.8,0.985,0.965893277792431
"waveform-5000","Fold_1","knn",0.3,0.9,0.982,0.959168118466899
"waveform-5000","Fold_1","knn",0.3,1,0.982,0.959168118466899
"waveform-5000","Fold_1","knn",0.4,0.1,0.995,0.988684198614946
"waveform-5000","Fold_1","knn",0.4,0.2,0.989,0.975066640071083
"waveform-5000","Fold_1","knn",0.4,0.25,0.989,0.975066866131738
"waveform-5000","Fold_1","knn",0.4,0.3,0.985,0.965999963733295
"waveform-5000","Fold_1","knn",0.4,0.4,0.98,0.954702554322962
"waveform-5000","Fold_1","knn",0.4,0.5,0.979,0.952400380796954
"waveform-5000","Fold_1","knn",0.4,0.6,0.976,0.945557738286974
"waveform-5000","Fold_1","knn",0.4,0.7,0.975,0.943333272888824
"waveform-5000","Fold_1","knn",0.4,0.75,0.974,0.941112520384128
"waveform-5000","Fold_1","knn",0.4,0.8,0.971,0.934368946101063
"waveform-5000","Fold_1","knn",0.4,0.9,0.969,0.929843936705652
"waveform-5000","Fold_1","knn",0.4,1,0.965,0.920913248612592
"waveform-5000","Fold_1","knn",0.5,0.1,0.994,0.986368035770274
"waveform-5000","Fold_1","knn",0.5,0.2,0.988,0.972778869143487
"waveform-5000","Fold_1","knn",0.5,0.25,0.985,0.966052903155722
"waveform-5000","Fold_1","knn",0.5,0.3,0.987,0.970533569064781
"waveform-5000","Fold_1","knn",0.5,0.4,0.983,0.961585740626921
"waveform-5000","Fold_1","knn",0.5,0.5,0.979,0.952549235816741
"waveform-5000","Fold_1","knn",0.5,0.6,0.976,0.945895253210215
"waveform-5000","Fold_1","knn",0.5,0.7,0.976,0.945895253210215
"waveform-5000","Fold_1","knn",0.5,0.75,0.975,0.943682531672944
"waveform-5000","Fold_1","knn",0.5,0.8,0.976,0.945895253210215
"waveform-5000","Fold_1","knn",0.5,0.9,0.972,0.936975546512047
"waveform-5000","Fold_1","knn",0.5,1,0.969,0.930273776642165
"waveform-5000","Fold_1","knn",0.6,0.1,0.992,0.981824130284634
"waveform-5000","Fold_1","knn",0.6,0.2,0.987,0.970441109595271
"waveform-5000","Fold_1","knn",0.6,0.25,0.985,0.965999963733295
"waveform-5000","Fold_1","knn",0.6,0.3,0.983,0.961526623576485
"waveform-5000","Fold_1","knn",0.6,0.4,0.974,0.941294147929715
"waveform-5000","Fold_1","knn",0.6,0.5,0.973,0.939083270912487
"waveform-5000","Fold_1","knn",0.6,0.6,0.972,0.936681380707721
"waveform-5000","Fold_1","knn",0.6,0.7,0.969,0.930062988431065
"waveform-5000","Fold_1","knn",0.6,0.75,0.969,0.929951734485439
"waveform-5000","Fold_1","knn",0.6,0.8,0.967,0.925200598395213
"waveform-5000","Fold_1","knn",0.6,0.9,0.962,0.913799752287709
"waveform-5000","Fold_1","knn",0.6,1,0.953,0.893632429887929
"waveform-5000","Fold_1","knn",0.7,0.1,0.987,0.970533301902189
"waveform-5000","Fold_1","knn",0.7,0.2,0.981,0.956933287395507
"waveform-5000","Fold_1","knn",0.7,0.25,0.977,0.947867083729997
"waveform-5000","Fold_1","knn",0.7,0.3,0.977,0.947866611057718
"waveform-5000","Fold_1","knn",0.7,0.4,0.969,0.92962414754411
"waveform-5000","Fold_1","knn",0.7,0.5,0.965,0.92054267085596
"waveform-5000","Fold_1","knn",0.7,0.6,0.957,0.902533229368778
"waveform-5000","Fold_1","knn",0.7,0.7,0.957,0.902380995623036
"waveform-5000","Fold_1","knn",0.7,0.75,0.955,0.897840576814805
"waveform-5000","Fold_1","knn",0.7,0.8,0.952,0.890944781707805
"waveform-5000","Fold_1","knn",0.7,0.9,0.948,0.881858457344087
"waveform-5000","Fold_1","knn",0.7,1,0.943,0.87059806396542
"waveform-5000","Fold_1","knn",0.8,0.1,0.992,0.981852579428991
"waveform-5000","Fold_1","knn",0.8,0.2,0.986,0.968091749894019
"waveform-5000","Fold_1","knn",0.8,0.25,0.985,0.965893587994543
"waveform-5000","Fold_1","knn",0.8,0.3,0.982,0.959040267967669
"waveform-5000","Fold_1","knn",0.8,0.4,0.976,0.945472390853902
"waveform-5000","Fold_1","knn",0.8,0.5,0.975,0.943333272888824
"waveform-5000","Fold_1","knn",0.8,0.6,0.967,0.925083089664191
"waveform-5000","Fold_1","knn",0.8,0.7,0.963,0.916134004261299
"waveform-5000","Fold_1","knn",0.8,0.75,0.959,0.906774959299311
"waveform-5000","Fold_1","knn",0.8,0.8,0.956,0.900189186859453
