dataset,method,noise_levels,instance_level,avg_accuracy,avg_kappa,avg_kappa_loss,sd_accuracy,sd_kappa
waveform-5000,C5.0,0.1,0.1,0.999,0.998,0.002,0.001,0.002
waveform-5000,C5.0,0.1,0.2,0.998,0.995,0.005,0.001,0.002
waveform-5000,C5.0,0.1,0.25,0.997,0.994,0.006,0.001,0.001
waveform-5000,C5.0,0.1,0.3,0.996,0.992,0.008,0.002,0.004
waveform-5000,C5.0,0.1,0.4,0.996,0.99,0.01,0.002,0.004
waveform-5000,C5.0,0.1,0.5,0.995,0.988,0.012,0.003,0.006
waveform-5000,C5.0,0.1,0.6,0.994,0.986,0.014,0.003,0.007
waveform-5000,C5.0,0.1,0.7,0.993,0.984,0.016,0.003,0.008
waveform-5000,C5.0,0.1,0.75,0.993,0.984,0.016,0.003,0.008
waveform-5000,C5.0,0.1,0.8,0.992,0.982,0.018,0.003,0.007
waveform-5000,C5.0,0.1,0.9,0.991,0.979,0.021,0.003,0.006
waveform-5000,C5.0,0.1,1,0.99,0.977,0.023,0.003,0.007
waveform-5000,C5.0,0.2,0.1,0.998,0.996,0.004,0.001,0.002
waveform-5000,C5.0,0.2,0.2,0.996,0.991,0.009,0.001,0.003
waveform-5000,C5.0,0.2,0.25,0.996,0.99,0.01,0.002,0.004
waveform-5000,C5.0,0.2,0.3,0.994,0.986,0.014,0.002,0.004
waveform-5000,C5.0,0.2,0.4,0.991,0.98,0.02,0.001,0.003
waveform-5000,C5.0,0.2,0.5,0.99,0.976,0.024,0.002,0.004
waveform-5000,C5.0,0.2,0.6,0.988,0.973,0.027,0.002,0.004
waveform-5000,C5.0,0.2,0.7,0.986,0.967,0.033,0.002,0.005
waveform-5000,C5.0,0.2,0.75,0.985,0.965,0.035,0.002,0.006
waveform-5000,C5.0,0.2,0.8,0.983,0.959,0.041,0.004,0.01
waveform-5000,C5.0,0.2,0.9,0.98,0.952,0.048,0.005,0.013
waveform-5000,C5.0,0.2,1,0.978,0.947,0.053,0.005,0.014
waveform-5000,C5.0,0.3,0.1,0.998,0.995,0.005,0.001,0.002
waveform-5000,C5.0,0.3,0.2,0.995,0.988,0.012,0.001,0.003
waveform-5000,C5.0,0.3,0.25,0.994,0.985,0.015,0.001,0.003
waveform-5000,C5.0,0.3,0.3,0.992,0.982,0.018,0.003,0.006
waveform-5000,C5.0,0.3,0.4,0.989,0.974,0.026,0.001,0.003
waveform-5000,C5.0,0.3,0.5,0.986,0.967,0.033,0.002,0.004
waveform-5000,C5.0,0.3,0.6,0.981,0.956,0.044,0.004,0.01
waveform-5000,C5.0,0.3,0.7,0.98,0.953,0.047,0.004,0.01
waveform-5000,C5.0,0.3,0.75,0.979,0.952,0.048,0.004,0.01
waveform-5000,C5.0,0.3,0.8,0.977,0.945,0.055,0.003,0.008
waveform-5000,C5.0,0.3,0.9,0.974,0.939,0.061,0.004,0.01
waveform-5000,C5.0,0.3,1,0.972,0.933,0.067,0.005,0.012
waveform-5000,C5.0,0.4,0.1,0.996,0.99,0.01,0.002,0.005
waveform-5000,C5.0,0.4,0.2,0.993,0.983,0.017,0.002,0.005
waveform-5000,C5.0,0.4,0.25,0.991,0.979,0.021,0.003,0.007
waveform-5000,C5.0,0.4,0.3,0.99,0.976,0.024,0.003,0.008
waveform-5000,C5.0,0.4,0.4,0.987,0.969,0.031,0.003,0.006
waveform-5000,C5.0,0.4,0.5,0.983,0.96,0.04,0.005,0.011
waveform-5000,C5.0,0.4,0.6,0.98,0.952,0.048,0.005,0.01
waveform-5000,C5.0,0.4,0.7,0.977,0.946,0.054,0.005,0.011
waveform-5000,C5.0,0.4,0.75,0.975,0.942,0.058,0.005,0.011
waveform-5000,C5.0,0.4,0.8,0.973,0.935,0.065,0.005,0.014
waveform-5000,C5.0,0.4,0.9,0.969,0.926,0.074,0.006,0.015
waveform-5000,C5.0,0.4,1,0.966,0.92,0.08,0.005,0.013
waveform-5000,C5.0,0.5,0.1,0.997,0.992,0.008,0.002,0.004
waveform-5000,C5.0,0.5,0.2,0.992,0.982,0.018,0.001,0.002
waveform-5000,C5.0,0.5,0.25,0.991,0.978,0.022,0.001,0.003
waveform-5000,C5.0,0.5,0.3,0.988,0.972,0.028,0.001,0.003
waveform-5000,C5.0,0.5,0.4,0.982,0.958,0.042,0.003,0.007
waveform-5000,C5.0,0.5,0.5,0.979,0.95,0.05,0.004,0.009
waveform-5000,C5.0,0.5,0.6,0.976,0.943,0.057,0.004,0.01
waveform-5000,C5.0,0.5,0.7,0.972,0.934,0.066,0.006,0.014
waveform-5000,C5.0,0.5,0.75,0.97,0.93,0.07,0.007,0.018
waveform-5000,C5.0,0.5,0.8,0.967,0.922,0.078,0.008,0.02
waveform-5000,C5.0,0.5,0.9,0.962,0.909,0.091,0.008,0.022
waveform-5000,C5.0,0.5,1,0.959,0.901,0.099,0.009,0.023
waveform-5000,C5.0,0.6,0.1,0.995,0.988,0.012,0.002,0.005
waveform-5000,C5.0,0.6,0.2,0.99,0.977,0.023,0.003,0.008
waveform-5000,C5.0,0.6,0.25,0.988,0.972,0.028,0.003,0.008
waveform-5000,C5.0,0.6,0.3,0.985,0.965,0.035,0.003,0.008
waveform-5000,C5.0,0.6,0.4,0.98,0.952,0.048,0.004,0.01
waveform-5000,C5.0,0.6,0.5,0.976,0.944,0.056,0.004,0.009
waveform-5000,C5.0,0.6,0.6,0.971,0.932,0.068,0.005,0.011
waveform-5000,C5.0,0.6,0.7,0.965,0.918,0.082,0.004,0.011
waveform-5000,C5.0,0.6,0.75,0.963,0.913,0.087,0.005,0.011
waveform-5000,C5.0,0.6,0.8,0.96,0.904,0.096,0.005,0.011
waveform-5000,C5.0,0.6,0.9,0.954,0.892,0.108,0.004,0.01
waveform-5000,C5.0,0.6,1,0.949,0.878,0.122,0.002,0.006
waveform-5000,C5.0,0.7,0.1,0.993,0.984,0.016,0.002,0.005
waveform-5000,C5.0,0.7,0.2,0.986,0.966,0.034,0.004,0.009
