"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"waveform-5000","Fold_1","rf",0.1,0.1,0.999,0.997548899455856
"waveform-5000","Fold_1","rf",0.1,0.2,0.998,0.995102936279407
"waveform-5000","Fold_1","rf",0.1,0.25,0.996,0.990226500842964
"waveform-5000","Fold_1","rf",0.1,0.3,0.995,0.987770157226859
"waveform-5000","Fold_1","rf",0.1,0.4,0.996,0.990226357558935
"waveform-5000","Fold_1","rf",0.1,0.5,0.994,0.985339751264446
"waveform-5000","Fold_1","rf",0.1,0.6,0.993,0.98284229619099
"waveform-5000","Fold_1","rf",0.1,0.7,0.994,0.985308808838221
"waveform-5000","Fold_1","rf",0.1,0.75,0.992,0.98041184104209
"waveform-5000","Fold_1","rf",0.1,0.8,0.993,0.98284229619099
"waveform-5000","Fold_1","rf",0.1,0.9,0.989,0.973094345899089
"waveform-5000","Fold_1","rf",0.1,1,0.992,0.980411745117627
"waveform-5000","Fold_1","rf",0.2,0.1,0.997,0.992646698367567
"waveform-5000","Fold_1","rf",0.2,0.2,0.995,0.987744497279278
"waveform-5000","Fold_1","rf",0.2,0.25,0.993,0.982878220117602
"waveform-5000","Fold_1","rf",0.2,0.3,0.991,0.977986283008346
"waveform-5000","Fold_1","rf",0.2,0.4,0.989,0.973094345899089
"waveform-5000","Fold_1","rf",0.2,0.5,0.986,0.965792084288304
"waveform-5000","Fold_1","rf",0.2,0.6,0.987,0.968135692926124
"waveform-5000","Fold_1","rf",0.2,0.7,0.986,0.965792084288304
"waveform-5000","Fold_1","rf",0.2,0.75,0.986,0.965720553955848
"waveform-5000","Fold_1","rf",0.2,0.8,0.983,0.958418941395167
"waveform-5000","Fold_1","rf",0.2,0.9,0.985,0.963386772373123
"waveform-5000","Fold_1","rf",0.2,1,0.986,0.965792084288304
"waveform-5000","Fold_1","rf",0.3,0.1,0.999,0.997554031445372
"waveform-5000","Fold_1","rf",0.3,0.2,0.994,0.985370135570077
"waveform-5000","Fold_1","rf",0.3,0.25,0.995,0.987795948254821
"waveform-5000","Fold_1","rf",0.3,0.3,0.989,0.973094609138049
"waveform-5000","Fold_1","rf",0.3,0.4,0.986,0.965864481993514
"waveform-5000","Fold_1","rf",0.3,0.5,0.986,0.965863649663513
"waveform-5000","Fold_1","rf",0.3,0.6,0.982,0.956200756266942
"waveform-5000","Fold_1","rf",0.3,0.7,0.978,0.946357163756949
"waveform-5000","Fold_1","rf",0.3,0.75,0.974,0.936733502043995
"waveform-5000","Fold_1","rf",0.3,0.8,0.974,0.936603920803667
"waveform-5000","Fold_1","rf",0.3,0.9,0.971,0.929215117698173
"waveform-5000","Fold_1","rf",0.3,1,0.968,0.92164698047051
"waveform-5000","Fold_1","rf",0.4,0.1,0.996,0.990205872558814
"waveform-5000","Fold_1","rf",0.4,0.2,0.992,0.980493228712017
"waveform-5000","Fold_1","rf",0.4,0.25,0.988,0.970679502528893
"waveform-5000","Fold_1","rf",0.4,0.3,0.987,0.968268536056707
"waveform-5000","Fold_1","rf",0.4,0.4,0.982,0.955926642344703
"waveform-5000","Fold_1","rf",0.4,0.5,0.979,0.948418156808803
"waveform-5000","Fold_1","rf",0.4,0.6,0.975,0.938722486396392
"waveform-5000","Fold_1","rf",0.4,0.7,0.975,0.938724288711543
"waveform-5000","Fold_1","rf",0.4,0.75,0.973,0.93382093415428
"waveform-5000","Fold_1","rf",0.4,0.8,0.97,0.926389761306533
"waveform-5000","Fold_1","rf",0.4,0.9,0.964,0.911481794755788
"waveform-5000","Fold_1","rf",0.4,1,0.962,0.906367041198502
"waveform-5000","Fold_1","rf",0.5,0.1,0.999,0.997559118158208
"waveform-5000","Fold_1","rf",0.5,0.2,0.996,0.990226500842964
"waveform-5000","Fold_1","rf",0.5,0.25,0.995,0.987770157226859
"waveform-5000","Fold_1","rf",0.5,0.3,0.991,0.977940095102701
"waveform-5000","Fold_1","rf",0.5,0.4,0.992,0.98041184104209
"waveform-5000","Fold_1","rf",0.5,0.5,0.988,0.970493931585263
"waveform-5000","Fold_1","rf",0.5,0.6,0.986,0.965649903819731
"waveform-5000","Fold_1","rf",0.5,0.7,0.982,0.955553799656283
"waveform-5000","Fold_1","rf",0.5,0.75,0.979,0.948091240767656
"waveform-5000","Fold_1","rf",0.5,0.8,0.975,0.938203858056734
"waveform-5000","Fold_1","rf",0.5,0.9,0.968,0.920817166838229
"waveform-5000","Fold_1","rf",0.5,1,0.963,0.908153031942886
"waveform-5000","Fold_1","rf",0.6,0.1,0.993,0.98284229619099
"waveform-5000","Fold_1","rf",0.6,0.2,0.987,0.968334388853705
"waveform-5000","Fold_1","rf",0.6,0.25,0.983,0.958590720424031
"waveform-5000","Fold_1","rf",0.6,0.3,0.981,0.953527052147539
"waveform-5000","Fold_1","rf",0.6,0.4,0.976,0.94135785877995
"waveform-5000","Fold_1","rf",0.6,0.5,0.971,0.928918084219815
"waveform-5000","Fold_1","rf",0.6,0.6,0.968,0.921317150894034
"waveform-5000","Fold_1","rf",0.6,0.7,0.967,0.918943614230554
"waveform-5000","Fold_1","rf",0.6,0.75,0.965,0.913665515540207
"waveform-5000","Fold_1","rf",0.6,0.8,0.962,0.906367041198502
"waveform-5000","Fold_1","rf",0.6,0.9,0.959,0.899081394547442
"waveform-5000","Fold_1","rf",0.6,1,0.957,0.893710635857582
"waveform-5000","Fold_1","rf",0.7,0.1,0.996,0.990246614356008
"waveform-5000","Fold_1","rf",0.7,0.2,0.987,0.968202408789833
"waveform-5000","Fold_1","rf",0.7,0.25,0.987,0.968202408789833
"waveform-5000","Fold_1","rf",0.7,0.3,0.981,0.953429546256716
"waveform-5000","Fold_1","rf",0.7,0.4,0.977,0.943388795904302
"waveform-5000","Fold_1","rf",0.7,0.5,0.97,0.925926291722016
"waveform-5000","Fold_1","rf",0.7,0.6,0.967,0.918252080856124
"waveform-5000","Fold_1","rf",0.7,0.7,0.963,0.908347783007183
"waveform-5000","Fold_1","rf",0.7,0.75,0.962,0.905770794897736
"waveform-5000","Fold_1","rf",0.7,0.8,0.958,0.895623648699023
"waveform-5000","Fold_1","rf",0.7,0.9,0.949,0.873400125110464
"waveform-5000","Fold_1","rf",0.7,1,0.943,0.857914888525505
"waveform-5000","Fold_1","rf",0.8,0.1,0.997,0.9926311652584
"waveform-5000","Fold_1","rf",0.8,0.2,0.988,0.970556337993611
"waveform-5000","Fold_1","rf",0.8,0.25,0.988,0.970493931585263
"waveform-5000","Fold_1","rf",0.8,0.3,0.986,0.965575745653938
"waveform-5000","Fold_1","rf",0.8,0.4,0.977,0.943267589513877
"waveform-5000","Fold_1","rf",0.8,0.5,0.969,0.923214869564356
"waveform-5000","Fold_1","rf",0.8,0.6,0.966,0.915504858470638
"waveform-5000","Fold_1","rf",0.8,0.7,0.965,0.912932724359931
"waveform-5000","Fold_1","rf",0.8,0.75,0.963,0.907957451466213
"waveform-5000","Fold_1","rf",0.8,0.8,0.958,0.89540009463801
"waveform-5000","Fold_1","rf",0.8,0.9,0.953,0.883337635775134
"waveform-5000","Fold_1","rf",0.8,1,0.947,0.867579452328603
"waveform-5000","Fold_1","rf",0.9,0.1,0.993,0.98284229619099
"waveform-5000","Fold_1","rf",0.9,0.2,0.987,0.968069323953902
"waveform-5000","Fold_1","rf",0.9,0.25,0.982,0.955647545830869
"waveform-5000","Fold_1","rf",0.9,0.3,0.978,0.945791444904396
"waveform-5000","Fold_1","rf",0.9,0.4,0.974,0.935527385982662
"waveform-5000","Fold_1","rf",0.9,0.5,0.969,0.922712540513588
"waveform-5000","Fold_1","rf",0.9,0.6,0.961,0.902783871096398
"waveform-5000","Fold_1","rf",0.9,0.7,0.958,0.895184475323431
"waveform-5000","Fold_1","rf",0.9,0.75,0.955,0.887838727044326
"waveform-5000","Fold_1","rf",0.9,0.8,0.954,0.884956283387687
"waveform-5000","Fold_1","rf",0.9,0.9,0.946,0.864948680498589
"waveform-5000","Fold_1","rf",0.9,1,0.941,0.851649954237782
"waveform-5000","Fold_1","rf",1,0.1,0.995,0.987744497279278
"waveform-5000","Fold_1","rf",1,0.2,0.988,0.970679072676805
"waveform-5000","Fold_1","rf",1,0.25,0.984,0.96090543023574
"waveform-5000","Fold_1","rf",1,0.3,0.98,0.951029362794069
"waveform-5000","Fold_1","rf",1,0.4,0.973,0.933958849025037
"waveform-5000","Fold_1","rf",1,0.5,0.968,0.921315990066144
"waveform-5000","Fold_1","rf",1,0.6,0.961,0.904002363018756
"waveform-5000","Fold_1","rf",1,0.7,0.958,0.896508390212651
"waveform-5000","Fold_1","rf",1,0.75,0.957,0.894381073088297
"waveform-5000","Fold_1","rf",1,0.8,0.954,0.887367534426358
"waveform-5000","Fold_1","rf",1,0.9,0.946,0.866942637492608
"waveform-5000","Fold_1","rf",1,1,0.939,0.849535780884631
"waveform-5000","Fold_2","rf",0.1,0.1,0.996996996996997,0.992151841057105
"waveform-5000","Fold_2","rf",0.1,0.2,0.997997997997998,0.99477453067544
"waveform-5000","Fold_2","rf",0.1,0.25,0.997997997997998,0.99477453067544
"waveform-5000","Fold_2","rf",0.1,0.3,0.997997997997998,0.994761267993393
"waveform-5000","Fold_2","rf",0.1,0.4,0.997997997997998,0.99480066618091
"waveform-5000","Fold_2","rf",0.1,0.5,0.997997997997998,0.99477453067544
"waveform-5000","Fold_2","rf",0.1,0.6,0.996996996996997,0.992171643954769
"waveform-5000","Fold_2","rf",0.1,0.7,0.998998998998999,0.997383947019035
"waveform-5000","Fold_2","rf",0.1,0.75,0.996996996996997,0.992171643954769
"waveform-5000","Fold_2","rf",0.1,0.8,0.995995995995996,0.98954900668487
"waveform-5000","Fold_2","rf",0.1,0.9,0.995995995995996,0.98954900668487
"waveform-5000","Fold_2","rf",0.1,1,0.995995995995996,0.98954900668487
"waveform-5000","Fold_2","rf",0.2,0.1,1,1
"waveform-5000","Fold_2","rf",0.2,0.2,0.996996996996997,0.992151841057105
"waveform-5000","Fold_2","rf",0.2,0.25,0.996996996996997,0.992151841057105
"waveform-5000","Fold_2","rf",0.2,0.3,0.995995995995996,0.98954906135088
"waveform-5000","Fold_2","rf",0.2,0.4,0.996996996996997,0.992151841057105
"waveform-5000","Fold_2","rf",0.2,0.5,0.993993993993994,0.984283803980178
