"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"waveform-5000","Fold_1","simpls",0.1,0.1,1,1
"waveform-5000","Fold_1","simpls",0.1,0.2,1,1
"waveform-5000","Fold_1","simpls",0.1,0.25,1,1
"waveform-5000","Fold_1","simpls",0.1,0.3,0.999,0.997952061864115
"waveform-5000","Fold_1","simpls",0.1,0.4,0.998,0.995905398322851
"waveform-5000","Fold_1","simpls",0.1,0.5,0.996,0.991815890267457
"waveform-5000","Fold_1","simpls",0.1,0.6,0.995,0.989773043378659
"waveform-5000","Fold_1","simpls",0.1,0.7,0.993,0.98567335243553
"waveform-5000","Fold_1","simpls",0.1,0.75,0.991,0.981580024559967
"waveform-5000","Fold_1","simpls",0.1,0.8,0.991,0.981580024559967
"waveform-5000","Fold_1","simpls",0.1,0.9,0.989,0.977472680505267
"waveform-5000","Fold_1","simpls",0.1,1,0.989,0.977472680505267
"waveform-5000","Fold_1","simpls",0.2,0.1,0.997,0.993852358235381
"waveform-5000","Fold_1","simpls",0.2,0.2,0.997,0.993852358235381
"waveform-5000","Fold_1","simpls",0.2,0.25,0.995,0.989753930392302
"waveform-5000","Fold_1","simpls",0.2,0.3,0.994,0.987708545019502
"waveform-5000","Fold_1","simpls",0.2,0.4,0.993,0.985655502549222
"waveform-5000","Fold_1","simpls",0.2,0.5,0.991,0.981557074706143
"waveform-5000","Fold_1","simpls",0.2,0.6,0.989,0.977472680505267
"waveform-5000","Fold_1","simpls",0.2,0.7,0.986,0.971319938378839
"waveform-5000","Fold_1","simpls",0.2,0.75,0.983,0.965185051689958
"waveform-5000","Fold_1","simpls",0.2,0.8,0.983,0.965185051689958
"waveform-5000","Fold_1","simpls",0.2,0.9,0.98,0.959028483398341
"waveform-5000","Fold_1","simpls",0.2,1,0.978,0.954959381551363
"waveform-5000","Fold_1","simpls",0.3,0.1,0.998,0.995902848339834
"waveform-5000","Fold_1","simpls",0.3,0.2,0.998,0.995902848339834
"waveform-5000","Fold_1","simpls",0.3,0.25,0.997,0.993856185592346
"waveform-5000","Fold_1","simpls",0.3,0.3,0.994,0.987708545019502
"waveform-5000","Fold_1","simpls",0.3,0.4,0.993,0.985655502549222
"waveform-5000","Fold_1","simpls",0.3,0.5,0.99,0.979501475893736
"waveform-5000","Fold_1","simpls",0.3,0.6,0.987,0.973343613129706
"waveform-5000","Fold_1","simpls",0.3,0.7,0.982,0.963079649502806
"waveform-5000","Fold_1","simpls",0.3,0.75,0.979,0.956912824384879
"waveform-5000","Fold_1","simpls",0.3,0.8,0.979,0.956912824384879
"waveform-5000","Fold_1","simpls",0.3,0.9,0.975,0.948705743315332
"waveform-5000","Fold_1","simpls",0.3,1,0.972,0.942568343671031
"waveform-5000","Fold_1","simpls",0.4,0.1,0.996,0.991805696679668
"waveform-5000","Fold_1","simpls",0.4,0.2,0.994,0.987700885536241
"waveform-5000","Fold_1","simpls",0.4,0.25,0.991,0.981545578320566
"waveform-5000","Fold_1","simpls",0.4,0.3,0.988,0.975401771072483
"waveform-5000","Fold_1","simpls",0.4,0.4,0.986,0.97130206625123
"waveform-5000","Fold_1","simpls",0.4,0.5,0.982,0.963102656608724
"waveform-5000","Fold_1","simpls",0.4,0.6,0.979,0.956939682747986
"waveform-5000","Fold_1","simpls",0.4,0.7,0.974,0.946670604837386
"waveform-5000","Fold_1","simpls",0.4,0.75,0.971,0.940498662245786
"waveform-5000","Fold_1","simpls",0.4,0.8,0.967,0.932291581176239
"waveform-5000","Fold_1","simpls",0.4,0.9,0.964,0.926067098215753
"waveform-5000","Fold_1","simpls",0.4,1,0.962,0.921959714783294
"waveform-5000","Fold_1","simpls",0.5,0.1,0.997,0.993852358235381
"waveform-5000","Fold_1","simpls",0.5,0.2,0.994,0.987700885536241
"waveform-5000","Fold_1","simpls",0.5,0.25,0.989,0.977416440831075
"waveform-5000","Fold_1","simpls",0.5,0.3,0.988,0.975371075791409
"waveform-5000","Fold_1","simpls",0.5,0.4,0.984,0.967161434388546
"waveform-5000","Fold_1","simpls",0.5,0.5,0.979,0.956859007017602
"waveform-5000","Fold_1","simpls",0.5,0.6,0.974,0.946537259417667
"waveform-5000","Fold_1","simpls",0.5,0.7,0.97,0.938312222405001
"waveform-5000","Fold_1","simpls",0.5,0.75,0.967,0.93216464668059
"waveform-5000","Fold_1","simpls",0.5,0.8,0.965,0.92805341314608
"waveform-5000","Fold_1","simpls",0.5,0.9,0.961,0.919830946077061
"waveform-5000","Fold_1","simpls",0.5,1,0.959,0.915667012226226
"waveform-5000","Fold_1","simpls",0.6,0.1,0.995,0.989747543511425
"waveform-5000","Fold_1","simpls",0.6,0.2,0.992,0.98359095533458
"waveform-5000","Fold_1","simpls",0.6,0.25,0.986,0.971284171835516
"waveform-5000","Fold_1","simpls",0.6,0.3,0.984,0.967161434388546
"waveform-5000","Fold_1","simpls",0.6,0.4,0.98,0.958951792985682
"waveform-5000","Fold_1","simpls",0.6,0.5,0.973,0.944567627494457
"waveform-5000","Fold_1","simpls",0.6,0.6,0.964,0.926020911422371
"waveform-5000","Fold_1","simpls",0.6,0.7,0.96,0.917801012691524
"waveform-5000","Fold_1","simpls",0.6,0.75,0.958,0.9136910633261
"waveform-5000","Fold_1","simpls",0.6,0.8,0.955,0.907497245473532
"waveform-5000","Fold_1","simpls",0.6,0.9,0.946,0.888892546747432
"waveform-5000","Fold_1","simpls",0.6,1,0.944,0.884777455886226
"waveform-5000","Fold_1","simpls",0.7,0.1,0.995,0.989753930392302
"waveform-5000","Fold_1","simpls",0.7,0.2,0.989,0.977430527058746
"waveform-5000","Fold_1","simpls",0.7,0.25,0.983,0.965141647938846
"waveform-5000","Fold_1","simpls",0.7,0.3,0.978,0.954903246966218
"waveform-5000","Fold_1","simpls",0.7,0.4,0.975,0.948705743315332
"waveform-5000","Fold_1","simpls",0.7,0.5,0.967,0.932291581176239
"waveform-5000","Fold_1","simpls",0.7,0.6,0.959,0.915772347034365
"waveform-5000","Fold_1","simpls",0.7,0.7,0.949,0.895163544870003
"waveform-5000","Fold_1","simpls",0.7,0.75,0.948,0.893141316498981
