"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"waveform-5000","Fold_1","svmRadial",0.1,0.1,1,1
"waveform-5000","Fold_1","svmRadial",0.1,0.2,0.999,0.997672729980823
"waveform-5000","Fold_1","svmRadial",0.1,0.25,0.999,0.997672729980823
"waveform-5000","Fold_1","svmRadial",0.1,0.3,0.998,0.995341405125386
"waveform-5000","Fold_1","svmRadial",0.1,0.4,0.996,0.990666548442947
"waveform-5000","Fold_1","svmRadial",0.1,0.5,0.995,0.988322995291832
"waveform-5000","Fold_1","svmRadial",0.1,0.6,0.995,0.988322995291832
"waveform-5000","Fold_1","svmRadial",0.1,0.7,0.995,0.988322995291832
"waveform-5000","Fold_1","svmRadial",0.1,0.75,0.995,0.988322995291832
"waveform-5000","Fold_1","svmRadial",0.1,0.8,0.995,0.988322995291832
"waveform-5000","Fold_1","svmRadial",0.1,0.9,0.993,0.983652193408564
"waveform-5000","Fold_1","svmRadial",0.1,1,0.993,0.983652193408564
"waveform-5000","Fold_1","svmRadial",0.2,0.1,0.999,0.997676774247507
"waveform-5000","Fold_1","svmRadial",0.2,0.2,0.998,0.995349507745395
"waveform-5000","Fold_1","svmRadial",0.2,0.25,0.997,0.99301818994247
"waveform-5000","Fold_1","svmRadial",0.2,0.3,0.997,0.99301818994247
"waveform-5000","Fold_1","svmRadial",0.2,0.4,0.993,0.98373741973255
"waveform-5000","Fold_1","svmRadial",0.2,0.5,0.99,0.976747538726974
"waveform-5000","Fold_1","svmRadial",0.2,0.6,0.99,0.976747538726974
"waveform-5000","Fold_1","svmRadial",0.2,0.7,0.99,0.976747538726974
"waveform-5000","Fold_1","svmRadial",0.2,0.75,0.99,0.976747538726974
"waveform-5000","Fold_1","svmRadial",0.2,0.8,0.99,0.976747538726974
"waveform-5000","Fold_1","svmRadial",0.2,0.9,0.985,0.965272311382347
"waveform-5000","Fold_1","svmRadial",0.2,1,0.982,0.958362826331349
"waveform-5000","Fold_1","svmRadial",0.3,0.1,0.998,0.995357582228825
