"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wilt","Fold_1","PART",0.1,0.1,0.995867768595041,0.964464675758521
"wilt","Fold_1","PART",0.1,0.2,0.992768595041322,0.938294539758861
"wilt","Fold_1","PART",0.1,0.25,0.990702479338843,0.920664408261392
"wilt","Fold_1","PART",0.1,0.3,0.989669421487603,0.912526431837487
"wilt","Fold_1","PART",0.1,0.4,0.988636363636364,0.904512518832054
"wilt","Fold_1","PART",0.1,0.5,0.983471074380165,0.864214199295121
"wilt","Fold_1","PART",0.1,0.6,0.983471074380165,0.864214199295121
"wilt","Fold_1","PART",0.1,0.7,0.983471074380165,0.864214199295121
"wilt","Fold_1","PART",0.1,0.75,0.981404958677686,0.849484286726214
"wilt","Fold_1","PART",0.1,0.8,0.977272727272727,0.818698813233216
"wilt","Fold_1","PART",0.1,0.9,0.975206611570248,0.802216887163508
"wilt","Fold_1","PART",0.1,1,0.971074380165289,0.765864446018555
"wilt","Fold_1","PART",0.2,0.1,0.990702479338843,0.921873879044407
"wilt","Fold_1","PART",0.2,0.2,0.982438016528926,0.860910135911826
"wilt","Fold_1","PART",0.2,0.25,0.980371900826446,0.846748658467487
"wilt","Fold_1","PART",0.2,0.3,0.977272727272727,0.823799043537258
"wilt","Fold_1","PART",0.2,0.4,0.964876033057851,0.738714850510471
"wilt","Fold_1","PART",0.2,0.5,0.953512396694215,0.673981378918061
"wilt","Fold_1","PART",0.2,0.6,0.940082644628099,0.611895314595402
"wilt","Fold_1","PART",0.2,0.7,0.935950413223141,0.594656292634167
"wilt","Fold_1","PART",0.2,0.75,0.932851239669422,0.582237803096699
"wilt","Fold_1","PART",0.2,0.8,0.927685950413223,0.562449148273947
"wilt","Fold_1","PART",0.2,0.9,0.916322314049587,0.517524859702668
"wilt","Fold_1","PART",0.2,1,0.909090909090909,0.494342937873229
"wilt","Fold_1","PART",0.3,0.1,0.985537190082645,0.884626517512046
"wilt","Fold_1","PART",0.3,0.2,0.974173553719008,0.809166324953475
"wilt","Fold_1","PART",0.3,0.25,0.960743801652893,0.733182457820139
"wilt","Fold_1","PART",0.3,0.3,0.950413223140496,0.674990556931213
"wilt","Fold_1","PART",0.3,0.4,0.933884297520661,0.586330310759739
"wilt","Fold_1","PART",0.3,0.5,0.917355371900826,0.510684813789792
"wilt","Fold_1","PART",0.3,0.6,0.897727272727273,0.439618272401937
"wilt","Fold_1","PART",0.3,0.7,0.880165289256198,0.38894874892524
"wilt","Fold_1","PART",0.3,0.75,0.875,0.371334106230409
"wilt","Fold_1","PART",0.3,0.8,0.862603305785124,0.339137219473134
"wilt","Fold_1","PART",0.3,0.9,0.84400826446281,0.298658426578124
"wilt","Fold_1","PART",0.3,1,0.830578512396694,0.259420979464644
"wilt","Fold_1","PART",0.4,0.1,0.980371900826446,0.848889181017484
"wilt","Fold_1","PART",0.4,0.2,0.962809917355372,0.730616409764846
"wilt","Fold_1","PART",0.4,0.25,0.949380165289256,0.662194114463151
"wilt","Fold_1","PART",0.4,0.3,0.935950413223141,0.594656292634167
"wilt","Fold_1","PART",0.4,0.4,0.918388429752066,0.519382573281714
"wilt","Fold_1","PART",0.4,0.5,0.890495867768595,0.414545081078614
"wilt","Fold_1","PART",0.4,0.6,0.872933884297521,0.366721273110227
"wilt","Fold_1","PART",0.4,0.7,0.851239669421488,0.322886205322012
"wilt","Fold_1","PART",0.4,0.75,0.84400826446281,0.304332927200732
"wilt","Fold_1","PART",0.4,0.8,0.836776859504132,0.286515333874474
"wilt","Fold_1","PART",0.4,0.9,0.815082644628099,0.248316790449088
"wilt","Fold_1","PART",0.4,1,0.790289256198347,0.189380063693216
"wilt","Fold_1","PART",0.5,0.1,0.982438016528926,0.862880378628804
"wilt","Fold_1","PART",0.5,0.2,0.956611570247934,0.712194362248871
"wilt","Fold_1","PART",0.5,0.25,0.944214876033058,0.65096619970353
"wilt","Fold_1","PART",0.5,0.3,0.935950413223141,0.612454959899782
"wilt","Fold_1","PART",0.5,0.4,0.912190082644628,0.51886417327439
"wilt","Fold_1","PART",0.5,0.5,0.888429752066116,0.446452965657464
"wilt","Fold_1","PART",0.5,0.6,0.871900826446281,0.402117930684094
"wilt","Fold_1","PART",0.5,0.7,0.848140495867769,0.349093370903702
"wilt","Fold_1","PART",0.5,0.75,0.834710743801653,0.325617646802692
"wilt","Fold_1","PART",0.5,0.8,0.819214876033058,0.301189710080359
"wilt","Fold_1","PART",0.5,0.9,0.799586776859504,0.273706113040586
"wilt","Fold_1","PART",0.5,1,0.775826446280992,0.230597922435644
"wilt","Fold_1","PART",0.6,0.1,0.974173553719008,0.803908858133731
"wilt","Fold_1","PART",0.6,0.2,0.950413223140496,0.662967315141229
"wilt","Fold_1","PART",0.6,0.25,0.939049586776859,0.607510033536752
"wilt","Fold_1","PART",0.6,0.3,0.920454545454545,0.521321413892314
"wilt","Fold_1","PART",0.6,0.4,0.889462809917355,0.411874261833378
"wilt","Fold_1","PART",0.6,0.5,0.860537190082645,0.329199433299797
"wilt","Fold_1","PART",0.6,0.6,0.840909090909091,0.287629861131022
"wilt","Fold_1","PART",0.6,0.7,0.817148760330578,0.251193119241998
"wilt","Fold_1","PART",0.6,0.75,0.805785123966942,0.224814918939181
"wilt","Fold_1","PART",0.6,0.8,0.792355371900826,0.208468260296487
"wilt","Fold_1","PART",0.6,0.9,0.766528925619835,0.175586557231254
"wilt","Fold_1","PART",0.6,1,0.735537190082645,0.117058953474286
"wilt","Fold_1","PART",0.7,0.1,0.979338842975207,0.842039131215221
"wilt","Fold_1","PART",0.7,0.2,0.949380165289256,0.670180513448113
"wilt","Fold_1","PART",0.7,0.25,0.93801652892562,0.620793669448036
"wilt","Fold_1","PART",0.7,0.3,0.925619834710744,0.559616332410813
"wilt","Fold_1","PART",0.7,0.4,0.896694214876033,0.447684038753409
"wilt","Fold_1","PART",0.7,0.5,0.871900826446281,0.375685262818446
"wilt","Fold_1","PART",0.7,0.6,0.841942148760331,0.306343437371202
"wilt","Fold_1","PART",0.7,0.7,0.808884297520661,0.23993684532197
"wilt","Fold_1","PART",0.7,0.75,0.795454545454545,0.217576603718128
"wilt","Fold_1","PART",0.7,0.8,0.78099173553719,0.195742312726816
"wilt","Fold_1","PART",0.7,0.9,0.756198347107438,0.170974227215654
"wilt","Fold_1","PART",0.7,1,0.725206611570248,0.139877472758733
"wilt","Fold_1","PART",0.8,0.1,0.973140495867769,0.797460205050619
"wilt","Fold_1","PART",0.8,0.2,0.947314049586777,0.639681195807667
"wilt","Fold_1","PART",0.8,0.25,0.932851239669422,0.572589191098552
"wilt","Fold_1","PART",0.8,0.3,0.920454545454545,0.516037711347168
"wilt","Fold_1","PART",0.8,0.4,0.90495867768595,0.443267776096823
"wilt","Fold_1","PART",0.8,0.5,0.883264462809917,0.372841318257918
"wilt","Fold_1","PART",0.8,0.6,0.849173553719008,0.283914836696021
"wilt","Fold_1","PART",0.8,0.7,0.822314049586777,0.241344743053467
"wilt","Fold_1","PART",0.8,0.75,0.81301652892562,0.222721061877806
"wilt","Fold_1","PART",0.8,0.8,0.803719008264463,0.21085376423441
"wilt","Fold_1","PART",0.8,0.9,0.772727272727273,0.159795156670428
"wilt","Fold_1","PART",0.8,1,0.741735537190083,0.105234746470854
"wilt","Fold_1","PART",0.9,0.1,0.980371900826446,0.848889181017484
"wilt","Fold_1","PART",0.9,0.2,0.947314049586777,0.660729012040244
"wilt","Fold_1","PART",0.9,0.25,0.930785123966942,0.587985668182858
"wilt","Fold_1","PART",0.9,0.3,0.916322314049587,0.522519669695272
"wilt","Fold_1","PART",0.9,0.4,0.887396694214876,0.417742754342979
"wilt","Fold_1","PART",0.9,0.5,0.855371900826446,0.313342994092075
"wilt","Fold_1","PART",0.9,0.6,0.822314049586777,0.241344743053467
"wilt","Fold_1","PART",0.9,0.7,0.804752066115702,0.206323315055182
"wilt","Fold_1","PART",0.9,0.75,0.793388429752066,0.19286923314239
"wilt","Fold_1","PART",0.9,0.8,0.78099173553719,0.168027503223034
"wilt","Fold_1","PART",0.9,0.9,0.75,0.1172210037609
"wilt","Fold_1","PART",0.9,1,0.729338842975207,0.0908582530954034
"wilt","Fold_1","PART",1,0.1,0.976239669421488,0.822047445488842
"wilt","Fold_1","PART",1,0.2,0.947314049586777,0.664646903785018
"wilt","Fold_1","PART",1,0.25,0.939049586776859,0.629171752850427
"wilt","Fold_1","PART",1,0.3,0.929752066115702,0.588502269288956
"wilt","Fold_1","PART",1,0.4,0.894628099173554,0.457679252122903
"wilt","Fold_1","PART",1,0.5,0.869834710743802,0.382008694682867
"wilt","Fold_1","PART",1,0.6,0.84400826446281,0.320818541717005
"wilt","Fold_1","PART",1,0.7,0.821280991735537,0.284072642703239
"wilt","Fold_1","PART",1,0.75,0.810950413223141,0.264083219781316
"wilt","Fold_1","PART",1,0.8,0.793388429752066,0.236177415154935
"wilt","Fold_1","PART",1,0.9,0.776859504132231,0.212065028150225
"wilt","Fold_1","PART",1,1,0.754132231404959,0.179140745808125
"wilt","Fold_2","PART",0.1,0.1,0.998965873836608,0.989354089372805
"wilt","Fold_2","PART",0.1,0.2,0.996897621509824,0.96866053777264
"wilt","Fold_2","PART",0.1,0.25,0.99482936918304,0.948728009246986
"wilt","Fold_2","PART",0.1,0.3,0.990692864529473,0.909376789712084
"wilt","Fold_2","PART",0.1,0.4,0.985522233712513,0.860291841241666
"wilt","Fold_2","PART",0.1,0.5,0.982419855222337,0.834788900837161
"wilt","Fold_2","PART",0.1,0.6,0.978283350568769,0.792296126584091
"wilt","Fold_2","PART",0.1,0.7,0.97311271975181,0.74950682474843
"wilt","Fold_2","PART",0.1,0.75,0.971044467425026,0.734819399827626
"wilt","Fold_2","PART",0.1,0.8,0.96794208893485,0.708879198997776
"wilt","Fold_2","PART",0.1,0.9,0.966907962771458,0.696936456945858
"wilt","Fold_2","PART",0.1,1,0.964839710444674,0.677994985504975
"wilt","Fold_2","PART",0.2,0.1,0.996897621509824,0.969236805548191
"wilt","Fold_2","PART",0.2,0.2,0.984488107549121,0.859135096289246
"wilt","Fold_2","PART",0.2,0.25,0.979317476732161,0.819767766946862
"wilt","Fold_2","PART",0.2,0.3,0.971044467425026,0.759341557933658
"wilt","Fold_2","PART",0.2,0.4,0.957600827300931,0.67046238498558
"wilt","Fold_2","PART",0.2,0.5,0.947259565667011,0.617641358029478
"wilt","Fold_2","PART",0.2,0.6,0.934850051706308,0.545985706087955
"wilt","Fold_2","PART",0.2,0.7,0.924508790072389,0.499776784132541
"wilt","Fold_2","PART",0.2,0.75,0.919338159255429,0.481444305416145
"wilt","Fold_2","PART",0.2,0.8,0.913133402275078,0.448134358779248
"wilt","Fold_2","PART",0.2,0.9,0.905894519131334,0.419249882856068
"wilt","Fold_2","PART",0.2,1,0.894519131334023,0.380929666218946
"wilt","Fold_2","PART",0.3,0.1,0.988624612202689,0.893098700541692
"wilt","Fold_2","PART",0.3,0.2,0.972078593588418,0.758636628363824
"wilt","Fold_2","PART",0.3,0.25,0.961737331954498,0.68917287093103
"wilt","Fold_2","PART",0.3,0.3,0.953464322647363,0.633023267581403
"wilt","Fold_2","PART",0.3,0.4,0.937952430196484,0.540908371577781
"wilt","Fold_2","PART",0.3,0.5,0.917269906928645,0.448421412885377
"wilt","Fold_2","PART",0.3,0.6,0.896587383660807,0.379563448780299
"wilt","Fold_2","PART",0.3,0.7,0.882109617373319,0.329974229310512
"wilt","Fold_2","PART",0.3,0.75,0.87693898655636,0.318542250226514
"wilt","Fold_2","PART",0.3,0.8,0.865563598759049,0.274183304657098
"wilt","Fold_2","PART",0.3,0.9,0.842812823164426,0.214283423317475
"wilt","Fold_2","PART",0.3,1,0.829369183040331,0.181235984461675
"wilt","Fold_2","PART",0.4,0.1,0.982419855222337,0.845554730878719
"wilt","Fold_2","PART",0.4,0.2,0.953464322647363,0.653302845123613
"wilt","Fold_2","PART",0.4,0.25,0.946225439503619,0.617850465869192
"wilt","Fold_2","PART",0.4,0.3,0.931747673216132,0.544947665630437
"wilt","Fold_2","PART",0.4,0.4,0.912099276111686,0.463678657418584
"wilt","Fold_2","PART",0.4,0.5,0.883143743536711,0.378432186758741
"wilt","Fold_2","PART",0.4,0.6,0.861427094105481,0.3073288073983
"wilt","Fold_2","PART",0.4,0.7,0.832471561530507,0.240074899099659
"wilt","Fold_2","PART",0.4,0.75,0.824198552223371,0.22850572554909
"wilt","Fold_2","PART",0.4,0.8,0.813857290589452,0.202591143566579
"wilt","Fold_2","PART",0.4,0.9,0.796277145811789,0.170130645210474
"wilt","Fold_2","PART",0.4,1,0.779731127197518,0.147792015424654
"wilt","Fold_2","PART",0.5,0.1,0.974146845915202,0.780041307651014
"wilt","Fold_2","PART",0.5,0.2,0.955532574974147,0.65438737937512
"wilt","Fold_2","PART",0.5,0.25,0.942088934850052,0.582958536134557
"wilt","Fold_2","PART",0.5,0.3,0.924508790072389,0.493553825734477
"wilt","Fold_2","PART",0.5,0.4,0.901758014477766,0.393722405179412
"wilt","Fold_2","PART",0.5,0.5,0.880041365046536,0.332293626038715
"wilt","Fold_2","PART",0.5,0.6,0.854188210961737,0.267750788118344
"wilt","Fold_2","PART",0.5,0.7,0.833505687693899,0.208130941421211
"wilt","Fold_2","PART",0.5,0.75,0.825232678386763,0.197108227745489
"wilt","Fold_2","PART",0.5,0.8,0.8076525336091,0.155894499718416
"wilt","Fold_2","PART",0.5,0.9,0.783867631851086,0.126180892138339
"wilt","Fold_2","PART",0.5,1,0.77559462254395,0.112690230835261
"wilt","Fold_2","PART",0.6,0.1,0.972078593588418,0.769711135611907
"wilt","Fold_2","PART",0.6,0.2,0.944157187176836,0.608314080830508
"wilt","Fold_2","PART",0.6,0.25,0.93071354705274,0.546463847451576
"wilt","Fold_2","PART",0.6,0.3,0.916235780765253,0.483068577047709
"wilt","Fold_2","PART",0.6,0.4,0.890382626680455,0.389854520345722
"wilt","Fold_2","PART",0.6,0.5,0.866597724922441,0.330069869980613
"wilt","Fold_2","PART",0.6,0.6,0.833505687693899,0.24792885402225
"wilt","Fold_2","PART",0.6,0.7,0.819027921406412,0.221649840167422
"wilt","Fold_2","PART",0.6,0.75,0.8076525336091,0.20748880820614
"wilt","Fold_2","PART",0.6,0.8,0.796277145811789,0.18248140725514
"wilt","Fold_2","PART",0.6,0.9,0.768355739400207,0.137803111118188
"wilt","Fold_2","PART",0.6,1,0.742502585315408,0.106341047005771
"wilt","Fold_2","PART",0.7,0.1,0.972078593588418,0.773180203111833
"wilt","Fold_2","PART",0.7,0.2,0.940020682523268,0.589966662767575
"wilt","Fold_2","PART",0.7,0.25,0.928645294725957,0.538526976837475
"wilt","Fold_2","PART",0.7,0.3,0.917269906928645,0.492355141413478
"wilt","Fold_2","PART",0.7,0.4,0.885211995863495,0.377146305655976
"wilt","Fold_2","PART",0.7,0.5,0.859358841778697,0.316010651576933
"wilt","Fold_2","PART",0.7,0.6,0.836608066184074,0.25255124504672
"wilt","Fold_2","PART",0.7,0.7,0.808686659772492,0.208726806289669
"wilt","Fold_2","PART",0.7,0.75,0.797311271975181,0.195609917579852
"wilt","Fold_2","PART",0.7,0.8,0.784901758014478,0.170771526810083
"wilt","Fold_2","PART",0.7,0.9,0.763185108583247,0.139348690423907
"wilt","Fold_2","PART",0.7,1,0.737331954498449,0.114053629011896
"wilt","Fold_2","PART",0.8,0.1,0.978283350568769,0.812272933171863
"wilt","Fold_2","PART",0.8,0.2,0.942088934850052,0.599022584228064
"wilt","Fold_2","PART",0.8,0.25,0.93071354705274,0.546463847451576
"wilt","Fold_2","PART",0.8,0.3,0.916235780765253,0.48891730883418
"wilt","Fold_2","PART",0.8,0.4,0.888314374353671,0.402990876454851
"wilt","Fold_2","PART",0.8,0.5,0.855222337125129,0.326273252978472
"wilt","Fold_2","PART",0.8,0.6,0.828335056876939,0.26461183240029
"wilt","Fold_2","PART",0.8,0.7,0.805584281282316,0.222721986591873
"wilt","Fold_2","PART",0.8,0.75,0.789038262668046,0.203793994187924
"wilt","Fold_2","PART",0.8,0.8,0.774560496380558,0.183441533288917
"wilt","Fold_2","PART",0.8,0.9,0.749741468459152,0.150596724548464
"wilt","Fold_2","PART",0.8,1,0.724922440537746,0.126811913992219
"wilt","Fold_2","PART",0.9,0.1,0.975180972078594,0.793721335371706
"wilt","Fold_2","PART",0.9,0.2,0.945191313340228,0.618051467026375
"wilt","Fold_2","PART",0.9,0.25,0.922440537745605,0.515818918612181
"wilt","Fold_2","PART",0.9,0.3,0.900723888314374,0.417345568206067
"wilt","Fold_2","PART",0.9,0.4,0.870734229576008,0.332186010022044
"wilt","Fold_2","PART",0.9,0.5,0.830403309203723,0.249628571158196
"wilt","Fold_2","PART",0.9,0.6,0.793174767321613,0.179193793448829
"wilt","Fold_2","PART",0.9,0.7,0.754912099276112,0.115244893468349
"wilt","Fold_2","PART",0.9,0.75,0.739400206825233,0.104221500095576
"wilt","Fold_2","PART",0.9,0.8,0.724922440537746,0.0892862200821413
