"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wilt","Fold_1","ctree",0.1,0.1,0.996900826446281,0.966793212276449
"wilt","Fold_1","ctree",0.1,0.2,0.995867768595041,0.956163390997192
"wilt","Fold_1","ctree",0.1,0.25,0.995867768595041,0.956163390997192
"wilt","Fold_1","ctree",0.1,0.3,0.995867768595041,0.956163390997192
"wilt","Fold_1","ctree",0.1,0.4,0.991735537190083,0.912326781994385
"wilt","Fold_1","ctree",0.1,0.5,0.987603305785124,0.871047957371226
"wilt","Fold_1","ctree",0.1,0.6,0.987603305785124,0.871047957371226
"wilt","Fold_1","ctree",0.1,0.7,0.984504132231405,0.840362373015524
"wilt","Fold_1","ctree",0.1,0.75,0.982438016528926,0.82249644043664
"wilt","Fold_1","ctree",0.1,0.8,0.980371900826446,0.801613668723304
"wilt","Fold_1","ctree",0.1,0.9,0.979338842975207,0.793127030261583
"wilt","Fold_1","ctree",0.1,1,0.976239669421488,0.759848125296631
"wilt","Fold_1","ctree",0.2,0.1,0.991735537190083,0.914031971580817
"wilt","Fold_1","ctree",0.2,0.2,0.981404958677686,0.820533948582729
"wilt","Fold_1","ctree",0.2,0.25,0.979338842975207,0.800593276203032
"wilt","Fold_1","ctree",0.2,0.3,0.974173553719008,0.761501162928214
"wilt","Fold_1","ctree",0.2,0.4,0.965909090909091,0.700685881338781
"wilt","Fold_1","ctree",0.2,0.5,0.960743801652893,0.668922811059907
"wilt","Fold_1","ctree",0.2,0.6,0.959710743801653,0.65750988859455
"wilt","Fold_1","ctree",0.2,0.7,0.950413223140496,0.600687521485047
"wilt","Fold_1","ctree",0.2,0.75,0.948347107438017,0.59021945272284
"wilt","Fold_1","ctree",0.2,0.8,0.947314049586777,0.58510101859011
"wilt","Fold_1","ctree",0.2,0.9,0.940082644628099,0.551278772378517
"wilt","Fold_1","ctree",0.2,1,0.935950413223141,0.533399676576689
"wilt","Fold_1","ctree",0.3,0.1,0.985537190082645,0.857850130066292
"wilt","Fold_1","ctree",0.3,0.2,0.972107438016529,0.755106630186275
"wilt","Fold_1","ctree",0.3,0.25,0.966942148760331,0.721198156682028
"wilt","Fold_1","ctree",0.3,0.3,0.961776859504132,0.689861799037096
"wilt","Fold_1","ctree",0.3,0.4,0.956611570247934,0.655784340287185
"wilt","Fold_1","ctree",0.3,0.5,0.947314049586777,0.591121417922809
"wilt","Fold_1","ctree",0.3,0.6,0.935950413223141,0.520332480818415
"wilt","Fold_1","ctree",0.3,0.7,0.924586776859504,0.439156798628527
"wilt","Fold_1","ctree",0.3,0.75,0.921487603305785,0.428038313223038
"wilt","Fold_1","ctree",0.3,0.8,0.919421487603306,0.420875007670124
"wilt","Fold_1","ctree",0.3,0.9,0.908057851239669,0.376884131346738
"wilt","Fold_1","ctree",0.3,1,0.897727272727273,0.340308946223532
"wilt","Fold_1","ctree",0.4,0.1,0.984504132231405,0.851782287370871
"wilt","Fold_1","ctree",0.4,0.2,0.973140495867769,0.762225077469579
"wilt","Fold_1","ctree",0.4,0.25,0.966942148760331,0.721198156682028
"wilt","Fold_1","ctree",0.4,0.3,0.959710743801653,0.677982872155311
"wilt","Fold_1","ctree",0.4,0.4,0.944214876033058,0.576292069256209
"wilt","Fold_1","ctree",0.4,0.5,0.929752066115702,0.501816420440785
"wilt","Fold_1","ctree",0.4,0.6,0.920454545454545,0.453980719078736
"wilt","Fold_1","ctree",0.4,0.7,0.903925619834711,0.37272499233535
"wilt","Fold_1","ctree",0.4,0.75,0.895661157024793,0.350482315112541
"wilt","Fold_1","ctree",0.4,0.8,0.888429752066116,0.332652435910531
"wilt","Fold_1","ctree",0.4,0.9,0.879132231404959,0.311681050200559
"wilt","Fold_1","ctree",0.4,1,0.867768595041322,0.266493014444708
"wilt","Fold_1","ctree",0.5,0.1,0.985537190082645,0.860415293342123
"wilt","Fold_1","ctree",0.5,0.2,0.973140495867769,0.766096654275093
"wilt","Fold_1","ctree",0.5,0.25,0.964876033057851,0.71282981990786
"wilt","Fold_1","ctree",0.5,0.3,0.952479338842975,0.644117647058824
"wilt","Fold_1","ctree",0.5,0.4,0.93801652892562,0.5661786674634
"wilt","Fold_1","ctree",0.5,0.5,0.923553719008264,0.49156777014366
"wilt","Fold_1","ctree",0.5,0.6,0.911157024793388,0.443707901208168
"wilt","Fold_1","ctree",0.5,0.7,0.898760330578512,0.407692307692308
"wilt","Fold_1","ctree",0.5,0.75,0.888429752066116,0.381103480937722
"wilt","Fold_1","ctree",0.5,0.8,0.883264462809917,0.362370881619138
"wilt","Fold_1","ctree",0.5,0.9,0.869834710743802,0.333275025145406
"wilt","Fold_1","ctree",0.5,1,0.854338842975207,0.303902568391848
"wilt","Fold_1","ctree",0.6,0.1,0.985537190082645,0.857850130066292
"wilt","Fold_1","ctree",0.6,0.2,0.971074380165289,0.743934698813393
"wilt","Fold_1","ctree",0.6,0.25,0.960743801652893,0.674062522152123
"wilt","Fold_1","ctree",0.6,0.3,0.953512396694215,0.633912663461861
"wilt","Fold_1","ctree",0.6,0.4,0.934917355371901,0.515984634432839
"wilt","Fold_1","ctree",0.6,0.5,0.919421487603306,0.43603226770242
"wilt","Fold_1","ctree",0.6,0.6,0.90495867768595,0.375659001682557
"wilt","Fold_1","ctree",0.6,0.7,0.891528925619835,0.316806926034468
"wilt","Fold_1","ctree",0.6,0.75,0.880165289256198,0.283219283015014
"wilt","Fold_1","ctree",0.6,0.8,0.870867768595041,0.256701968204045
"wilt","Fold_1","ctree",0.6,0.9,0.848140495867769,0.210817046387294
"wilt","Fold_1","ctree",0.6,1,0.830578512396694,0.164216821800109
"wilt","Fold_1","ctree",0.7,0.1,0.984504132231405,0.851782287370871
"wilt","Fold_1","ctree",0.7,0.2,0.97004132231405,0.741214646557764
"wilt","Fold_1","ctree",0.7,0.25,0.956611570247934,0.645260365768533
"wilt","Fold_1","ctree",0.7,0.3,0.947314049586777,0.596969598014564
"wilt","Fold_1","ctree",0.7,0.4,0.929752066115702,0.508335823125187
"wilt","Fold_1","ctree",0.7,0.5,0.909090909090909,0.417122837749069
"wilt","Fold_1","ctree",0.7,0.6,0.890495867768595,0.345010724134409
"wilt","Fold_1","ctree",0.7,0.7,0.875,0.295648618093474
"wilt","Fold_1","ctree",0.7,0.75,0.864669421487603,0.275598107990768
"wilt","Fold_1","ctree",0.7,0.8,0.857438016528926,0.262716354645002
"wilt","Fold_1","ctree",0.7,0.9,0.840909090909091,0.229394979529383
"wilt","Fold_1","ctree",0.7,1,0.825413223140496,0.194461405132852
"wilt","Fold_1","ctree",0.8,0.1,0.981404958677686,0.823715095103197
"wilt","Fold_1","ctree",0.8,0.2,0.964876033057851,0.703773041474654
"wilt","Fold_1","ctree",0.8,0.25,0.951446280991736,0.617642115171278
"wilt","Fold_1","ctree",0.8,0.3,0.945247933884298,0.587070603006986
"wilt","Fold_1","ctree",0.8,0.4,0.931818181818182,0.516468878663114
"wilt","Fold_1","ctree",0.8,0.5,0.922520661157025,0.468163038063704
"wilt","Fold_1","ctree",0.8,0.6,0.901859504132231,0.374506869813631
"wilt","Fold_1","ctree",0.8,0.7,0.888429752066116,0.317384036773924
"wilt","Fold_1","ctree",0.8,0.75,0.878099173553719,0.286813186813187
"wilt","Fold_1","ctree",0.8,0.8,0.872933884297521,0.268594736712779
"wilt","Fold_1","ctree",0.8,0.9,0.858471074380165,0.234760530871321
"wilt","Fold_1","ctree",0.8,1,0.840909090909091,0.185113919622163
"wilt","Fold_1","ctree",0.9,0.1,0.988636363636364,0.885144755576649
"wilt","Fold_1","ctree",0.9,0.2,0.966942148760331,0.716731289779794
"wilt","Fold_1","ctree",0.9,0.25,0.959710743801653,0.66286836935167
"wilt","Fold_1","ctree",0.9,0.3,0.952479338842975,0.61732554142317
"wilt","Fold_1","ctree",0.9,0.4,0.934917355371901,0.522622663368506
"wilt","Fold_1","ctree",0.9,0.5,0.915289256198347,0.429507819687212
"wilt","Fold_1","ctree",0.9,0.6,0.897727272727273,0.348170316963679
"wilt","Fold_1","ctree",0.9,0.7,0.877066115702479,0.243531482308441
"wilt","Fold_1","ctree",0.9,0.75,0.867768595041322,0.217817281955457
"wilt","Fold_1","ctree",0.9,0.8,0.862603305785124,0.200526590327629
"wilt","Fold_1","ctree",0.9,0.9,0.849173553719008,0.171932127121027
"wilt","Fold_1","ctree",0.9,1,0.831611570247934,0.124919582048495
"wilt","Fold_1","ctree",1,0.1,0.978305785123967,0.7996609768597
"wilt","Fold_1","ctree",1,0.2,0.962809917355372,0.695937456373028
"wilt","Fold_1","ctree",1,0.25,0.954545454545455,0.639393118396099
"wilt","Fold_1","ctree",1,0.3,0.945247933884298,0.59281247023715
"wilt","Fold_1","ctree",1,0.4,0.932851239669422,0.526931520856516
"wilt","Fold_1","ctree",1,0.5,0.920454545454545,0.474224767924156
"wilt","Fold_1","ctree",1,0.6,0.901859504132231,0.402965694549043
"wilt","Fold_1","ctree",1,0.7,0.882231404958678,0.318444587183162
"wilt","Fold_1","ctree",1,0.75,0.872933884297521,0.298782067893236
"wilt","Fold_1","ctree",1,0.8,0.867768595041322,0.288627595076245
"wilt","Fold_1","ctree",1,0.9,0.851239669421488,0.252349281270114
