"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wilt","Fold_1","fda",0.1,0.1,0.997933884297521,0.98195107398568
"wilt","Fold_1","fda",0.1,0.2,0.993801652892562,0.947520601416799
"wilt","Fold_1","fda",0.1,0.25,0.989669421487603,0.913860610806578
"wilt","Fold_1","fda",0.1,0.3,0.987603305785124,0.898176718092567
"wilt","Fold_1","fda",0.1,0.4,0.981404958677686,0.849512886063705
"wilt","Fold_1","fda",0.1,0.5,0.979338842975207,0.832792095626338
"wilt","Fold_1","fda",0.1,0.6,0.978305785123967,0.825714187729346
"wilt","Fold_1","fda",0.1,0.7,0.972107438016529,0.779144836910596
"wilt","Fold_1","fda",0.1,0.75,0.97004132231405,0.766152410782713
"wilt","Fold_1","fda",0.1,0.8,0.97004132231405,0.766152410782713
"wilt","Fold_1","fda",0.1,0.9,0.96797520661157,0.753523671846765
"wilt","Fold_1","fda",0.1,1,0.965909090909091,0.741243560250138
"wilt","Fold_1","fda",0.2,0.1,0.994834710743802,0.955927881988709
"wilt","Fold_1","fda",0.2,0.2,0.983471074380165,0.870058393180751
"wilt","Fold_1","fda",0.2,0.25,0.978305785123967,0.833032164799422
"wilt","Fold_1","fda",0.2,0.3,0.975206611570248,0.810505709624796
"wilt","Fold_1","fda",0.2,0.4,0.966942148760331,0.757454272112252
"wilt","Fold_1","fda",0.2,0.5,0.954545454545455,0.683396764985728
"wilt","Fold_1","fda",0.2,0.6,0.950413223140496,0.66314812666744
"wilt","Fold_1","fda",0.2,0.7,0.942148760330578,0.61648177496038
"wilt","Fold_1","fda",0.2,0.75,0.935950413223141,0.580448520776243
"wilt","Fold_1","fda",0.2,0.8,0.929752066115702,0.555723542116631
"wilt","Fold_1","fda",0.2,0.9,0.922520661157025,0.51829931792245
"wilt","Fold_1","fda",0.2,1,0.911157024793388,0.474391352661885
"wilt","Fold_1","fda",0.3,0.1,0.979338842975207,0.835217213672885
"wilt","Fold_1","fda",0.3,0.2,0.962809917355372,0.734228187919463
"wilt","Fold_1","fda",0.3,0.25,0.957644628099174,0.699269542024065
"wilt","Fold_1","fda",0.3,0.3,0.947314049586777,0.648606326338867
"wilt","Fold_1","fda",0.3,0.4,0.924586776859504,0.541512029275128
"wilt","Fold_1","fda",0.3,0.5,0.90702479338843,0.46153085443038
"wilt","Fold_1","fda",0.3,0.6,0.893595041322314,0.423236226484948
"wilt","Fold_1","fda",0.3,0.7,0.878099173553719,0.367306243630079
"wilt","Fold_1","fda",0.3,0.75,0.870867768595041,0.351206434316354
"wilt","Fold_1","fda",0.3,0.8,0.864669421487603,0.332266149925227
"wilt","Fold_1","fda",0.3,0.9,0.846074380165289,0.291382529232583
"wilt","Fold_1","fda",0.3,1,0.827479338842975,0.255631481038071
"wilt","Fold_1","fda",0.4,0.1,0.978305785123967,0.828223762041575
"wilt","Fold_1","fda",0.4,0.2,0.959710743801653,0.713939320461916
"wilt","Fold_1","fda",0.4,0.25,0.948347107438017,0.653394442853051
"wilt","Fold_1","fda",0.4,0.3,0.935950413223141,0.594924406047516
"wilt","Fold_1","fda",0.4,0.4,0.903925619834711,0.468759589283607
"wilt","Fold_1","fda",0.4,0.5,0.885330578512397,0.413147488694208
"wilt","Fold_1","fda",0.4,0.6,0.866735537190083,0.365242675016775
"wilt","Fold_1","fda",0.4,0.7,0.846074380165289,0.29726569351601
"wilt","Fold_1","fda",0.4,0.75,0.836776859504132,0.281656271135493
"wilt","Fold_1","fda",0.4,0.8,0.829545454545455,0.270271752042252
"wilt","Fold_1","fda",0.4,0.9,0.807851239669422,0.228453890983887
"wilt","Fold_1","fda",0.4,1,0.776859504132231,0.187111221696939
"wilt","Fold_1","fda",0.5,0.1,0.973140495867769,0.794714518760196
"wilt","Fold_1","fda",0.5,0.2,0.950413223140496,0.667258665138929
"wilt","Fold_1","fda",0.5,0.25,0.934917355371901,0.590744369580973
"wilt","Fold_1","fda",0.5,0.3,0.922520661157025,0.544072948328267
"wilt","Fold_1","fda",0.5,0.4,0.885330578512397,0.413147488694208
