"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wilt","Fold_1","gcvEarth",0.1,0.1,1,1
"wilt","Fold_1","gcvEarth",0.1,0.2,0.997933884297521,0.981358804498536
"wilt","Fold_1","gcvEarth",0.1,0.25,0.996900826446281,0.972266788906715
"wilt","Fold_1","gcvEarth",0.1,0.3,0.996900826446281,0.972266788906715
"wilt","Fold_1","gcvEarth",0.1,0.4,0.995867768595041,0.963322218854198
"wilt","Fold_1","gcvEarth",0.1,0.5,0.989669421487603,0.908305547135495
"wilt","Fold_1","gcvEarth",0.1,0.6,0.988636363636364,0.89994738029016
"wilt","Fold_1","gcvEarth",0.1,0.7,0.984504132231405,0.863564609486582
"wilt","Fold_1","gcvEarth",0.1,0.75,0.981404958677686,0.83758389261745
"wilt","Fold_1","gcvEarth",0.1,0.8,0.980371900826446,0.829917881186654
"wilt","Fold_1","gcvEarth",0.1,0.9,0.976239669421488,0.797319932998325
"wilt","Fold_1","gcvEarth",0.1,1,0.976239669421488,0.797319932998325
"wilt","Fold_1","gcvEarth",0.2,0.1,0.994834710743802,0.954521536495528
"wilt","Fold_1","gcvEarth",0.2,0.2,0.980371900826446,0.842393912387743
"wilt","Fold_1","gcvEarth",0.2,0.25,0.975206611570248,0.805205258921384
"wilt","Fold_1","gcvEarth",0.2,0.3,0.97004132231405,0.769584345656314
"wilt","Fold_1","gcvEarth",0.2,0.4,0.964876033057851,0.739025628013194
"wilt","Fold_1","gcvEarth",0.2,0.5,0.957644628099174,0.699570035729425
"wilt","Fold_1","gcvEarth",0.2,0.6,0.948347107438017,0.6538109407187
"wilt","Fold_1","gcvEarth",0.2,0.7,0.935950413223141,0.590770237835479
"wilt","Fold_1","gcvEarth",0.2,0.75,0.931818181818182,0.574307036247334
"wilt","Fold_1","gcvEarth",0.2,0.8,0.928719008264463,0.562444316335622
"wilt","Fold_1","gcvEarth",0.2,0.9,0.922520661157025,0.534830078425342
"wilt","Fold_1","gcvEarth",0.2,1,0.913223140495868,0.492915585711435
"wilt","Fold_1","gcvEarth",0.3,0.1,0.984504132231405,0.871812981142736
"wilt","Fold_1","gcvEarth",0.3,0.2,0.965909090909091,0.744970300823913
"wilt","Fold_1","gcvEarth",0.3,0.25,0.960743801652893,0.716032608695652
"wilt","Fold_1","gcvEarth",0.3,0.3,0.953512396694215,0.674478388234591
"wilt","Fold_1","gcvEarth",0.3,0.4,0.93698347107438,0.595006858710562
"wilt","Fold_1","gcvEarth",0.3,0.5,0.919421487603306,0.513555303576951
"wilt","Fold_1","gcvEarth",0.3,0.6,0.900826446280992,0.44421052631579
"wilt","Fold_1","gcvEarth",0.3,0.7,0.879132231404959,0.37093979115752
"wilt","Fold_1","gcvEarth",0.3,0.75,0.870867768595041,0.352553400967425
"wilt","Fold_1","gcvEarth",0.3,0.8,0.860537190082645,0.331382260243134
"wilt","Fold_1","gcvEarth",0.3,0.9,0.847107438016529,0.294794045837599
"wilt","Fold_1","gcvEarth",0.3,1,0.829545454545455,0.248616913176019
"wilt","Fold_1","gcvEarth",0.4,0.1,0.977272727272727,0.821438154011269
"wilt","Fold_1","gcvEarth",0.4,0.2,0.950413223140496,0.663538408063956
"wilt","Fold_1","gcvEarth",0.4,0.25,0.942148760330578,0.626007285572359
"wilt","Fold_1","gcvEarth",0.4,0.3,0.934917355371901,0.595961202098903
"wilt","Fold_1","gcvEarth",0.4,0.4,0.920454545454545,0.537640811870378
"wilt","Fold_1","gcvEarth",0.4,0.5,0.900826446280992,0.460774301364776
"wilt","Fold_1","gcvEarth",0.4,0.6,0.881198347107438,0.398842182572256
"wilt","Fold_1","gcvEarth",0.4,0.7,0.852272727272727,0.327124246548708
"wilt","Fold_1","gcvEarth",0.4,0.75,0.836776859504132,0.283379563685434
"wilt","Fold_1","gcvEarth",0.4,0.8,0.822314049586777,0.261357183418512
"wilt","Fold_1","gcvEarth",0.4,0.9,0.802685950413223,0.212652880455149
"wilt","Fold_1","gcvEarth",0.4,1,0.787190082644628,0.183557156894857
"wilt","Fold_1","gcvEarth",0.5,0.1,0.966942148760331,0.757666791838778
"wilt","Fold_1","gcvEarth",0.5,0.2,0.941115702479339,0.63024714523133
"wilt","Fold_1","gcvEarth",0.5,0.25,0.925619834710744,0.565356216324088
"wilt","Fold_1","gcvEarth",0.5,0.3,0.916322314049587,0.533441233874423
"wilt","Fold_1","gcvEarth",0.5,0.4,0.897727272727273,0.472732074475109
"wilt","Fold_1","gcvEarth",0.5,0.5,0.87603305785124,0.413380736910149
"wilt","Fold_1","gcvEarth",0.5,0.6,0.855371900826446,0.359885126964934
"wilt","Fold_1","gcvEarth",0.5,0.7,0.830578512396694,0.311402595599972
"wilt","Fold_1","gcvEarth",0.5,0.75,0.81301652892562,0.280117016730763
"wilt","Fold_1","gcvEarth",0.5,0.8,0.800619834710744,0.263474942441732
"wilt","Fold_1","gcvEarth",0.5,0.9,0.771694214876033,0.219810357403355
"wilt","Fold_1","gcvEarth",0.5,1,0.746900826446281,0.176230305388057
"wilt","Fold_1","gcvEarth",0.6,0.1,0.96900826446281,0.766559485530547
"wilt","Fold_1","gcvEarth",0.6,0.2,0.933884297520661,0.582443653618031
"wilt","Fold_1","gcvEarth",0.6,0.25,0.915289256198347,0.515338022665104
"wilt","Fold_1","gcvEarth",0.6,0.3,0.901859504132231,0.46902859254469
"wilt","Fold_1","gcvEarth",0.6,0.4,0.875,0.378960763520679
"wilt","Fold_1","gcvEarth",0.6,0.5,0.841942148760331,0.286011801457827
"wilt","Fold_1","gcvEarth",0.6,0.6,0.809917355371901,0.215780204297288
"wilt","Fold_1","gcvEarth",0.6,0.7,0.776859504132231,0.161555241883741
