"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wilt","Fold_1","rda",0.1,0.1,0.995867768595041,0.960775573880098
"wilt","Fold_1","rda",0.1,0.2,0.993801652892562,0.942173281029092
"wilt","Fold_1","rda",0.1,0.25,0.991735537190083,0.924198821479611
"wilt","Fold_1","rda",0.1,0.3,0.988636363636364,0.896645441838795
"wilt","Fold_1","rda",0.1,0.4,0.986570247933884,0.879864054683621
"wilt","Fold_1","rda",0.1,0.5,0.981404958677686,0.8350156235205
"wilt","Fold_1","rda",0.1,0.6,0.979338842975207,0.816684026133889
"wilt","Fold_1","rda",0.1,0.7,0.979338842975207,0.816684026133889
"wilt","Fold_1","rda",0.1,0.75,0.978305785123967,0.805934242181235
"wilt","Fold_1","rda",0.1,0.8,0.977272727272727,0.798352428747278
"wilt","Fold_1","rda",0.1,0.9,0.973140495867769,0.765516984366557
"wilt","Fold_1","rda",0.1,1,0.971074380165289,0.751471693961011
"wilt","Fold_1","rda",0.2,0.1,0.991735537190083,0.92289770803879
"wilt","Fold_1","rda",0.2,0.2,0.988636363636364,0.896645441838795
"wilt","Fold_1","rda",0.2,0.25,0.983471074380165,0.855702759610189
"wilt","Fold_1","rda",0.2,0.3,0.981404958677686,0.837665604561462
"wilt","Fold_1","rda",0.2,0.4,0.977272727272727,0.798352428747278
"wilt","Fold_1","rda",0.2,0.5,0.96900826446281,0.737863551840552
"wilt","Fold_1","rda",0.2,0.6,0.96797520661157,0.731217082870553
"wilt","Fold_1","rda",0.2,0.7,0.961776859504132,0.693398164634982
"wilt","Fold_1","rda",0.2,0.75,0.956611570247934,0.664349520334197
"wilt","Fold_1","rda",0.2,0.8,0.953512396694215,0.647891877909984
"wilt","Fold_1","rda",0.2,0.9,0.945247933884298,0.596539792387544
"wilt","Fold_1","rda",0.2,1,0.940082644628099,0.555464061188618
"wilt","Fold_1","rda",0.3,0.1,0.989669421487603,0.906820938336253
"wilt","Fold_1","rda",0.3,0.2,0.975206611570248,0.783554139415283
"wilt","Fold_1","rda",0.3,0.25,0.96797520661157,0.727001455604075
"wilt","Fold_1","rda",0.3,0.3,0.958677685950413,0.666074477810166
"wilt","Fold_1","rda",0.3,0.4,0.947314049586777,0.583532984646533
"wilt","Fold_1","rda",0.3,0.5,0.940082644628099,0.536482670937702
"wilt","Fold_1","rda",0.3,0.6,0.930785123966942,0.489965397923876
"wilt","Fold_1","rda",0.3,0.7,0.921487603305785,0.454720645132599
"wilt","Fold_1","rda",0.3,0.75,0.914256198347107,0.429990351325274
"wilt","Fold_1","rda",0.3,0.8,0.910123966942149,0.409739549749082
"wilt","Fold_1","rda",0.3,0.9,0.903925619834711,0.376565096952909
"wilt","Fold_1","rda",0.3,1,0.899793388429752,0.36491531843515
"wilt","Fold_1","rda",0.4,0.1,0.985537190082645,0.867347937589319
"wilt","Fold_1","rda",0.4,0.2,0.975206611570248,0.780020831360667
"wilt","Fold_1","rda",0.4,0.25,0.96797520661157,0.722651484343229
"wilt","Fold_1","rda",0.4,0.3,0.958677685950413,0.666074477810166
"wilt","Fold_1","rda",0.4,0.4,0.946280991735537,0.565896821153216
"wilt","Fold_1","rda",0.4,0.5,0.932851239669422,0.484211561792964
"wilt","Fold_1","rda",0.4,0.6,0.916322314049587,0.399669239250275
"wilt","Fold_1","rda",0.4,0.7,0.900826446280992,0.352589558165782
"wilt","Fold_1","rda",0.4,0.75,0.894628099173554,0.328262555617542
"wilt","Fold_1","rda",0.4,0.8,0.889462809917355,0.31540820642978
"wilt","Fold_1","rda",0.4,0.9,0.881198347107438,0.272513396941577
"wilt","Fold_1","rda",0.4,1,0.870867768595041,0.218063382102053
"wilt","Fold_1","rda",0.5,0.1,0.982438016528926,0.84544293335337
"wilt","Fold_1","rda",0.5,0.2,0.96900826446281,0.745776065832094
"wilt","Fold_1","rda",0.5,0.25,0.960743801652893,0.691931458434532
"wilt","Fold_1","rda",0.5,0.3,0.949380165289256,0.626989619377163
"wilt","Fold_1","rda",0.5,0.4,0.934917355371901,0.533076074972436
"wilt","Fold_1","rda",0.5,0.5,0.917355371900826,0.44032493531648
"wilt","Fold_1","rda",0.5,0.6,0.90702479338843,0.385674192956972
"wilt","Fold_1","rda",0.5,0.7,0.890495867768595,0.32564833922633
"wilt","Fold_1","rda",0.5,0.75,0.885330578512397,0.305640283306623
"wilt","Fold_1","rda",0.5,0.8,0.877066115702479,0.279671827709548
"wilt","Fold_1","rda",0.5,0.9,0.861570247933884,0.193222953389145
"wilt","Fold_1","rda",0.5,1,0.852272727272727,0.170179603385848
"wilt","Fold_1","rda",0.6,0.1,0.984504132231405,0.856663376110563
"wilt","Fold_1","rda",0.6,0.2,0.972107438016529,0.754527011796528
"wilt","Fold_1","rda",0.6,0.25,0.962809917355372,0.690256519652285
"wilt","Fold_1","rda",0.6,0.3,0.951446280991736,0.616197064282099
"wilt","Fold_1","rda",0.6,0.4,0.935950413223141,0.489998130491681
"wilt","Fold_1","rda",0.6,0.5,0.924586776859504,0.420729907859789
"wilt","Fold_1","rda",0.6,0.6,0.90702479338843,0.354274448183341
"wilt","Fold_1","rda",0.6,0.7,0.892561983471074,0.298638688012931
"wilt","Fold_1","rda",0.6,0.75,0.886363636363636,0.275577265862055
"wilt","Fold_1","rda",0.6,0.8,0.87603305785124,0.245135883339182
"wilt","Fold_1","rda",0.6,0.9,0.860537190082645,0.164813252550042
"wilt","Fold_1","rda",0.6,1,0.850206611570248,0.122289201830961
"wilt","Fold_1","rda",0.7,0.1,0.985537190082645,0.867347937589319
"wilt","Fold_1","rda",0.7,0.2,0.975206611570248,0.776370252007007
"wilt","Fold_1","rda",0.7,0.25,0.96900826446281,0.729442674269104
"wilt","Fold_1","rda",0.7,0.3,0.959710743801653,0.656550218340611
"wilt","Fold_1","rda",0.7,0.4,0.943181818181818,0.53037894291158
"wilt","Fold_1","rda",0.7,0.5,0.932851239669422,0.461375154088481
"wilt","Fold_1","rda",0.7,0.6,0.921487603305785,0.383862916869064
"wilt","Fold_1","rda",0.7,0.7,0.910123966942149,0.328613795082752
"wilt","Fold_1","rda",0.7,0.75,0.903925619834711,0.3015114366407
"wilt","Fold_1","rda",0.7,0.8,0.895661157024793,0.270692844781285
"wilt","Fold_1","rda",0.7,0.9,0.882231404958678,0.182080967698898
"wilt","Fold_1","rda",0.7,1,0.877066115702479,0.140717312168049
"wilt","Fold_1","rda",0.8,0.1,0.990702479338843,0.913998025666337
"wilt","Fold_1","rda",0.8,0.2,0.974173553719008,0.768969335930042
"wilt","Fold_1","rda",0.8,0.25,0.96797520661157,0.718160643173792
"wilt","Fold_1","rda",0.8,0.3,0.960743801652893,0.657294054074198
"wilt","Fold_1","rda",0.8,0.4,0.945247933884298,0.540467915875462
"wilt","Fold_1","rda",0.8,0.5,0.935950413223141,0.474603869386326
"wilt","Fold_1","rda",0.8,0.6,0.923553719008264,0.382237783948807
