"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wilt","Fold_1","rfRules",0.1,0.1,0.99896694214876,0.9874122236671
"wilt","Fold_1","rfRules",0.1,0.2,0.99896694214876,0.9874122236671
"wilt","Fold_1","rfRules",0.1,0.25,0.997933884297521,0.975111202530018
"wilt","Fold_1","rfRules",0.1,0.3,0.996900826446281,0.963087248322147
"wilt","Fold_1","rfRules",0.1,0.4,0.993801652892562,0.925333607590054
"wilt","Fold_1","rfRules",0.1,0.5,0.989669421487603,0.875556012650091
"wilt","Fold_1","rfRules",0.1,0.6,0.988636363636364,0.864653243847875
"wilt","Fold_1","rfRules",0.1,0.7,0.987603305785124,0.85066721518011
"wilt","Fold_1","rfRules",0.1,0.75,0.987603305785124,0.85066721518011
"wilt","Fold_1","rfRules",0.1,0.8,0.986570247933884,0.836358907672301
"wilt","Fold_1","rfRules",0.1,0.9,0.985537190082645,0.825778417710128
"wilt","Fold_1","rfRules",0.1,1,0.983471074380165,0.800889620240147
"wilt","Fold_1","rfRules",0.2,0.1,0.997933884297521,0.974531007445996
"wilt","Fold_1","rfRules",0.2,0.2,0.994834710743802,0.937061118335501
"wilt","Fold_1","rfRules",0.2,0.25,0.994834710743802,0.937061118335501
"wilt","Fold_1","rfRules",0.2,0.3,0.993801652892562,0.92359302233799
"wilt","Fold_1","rfRules",0.2,0.4,0.991735537190083,0.898124029783988
"wilt","Fold_1","rfRules",0.2,0.5,0.988636363636364,0.854844866132287
"wilt","Fold_1","rfRules",0.2,0.6,0.985537190082645,0.812998482130537
"wilt","Fold_1","rfRules",0.2,0.7,0.977272727272727,0.713154279248943
"wilt","Fold_1","rfRules",0.2,0.75,0.975206611570248,0.694372089351961
"wilt","Fold_1","rfRules",0.2,0.8,0.975206611570248,0.694372089351961
"wilt","Fold_1","rfRules",0.2,0.9,0.973140495867769,0.668903096797959
"wilt","Fold_1","rfRules",0.2,1,0.971074380165289,0.643434104243955
"wilt","Fold_1","rfRules",0.3,0.1,0.991735537190083,0.904782982909136
"wilt","Fold_1","rfRules",0.3,0.2,0.990702479338843,0.894035224287243
"wilt","Fold_1","rfRules",0.3,0.25,0.988636363636364,0.870487496351075
"wilt","Fold_1","rfRules",0.3,0.3,0.985537190082645,0.836923299078241
"wilt","Fold_1","rfRules",0.3,0.4,0.978305785123967,0.757965423631947
"wilt","Fold_1","rfRules",0.3,0.5,0.96797520661157,0.67051693091484
"wilt","Fold_1","rfRules",0.3,0.6,0.962809917355372,0.635122400686868
"wilt","Fold_1","rfRules",0.3,0.7,0.958677685950413,0.601965500935463
"wilt","Fold_1","rfRules",0.3,0.75,0.956611570247934,0.582063775982236
"wilt","Fold_1","rfRules",0.3,0.8,0.954545454545455,0.554038489728394
"wilt","Fold_1","rfRules",0.3,0.9,0.949380165289256,0.516808606006275
"wilt","Fold_1","rfRules",0.3,1,0.946280991735537,0.482555151216102
"wilt","Fold_1","rfRules",0.4,0.1,0.989669421487603,0.883516642198743
"wilt","Fold_1","rfRules",0.4,0.2,0.986570247933884,0.853264925373134
"wilt","Fold_1","rfRules",0.4,0.25,0.985537190082645,0.843593472289546
"wilt","Fold_1","rfRules",0.4,0.3,0.983471074380165,0.824832047773078
"wilt","Fold_1","rfRules",0.4,0.4,0.978305785123967,0.772373018005912
"wilt","Fold_1","rfRules",0.4,0.5,0.972107438016529,0.718507668447354
"wilt","Fold_1","rfRules",0.4,0.6,0.965909090909091,0.662396956246037
"wilt","Fold_1","rfRules",0.4,0.7,0.959710743801653,0.60834924060088
"wilt","Fold_1","rfRules",0.4,0.75,0.957644628099174,0.588264586272719
"wilt","Fold_1","rfRules",0.4,0.8,0.954545454545455,0.56216205102901
"wilt","Fold_1","rfRules",0.4,0.9,0.951446280991736,0.544748639129043
"wilt","Fold_1","rfRules",0.4,1,0.945247933884298,0.495575569276753
"wilt","Fold_1","rfRules",0.5,0.1,0.990702479338843,0.891701059121873
"wilt","Fold_1","rfRules",0.5,0.2,0.984504132231405,0.827118159737106
"wilt","Fold_1","rfRules",0.5,0.25,0.983471074380165,0.813626627517991
"wilt","Fold_1","rfRules",0.5,0.3,0.979338842975207,0.767033284397487
"wilt","Fold_1","rfRules",0.5,0.4,0.972107438016529,0.688812687526789
"wilt","Fold_1","rfRules",0.5,0.5,0.963842975206612,0.62062169667652
"wilt","Fold_1","rfRules",0.5,0.6,0.954545454545455,0.545607783728423
"wilt","Fold_1","rfRules",0.5,0.7,0.948347107438017,0.502456876169329
"wilt","Fold_1","rfRules",0.5,0.75,0.946280991735537,0.491812216052498
"wilt","Fold_1","rfRules",0.5,0.8,0.943181818181818,0.457642312864187
"wilt","Fold_1","rfRules",0.5,0.9,0.939049586776859,0.428514249119436
"wilt","Fold_1","rfRules",0.5,1,0.933884297520661,0.351328712332209
