"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wilt","Fold_1","svmLinear",0.1,0.1,0.997933884297521,0.96560179098113
"wilt","Fold_1","svmLinear",0.1,0.2,0.995867768595041,0.931203581962262
"wilt","Fold_1","svmLinear",0.1,0.25,0.995867768595041,0.931203581962262
"wilt","Fold_1","svmLinear",0.1,0.3,0.993801652892562,0.896805372943391
"wilt","Fold_1","svmLinear",0.1,0.4,0.990702479338843,0.847671002937473
"wilt","Fold_1","svmLinear",0.1,0.5,0.985537190082645,0.780505976482783
"wilt","Fold_1","svmLinear",0.1,0.6,0.983471074380165,0.749149687408896
"wilt","Fold_1","svmLinear",0.1,0.7,0.979338842975207,0.703894038114465
"wilt","Fold_1","svmLinear",0.1,0.75,0.978305785123967,0.693356664454232
"wilt","Fold_1","svmLinear",0.1,0.8,0.978305785123967,0.693356664454232
"wilt","Fold_1","svmLinear",0.1,0.9,0.976239669421488,0.664152537259398
"wilt","Fold_1","svmLinear",0.1,1,0.975206611570248,0.654296003095146
"wilt","Fold_1","svmLinear",0.2,0.1,0.992768595041322,0.888611257233035
"wilt","Fold_1","svmLinear",0.2,0.2,0.983471074380165,0.769530668730098
"wilt","Fold_1","svmLinear",0.2,0.25,0.978305785123967,0.716690823949158
"wilt","Fold_1","svmLinear",0.2,0.3,0.974173553719008,0.671070515957158
"wilt","Fold_1","svmLinear",0.2,0.4,0.97004132231405,0.627652801358235
"wilt","Fold_1","svmLinear",0.2,0.5,0.960743801652893,0.539866403142278
"wilt","Fold_1","svmLinear",0.2,0.6,0.955578512396694,0.507361643705913
"wilt","Fold_1","svmLinear",0.2,0.7,0.947314049586777,0.451173959445038
"wilt","Fold_1","svmLinear",0.2,0.75,0.941115702479339,0.410462432686555
"wilt","Fold_1","svmLinear",0.2,0.8,0.939049586776859,0.389776904008889
"wilt","Fold_1","svmLinear",0.2,0.9,0.925619834710744,0.327271674292003
"wilt","Fold_1","svmLinear",0.2,1,0.921487603305785,0.314000111896458
"wilt","Fold_1","svmLinear",0.3,0.1,0.986570247933884,0.804814493113289
"wilt","Fold_1","svmLinear",0.3,0.2,0.976239669421488,0.681633586913002
"wilt","Fold_1","svmLinear",0.3,0.25,0.964876033057851,0.578710222472542
"wilt","Fold_1","svmLinear",0.3,0.3,0.957644628099174,0.519934197793691
"wilt","Fold_1","svmLinear",0.3,0.4,0.950413223140496,0.455937800051522
"wilt","Fold_1","svmLinear",0.3,0.5,0.93801652892562,0.397022487074603
"wilt","Fold_1","svmLinear",0.3,0.6,0.921487603305785,0.325447910362914
"wilt","Fold_1","svmLinear",0.3,0.7,0.898760330578512,0.232628496545922
"wilt","Fold_1","svmLinear",0.3,0.75,0.889462809917355,0.203212505384947
"wilt","Fold_1","svmLinear",0.3,0.8,0.883264462809917,0.181453544061302
"wilt","Fold_1","svmLinear",0.3,0.9,0.872933884297521,0.132641762340462
"wilt","Fold_1","svmLinear",0.3,1,0.859504132231405,0.106150106598227
"wilt","Fold_1","svmLinear",0.4,0.1,0.972107438016529,0.661503393254933
"wilt","Fold_1","svmLinear",0.4,0.2,0.959710743801653,0.562610065807767
"wilt","Fold_1","svmLinear",0.4,0.25,0.952479338842975,0.519561511404587
"wilt","Fold_1","svmLinear",0.4,0.3,0.942148760330578,0.467410740602464
"wilt","Fold_1","svmLinear",0.4,0.4,0.926652892561983,0.395063901700524
"wilt","Fold_1","svmLinear",0.4,0.5,0.908057851239669,0.337251523170657
"wilt","Fold_1","svmLinear",0.4,0.6,0.885330578512397,0.274940617577197
"wilt","Fold_1","svmLinear",0.4,0.7,0.868801652892562,0.22736185831364
"wilt","Fold_1","svmLinear",0.4,0.75,0.857438016528926,0.201539730547154
"wilt","Fold_1","svmLinear",0.4,0.8,0.847107438016529,0.179388482203205
"wilt","Fold_1","svmLinear",0.4,0.9,0.829545454545455,0.151472650771389
"wilt","Fold_1","svmLinear",0.4,1,0.81198347107438,0.119392988173666
"wilt","Fold_1","svmLinear",0.5,0.1,0.972107438016529,0.669298511995141
"wilt","Fold_1","svmLinear",0.5,0.2,0.946280991735537,0.487110513337817
"wilt","Fold_1","svmLinear",0.5,0.25,0.934917355371901,0.42647556709175
"wilt","Fold_1","svmLinear",0.5,0.3,0.922520661157025,0.380820796233753
"wilt","Fold_1","svmLinear",0.5,0.4,0.902892561983471,0.304884570136438
"wilt","Fold_1","svmLinear",0.5,0.5,0.883264462809917,0.252698603558058
"wilt","Fold_1","svmLinear",0.5,0.6,0.863636363636364,0.210489242594629
"wilt","Fold_1","svmLinear",0.5,0.7,0.84504132231405,0.176880080724709
"wilt","Fold_1","svmLinear",0.5,0.75,0.828512396694215,0.158534158628417
"wilt","Fold_1","svmLinear",0.5,0.8,0.818181818181818,0.140605926090335
"wilt","Fold_1","svmLinear",0.5,0.9,0.796487603305785,0.107696338998278
"wilt","Fold_1","svmLinear",0.5,1,0.765495867768595,0.0813405130606375
"wilt","Fold_1","svmLinear",0.6,0.1,0.972107438016529,0.669298511995141
"wilt","Fold_1","svmLinear",0.6,0.2,0.93801652892562,0.449071351330842
"wilt","Fold_1","svmLinear",0.6,0.25,0.928719008264463,0.412104355173749
"wilt","Fold_1","svmLinear",0.6,0.3,0.911157024793388,0.345853436218196
"wilt","Fold_1","svmLinear",0.6,0.4,0.884297520661157,0.281642172777992
"wilt","Fold_1","svmLinear",0.6,0.5,0.850206611570248,0.224324682788806
"wilt","Fold_1","svmLinear",0.6,0.6,0.824380165289256,0.192153243463491
"wilt","Fold_1","svmLinear",0.6,0.7,0.799586776859504,0.153716505484402
"wilt","Fold_1","svmLinear",0.6,0.75,0.789256198347107,0.138361651438595
"wilt","Fold_1","svmLinear",0.6,0.8,0.77995867768595,0.131388706334361
"wilt","Fold_1","svmLinear",0.6,0.9,0.746900826446281,0.0977432167151092
"wilt","Fold_1","svmLinear",0.6,1,0.725206611570248,0.0748557426290408
"wilt","Fold_1","svmLinear",0.7,0.1,0.962809917355372,0.600467771892412
"wilt","Fold_1","svmLinear",0.7,0.2,0.935950413223141,0.440368512336584
"wilt","Fold_1","svmLinear",0.7,0.25,0.920454545454545,0.383449690632962
"wilt","Fold_1","svmLinear",0.7,0.3,0.90495867768595,0.33808030206181
"wilt","Fold_1","svmLinear",0.7,0.4,0.878099173553719,0.269583455896459
"wilt","Fold_1","svmLinear",0.7,0.5,0.849173553719008,0.215027604670021
"wilt","Fold_1","svmLinear",0.7,0.6,0.818181818181818,0.178323735663783
"wilt","Fold_1","svmLinear",0.7,0.7,0.788223140495868,0.130686198920586
"wilt","Fold_1","svmLinear",0.7,0.75,0.772727272727273,0.113043623126838
"wilt","Fold_1","svmLinear",0.7,0.8,0.74896694214876,0.0988691041711362
"wilt","Fold_1","svmLinear",0.7,0.9,0.714876033057851,0.0704678138764601
"wilt","Fold_1","svmLinear",0.7,1,0.681818181818182,0.0415903202371079
"wilt","Fold_1","svmLinear",0.8,0.1,0.97004132231405,0.652797704447633
"wilt","Fold_1","svmLinear",0.8,0.2,0.944214876033058,0.495453755719002
"wilt","Fold_1","svmLinear",0.8,0.25,0.925619834710744,0.41911286693004
"wilt","Fold_1","svmLinear",0.8,0.3,0.909090909090909,0.358177242657584
"wilt","Fold_1","svmLinear",0.8,0.4,0.877066115702479,0.276031977474986
"wilt","Fold_1","svmLinear",0.8,0.5,0.84297520661157,0.222087109156084
"wilt","Fold_1","svmLinear",0.8,0.6,0.81301652892562,0.18709054803927
"wilt","Fold_1","svmLinear",0.8,0.7,0.789256198347107,0.158411537576393
"wilt","Fold_1","svmLinear",0.8,0.75,0.774793388429752,0.140648797452375
"wilt","Fold_1","svmLinear",0.8,0.8,0.759297520661157,0.129885962069658
"wilt","Fold_1","svmLinear",0.8,0.9,0.728305785123967,0.111436868263808
"wilt","Fold_1","svmLinear",0.8,1,0.696280991735537,0.0904756121725012
"wilt","Fold_1","svmLinear",0.9,0.1,0.960743801652893,0.578271536997546
"wilt","Fold_1","svmLinear",0.9,0.2,0.928719008264463,0.412104355173749
"wilt","Fold_1","svmLinear",0.9,0.25,0.90702479338843,0.334463950130633
"wilt","Fold_1","svmLinear",0.9,0.3,0.889462809917355,0.292378323723117
"wilt","Fold_1","svmLinear",0.9,0.4,0.861570247933884,0.23302704556474
"wilt","Fold_1","svmLinear",0.9,0.5,0.826446280991736,0.187131989083384
"wilt","Fold_1","svmLinear",0.9,0.6,0.791322314049587,0.146809086228412
"wilt","Fold_1","svmLinear",0.9,0.7,0.761363636363636,0.105968526100307
"wilt","Fold_1","svmLinear",0.9,0.75,0.744834710743802,0.0966328134445657
"wilt","Fold_1","svmLinear",0.9,0.8,0.732438016528926,0.0842306736992823
"wilt","Fold_1","svmLinear",0.9,0.9,0.699380165289256,0.0586930078996963
"wilt","Fold_1","svmLinear",0.9,1,0.669421487603306,0.0270195563540875
"wilt","Fold_1","svmLinear",1,0.1,0.972107438016529,0.669298511995141
"wilt","Fold_1","svmLinear",1,0.2,0.935950413223141,0.440368512336584
"wilt","Fold_1","svmLinear",1,0.25,0.918388429752066,0.367435396883169
"wilt","Fold_1","svmLinear",1,0.3,0.90495867768595,0.329003480960202
"wilt","Fold_1","svmLinear",1,0.4,0.867768595041322,0.242927496914372
"wilt","Fold_1","svmLinear",1,0.5,0.832644628099174,0.186563060866678
"wilt","Fold_1","svmLinear",1,0.6,0.796487603305785,0.144139453889378
"wilt","Fold_1","svmLinear",1,0.7,0.762396694214876,0.113065787062488
"wilt","Fold_1","svmLinear",1,0.75,0.75,0.0930925815518266
"wilt","Fold_1","svmLinear",1,0.8,0.730371900826446,0.0832535051815729
"wilt","Fold_1","svmLinear",1,0.9,0.692148760330578,0.0617287163107186
"wilt","Fold_1","svmLinear",1,1,0.65599173553719,0.0396482070716095
"wilt","Fold_2","svmLinear",0.1,0.1,0.996897621509824,0.953620361636477
"wilt","Fold_2","svmLinear",0.1,0.2,0.996897621509824,0.953620361636477
"wilt","Fold_2","svmLinear",0.1,0.25,0.995863495346432,0.937260753909038
"wilt","Fold_2","svmLinear",0.1,0.3,0.99482936918304,0.922700602727462
"wilt","Fold_2","svmLinear",0.1,0.4,0.991726990692865,0.874521507818075
"wilt","Fold_2","svmLinear",0.1,0.5,0.989658738366081,0.84758692431359
"wilt","Fold_2","svmLinear",0.1,0.6,0.984488107549121,0.774567552025862
"wilt","Fold_2","svmLinear",0.1,0.7,0.981385729058945,0.725656463764461
"wilt","Fold_2","svmLinear",0.1,0.75,0.978283350568769,0.675342531455339
"wilt","Fold_2","svmLinear",0.1,0.8,0.977249224405377,0.654934146499708
"wilt","Fold_2","svmLinear",0.1,0.9,0.975180972078594,0.623564523454227
"wilt","Fold_2","svmLinear",0.1,1,0.974146845915202,0.613503013637308
"wilt","Fold_2","svmLinear",0.2,0.1,0.988624612202689,0.858375384451516
"wilt","Fold_2","svmLinear",0.2,0.2,0.980351602895553,0.776709648408541
"wilt","Fold_2","svmLinear",0.2,0.25,0.97311271975181,0.704121260620896
"wilt","Fold_2","svmLinear",0.2,0.3,0.96794208893485,0.664907946657128
"wilt","Fold_2","svmLinear",0.2,0.4,0.959669079627715,0.602355521346253
"wilt","Fold_2","svmLinear",0.2,0.5,0.953464322647363,0.565818225357454
"wilt","Fold_2","svmLinear",0.2,0.6,0.944157187176836,0.501298850135615
"wilt","Fold_2","svmLinear",0.2,0.7,0.940020682523268,0.482104602201374
"wilt","Fold_2","svmLinear",0.2,0.75,0.9358841778697,0.446387678215262
"wilt","Fold_2","svmLinear",0.2,0.8,0.932781799379524,0.433672412084299
"wilt","Fold_2","svmLinear",0.2,0.9,0.924508790072389,0.393386554838488
"wilt","Fold_2","svmLinear",0.2,1,0.922440537745605,0.386229191879015
"wilt","Fold_2","svmLinear",0.3,0.1,0.983453981385729,0.786345558992487
"wilt","Fold_2","svmLinear",0.3,0.2,0.968976215098242,0.651238278432315
"wilt","Fold_2","svmLinear",0.3,0.25,0.964839710444674,0.621081504702194
"wilt","Fold_2","svmLinear",0.3,0.3,0.959669079627715,0.578432578052516
