"fold","index","original_test_index"
1,34,170
1,23,116
1,127,637
1,84,456
1,19,107
1,53,285
1,85,457
1,92,504
1,113,578
1,94,511
1,17,86
1,58,301
1,135,669
1,115,593
1,2,16
1,46,227
1,12,64
1,119,610
1,55,288
1,5,35
1,71,368
1,60,308
1,83,455
1,7,39
1,14,70
1,122,624
1,133,667
1,69,349
1,9,45
1,82,450
1,20,108
1,106,554
1,130,657
1,38,185
1,41,195
1,79,424
1,128,649
1,120,622
1,86,461
1,68,345
1,88,467
1,136,671
1,81,445
1,4,24
1,96,523
1,10,46
1,18,95
1,24,119
1,126,631
1,40,194
1,8,43
1,75,389
1,100,536
1,22,115
1,1,15
1,13,66
1,131,661
1,110,569
1,31,159
1,117,601
1,56,296
1,77,393
1,49,251
1,37,175
1,134,668
1,132,663
1,67,344
1,73,378
1,51,274
1,43,214
1,104,550
1,93,507
1,123,625
1,52,280
1,62,318
1,125,628
1,72,375
1,70,355
1,16,74
1,15,72
1,42,204
1,105,553
1,112,576
1,57,297
1,45,225
1,11,56
1,63,325
1,89,469
1,95,521
1,28,128
1,99,532
1,27,125
1,80,437
1,54,287
1,108,559
1,76,390
1,21,110
1,91,490
1,111,572
1,29,136
1,61,311
1,6,37
1,59,306
1,129,653
1,64,331
1,33,167
1,87,463
1,47,238
1,39,186
1,103,544
1,114,590
1,118,607
1,25,122
1,90,480
1,102,543
1,48,242
1,78,418
1,3,21
1,97,524
1,121,623
1,26,124
1,30,138
1,137,681
1,124,626
1,50,256
1,36,172
1,32,161
1,116,596
1,107,555
1,109,561
1,44,223
1,35,171
1,66,337
1,101,537
1,65,334
1,74,388
1,98,525
2,2,5
2,23,100
2,11,42
2,60,307
2,57,302
2,56,300
2,34,174
2,100,471
2,117,603
2,124,627
2,127,635
2,14,53
2,93,441
2,136,670
2,98,459
2,104,499
2,96,447
2,42,230
2,36,182
2,105,503
2,90,433
2,67,342
2,112,557
2,61,316
2,99,465
2,33,169
2,15,54
2,68,347
2,49,265
2,37,184
2,115,575
2,13,50
2,89,432
2,133,651
2,78,403
2,126,634
2,63,330
2,85,420
2,130,643
2,27,143
2,128,639
2,43,232
