"fold","index","original_test_index"
1,121,667
1,34,184
1,143,769
1,169,899
1,225,1126
1,86,470
1,5,41
1,133,739
1,175,918
1,135,750
1,209,1071
1,271,1368
1,207,1049
1,247,1228
1,194,996
1,213,1082
1,201,1030
1,270,1365
1,88,481
1,68,384
1,287,1450
1,77,427
1,187,960
1,262,1334
1,74,410
1,12,96
1,70,389
1,51,282
1,276,1394
1,179,933
1,224,1118
1,217,1090
1,4,37
1,220,1103
1,69,385
1,64,355
1,232,1156
1,44,227
1,274,1375
1,63,354
1,186,953
1,184,946
1,32,181
1,165,877
1,7,57
1,71,390
1,28,166
1,157,858
1,183,945
1,294,1471
1,149,791
1,269,1355
1,29,167
1,208,1059
1,36,188
1,112,603
1,178,925
1,115,616
1,120,659
1,253,1260
1,210,1073
1,59,317
1,25,157
1,195,999
1,268,1351
1,52,286
1,222,1111
1,6,47
1,212,1076
1,114,612
1,162,870
1,84,449
1,174,914
1,261,1329
1,109,588
1,150,797
1,97,520
1,80,438
1,18,138
1,35,185
1,49,273
1,55,296
1,46,259
1,267,1350
1,290,1454
1,56,304
1,197,1008
1,285,1425
1,99,526
1,278,1399
1,148,790
1,171,903
1,198,1018
1,3,18
1,182,942
1,91,502
1,286,1445
1,176,921
1,239,1186
1,215,1088
1,283,1423
1,85,462
1,78,436
1,203,1034
1,289,1453
1,72,394
1,256,1283
1,41,202
1,65,358
1,167,889
1,230,1150
1,204,1041
1,265,1347
1,103,544
1,79,437
1,272,1372
1,254,1264
1,81,442
1,173,910
1,156,847
1,158,860
1,125,710
1,295,1472
1,163,873
1,273,1374
1,89,486
1,229,1143
1,76,417
1,211,1074
1,234,1170
1,227,1135
1,166,878
1,152,818
1,246,1213
1,255,1272
1,251,1254
1,292,1457
1,200,1029
1,39,195
1,277,1395
1,132,729
1,279,1401
1,236,1172
1,47,267
1,168,894
1,45,256
1,1,5
1,37,193
1,101,537
1,260,1322
1,159,863
1,250,1245
1,24,151
1,90,493
1,161,866
1,67,368
1,48,270
1,252,1256
1,60,329
1,141,765
1,237,1177
1,144,778
