"fold","index","original_test_index"
1,43,213
1,32,169
1,80,365
1,175,862
1,156,775
1,114,549
1,107,488
1,82,374
1,145,707
1,93,407
1,91,396
1,168,828
1,23,125
1,20,112
1,188,917
1,52,256
1,190,929
1,50,253
1,27,154
1,160,783
1,174,854
1,17,85
1,173,852
1,143,698
1,200,998
1,132,624
1,72,336
1,180,896
1,142,689
1,140,675
1,62,291
1,12,70
1,63,296
1,99,441
1,195,974
1,183,902
1,105,471
1,61,290
1,133,637
1,167,812
1,129,608
1,87,383
1,19,97
1,161,788
1,178,879
1,48,247
1,51,254
1,16,84
1,36,185
1,172,840
1,75,348
1,109,505
1,137,655
1,40,194
1,181,899
1,5,39
1,11,65
1,170,830
1,8,51
1,95,409
1,138,663
1,38,188
1,194,969
1,151,745
1,42,211
1,74,342
1,116,567
1,163,796
1,104,457
1,102,449
1,179,893
1,113,548
1,148,723
1,131,620
1,128,603
1,45,239
1,26,145
1,169,829
1,25,144
1,86,382
1,79,360
1,81,372
1,46,242
1,108,490
1,90,395
1,122,581
1,92,400
1,162,792
1,115,557
1,21,113
1,59,286
1,18,94
1,88,386
1,10,63
1,112,544
1,119,576
1,4,35
1,65,301
1,120,577
1,189,920
1,66,307
1,53,257
1,184,903
1,123,586
1,149,724
1,55,264
1,39,193
1,147,718
1,126,598
1,196,979
1,73,339
1,97,424
1,144,706
1,106,484
1,100,444
1,57,271
1,110,518
1,14,77
1,28,160
1,94,408
1,101,447
1,64,300
1,89,392
1,192,947
1,182,901
1,35,181
1,7,49
1,158,780
1,30,164
1,150,729
1,198,984
1,153,756
1,124,590
1,1,17
1,34,180
1,187,915
1,29,163
1,60,288
1,15,83
1,111,520
1,41,196
1,125,596
1,103,451
1,56,268
1,96,423
1,44,221
1,157,776
1,83,379
1,127,601
1,2,20
1,146,713
1,68,319
1,171,834
1,98,435
1,9,56
1,77,355
1,118,570
1,130,610
1,155,773
1,134,643
1,197,982
1,177,867
1,117,568
1,135,644
1,166,810
1,33,171
1,139,665
1,154,765
1,185,909
1,159,781
1,141,688
1,69,321
1,121,580
1,67,310
1,70,327
1,165,801
1,199,995
1,13,73
1,152,747
1,164,799
1,22,118
1,176,864
1,186,913
1,84,380
1,193,955
1,85,381
1,136,651
1,78,358
1,76,351
1,54,260
1,58,285
1,71,328
1,24,143
1,47,246
1,37,187
1,6,42
1,191,945
1,31,168
1,49,249
1,3,26
2,110,536
2,96,489
2,191,946
2,33,203
2,90,460
2,118,579
2,160,785
2,35,207
2,131,636
2,122,599
2,8,36
2,55,308
2,183,910
2,102,508
2,171,843
2,189,941
2,77,417
2,43,235
2,10,46
2,63,343
2,174,863
2,135,661
2,85,437
2,188,933
2,198,985
2,140,681
2,123,611
2,133,652
2,9,45
2,145,719
2,54,304
2,104,521
2,154,754
2,26,159
2,57,315
2,185,923
2,6,32
2,168,818
2,148,725
2,64,354
2,100,504
2,165,802
2,32,201
2,5,21
2,139,674
2,152,743
2,14,89
2,128,630
2,158,774
2,68,384
2,103,509
2,108,533
2,117,571
2,52,302
2,22,142
2,167,817
2,143,694
2,115,562
2,170,836
2,186,926
2,94,478
2,45,238
2,41,224
2,99,501
2,166,806
2,136,666
2,73,402
2,88,454
2,107,532
2,53,303
2,80,428
2,44,236
2,37,215
2,65,357
2,173,857
2,164,800
2,51,299
2,83,433
2,56,313
2,36,214
2,1,1
2,67,363
2,23,148
2,18,116
2,20,123
2,74,411
2,169,835
2,11,60
2,187,927
2,75,414
2,144,703
2,72,394
2,137,669
2,199,990
2,106,528
2,112,541
2,178,881
2,38,216
2,17,115
2,129,631
2,155,755
2,121,597
2,200,994
2,116,565
2,150,731
2,19,121
2,190,943
2,105,522
2,179,895
2,176,873
2,69,390
2,146,721
2,12,71
2,130,635
2,61,340
2,98,492
2,93,475
2,195,962
2,47,279
2,111,540
2,59,324
2,113,545
2,46,273
2,126,623
2,177,875
2,29,182
2,192,949
2,4,14
2,50,298
2,182,906
2,163,794
2,28,178
2,153,748
2,81,429
2,66,359
2,194,954
2,30,197
2,172,845
2,3,11
2,109,535
2,39,222
2,193,951
2,48,284
2,114,550
2,21,126
2,127,629
2,162,793
2,156,769
2,124,613
2,78,421
2,58,320
2,196,965
2,79,427
2,184,916
2,161,791
2,101,506
2,70,391
2,34,206
2,49,293
2,91,467
2,141,684
2,138,670
2,159,782
2,142,693
2,151,738
2,71,393
2,42,225
2,60,330
2,40,223
2,24,157
2,175,871
2,7,33
2,132,641
2,181,904
2,15,95
2,27,177
2,86,438
2,92,468
2,180,900
2,62,341
2,197,983
2,95,483
2,76,416
2,89,456
2,25,158
2,82,431
2,31,198
2,16,100
2,125,614
2,157,771
2,149,726
2,87,452
2,147,722
2,13,88
2,97,491
2,119,582
2,84,434
2,120,594
2,134,653
2,2,2
3,31,156
3,180,907
3,11,47
3,169,874
3,112,602
3,97,499
3,167,869
3,182,924
3,57,275
3,75,361
3,143,757
3,132,697
3,94,482
3,73,350
3,84,422
3,129,680
3,196,976
3,52,255
3,61,292
3,38,191
3,86,450
3,174,888
3,21,103
3,111,595
3,122,656
3,150,798
3,176,890
3,109,585
3,141,752
3,142,753
3,148,787
3,44,218
3,145,770
3,16,86
3,55,265
3,48,232
3,172,886
3,1,9
3,67,333
3,59,281
3,120,642
3,35,184
3,37,189
3,68,334
3,168,870
3,130,683
3,136,717
3,164,847
3,20,102
3,45,219
3,2,16
3,115,621
3,96,496
3,36,186
3,14,68
3,32,161
3,183,925
3,152,804
3,140,744
3,42,205
3,91,476
3,98,507
