"fold","index","original_test_index"
1,5,24
1,9,44
1,27,140
1,12,53
1,21,109
1,8,40
1,4,20
1,17,79
1,29,148
1,26,134
1,1,3
1,10,47
1,14,61
1,19,93
1,22,111
1,25,132
1,30,149
1,18,92
1,6,26
1,28,147
1,2,10
1,23,114
1,15,74
1,11,51
1,7,28
1,24,115
1,16,77
1,20,96
1,3,11
1,13,59
2,18,85
2,17,84
2,1,13
2,28,129
2,9,45
2,19,91
2,14,72
2,25,120
2,15,73
2,5,30
2,11,60
2,10,49
2,22,105
2,24,118
2,8,39
2,16,81
2,2,18
2,12,65
2,30,139
2,7,35
2,27,125
2,6,31
2,3,19
2,23,116
2,29,137
2,26,122
2,4,27
2,21,101
2,20,99
2,13,70
3,10,42
3,2,6
3,7,33
3,20,94
3,5,21
3,18,83
3,26,127
3,28,144
3,3,8
3,21,104
3,4,9
3,15,68
3,14,64
3,19,90
3,8,36
3,27,130
3,16,69
3,25,123
3,29,145
3,24,121
3,17,76
3,12,56
3,23,117
3,6,23
3,11,54
3,9,41
3,22,107
3,13,62
3,30,146
3,1,5
4,10,43
4,17,82
4,14,67
4,7,29
4,2,2
4,29,135
4,9,38
4,12,57
4,30,136
4,18,86
4,23,108
4,3,4
4,28,128
4,20,100
4,6,25
4,22,103
4,1,1
4,25,113
4,5,14
4,15,71
4,13,58
4,27,126
4,19,97
4,11,55
4,26,119
4,24,112
4,4,7
4,16,80
4,8,32
4,21,102
5,23,124
5,6,34
5,1,12
5,19,95
5,11,52
5,20,98
5,2,15
5,24,131
5,10,50
5,3,16
5,14,75
5,17,88
5,16,87
5,18,89
5,30,150
5,4,17
5,27,141
5,13,66
5,22,110
5,8,46
5,25,133
5,29,143
5,12,63
5,26,138
5,9,48
5,21,106
5,7,37
5,15,78
5,5,22
5,28,142
