"fold","index","original_test_index"
1,21,109
1,25,132
1,23,114
1,16,77
1,15,74
1,13,59
1,26,134
1,30,149
1,2,10
1,24,115
1,6,26
1,14,61
1,9,44
1,10,47
1,20,96
1,8,40
1,29,148
1,17,79
1,7,28
1,3,11
1,1,3
1,11,51
1,12,53
1,18,92
1,22,111
1,5,24
1,28,147
1,19,93
1,4,20
1,27,140
2,21,101
2,12,65
2,17,84
2,2,18
2,7,35
2,4,27
2,19,91
2,25,120
2,29,137
2,27,125
2,6,31
2,30,139
2,20,99
2,13,70
2,10,49
2,11,60
2,5,30
2,28,129
2,24,118
2,8,39
2,22,105
2,14,72
2,26,122
2,3,19
2,23,116
2,18,85
2,1,13
2,15,73
2,9,45
2,16,81
3,11,54
3,16,69
3,26,127
3,4,9
3,7,33
3,28,144
3,22,107
3,20,94
3,17,76
3,21,104
3,15,68
3,9,41
3,29,145
3,5,21
3,23,117
3,1,5
3,14,64
3,24,121
3,27,130
3,30,146
3,13,62
3,19,90
3,8,36
3,10,42
3,6,23
3,25,123
3,18,83
3,3,8
3,2,6
3,12,56
4,14,67
4,13,58
4,27,126
4,5,14
4,28,128
4,21,102
4,22,103
4,4,7
4,8,32
4,23,108
4,25,113
4,30,136
4,12,57
4,24,112
4,19,97
4,20,100
4,10,43
4,26,119
4,15,71
4,29,135
4,3,4
4,1,1
4,11,55
4,6,25
4,9,38
4,18,86
4,16,80
4,2,2
4,17,82
4,7,29
5,27,141
5,11,52
5,16,87
5,19,95
5,9,48
5,1,12
5,21,106
5,17,88
5,3,16
5,14,75
5,18,89
5,5,22
5,30,150
5,29,143
5,12,63
5,25,133
5,20,98
5,13,66
5,10,50
5,23,124
5,2,15
5,26,138
5,22,110
5,6,34
5,24,131
5,7,37
5,15,78
5,28,142
5,8,46
5,4,17
