"fold","index","original_test_index"
1,62,333
1,83,429
1,95,473
1,56,287
1,27,166
1,81,413
1,120,600
1,6,38
1,21,123
1,22,134
1,53,270
1,61,329
1,89,451
1,113,568
1,50,265
1,112,548
1,28,167
1,114,570
1,64,343
1,3,28
1,91,455
1,67,370
1,108,538
1,115,579
1,14,90
1,94,459
1,75,391
1,105,521
1,78,397
1,45,251
1,80,408
1,33,187
1,87,441
1,66,364
1,106,527
1,99,481
1,85,434
1,68,379
1,98,478
1,30,173
1,92,457
1,102,502
1,63,338
1,71,384
1,74,389
1,104,520
1,90,454
1,5,37
1,59,324
1,117,587
1,16,93
1,35,200
1,26,158
1,118,591
1,11,73
1,39,223
1,57,288
1,32,178
1,111,547
1,70,382
1,13,87
1,46,256
1,1,21
1,69,381
1,119,596
1,40,235
1,36,201
1,31,174
1,10,49
1,43,244
1,9,46
1,107,533
1,41,236
1,96,476
1,4,32
1,19,104
1,93,458
1,15,91
1,100,491
1,47,257
1,23,135
1,37,217
1,44,247
1,60,327
1,2,23
1,49,260
1,101,497
1,79,403
1,25,154
1,20,108
1,109,539
1,84,431
1,82,428
1,116,584
1,12,80
1,88,444
1,24,140
1,110,540
1,18,103
1,76,393
1,55,284
1,103,503
1,29,171
1,8,45
1,58,323
1,72,385
1,38,220
1,51,266
1,86,439
1,97,477
1,65,359
1,77,396
1,73,387
1,7,41
1,42,241
1,48,258
1,52,269
1,34,196
1,54,279
1,17,100
2,52,248
2,1,2
2,20,102
2,89,437
2,41,215
2,115,572
2,104,528
2,76,362
2,25,133
2,44,225
2,109,550
2,107,546
2,58,285
2,96,500
2,8,27
2,54,254
2,2,6
2,118,586
2,72,351
2,49,240
2,75,360
2,53,253
2,69,337
2,4,9
2,3,7
2,105,542
2,77,372
2,6,18
2,79,378
2,39,205
2,16,71
2,22,116
2,56,263
2,86,422
2,73,356
2,80,380
2,28,147
2,27,146
2,5,10
2,114,569
2,87,424
2,48,238
2,65,316
2,32,183
2,93,484
2,66,318
2,21,115
2,12,40
2,78,377
2,61,297
2,113,566
2,68,336
2,13,50
2,42,221
2,31,179
2,57,283
2,116,578
2,46,232
2,85,412
2,51,245
2,111,553
2,74,357
2,99,506
