"fold","index","original_test_index"
1,475,2341
1,490,2448
1,458,2253
1,388,1852
1,60,246
1,156,718
1,321,1533
1,234,1146
1,263,1263
1,3,8
1,230,1131
1,418,2022
1,357,1715
1,16,69
1,347,1682
1,420,2036
1,165,781
1,4,19
1,481,2371
1,226,1116
1,216,1047
1,456,2249
1,492,2453
1,193,905
1,133,591
1,182,864
1,198,930
1,26,103
1,254,1232
1,316,1515
1,6,34
1,397,1933
1,55,220
1,117,508
1,10,41
1,489,2446
1,63,260
1,319,1530
1,178,847
1,417,2008
1,123,536
1,45,175
1,296,1419
1,112,490
1,200,949
1,70,294
1,419,2031
1,329,1580
1,360,1730
1,225,1115
1,345,1677
1,276,1351
1,299,1423
1,187,877
1,137,623
1,338,1641
1,325,1554
1,84,345
1,217,1048
1,504,2510
1,264,1264
1,265,1269
1,121,521
1,487,2428
1,449,2226
1,380,1806
1,116,504
1,174,817
1,136,604
1,391,1871
1,144,659
1,274,1346
1,431,2091
1,7,35
1,286,1384
1,327,1571
1,210,1010
1,88,371
1,373,1776
1,459,2263
1,295,1417
1,223,1100
1,266,1274
1,301,1441
1,493,2460
1,435,2117
1,177,841
1,158,742
1,29,109
1,233,1144
1,353,1696
1,186,872
1,389,1857
1,244,1177
1,277,1356
1,361,1732
1,61,254
1,92,407
1,40,152
1,302,1443
1,340,1652
1,86,352
1,49,199
1,434,2109
1,323,1539
1,387,1849
1,154,704
1,426,2075
1,506,2525
1,423,2055
1,103,443
1,1,3
1,102,440
1,147,669
1,104,451
1,179,850
1,33,121
1,502,2506
1,465,2304
1,421,2049
1,132,579
1,477,2352
1,309,1493
1,348,1685
1,13,51
1,285,1379
1,51,203
1,494,2482
1,412,1989
1,201,951
1,343,1664
1,410,1982
1,107,472
1,370,1764
1,467,2307
1,378,1792
1,452,2239
1,91,401
1,442,2175
1,484,2394
1,310,1494
1,450,2229
1,169,795
1,97,431
1,463,2291
1,408,1978
1,462,2289
1,22,91
1,260,1254
1,251,1205
1,371,1770
1,284,1377
1,451,2234
1,248,1186
1,71,298
1,424,2063
1,486,2412
1,430,2090
1,247,1185
1,249,1187
1,278,1358
1,498,2500
1,381,1810
1,473,2333
1,214,1044
1,66,271
1,161,757
1,392,1872
1,12,46
1,191,901
1,196,922
1,478,2356
1,436,2118
1,24,96
1,385,1845
1,439,2148
1,500,2504
1,341,1654
1,162,761
1,312,1500
1,205,969
1,383,1829
1,99,436
1,87,370
1,192,903
1,366,1750
1,280,1366
1,82,338
1,89,389
1,291,1402
1,163,770
1,283,1370
1,76,313
1,468,2311
1,395,1922
1,14,59
1,268,1308
1,375,1782
1,279,1362
1,382,1823
1,108,474
1,428,2081
1,23,93
1,119,517
1,8,37
1,372,1771
1,429,2088
1,118,510
1,398,1938
1,358,1717
1,74,309
1,212,1038
1,42,162
1,491,2449
1,415,2006
1,218,1049
1,495,2484
1,496,2485
1,93,410
1,135,602
1,206,972
1,457,2250
1,501,2505
1,85,348
1,167,791
1,377,1790
1,220,1062
1,333,1596
1,111,489
1,352,1692
1,141,654
1,294,1410
1,250,1204
1,405,1971
1,67,279
1,64,262
1,175,828
1,482,2381
1,39,148
1,368,1759
1,336,1634
1,57,225
1,445,2196
1,363,1742
1,311,1499
1,172,803
1,72,301
1,150,690
1,138,628
1,241,1170
1,472,2331
1,304,1454
1,204,967
1,151,696
1,474,2339
1,354,1697
1,222,1098
1,359,1718
1,227,1122
1,303,1453
1,203,964
1,444,2192
1,416,2007
1,411,1985
1,219,1058
1,505,2512
1,453,2240
1,298,1421
1,139,631
1,289,1392
1,313,1502
1,171,802
1,190,896
1,94,420
1,306,1463
1,21,88
1,44,168
1,252,1208
1,287,1389
1,367,1754
1,238,1161
1,96,429
1,409,1980
1,324,1552
1,350,1689
1,406,1975
1,300,1425
1,62,259
1,41,159
1,197,927
1,149,683
1,100,437
1,18,77
1,98,435
1,80,326
1,344,1672
1,394,1909
1,464,2295
1,52,212
1,73,306
1,245,1178
1,181,861
1,281,1368
1,351,1690
1,56,223
1,27,104
1,497,2495
1,146,668
1,476,2342
1,11,45
1,471,2330
1,339,1646
1,229,1129
1,124,544
1,256,1241
1,211,1028
1,183,865
1,47,187
1,255,1237
1,384,1834
1,297,1420
1,334,1605
1,168,793
1,90,398
1,152,697
1,9,40
1,122,527
1,128,569
1,34,124
1,140,648
1,209,1002
1,401,1944
1,195,917
1,188,879
1,404,1965
1,131,576
1,262,1259
1,422,2050
1,53,213
1,337,1636
1,81,331
1,470,2325
1,246,1179
1,480,2370
1,438,2137
1,153,701
1,390,1865
1,155,712
1,215,1045
1,293,1409
1,106,456
1,224,1108
1,240,1165
1,176,832
1,159,743
1,461,2280
1,164,773
1,267,1290
1,134,593
1,499,2501
1,441,2174
1,2,6
1,386,1848
1,257,1245
1,349,1688
1,83,342
1,320,1532
1,113,492
1,242,1171
1,331,1587
1,235,1151
1,288,1391
1,290,1393
1,448,2224
1,330,1586
1,270,1310
1,273,1342
1,314,1507
1,469,2322
1,272,1326
1,114,499
1,65,266
1,189,886
1,105,453
1,38,146
1,362,1738
1,145,664
1,236,1156
1,25,100
1,407,1977
1,148,679
1,59,239
1,379,1804
1,326,1568
1,129,571
1,308,1484
1,207,988
1,58,237
1,237,1158
1,17,74
1,433,2106
1,446,2206
1,184,869
1,374,1778
1,317,1517
1,68,286
1,271,1319
1,95,426
1,194,909
1,258,1250
1,269,1309
1,364,1743
1,48,192
1,77,314
1,78,315
1,37,139
1,393,1896
1,32,119
1,455,2248
1,503,2508
1,447,2214
1,479,2366
1,322,1537
1,365,1749
1,356,1707
1,213,1040
1,399,1939
1,20,79
1,36,133
1,160,753
1,305,1456
1,318,1523
1,413,1995
1,202,961
1,460,2279
1,208,992
1,31,113
1,275,1347
1,46,178
1,143,658
1,328,1574
1,332,1593
1,239,1164
1,228,1127
1,432,2092
1,443,2181
1,221,1080
1,79,322
1,402,1951
1,231,1134
1,507,2530
1,120,518
1,342,1656
1,253,1222
1,369,1760
1,166,782
1,466,2305
1,346,1679
1,54,217
1,5,22
1,130,572
1,437,2122
1,454,2245
1,110,487
1,355,1700
1,75,310
1,376,1787
1,43,166
1,292,1408
1,282,1369
1,488,2434
1,180,851
1,232,1137
1,315,1513
1,28,106
1,125,546
1,403,1958
1,483,2385
1,400,1942
1,307,1476
1,35,131
1,425,2067
1,109,478
1,427,2079
1,199,933
1,101,439
1,50,200
1,440,2155
1,243,1172
1,15,67
1,127,552
1,414,1996
1,259,1252
1,185,871
1,170,800
1,19,78
1,173,816
1,157,739
1,142,657
1,115,503
1,30,110
1,261,1256
1,485,2409
1,335,1630
1,126,547
1,69,292
1,396,1927
2,367,1817
2,130,627
2,17,89
2,173,830
2,472,2392
2,235,1173
2,387,1923
2,61,280
2,432,2166
2,491,2450
2,323,1607
2,401,2015
2,438,2208
2,115,538
2,27,137
2,134,635
2,423,2097
2,137,647
2,268,1376
