"fold","index","original_test_index"
1,270,1394
1,47,235
1,400,2016
1,484,2413
1,147,756
1,124,653
1,266,1374
1,261,1353
1,600,3033
1,78,378
1,83,424
1,362,1815
1,158,828
1,183,955
1,629,3152
1,557,2798
1,391,1974
1,371,1865
1,111,573
1,395,1988
1,422,2106
1,450,2239
1,57,283
1,113,583
1,572,2914
1,415,2074
1,519,2613
1,324,1625
1,465,2303
1,5,22
1,439,2194
1,94,472
1,358,1806
1,621,3113
1,300,1515
1,210,1086
1,128,663
1,346,1739
1,420,2095
1,521,2616
1,247,1274
1,496,2514
1,149,765
1,556,2795
1,159,829
1,511,2581
1,134,692
1,260,1350
1,49,239
1,474,2357
1,251,1301
1,431,2145
1,408,2048
1,28,135
1,623,3116
1,473,2355
1,575,2923
1,513,2589
1,442,2203
1,495,2503
1,236,1220
1,327,1638
1,122,633
1,103,520
1,279,1422
1,227,1167
1,297,1501
1,272,1400
1,1,5
1,594,3017
1,447,2230
1,492,2481
1,328,1640
1,579,2941
1,26,127
1,110,569
1,63,303
1,607,3061
1,195,1034
1,30,155
1,90,464
1,139,713
1,95,480
1,377,1892
1,226,1164
1,84,436
1,275,1412
1,72,345
1,290,1470
1,29,147
1,454,2253
1,259,1349
1,68,328
1,512,2584
1,438,2185
1,530,2655
1,217,1126
1,19,98
1,470,2339
1,232,1192
1,174,907
1,248,1283
1,608,3063
1,531,2658
1,153,794
1,218,1132
1,552,2772
1,99,506
1,31,167
1,396,2002
1,326,1635
1,626,3134
1,428,2123
1,311,1556
1,209,1077
1,414,2064
1,578,2939
1,278,1421
1,577,2936
1,185,966
1,142,734
1,276,1417
1,441,2202
1,502,2548
1,301,1516
1,550,2767
1,459,2267
1,280,1426
1,315,1573
1,233,1197
1,369,1847
1,74,352
1,168,875
1,526,2643
1,203,1062
1,181,947
1,284,1446
1,378,1898
1,215,1123
1,255,1308
1,319,1587
1,50,245
1,498,2525
1,69,330
1,602,3038
1,398,2004
1,338,1698
1,619,3110
1,13,60
1,52,265
1,41,209
1,118,594
1,533,2663
1,61,299
1,81,418
1,120,616
1,75,364
1,390,1973
1,543,2741
1,187,971
1,482,2392
1,17,88
1,384,1931
1,89,458
1,490,2471
1,613,3082
1,207,1068
1,480,2383
1,7,25
1,222,1153
1,596,3022
1,581,2949
1,316,1575
1,394,1985
1,112,577
1,141,727
1,424,2112
1,457,2263
1,36,195
1,373,1876
1,164,854
1,435,2169
1,356,1785
1,541,2716
1,127,662
1,254,1305
1,571,2910
1,224,1159
1,383,1929
1,76,365
1,152,791
1,71,341
1,235,1212
1,501,2543
1,148,758
1,444,2216
1,633,3163
1,460,2272
1,455,2254
1,211,1098
1,250,1293
1,446,2229
1,144,750
1,349,1755
1,283,1439
1,27,131
1,109,565
1,616,3107
1,587,2976
1,570,2900
1,360,1811
1,56,276
1,520,2614
1,539,2694
1,80,415
1,564,2863
1,37,196
1,286,1453
1,472,2354
1,375,1880
1,479,2382
1,634,3165
1,87,446
1,119,610
1,140,718
1,43,222
1,357,1801
1,273,1402
1,617,3108
1,372,1866
1,464,2296
1,77,372
1,18,94
1,212,1105
1,425,2113
1,585,2963
1,351,1765
1,366,1820
1,589,3002
1,452,2246
1,11,49
1,329,1643
1,632,3160
1,257,1325
1,223,1156
1,231,1186
1,101,515
1,249,1289
1,509,2567
1,6,24
1,491,2475
1,237,1229
1,609,3068
1,468,2317
1,204,1065
1,40,208
1,310,1548
1,481,2389
1,410,2050
1,178,928
1,536,2679
1,630,3153
1,166,869
1,583,2958
1,631,3157
1,576,2929
1,136,701
1,485,2414
1,355,1780
1,538,2689
1,70,333
1,458,2266
1,449,2236
1,500,2536
1,524,2639
1,488,2449
1,242,1258
1,560,2809
1,334,1676
1,593,3013
1,190,988
1,376,1889
1,494,2496
1,216,1124
1,62,301
1,456,2262
1,240,1244
1,489,2467
1,333,1669
1,126,658
1,340,1703
1,487,2429
1,499,2534
1,100,507
1,287,1459
1,167,873
1,540,2707
1,566,2877
1,163,853
1,129,672
1,624,3119
1,65,316
1,537,2685
1,289,1469
1,34,177
1,219,1137
1,268,1392
1,228,1178
1,138,707
1,565,2872
1,627,3137
1,229,1182
1,342,1713
1,466,2304
1,392,1976
1,114,584
1,429,2137
1,294,1495
1,271,1395
1,104,537
1,116,589
1,381,1913
1,507,2557
1,404,2035
1,150,779
1,304,1529
1,580,2943
1,598,3026
1,387,1951
1,213,1109
1,445,2221
1,238,1233
1,337,1690
1,546,2753
1,426,2121
1,597,3024
1,407,2047
1,611,3074
1,563,2847
1,264,1367
1,478,2379
1,397,2003
1,282,1436
1,506,2553
1,517,2597
1,522,2624
1,309,1547
1,256,1309
1,368,1841
1,194,1016
1,186,968
1,45,227
1,171,894
1,145,752
1,320,1594
1,389,1963
1,165,860
1,96,488
1,292,1486
1,365,1819
1,288,1461
1,175,908
1,599,3031
1,156,815
1,302,1520
1,265,1372
1,107,556
1,12,52
1,79,397
1,67,325
1,199,1052
1,201,1057
1,515,2594
1,14,63
1,170,890
1,188,977
1,330,1650
1,405,2038
1,313,1569
1,430,2144
1,518,2600
1,64,304
