"fold","index","original_test_index"
1,122,598
1,12,91
1,100,465
1,1,16
1,148,737
1,147,731
1,134,687
1,3,28
1,15,109
1,76,364
1,57,291
1,33,182
1,23,139
1,29,165
1,105,487
1,114,543
1,80,386
1,22,132
1,17,111
1,61,306
1,18,120
1,82,394
1,138,696
1,64,320
1,46,230
1,98,449
1,79,376
1,85,408
1,70,351
1,59,301
1,9,74
1,20,123
1,136,692
1,168,825
1,45,229
1,158,795
1,101,466
1,162,807
1,35,198
1,84,400
1,90,421
1,47,239
1,30,170
1,161,801
1,139,707
1,152,759
1,140,708
1,119,574
1,118,569
1,124,609
1,41,220
1,133,665
1,27,157
1,87,412
1,160,800
1,78,369
1,129,650
1,143,717
1,81,387
1,151,756
1,141,713
1,39,214
1,8,72
1,135,690
1,66,326
1,67,328
1,149,747
1,4,29
1,93,432
1,26,155
1,99,453
1,165,816
1,91,424
1,65,322
1,73,357
1,69,348
1,43,225
1,56,284
1,58,298
1,169,832
1,13,101
1,106,496
1,142,716
1,19,121
1,167,821
1,163,808
1,102,472
1,97,445
1,5,37
1,77,367
1,157,792
1,127,643
1,146,727
1,130,654
1,131,662
1,54,277
1,55,278
1,34,185
1,21,130
1,48,241
1,170,835
1,132,664
1,156,785
1,62,311
1,107,497
1,37,210
1,14,106
1,92,427
1,50,248
1,89,420
1,6,44
1,144,718
1,128,646
1,125,625
1,154,772
1,86,411
1,150,752
1,36,204
1,103,482
1,159,799
1,52,255
1,83,398
1,113,540
1,120,582
1,71,352
1,123,604
1,10,82
1,112,532
1,38,211
1,155,775
1,32,180
1,49,246
1,115,546
1,166,817
1,110,517
1,88,413
1,75,363
1,116,557
1,2,23
1,53,266
1,68,341
1,24,148
1,153,761
1,74,362
1,44,226
1,95,436
1,109,516
1,117,564
1,31,171
1,11,87
1,111,521
1,51,252
1,40,217
1,108,513
1,171,840
1,96,437
1,72,353
1,121,596
1,28,161
1,25,151
1,60,302
1,126,635
1,104,484
1,16,110
1,94,435
1,63,317
1,145,722
1,42,221
1,164,815
1,7,58
1,137,694
2,36,162
2,48,218
2,49,228
2,79,405
2,149,699
2,47,212
2,94,471
2,8,35
2,45,202
2,73,383
2,17,76
2,75,389
2,127,607
2,88,448
2,132,628
2,105,511
2,165,831
2,97,481
2,89,451
2,27,117
2,7,21
2,67,354
2,82,419
2,119,552
2,25,107
2,78,399
2,104,503
2,120,554
2,100,493
2,15,66
2,55,247
2,13,54
2,31,135
2,157,768
2,83,425
2,66,344
2,110,529
2,154,757
2,162,784
2,62,307
2,90,454
2,64,325
2,140,660
2,139,658
2,72,380
2,93,463
2,85,430
2,151,736
2,46,205
2,74,385
2,59,292
2,1,3
2,38,173
2,166,837
2,133,629
2,99,488
2,92,460
2,50,232
2,57,263
2,98,483
2,40,184
2,6,17
2,77,393
2,135,642
2,148,693
2,5,9
2,86,434
2,121,563
2,35,149
2,12,53
2,153,753
2,108,526
2,109,527
2,143,671
2,53,242
2,111,535
2,44,199
2,51,233
2,41,189
2,61,297
2,87,447
2,16,75
2,106,522
2,161,783
2,107,524
2,152,749
2,134,637
2,147,689
2,21,88
2,52,235
2,70,378
2,150,710
2,80,414
2,95,475
2,24,105
2,76,390
2,3,6
2,29,126
2,114,542
2,115,545
2,158,773
2,101,494
2,145,682
2,32,136
2,144,680
2,81,415
2,117,549
2,4,8
2,159,776
2,9,39
2,146,688
2,116,547
2,138,655
2,103,502
2,68,355
2,118,550
2,34,142
2,26,115
2,126,595
2,128,612
2,163,827
2,141,663
2,65,336
2,11,52
2,54,243
2,122,566
2,102,499
2,113,538
2,20,86
2,131,622
2,33,140
2,130,614
2,84,429
2,14,65
2,142,668
2,30,131
2,23,99
2,42,190
2,136,644
2,124,589
2,18,78
2,96,478
2,137,647
2,2,4
2,60,294
2,160,781
2,71,379
2,19,83
2,129,613
2,43,191
2,167,841
2,10,40
2,125,594
2,69,374
2,155,758
2,28,124
2,123,571
2,164,828
2,37,163
2,56,259
2,58,280
2,22,94
2,156,764
2,168,845
2,39,174
2,91,459
2,63,308
2,112,537
3,107,580
3,44,256
3,162,810
3,60,349
3,13,92
3,73,406
3,6,55
3,111,593
3,120,619
3,79,428
3,35,222
3,52,287
3,163,812
3,89,469
3,98,528
3,110,586
3,24,154
3,146,733
3,114,602
3,169,844
3,100,544
3,70,391
3,69,388
3,106,578
3,2,13
3,40,238
3,116,610
3,130,674
3,49,272
3,76,418
3,135,681
3,22,143
3,20,134
3,97,512
3,105,575
3,71,401
3,148,739
3,41,249
