"fold","index","original_test_index"
1,61,317
1,53,271
1,6,25
1,83,428
1,79,417
1,40,214
1,94,494
1,112,555
1,9,42
1,49,258
1,8,37
1,31,181
1,24,142
1,63,322
1,73,403
1,10,43
1,69,371
1,35,194
1,72,396
1,110,550
1,18,110
1,81,425
1,84,434
1,38,206
1,75,407
1,34,190
1,30,179
1,22,137
1,26,159
1,115,567
1,44,230
1,1,2
1,20,125
1,111,552
1,27,171
1,58,299
1,80,422
1,113,557
1,97,509
1,98,511
1,51,265
1,12,73
1,76,408
1,101,523
1,78,414
1,17,106
1,29,178
1,108,545
1,28,172
1,41,218
1,48,250
1,23,140
1,74,405
1,107,540
1,56,290
1,15,89
1,3,4
1,100,519
1,50,262
1,57,293
1,33,189
1,71,391
1,39,208
1,25,155
1,42,222
1,102,524
1,92,475
1,5,13
1,62,319
1,88,449
1,67,353
1,43,226
1,91,467
1,105,531
1,47,238
1,21,130
1,104,528
1,66,340
1,64,335
1,36,197
1,46,237
1,85,438
1,16,101
1,55,288
1,82,427
1,7,33
1,60,311
1,14,87
1,59,306
1,86,439
1,32,186
1,45,234
1,87,442
1,54,286
1,77,413
1,96,505
1,11,72
1,52,266
1,90,463
1,114,566
1,103,526
1,89,451
1,109,547
1,65,338
1,95,499
1,99,513
1,19,121
1,93,491
1,106,532
1,37,201
1,4,5
1,13,80
1,2,3
1,68,368
1,70,377
2,26,138
2,2,15
2,68,365
2,15,51
2,75,406
2,31,168
2,8,35
2,13,47
2,106,536
2,80,424
2,82,430
2,24,108
2,29,151
2,22,84
2,51,279
2,9,39
2,37,205
2,3,16
2,113,569
2,97,485
2,54,285
2,72,388
2,20,77
2,33,196
2,62,345
2,90,459
2,45,257
2,92,471
2,32,180
2,101,500
2,28,148
2,7,28
2,98,496
2,40,233
2,16,61
2,34,200
2,44,248
2,64,351
2,93,473
2,49,275
2,76,409
2,43,247
2,48,272
2,67,360
2,61,344
2,55,304
2,89,448
2,100,498
2,4,20
2,27,146
2,79,412
2,25,124
2,69,370
2,73,397
2,86,443
2,36,204
2,78,411
2,35,202
2,39,221
2,83,431
2,41,241
2,60,329
2,81,426
2,21,79
2,23,91
2,94,474
2,88,445
2,74,401
2,12,45
2,71,381
2,30,160
2,99,497
2,110,553
2,107,539
2,52,281
2,104,515
2,102,510
2,50,277
2,77,410
2,1,8
2,59,323
2,96,483
2,65,352
2,109,546
2,38,216
2,57,310
2,17,63
2,19,76
2,47,269
2,63,347
2,46,263
2,5,26
2,111,558
2,105,534
2,14,49
2,91,460
2,87,444
2,53,283
2,112,568
2,95,480
2,18,64
2,85,433
2,108,543
2,70,372
2,58,314
2,6,27
2,66,358
2,42,245
2,84,432
2,11,41
2,10,40
2,56,309
2,103,514
3,87,419
3,26,141
3,106,520
3,96,461
3,37,184
3,6,30
3,103,490
3,29,150
3,12,60
3,52,253
3,85,399
3,39,195
3,46,236
3,60,312
3,22,116
3,27,143
3,76,369
3,78,376
3,101,487
3,99,484
3,10,53
3,75,366
3,83,394
3,43,220
3,62,316
3,90,435
3,30,158
3,71,342
3,11,58
3,50,249
3,14,86
3,23,117
3,44,223
3,107,535
3,102,489
3,84,395
3,111,556
3,77,374
3,64,324
3,40,198
3,54,264
3,33,166
3,108,541
3,98,477
3,55,280
3,36,183
3,59,307
3,3,12
3,74,357
3,34,176
3,24,135
3,15,94
3,17,96
3,58,305
3,35,177
3,66,327
3,65,326
3,109,542
3,112,559
3,82,393
3,97,465
3,32,162
3,31,161
3,92,455
3,79,378
3,38,188
3,110,549
3,8,34
3,28,144
3,2,7
3,100,486
3,48,242
3,113,562
3,45,224
3,16,95
3,51,252
3,93,456
3,18,97
3,5,29
3,81,390
3,56,292
3,13,83
3,70,336
3,21,115
3,88,420
3,105,517
3,67,330
3,80,386
3,19,99
3,53,261
3,61,315
3,104,493
3,42,217
3,89,421
3,73,350
3,86,415
3,41,215
3,25,136
3,95,458
3,9,36
3,91,454
3,69,334
3,47,240
3,1,1
3,72,348
3,57,300
3,49,243
3,7,32
3,20,112
3,63,321
3,4,23
3,68,333
3,94,457
4,58,274
4,7,44
4,15,69
4,79,380
4,71,354
4,93,464
4,25,122
4,114,563
4,30,132
4,20,82
4,39,174
4,23,104
4,100,502
4,73,356
4,42,193
4,52,246
4,102,507
4,40,185
4,51,244
4,74,359
4,2,14
4,21,92
4,27,126
4,45,209
4,24,113
4,105,521
4,65,318
4,91,452
4,110,544
4,22,98
4,31,133
4,57,268
4,78,379
4,113,561
4,62,287
4,61,284
4,55,259
4,43,203
4,34,152
4,108,537
4,99,495
4,98,479
4,18,75
4,41,192
4,106,527
4,89,447
4,70,349
4,8,46
4,87,437
4,53,254
4,14,66
4,9,48
4,109,538
4,82,404
4,88,441
4,37,167
4,95,469
4,49,235
4,97,476
4,10,56
4,76,373
4,16,70
4,83,416
4,69,346
4,46,212
4,112,560
4,47,225
4,26,123
4,50,239
4,36,163
4,80,389
4,6,22
4,12,59
4,3,17
4,96,470
4,94,466
4,17,74
4,67,339
4,103,508
4,86,436
4,92,462
4,63,303
4,44,207
4,84,418
4,5,21
4,68,341
4,54,256
4,13,65
4,77,375
4,64,308
4,85,429
4,59,278
4,72,355
4,38,170
4,75,367
4,48,228
4,101,506
4,90,450
4,33,145
4,66,325
4,35,153
4,104,516
4,29,131
4,32,134
4,1,10
4,4,19
4,19,78
4,60,282
4,107,529
4,81,392
4,111,551
4,28,127
4,56,267
4,11,57
5,45,182
5,25,107
5,98,481
5,89,400
5,21,100
5,112,554
5,48,199
5,83,382
5,13,67
5,109,530
5,24,105
5,92,440
5,76,332
5,62,276
5,2,9
5,47,191
5,82,364
5,20,93
5,8,50
5,51,213
5,7,38
5,104,504
5,99,482
5,95,468
5,94,453
5,44,175
5,84,383
5,75,331
5,46,187
5,66,295
5,1,6
5,34,139
5,43,173
5,90,402
5,63,289
5,73,320
5,68,297
5,38,156
5,28,114
5,86,385
5,100,488
5,74,328
5,106,518
5,81,363
5,16,81
5,60,270
5,12,62
5,72,313
5,53,227
5,39,157
5,67,296
5,103,503
5,22,102
5,37,154
5,18,88
5,88,398
5,29,118
5,54,229
5,110,533
5,97,478
5,108,525
5,77,337
5,15,71
5,65,294
5,4,18
5,78,343
5,96,472
5,87,387
5,10,54
5,55,231
5,31,120
5,56,232
5,11,55
5,9,52
5,71,302
5,57,251
5,35,147
5,111,548
5,107,522
5,79,361
5,70,301
5,93,446
5,5,24
5,85,384
5,27,111
5,33,129
5,105,512
5,6,31
5,30,119
5,102,501
5,58,255
5,52,219
5,91,423
5,64,291
5,59,260
5,3,11
5,80,362
5,41,165
5,42,169
5,101,492
5,17,85
5,23,103
5,19,90
5,69,298
5,113,564
5,49,210
5,114,565
5,50,211
5,40,164
5,32,128
5,61,273
5,14,68
5,36,149
5,26,109
