dataset,fold,method,noise_levels,instance_level,accuracy,kappa
breast-w,Fold_1,bayesglm,0.1,0.1,1,1
breast-w,Fold_1,bayesglm,0.1,0.2,1,1
breast-w,Fold_1,bayesglm,0.1,0.25,1,1
breast-w,Fold_1,bayesglm,0.1,0.3,1,1
breast-w,Fold_1,bayesglm,0.1,0.4,1,1
breast-w,Fold_1,bayesglm,0.1,0.5,1,1
breast-w,Fold_1,bayesglm,0.1,0.6,1,1
breast-w,Fold_1,bayesglm,0.1,0.7,1,1
breast-w,Fold_1,bayesglm,0.1,0.75,1,1
breast-w,Fold_1,bayesglm,0.1,0.8,1,1
breast-w,Fold_1,bayesglm,0.1,0.9,1,1
breast-w,Fold_1,bayesglm,0.1,1,1,1
breast-w,Fold_1,bayesglm,0.2,0.1,1,1
breast-w,Fold_1,bayesglm,0.2,0.2,1,1
breast-w,Fold_1,bayesglm,0.2,0.25,1,1
breast-w,Fold_1,bayesglm,0.2,0.3,1,1
breast-w,Fold_1,bayesglm,0.2,0.4,1,1
breast-w,Fold_1,bayesglm,0.2,0.5,1,1
breast-w,Fold_1,bayesglm,0.2,0.6,1,1
breast-w,Fold_1,bayesglm,0.2,0.7,1,1
breast-w,Fold_1,bayesglm,0.2,0.75,1,1
breast-w,Fold_1,bayesglm,0.2,0.8,1,1
breast-w,Fold_1,bayesglm,0.2,0.9,1,1
breast-w,Fold_1,bayesglm,0.2,1,1,1
breast-w,Fold_1,bayesglm,0.3,0.1,1,1
breast-w,Fold_1,bayesglm,0.3,0.2,1,1
breast-w,Fold_1,bayesglm,0.3,0.25,1,1
breast-w,Fold_1,bayesglm,0.3,0.3,1,1
breast-w,Fold_1,bayesglm,0.3,0.4,1,1
breast-w,Fold_1,bayesglm,0.3,0.5,1,1
breast-w,Fold_1,bayesglm,0.3,0.6,1,1
breast-w,Fold_1,bayesglm,0.3,0.7,1,1
breast-w,Fold_1,bayesglm,0.3,0.75,0.992700729927007,0.984185616991804
breast-w,Fold_1,bayesglm,0.3,0.8,0.992700729927007,0.984185616991804
breast-w,Fold_1,bayesglm,0.3,0.9,0.992700729927007,0.984185616991804
breast-w,Fold_1,bayesglm,0.3,1,0.992700729927007,0.984185616991804
breast-w,Fold_2,bayesglm,0.1,0.1,1,1
breast-w,Fold_2,bayesglm,0.1,0.2,1,1
breast-w,Fold_2,bayesglm,0.1,0.25,1,1
breast-w,Fold_2,bayesglm,0.1,0.3,1,1
breast-w,Fold_2,bayesglm,0.1,0.4,1,1
breast-w,Fold_2,bayesglm,0.1,0.5,1,1
breast-w,Fold_2,bayesglm,0.1,0.6,1,1
breast-w,Fold_2,bayesglm,0.1,0.7,1,1
breast-w,Fold_2,bayesglm,0.1,0.75,1,1
breast-w,Fold_2,bayesglm,0.1,0.8,1,1
breast-w,Fold_2,bayesglm,0.1,0.9,1,1
breast-w,Fold_2,bayesglm,0.1,1,1,1
breast-w,Fold_2,bayesglm,0.2,0.1,1,1
breast-w,Fold_2,bayesglm,0.2,0.2,1,1
breast-w,Fold_2,bayesglm,0.2,0.25,1,1
breast-w,Fold_2,bayesglm,0.2,0.3,1,1
breast-w,Fold_2,bayesglm,0.2,0.4,1,1
breast-w,Fold_2,bayesglm,0.2,0.5,1,1
breast-w,Fold_2,bayesglm,0.2,0.6,1,1
breast-w,Fold_2,bayesglm,0.2,0.7,1,1
breast-w,Fold_2,bayesglm,0.2,0.75,1,1
breast-w,Fold_2,bayesglm,0.2,0.8,1,1
breast-w,Fold_2,bayesglm,0.2,0.9,1,1
breast-w,Fold_2,bayesglm,0.2,1,1,1
breast-w,Fold_2,bayesglm,0.3,0.1,0.992647058823529,0.983300589390963
breast-w,Fold_2,bayesglm,0.3,0.2,0.992647058823529,0.983300589390963
breast-w,Fold_2,bayesglm,0.3,0.25,0.992647058823529,0.983300589390963
breast-w,Fold_2,bayesglm,0.3,0.3,0.992647058823529,0.983300589390963
breast-w,Fold_2,bayesglm,0.3,0.4,0.992647058823529,0.983300589390963
breast-w,Fold_2,bayesglm,0.3,0.5,0.992647058823529,0.983300589390963
breast-w,Fold_2,bayesglm,0.3,0.6,0.992647058823529,0.983300589390963
breast-w,Fold_2,bayesglm,0.3,0.7,0.992647058823529,0.983300589390963
breast-w,Fold_2,bayesglm,0.3,0.75,0.992647058823529,0.983300589390963
breast-w,Fold_2,bayesglm,0.3,0.8,0.992647058823529,0.983300589390963
breast-w,Fold_2,bayesglm,0.3,0.9,0.992647058823529,0.983300589390963
breast-w,Fold_2,bayesglm,0.3,1,0.992647058823529,0.983300589390963
breast-w,Fold_3,bayesglm,0.1,0.1,1,1
breast-w,Fold_3,bayesglm,0.1,0.2,1,1
breast-w,Fold_3,bayesglm,0.1,0.25,1,1
breast-w,Fold_3,bayesglm,0.1,0.3,1,1
breast-w,Fold_3,bayesglm,0.1,0.4,1,1
breast-w,Fold_3,bayesglm,0.1,0.5,1,1
breast-w,Fold_3,bayesglm,0.1,0.6,1,1
breast-w,Fold_3,bayesglm,0.1,0.7,1,1
breast-w,Fold_3,bayesglm,0.1,0.75,1,1
breast-w,Fold_3,bayesglm,0.1,0.8,1,1
breast-w,Fold_3,bayesglm,0.1,0.9,1,1
breast-w,Fold_3,bayesglm,0.1,1,1,1
breast-w,Fold_3,bayesglm,0.2,0.1,1,1
breast-w,Fold_3,bayesglm,0.2,0.2,1,1
breast-w,Fold_3,bayesglm,0.2,0.25,1,1
breast-w,Fold_3,bayesglm,0.2,0.3,1,1
breast-w,Fold_3,bayesglm,0.2,0.4,1,1
breast-w,Fold_3,bayesglm,0.2,0.5,1,1
breast-w,Fold_3,bayesglm,0.2,0.6,1,1
breast-w,Fold_3,bayesglm,0.2,0.7,1,1
breast-w,Fold_3,bayesglm,0.2,0.75,1,1
breast-w,Fold_3,bayesglm,0.2,0.8,1,1
breast-w,Fold_3,bayesglm,0.2,0.9,1,1
breast-w,Fold_3,bayesglm,0.2,1,1,1
breast-w,Fold_3,bayesglm,0.3,0.1,1,1
breast-w,Fold_3,bayesglm,0.3,0.2,1,1
breast-w,Fold_3,bayesglm,0.3,0.25,1,1
breast-w,Fold_3,bayesglm,0.3,0.3,1,1
breast-w,Fold_3,bayesglm,0.3,0.4,1,1
breast-w,Fold_3,bayesglm,0.3,0.5,1,1
breast-w,Fold_3,bayesglm,0.3,0.6,1,1
breast-w,Fold_3,bayesglm,0.3,0.7,1,1
breast-w,Fold_3,bayesglm,0.3,0.75,1,1
breast-w,Fold_3,bayesglm,0.3,0.8,1,1
breast-w,Fold_3,bayesglm,0.3,0.9,1,1
breast-w,Fold_3,bayesglm,0.3,1,1,1
breast-w,Fold_4,bayesglm,0.1,0.1,1,1
breast-w,Fold_4,bayesglm,0.1,0.2,0.992647058823529,0.983977379830349
breast-w,Fold_4,bayesglm,0.1,0.25,0.992647058823529,0.983977379830349
breast-w,Fold_4,bayesglm,0.1,0.3,0.992647058823529,0.983977379830349
breast-w,Fold_4,bayesglm,0.1,0.4,0.992647058823529,0.983977379830349
breast-w,Fold_4,bayesglm,0.1,0.5,0.992647058823529,0.983977379830349
breast-w,Fold_4,bayesglm,0.1,0.6,0.985294117647059,0.96780303030303
breast-w,Fold_4,bayesglm,0.1,0.7,0.985294117647059,0.96780303030303
breast-w,Fold_4,bayesglm,0.1,0.75,0.985294117647059,0.96780303030303
breast-w,Fold_4,bayesglm,0.1,0.8,0.985294117647059,0.96780303030303
breast-w,Fold_4,bayesglm,0.1,0.9,0.985294117647059,0.96780303030303
