dataset,fold,method,noise_levels,instance_level,accuracy,kappa
qsar-biodeg,Fold_1,bayesglm,0.1,0.1,1,1
qsar-biodeg,Fold_1,bayesglm,0.1,0.2,1,1
qsar-biodeg,Fold_1,bayesglm,0.1,0.25,1,1
qsar-biodeg,Fold_1,bayesglm,0.1,0.3,1,1
qsar-biodeg,Fold_1,bayesglm,0.1,0.4,1,1
qsar-biodeg,Fold_1,bayesglm,0.1,0.5,1,1
qsar-biodeg,Fold_1,bayesglm,0.1,0.6,1,1
qsar-biodeg,Fold_1,bayesglm,0.1,0.7,1,1
qsar-biodeg,Fold_1,bayesglm,0.1,0.75,1,1
qsar-biodeg,Fold_1,bayesglm,0.1,0.8,1,1
qsar-biodeg,Fold_1,bayesglm,0.1,0.9,1,1
qsar-biodeg,Fold_1,bayesglm,0.1,1,0.995260663507109,0.989021281023987
qsar-biodeg,Fold_1,bayesglm,0.2,0.1,1,1
qsar-biodeg,Fold_1,bayesglm,0.2,0.2,0.995260663507109,0.989192234799979
qsar-biodeg,Fold_1,bayesglm,0.2,0.25,0.995260663507109,0.989192234799979
qsar-biodeg,Fold_1,bayesglm,0.2,0.3,0.995260663507109,0.989192234799979
qsar-biodeg,Fold_1,bayesglm,0.2,0.4,0.995260663507109,0.989192234799979
qsar-biodeg,Fold_1,bayesglm,0.2,0.5,0.990521327014218,0.978301110654052
qsar-biodeg,Fold_1,bayesglm,0.2,0.6,0.990521327014218,0.978301110654052
qsar-biodeg,Fold_1,bayesglm,0.2,0.7,0.985781990521327,0.967325659422908
qsar-biodeg,Fold_1,bayesglm,0.2,0.75,0.985781990521327,0.967325659422908
qsar-biodeg,Fold_1,bayesglm,0.2,0.8,0.985781990521327,0.967325659422908
qsar-biodeg,Fold_1,bayesglm,0.2,0.9,0.985781990521327,0.967325659422908
qsar-biodeg,Fold_1,bayesglm,0.2,1,0.985781990521327,0.967325659422908
qsar-biodeg,Fold_1,bayesglm,0.3,0.1,1,1
qsar-biodeg,Fold_1,bayesglm,0.3,0.2,1,1
qsar-biodeg,Fold_1,bayesglm,0.3,0.25,1,1
qsar-biodeg,Fold_1,bayesglm,0.3,0.3,1,1
qsar-biodeg,Fold_1,bayesglm,0.3,0.4,1,1
qsar-biodeg,Fold_1,bayesglm,0.3,0.5,1,1
qsar-biodeg,Fold_1,bayesglm,0.3,0.6,1,1
qsar-biodeg,Fold_1,bayesglm,0.3,0.7,1,1
qsar-biodeg,Fold_1,bayesglm,0.3,0.75,1,1
qsar-biodeg,Fold_1,bayesglm,0.3,0.8,1,1
qsar-biodeg,Fold_1,bayesglm,0.3,0.9,1,1
qsar-biodeg,Fold_1,bayesglm,0.3,1,1,1
qsar-biodeg,Fold_2,bayesglm,0.1,0.1,1,1
qsar-biodeg,Fold_2,bayesglm,0.1,0.2,1,1
qsar-biodeg,Fold_2,bayesglm,0.1,0.25,1,1
qsar-biodeg,Fold_2,bayesglm,0.1,0.3,1,1
qsar-biodeg,Fold_2,bayesglm,0.1,0.4,1,1
qsar-biodeg,Fold_2,bayesglm,0.1,0.5,1,1
qsar-biodeg,Fold_2,bayesglm,0.1,0.6,1,1
qsar-biodeg,Fold_2,bayesglm,0.1,0.7,1,1
qsar-biodeg,Fold_2,bayesglm,0.1,0.75,1,1
qsar-biodeg,Fold_2,bayesglm,0.1,0.8,1,1
qsar-biodeg,Fold_2,bayesglm,0.1,0.9,1,1
qsar-biodeg,Fold_2,bayesglm,0.1,1,0.995238095238095,0.989598811292719
qsar-biodeg,Fold_2,bayesglm,0.2,0.1,1,1
qsar-biodeg,Fold_2,bayesglm,0.2,0.2,1,1
qsar-biodeg,Fold_2,bayesglm,0.2,0.25,1,1
qsar-biodeg,Fold_2,bayesglm,0.2,0.3,0.990476190476191,0.979135618479881
qsar-biodeg,Fold_2,bayesglm,0.2,0.4,0.985714285714286,0.968603608093292
qsar-biodeg,Fold_2,bayesglm,0.2,0.5,0.985714285714286,0.968603608093292
qsar-biodeg,Fold_2,bayesglm,0.2,0.6,0.985714285714286,0.968603608093292
qsar-biodeg,Fold_2,bayesglm,0.2,0.7,0.976190476190476,0.947336743906109
qsar-biodeg,Fold_2,bayesglm,0.2,0.75,0.976190476190476,0.947336743906109
qsar-biodeg,Fold_2,bayesglm,0.2,0.8,0.971428571428571,0.936600583677166
qsar-biodeg,Fold_2,bayesglm,0.2,0.9,0.971428571428571,0.936600583677166
qsar-biodeg,Fold_2,bayesglm,0.2,1,0.971428571428571,0.936600583677166
qsar-biodeg,Fold_2,bayesglm,0.3,0.1,0.995238095238095,0.989534536031097
qsar-biodeg,Fold_2,bayesglm,0.3,0.2,0.990476190476191,0.979004199160168
qsar-biodeg,Fold_2,bayesglm,0.3,0.25,0.990476190476191,0.979004199160168
qsar-biodeg,Fold_2,bayesglm,0.3,0.3,0.980952380952381,0.958008398320336
qsar-biodeg,Fold_2,bayesglm,0.3,0.4,0.971428571428571,0.937012597480504
qsar-biodeg,Fold_2,bayesglm,0.3,0.5,0.971428571428571,0.937012597480504
qsar-biodeg,Fold_2,bayesglm,0.3,0.6,0.971428571428571,0.937012597480504
qsar-biodeg,Fold_2,bayesglm,0.3,0.7,0.966666666666667,0.926286230067195
qsar-biodeg,Fold_2,bayesglm,0.3,0.75,0.966666666666667,0.926286230067195
qsar-biodeg,Fold_2,bayesglm,0.3,0.8,0.961904761904762,0.915492957746479
qsar-biodeg,Fold_2,bayesglm,0.3,0.9,0.961904761904762,0.915492957746479
qsar-biodeg,Fold_2,bayesglm,0.3,1,0.957142857142857,0.905225152943536
qsar-biodeg,Fold_3,bayesglm,0.1,0.1,1,1
qsar-biodeg,Fold_3,bayesglm,0.1,0.2,1,1
qsar-biodeg,Fold_3,bayesglm,0.1,0.25,1,1
qsar-biodeg,Fold_3,bayesglm,0.1,0.3,1,1
qsar-biodeg,Fold_3,bayesglm,0.1,0.4,1,1
qsar-biodeg,Fold_3,bayesglm,0.1,0.5,1,1
qsar-biodeg,Fold_3,bayesglm,0.1,0.6,1,1
qsar-biodeg,Fold_3,bayesglm,0.1,0.7,1,1
qsar-biodeg,Fold_3,bayesglm,0.1,0.75,0.995260663507109,0.989625841978465
qsar-biodeg,Fold_3,bayesglm,0.1,0.8,0.995260663507109,0.989625841978465
qsar-biodeg,Fold_3,bayesglm,0.1,0.9,0.990521327014218,0.979187216413494
qsar-biodeg,Fold_3,bayesglm,0.1,1,0.990521327014218,0.979187216413494
qsar-biodeg,Fold_3,bayesglm,0.2,0.1,0.985781990521327,0.968683520506605
qsar-biodeg,Fold_3,bayesglm,0.2,0.2,0.985781990521327,0.968683520506605
qsar-biodeg,Fold_3,bayesglm,0.2,0.25,0.985781990521327,0.968683520506605
qsar-biodeg,Fold_3,bayesglm,0.2,0.3,0.985781990521327,0.968683520506605
qsar-biodeg,Fold_3,bayesglm,0.2,0.4,0.981042654028436,0.958109986102839
qsar-biodeg,Fold_3,bayesglm,0.2,0.5,0.981042654028436,0.958109986102839
qsar-biodeg,Fold_3,bayesglm,0.2,0.6,0.981042654028436,0.958109986102839
qsar-biodeg,Fold_3,bayesglm,0.2,0.7,0.976303317535545,0.947468007767764
qsar-biodeg,Fold_3,bayesglm,0.2,0.75,0.976303317535545,0.947468007767764
qsar-biodeg,Fold_3,bayesglm,0.2,0.8,0.976303317535545,0.947468007767764
qsar-biodeg,Fold_3,bayesglm,0.2,0.9,0.971563981042654,0.937164979154259
qsar-biodeg,Fold_3,bayesglm,0.2,1,0.971563981042654,0.937164979154259
qsar-biodeg,Fold_3,bayesglm,0.3,0.1,0.990521327014218,0.979187216413494
qsar-biodeg,Fold_3,bayesglm,0.3,0.2,0.990521327014218,0.979187216413494
qsar-biodeg,Fold_3,bayesglm,0.3,0.25,0.981042654028436,0.958631506715028
