"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"mfeat-pixel","Fold_1","naive_bayes",0.1,0.1,1,1
"mfeat-pixel","Fold_1","naive_bayes",0.1,0.2,1,1
"mfeat-pixel","Fold_1","naive_bayes",0.1,0.25,1,1
"mfeat-pixel","Fold_1","naive_bayes",0.1,0.3,1,1
"mfeat-pixel","Fold_1","naive_bayes",0.1,0.4,1,1
"mfeat-pixel","Fold_1","naive_bayes",0.1,0.5,1,1
"mfeat-pixel","Fold_1","naive_bayes",0.1,0.6,1,1
"mfeat-pixel","Fold_1","naive_bayes",0.1,0.7,1,1
"mfeat-pixel","Fold_1","naive_bayes",0.1,0.75,1,1
"mfeat-pixel","Fold_1","naive_bayes",0.1,0.8,1,1
"mfeat-pixel","Fold_1","naive_bayes",0.1,0.9,1,1
"mfeat-pixel","Fold_1","naive_bayes",0.1,1,1,1
"mfeat-pixel","Fold_1","naive_bayes",0.2,0.1,1,1
"mfeat-pixel","Fold_1","naive_bayes",0.2,0.2,1,1
"mfeat-pixel","Fold_1","naive_bayes",0.2,0.25,1,1
"mfeat-pixel","Fold_1","naive_bayes",0.2,0.3,1,1
"mfeat-pixel","Fold_1","naive_bayes",0.2,0.4,1,1
"mfeat-pixel","Fold_1","naive_bayes",0.2,0.5,1,1
"mfeat-pixel","Fold_1","naive_bayes",0.2,0.6,0.9975,0.997220639530844
"mfeat-pixel","Fold_1","naive_bayes",0.2,0.7,0.9975,0.997220639530844
"mfeat-pixel","Fold_1","naive_bayes",0.2,0.75,0.9975,0.997220639530844
"mfeat-pixel","Fold_1","naive_bayes",0.2,0.8,0.9975,0.997220639530844
"mfeat-pixel","Fold_1","naive_bayes",0.2,0.9,0.9975,0.997220639530844
"mfeat-pixel","Fold_1","naive_bayes",0.2,1,0.9975,0.997220639530844
"mfeat-pixel","Fold_1","naive_bayes",0.3,0.1,1,1
"mfeat-pixel","Fold_1","naive_bayes",0.3,0.2,1,1
"mfeat-pixel","Fold_1","naive_bayes",0.3,0.25,1,1
"mfeat-pixel","Fold_1","naive_bayes",0.3,0.3,1,1
"mfeat-pixel","Fold_1","naive_bayes",0.3,0.4,1,1
"mfeat-pixel","Fold_1","naive_bayes",0.3,0.5,1,1
"mfeat-pixel","Fold_1","naive_bayes",0.3,0.6,1,1
"mfeat-pixel","Fold_1","naive_bayes",0.3,0.7,1,1
"mfeat-pixel","Fold_1","naive_bayes",0.3,0.75,1,1
"mfeat-pixel","Fold_1","naive_bayes",0.3,0.8,1,1
"mfeat-pixel","Fold_1","naive_bayes",0.3,0.9,1,1
"mfeat-pixel","Fold_1","naive_bayes",0.3,1,1,1
"mfeat-pixel","Fold_2","naive_bayes",0.1,0.1,1,1
"mfeat-pixel","Fold_2","naive_bayes",0.1,0.2,0.9975,0.997218803668398
"mfeat-pixel","Fold_2","naive_bayes",0.1,0.25,0.9975,0.997218803668398
"mfeat-pixel","Fold_2","naive_bayes",0.1,0.3,0.9975,0.997218803668398
"mfeat-pixel","Fold_2","naive_bayes",0.1,0.4,0.9975,0.997218803668398
"mfeat-pixel","Fold_2","naive_bayes",0.1,0.5,0.9975,0.997218803668398
"mfeat-pixel","Fold_2","naive_bayes",0.1,0.6,0.9975,0.997218803668398
"mfeat-pixel","Fold_2","naive_bayes",0.1,0.7,0.9975,0.997218803668398
"mfeat-pixel","Fold_2","naive_bayes",0.1,0.75,0.9975,0.997218803668398
"mfeat-pixel","Fold_2","naive_bayes",0.1,0.8,0.9975,0.997218803668398
"mfeat-pixel","Fold_2","naive_bayes",0.1,0.9,0.9975,0.997218803668398
"mfeat-pixel","Fold_2","naive_bayes",0.1,1,0.9975,0.997218803668398
"mfeat-pixel","Fold_2","naive_bayes",0.2,0.1,0.9975,0.997218706976874
"mfeat-pixel","Fold_2","naive_bayes",0.2,0.2,0.9975,0.997218706976874
"mfeat-pixel","Fold_2","naive_bayes",0.2,0.25,0.9975,0.997218706976874
"mfeat-pixel","Fold_2","naive_bayes",0.2,0.3,0.9975,0.997218706976874
"mfeat-pixel","Fold_2","naive_bayes",0.2,0.4,0.995,0.994437646011792
"mfeat-pixel","Fold_2","naive_bayes",0.2,0.5,0.995,0.994437646011792
"mfeat-pixel","Fold_2","naive_bayes",0.2,0.6,0.995,0.994437646011792
"mfeat-pixel","Fold_2","naive_bayes",0.2,0.7,0.995,0.994437646011792
"mfeat-pixel","Fold_2","naive_bayes",0.2,0.75,0.9925,0.991657339108309
"mfeat-pixel","Fold_2","naive_bayes",0.2,0.8,0.9925,0.991657339108309
"mfeat-pixel","Fold_2","naive_bayes",0.2,0.9,0.99,0.988876916124996
"mfeat-pixel","Fold_2","naive_bayes",0.2,1,0.9825,0.980540555567139
"mfeat-pixel","Fold_2","naive_bayes",0.3,0.1,0.9975,0.997218706976874
