dataset,method,noise_levels,instance_level,avg_accuracy,avg_kappa,avg_kappa_loss,sd_accuracy,sd_kappa
steel-plates-fault,C5.0,0.1,0.1,0.986,0.968,0.032,0.006,0.013
steel-plates-fault,C5.0,0.1,0.2,0.968,0.927,0.073,0.007,0.016
steel-plates-fault,C5.0,0.1,0.25,0.961,0.911,0.089,0.005,0.011
steel-plates-fault,C5.0,0.1,0.3,0.954,0.894,0.106,0.006,0.014
steel-plates-fault,C5.0,0.1,0.4,0.94,0.861,0.139,0.005,0.013
steel-plates-fault,C5.0,0.1,0.5,0.921,0.815,0.185,0.009,0.022
steel-plates-fault,C5.0,0.1,0.6,0.907,0.782,0.218,0.005,0.012
steel-plates-fault,C5.0,0.1,0.7,0.891,0.741,0.259,0.009,0.023
steel-plates-fault,C5.0,0.1,0.75,0.883,0.718,0.282,0.007,0.02
steel-plates-fault,C5.0,0.1,0.8,0.873,0.694,0.306,0.009,0.023
steel-plates-fault,C5.0,0.1,0.9,0.861,0.661,0.339,0.01,0.028
steel-plates-fault,C5.0,0.1,1,0.846,0.62,0.38,0.009,0.026
steel-plates-fault,C5.0,0.2,0.1,0.982,0.961,0.039,0.004,0.009
steel-plates-fault,C5.0,0.2,0.2,0.969,0.929,0.071,0.006,0.015
steel-plates-fault,C5.0,0.2,0.25,0.96,0.91,0.09,0.007,0.016
steel-plates-fault,C5.0,0.2,0.3,0.955,0.897,0.103,0.01,0.025
steel-plates-fault,C5.0,0.2,0.4,0.938,0.856,0.144,0.012,0.028
steel-plates-fault,C5.0,0.2,0.5,0.922,0.817,0.183,0.012,0.029
steel-plates-fault,C5.0,0.2,0.6,0.905,0.775,0.225,0.011,0.028
steel-plates-fault,C5.0,0.2,0.7,0.886,0.727,0.273,0.015,0.039
steel-plates-fault,C5.0,0.2,0.75,0.875,0.699,0.301,0.016,0.043
steel-plates-fault,C5.0,0.2,0.8,0.869,0.681,0.319,0.016,0.043
steel-plates-fault,C5.0,0.2,0.9,0.851,0.634,0.366,0.017,0.049
steel-plates-fault,C5.0,0.2,1,0.837,0.594,0.406,0.016,0.045
steel-plates-fault,C5.0,0.3,0.1,0.986,0.969,0.031,0.002,0.005
steel-plates-fault,C5.0,0.3,0.2,0.969,0.93,0.07,0.006,0.014
steel-plates-fault,C5.0,0.3,0.25,0.961,0.912,0.088,0.007,0.017
steel-plates-fault,C5.0,0.3,0.3,0.954,0.895,0.105,0.012,0.027
steel-plates-fault,C5.0,0.3,0.4,0.934,0.847,0.153,0.011,0.027
steel-plates-fault,C5.0,0.3,0.5,0.915,0.801,0.199,0.013,0.032
steel-plates-fault,C5.0,0.3,0.6,0.899,0.761,0.239,0.01,0.026
steel-plates-fault,C5.0,0.3,0.7,0.882,0.715,0.285,0.013,0.033
steel-plates-fault,C5.0,0.3,0.75,0.873,0.694,0.306,0.013,0.033
steel-plates-fault,C5.0,0.3,0.8,0.863,0.668,0.332,0.016,0.043
steel-plates-fault,C5.0,0.3,0.9,0.85,0.631,0.369,0.017,0.045
steel-plates-fault,C5.0,0.3,1,0.835,0.59,0.41,0.013,0.034
steel-plates-fault,JRip,0.1,0.1,0.985,0.965,0.035,0.004,0.009
steel-plates-fault,JRip,0.1,0.2,0.967,0.924,0.076,0.008,0.019
steel-plates-fault,JRip,0.1,0.25,0.958,0.904,0.096,0.009,0.022
steel-plates-fault,JRip,0.1,0.3,0.952,0.891,0.109,0.01,0.023
steel-plates-fault,JRip,0.1,0.4,0.938,0.856,0.144,0.008,0.02
steel-plates-fault,JRip,0.1,0.5,0.918,0.808,0.192,0.01,0.025
steel-plates-fault,JRip,0.1,0.6,0.904,0.772,0.228,0.012,0.031
steel-plates-fault,JRip,0.1,0.7,0.889,0.735,0.265,0.012,0.031
steel-plates-fault,JRip,0.1,0.75,0.884,0.721,0.279,0.011,0.03
steel-plates-fault,JRip,0.1,0.8,0.878,0.706,0.294,0.011,0.029
steel-plates-fault,JRip,0.1,0.9,0.86,0.658,0.342,0.013,0.035
steel-plates-fault,JRip,0.1,1,0.846,0.62,0.38,0.009,0.026
steel-plates-fault,JRip,0.2,0.1,0.98,0.955,0.045,0.007,0.017
steel-plates-fault,JRip,0.2,0.2,0.963,0.916,0.084,0.008,0.019
steel-plates-fault,JRip,0.2,0.25,0.956,0.899,0.101,0.009,0.022
steel-plates-fault,JRip,0.2,0.3,0.95,0.886,0.114,0.009,0.02
steel-plates-fault,JRip,0.2,0.4,0.931,0.84,0.16,0.009,0.021
steel-plates-fault,JRip,0.2,0.5,0.913,0.796,0.204,0.009,0.022
steel-plates-fault,JRip,0.2,0.6,0.899,0.759,0.241,0.008,0.021
steel-plates-fault,JRip,0.2,0.7,0.883,0.719,0.281,0.013,0.034
steel-plates-fault,JRip,0.2,0.75,0.877,0.704,0.296,0.014,0.036
steel-plates-fault,JRip,0.2,0.8,0.87,0.686,0.314,0.012,0.031
steel-plates-fault,JRip,0.2,0.9,0.847,0.623,0.377,0.015,0.043
steel-plates-fault,JRip,0.2,1,0.837,0.594,0.406,0.016,0.045
steel-plates-fault,JRip,0.3,0.1,0.983,0.962,0.038,0.005,0.011
