"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"vehicle","Fold_1","rbfDDA",0.1,0.1,1,1
"vehicle","Fold_1","rbfDDA",0.1,0.2,1,1
"vehicle","Fold_1","rbfDDA",0.1,0.25,1,1
"vehicle","Fold_1","rbfDDA",0.1,0.3,1,1
"vehicle","Fold_1","rbfDDA",0.1,0.4,1,1
"vehicle","Fold_1","rbfDDA",0.1,0.5,1,1
"vehicle","Fold_1","rbfDDA",0.1,0.6,1,1
"vehicle","Fold_1","rbfDDA",0.1,0.7,1,1
"vehicle","Fold_1","rbfDDA",0.1,0.75,1,1
"vehicle","Fold_1","rbfDDA",0.1,0.8,1,1
"vehicle","Fold_1","rbfDDA",0.1,0.9,0.994152046783626,0.99189150742093
"vehicle","Fold_1","rbfDDA",0.1,1,0.994152046783626,0.99189150742093
"vehicle","Fold_1","rbfDDA",0.2,0.1,1,1
"vehicle","Fold_1","rbfDDA",0.2,0.2,0.994152046783626,0.991899189918992
"vehicle","Fold_1","rbfDDA",0.2,0.25,0.994152046783626,0.991899189918992
"vehicle","Fold_1","rbfDDA",0.2,0.3,0.994152046783626,0.991899189918992
"vehicle","Fold_1","rbfDDA",0.2,0.4,0.994152046783626,0.991899189918992
"vehicle","Fold_1","rbfDDA",0.2,0.5,0.994152046783626,0.991899189918992
"vehicle","Fold_1","rbfDDA",0.2,0.6,0.994152046783626,0.991899189918992
"vehicle","Fold_1","rbfDDA",0.2,0.7,0.994152046783626,0.991899189918992
"vehicle","Fold_1","rbfDDA",0.2,0.75,0.994152046783626,0.991899189918992
"vehicle","Fold_1","rbfDDA",0.2,0.8,0.994152046783626,0.991899189918992
"vehicle","Fold_1","rbfDDA",0.2,0.9,0.994152046783626,0.991899189918992
"vehicle","Fold_1","rbfDDA",0.2,1,0.994152046783626,0.991899189918992
"vehicle","Fold_1","rbfDDA",0.3,0.1,1,1
"vehicle","Fold_1","rbfDDA",0.3,0.2,0.994152046783626,0.991814657029343
"vehicle","Fold_1","rbfDDA",0.3,0.25,0.988304093567251,0.983656695020549
"vehicle","Fold_1","rbfDDA",0.3,0.3,0.982456140350877,0.975490898667049
"vehicle","Fold_1","rbfDDA",0.3,0.4,0.976608187134503,0.967375751216255
"vehicle","Fold_1","rbfDDA",0.3,0.5,0.976608187134503,0.967375751216255
"vehicle","Fold_1","rbfDDA",0.3,0.6,0.970760233918129,0.959229412045205
"vehicle","Fold_1","rbfDDA",0.3,0.7,0.964912280701754,0.951063626824382
"vehicle","Fold_1","rbfDDA",0.3,0.75,0.964912280701754,0.951063626824382
"vehicle","Fold_1","rbfDDA",0.3,0.8,0.964912280701754,0.951063626824382
"vehicle","Fold_1","rbfDDA",0.3,0.9,0.953216374269006,0.934654884165273
"vehicle","Fold_1","rbfDDA",0.3,1,0.953216374269006,0.934654884165273
"vehicle","Fold_2","rbfDDA",0.1,0.1,1,1
"vehicle","Fold_2","rbfDDA",0.1,0.2,1,1
"vehicle","Fold_2","rbfDDA",0.1,0.25,1,1
"vehicle","Fold_2","rbfDDA",0.1,0.3,1,1
"vehicle","Fold_2","rbfDDA",0.1,0.4,1,1
"vehicle","Fold_2","rbfDDA",0.1,0.5,1,1
"vehicle","Fold_2","rbfDDA",0.1,0.6,1,1
"vehicle","Fold_2","rbfDDA",0.1,0.7,1,1
"vehicle","Fold_2","rbfDDA",0.1,0.75,1,1
"vehicle","Fold_2","rbfDDA",0.1,0.8,1,1
"vehicle","Fold_2","rbfDDA",0.1,0.9,0.994047619047619,0.991818447453005
"vehicle","Fold_2","rbfDDA",0.1,1,0.994047619047619,0.991818447453005
"vehicle","Fold_2","rbfDDA",0.2,0.1,1,1
"vehicle","Fold_2","rbfDDA",0.2,0.2,0.994047619047619,0.991855730075625
"vehicle","Fold_2","rbfDDA",0.2,0.25,0.994047619047619,0.991855730075625
"vehicle","Fold_2","rbfDDA",0.2,0.3,0.988095238095238,0.98371619656877
"vehicle","Fold_2","rbfDDA",0.2,0.4,0.988095238095238,0.98371619656877
"vehicle","Fold_2","rbfDDA",0.2,0.5,0.988095238095238,0.98371619656877
"vehicle","Fold_2","rbfDDA",0.2,0.6,0.988095238095238,0.98371619656877
"vehicle","Fold_2","rbfDDA",0.2,0.7,0.988095238095238,0.98371619656877
"vehicle","Fold_2","rbfDDA",0.2,0.75,0.988095238095238,0.98371619656877
"vehicle","Fold_2","rbfDDA",0.2,0.8,0.988095238095238,0.98371619656877
