"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wall-robot-navigation","Fold_1","knn",0.1,0.1,0.992667277726856,0.989035699300787
"wall-robot-navigation","Fold_1","knn",0.1,0.2,0.993583868010999,0.990402451101136
"wall-robot-navigation","Fold_1","knn",0.1,0.25,0.988084326306141,0.982177100533569
"wall-robot-navigation","Fold_1","knn",0.1,0.3,0.989917506874427,0.984896708386033
"wall-robot-navigation","Fold_1","knn",0.1,0.4,0.988084326306141,0.982185942934226
"wall-robot-navigation","Fold_1","knn",0.1,0.5,0.989917506874427,0.984900185963879
"wall-robot-navigation","Fold_1","knn",0.1,0.6,0.99083409715857,0.986285148236051
"wall-robot-navigation","Fold_1","knn",0.1,0.7,0.991750687442713,0.987659100078301
"wall-robot-navigation","Fold_1","knn",0.1,0.75,0.989917506874427,0.984904155665439
"wall-robot-navigation","Fold_1","knn",0.1,0.8,0.989917506874427,0.984922628118714
"wall-robot-navigation","Fold_1","knn",0.1,0.9,0.989000916590284,0.983562593223148
"wall-robot-navigation","Fold_1","knn",0.1,1,0.989917506874427,0.984913663059656
"wall-robot-navigation","Fold_1","knn",0.2,0.1,0.991750687442713,0.987668337429654
"wall-robot-navigation","Fold_1","knn",0.2,0.2,0.991750687442713,0.987661147127532
"wall-robot-navigation","Fold_1","knn",0.2,0.25,0.99083409715857,0.986299821684205
"wall-robot-navigation","Fold_1","knn",0.2,0.3,0.989917506874427,0.984917872089078
"wall-robot-navigation","Fold_1","knn",0.2,0.4,0.991750687442713,0.98767174369682
"wall-robot-navigation","Fold_1","knn",0.2,0.5,0.992667277726856,0.989022364040444
"wall-robot-navigation","Fold_1","knn",0.2,0.6,0.989917506874427,0.984929217175745
"wall-robot-navigation","Fold_1","knn",0.2,0.7,0.987167736021998,0.980816305512329
"wall-robot-navigation","Fold_1","knn",0.2,0.75,0.986251145737855,0.979439999095435
"wall-robot-navigation","Fold_1","knn",0.2,0.8,0.989917506874427,0.984935460101752
"wall-robot-navigation","Fold_1","knn",0.2,0.9,0.988084326306141,0.982189253777076
"wall-robot-navigation","Fold_1","knn",0.2,1,0.989000916590284,0.983539922477209
"wall-robot-navigation","Fold_1","knn",0.3,0.1,0.991750687442713,0.987645140346374
