"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"wall-robot-navigation","Fold_1","mlpML",0.1,0.1,0.995417048579285,0.992763994805464
"wall-robot-navigation","Fold_1","mlpML",0.1,0.2,0.992667277726856,0.988423297715432
"wall-robot-navigation","Fold_1","mlpML",0.1,0.25,0.99083409715857,0.985532959921923
"wall-robot-navigation","Fold_1","mlpML",0.1,0.3,0.989917506874427,0.984084145416351
"wall-robot-navigation","Fold_1","mlpML",0.1,0.4,0.987167736021998,0.979737142690367
"wall-robot-navigation","Fold_1","mlpML",0.1,0.5,0.982584784601283,0.972541534092264
"wall-robot-navigation","Fold_1","mlpML",0.1,0.6,0.979835013748854,0.968236659516099
"wall-robot-navigation","Fold_1","mlpML",0.1,0.7,0.97250229147571,0.956680965168743
"wall-robot-navigation","Fold_1","mlpML",0.1,0.75,0.971585701191567,0.955213642617554
"wall-robot-navigation","Fold_1","mlpML",0.1,0.8,0.970669110907424,0.953793029513326
"wall-robot-navigation","Fold_1","mlpML",0.1,0.9,0.965169569202566,0.9452221674623
"wall-robot-navigation","Fold_1","mlpML",0.1,1,0.962419798350137,0.940928353624314
"wall-robot-navigation","Fold_1","mlpML",0.2,0.1,0.99083409715857,0.985783404763797
"wall-robot-navigation","Fold_1","mlpML",0.2,0.2,0.983501374885426,0.974400921869236
"wall-robot-navigation","Fold_1","mlpML",0.2,0.25,0.978001833180568,0.965852806084523
"wall-robot-navigation","Fold_1","mlpML",0.2,0.3,0.975252062328139,0.961604535974974
"wall-robot-navigation","Fold_1","mlpML",0.2,0.4,0.966086159486709,0.947378026444605
"wall-robot-navigation","Fold_1","mlpML",0.2,0.5,0.951420714940422,0.924676092739215
"wall-robot-navigation","Fold_1","mlpML",0.2,0.6,0.945004582951421,0.914783822204633
"wall-robot-navigation","Fold_1","mlpML",0.2,0.7,0.934005499541705,0.89757137548165
"wall-robot-navigation","Fold_1","mlpML",0.2,0.75,0.92942254812099,0.890564017320709
"wall-robot-navigation","Fold_1","mlpML",0.2,0.8,0.927589367552704,0.887653469695804
"wall-robot-navigation","Fold_1","mlpML",0.2,0.9,0.915673693858845,0.869277504639729
"wall-robot-navigation","Fold_1","mlpML",0.2,1,0.900091659028414,0.845189199603727
"wall-robot-navigation","Fold_1","mlpML",0.3,0.1,0.984417965169569,0.975692387537811
"wall-robot-navigation","Fold_1","mlpML",0.3,0.2,0.967002749770852,0.948558428409956
"wall-robot-navigation","Fold_1","mlpML",0.3,0.25,0.959670027497709,0.937138494618587
"wall-robot-navigation","Fold_1","mlpML",0.3,0.3,0.946837763519707,0.917316841476688
"wall-robot-navigation","Fold_1","mlpML",0.3,0.4,0.925756186984418,0.884598810089687
"wall-robot-navigation","Fold_1","mlpML",0.3,0.5,0.910174152153987,0.860639049428964
"wall-robot-navigation","Fold_1","mlpML",0.3,0.6,0.898258478460128,0.842198671665188
"wall-robot-navigation","Fold_1","mlpML",0.3,0.7,0.881759853345555,0.816609267070353
"wall-robot-navigation","Fold_1","mlpML",0.3,0.75,0.871677360219982,0.801260048247201
"wall-robot-navigation","Fold_1","mlpML",0.3,0.8,0.867094408799267,0.79405366490613
"wall-robot-navigation","Fold_1","mlpML",0.3,0.9,0.850595783684693,0.768107532237895
"wall-robot-navigation","Fold_1","mlpML",0.3,1,0.832263978001833,0.739746098205429
"wall-robot-navigation","Fold_2","mlpML",0.1,0.1,0.988084326306141,0.981060747688511
"wall-robot-navigation","Fold_2","mlpML",0.1,0.2,0.98166819431714,0.970882324289773
"wall-robot-navigation","Fold_2","mlpML",0.1,0.25,0.98166819431714,0.970882324289773
"wall-robot-navigation","Fold_2","mlpML",0.1,0.3,0.978001833180568,0.965069556725952
"wall-robot-navigation","Fold_2","mlpML",0.1,0.4,0.97250229147571,0.956350397087359
"wall-robot-navigation","Fold_2","mlpML",0.1,0.5,0.967002749770852,0.947604404986626
"wall-robot-navigation","Fold_2","mlpML",0.1,0.6,0.960586617781852,0.937393488324919
"wall-robot-navigation","Fold_2","mlpML",0.1,0.7,0.953253895508708,0.925761418779996
"wall-robot-navigation","Fold_2","mlpML",0.1,0.75,0.948670944087993,0.918512916748359
"wall-robot-navigation","Fold_2","mlpML",0.1,0.8,0.944087992667278,0.911324095899118
"wall-robot-navigation","Fold_2","mlpML",0.1,0.9,0.93858845096242,0.902633790791256
"wall-robot-navigation","Fold_2","mlpML",0.1,1,0.933088909257562,0.893816553807674
"wall-robot-navigation","Fold_2","mlpML",0.2,0.1,0.988084326306141,0.980634555228315
"wall-robot-navigation","Fold_2","mlpML",0.2,0.2,0.977085242896425,0.96278624912679
"wall-robot-navigation","Fold_2","mlpML",0.2,0.25,0.970669110907424,0.952402830853632
"wall-robot-navigation","Fold_2","mlpML",0.2,0.3,0.967002749770852,0.946484047133716
"wall-robot-navigation","Fold_2","mlpML",0.2,0.4,0.95692025664528,0.930297963733246
"wall-robot-navigation","Fold_2","mlpML",0.2,0.5,0.944087992667278,0.90951954307716
"wall-robot-navigation","Fold_2","mlpML",0.2,0.6,0.934005499541705,0.893173911979177
"wall-robot-navigation","Fold_2","mlpML",0.2,0.7,0.921173235563703,0.87248575715404
"wall-robot-navigation","Fold_2","mlpML",0.2,0.75,0.915673693858845,0.863523198690327
"wall-robot-navigation","Fold_2","mlpML",0.2,0.8,0.907424381301558,0.850333788344912
"wall-robot-navigation","Fold_2","mlpML",0.2,0.9,0.896425297891842,0.832806458656273
"wall-robot-navigation","Fold_2","mlpML",0.2,1,0.882676443629698,0.810509832869043
"wall-robot-navigation","Fold_2","mlpML",0.3,0.1,0.978001833180568,0.96642370960048
"wall-robot-navigation","Fold_2","mlpML",0.3,0.2,0.965169569202566,0.94693301281682
"wall-robot-navigation","Fold_2","mlpML",0.3,0.25,0.956003666361137,0.932879609335948
"wall-robot-navigation","Fold_2","mlpML",0.3,0.3,0.946837763519707,0.918950628511119
"wall-robot-navigation","Fold_2","mlpML",0.3,0.4,0.931255728689276,0.895073554304004
"wall-robot-navigation","Fold_2","mlpML",0.3,0.5,0.912007332722273,0.865472303499087
"wall-robot-navigation","Fold_2","mlpML",0.3,0.6,0.886342804766269,0.826263176279615
"wall-robot-navigation","Fold_2","mlpML",0.3,0.7,0.857928505957837,0.782969723182281
"wall-robot-navigation","Fold_2","mlpML",0.3,0.75,0.847846012832264,0.767756248316898
"wall-robot-navigation","Fold_2","mlpML",0.3,0.8,0.838680109990834,0.753926909566704
"wall-robot-navigation","Fold_2","mlpML",0.3,0.9,0.810265811182401,0.71052995870152
"wall-robot-navigation","Fold_2","mlpML",0.3,1,0.787351054078827,0.675197618314342
"wall-robot-navigation","Fold_3","mlpML",0.1,0.1,0.993583868010999,0.989567737987258
"wall-robot-navigation","Fold_3","mlpML",0.1,0.2,0.987167736021998,0.979160072040605
"wall-robot-navigation","Fold_3","mlpML",0.1,0.25,0.983501374885426,0.973222101924551
"wall-robot-navigation","Fold_3","mlpML",0.1,0.3,0.979835013748854,0.967285286693309
"wall-robot-navigation","Fold_3","mlpML",0.1,0.4,0.973418881759853,0.956918631646743
"wall-robot-navigation","Fold_3","mlpML",0.1,0.5,0.967002749770852,0.94643675402038
"wall-robot-navigation","Fold_3","mlpML",0.1,0.6,0.961503208065995,0.937445051794656
"wall-robot-navigation","Fold_3","mlpML",0.1,0.7,0.956003666361137,0.928461459649602
"wall-robot-navigation","Fold_3","mlpML",0.1,0.75,0.955087076076994,0.927012451531866
"wall-robot-navigation","Fold_3","mlpML",0.1,0.8,0.948670944087993,0.916574040948305
"wall-robot-navigation","Fold_3","mlpML",0.1,0.9,0.944087992667278,0.909125666868303
"wall-robot-navigation","Fold_3","mlpML",0.1,1,0.934922089825848,0.894213067917994
"wall-robot-navigation","Fold_3","mlpML",0.2,0.1,0.986251145737855,0.979760264569765
"wall-robot-navigation","Fold_3","mlpML",0.2,0.2,0.967919340054995,0.952727997504246
"wall-robot-navigation","Fold_3","mlpML",0.2,0.25,0.963336388634281,0.945940254318648
